Punjabi,Assamese
ਏ.ਸੀ ਬਰਾਬਰ ਸਰਕਟ,এ চি সমতুল্য বৰ্তনী
ਐਨਾਲਾਗ ਤੋਂ ਸੰਖਿਆਤਮਕ ਕਨਵਰਟਰ,এনালগ টু সংখ্যাগত ৰূপান্তৰক
ਪੂਰਨ ਜ਼ੀਰੋ,নিৰপেক্ষ শূন্য
ਸਮਾਈ ਗੁਣਾਂਕ,শোষণ সহগ
ਸਮਾਈ ਸਪੈਕਟ੍ਰਮ,শোষণ বৰ্ণালী
ਰੀਸੈਪਟਰ ਐਟਮ,ৰিচেপ্টৰ পৰমাণু
ਬਦਲਵੀਂ ਮੌਜੂਦਾ ਜੋੜੀ,বিকল্প বিদ্যুৎ প্ৰবাহ সংযোজন
ਇਲੈਕਟ੍ਰੋਨ ਵਾਢੀ,ইলেক্ট্ৰন সংগ্ৰহ কৰা
ਮੋਰੀ ਸਟੋਰੇਜ਼,ফুটা সংৰক্ষণ
ਸਰਗਰਮੀ ਊਰਜਾ,সক্ৰিয়কৰণ শক্তি
ਸਰਗਰਮ ਐਂਪਲੀਫਾਇਰ,সক্ৰিয় পৰিবৰ্ধক
ਸਰਗਰਮ diode ਸਰਕਟ,সক্ৰিয় ডাইঅ&#39;ড বৰ্তনী
ਸਰਗਰਮ ਫਿਲਟਰ,সক্ৰিয় ফিল্টাৰ
ਐਕਟਿਵ ਹਾਈ ਫ੍ਰੀਕੁਐਂਸੀ ਪਾਰਕਵੇਟ ਫਿਲਟਰ,সক্ৰিয় উচ্চ কম্পাঙ্ক পাৰ্কেট ফিল্টাৰ
ਸਰਗਰਮ ਲੋਡ,সক্ৰিয় লোড
ਕਿਰਿਆਸ਼ੀਲ ਘੱਟ ਬਾਰੰਬਾਰਤਾ ਪਾਰਸ ਫਿਲਟਰ,সক্ৰিয় কম কম্পাঙ্ক বিশ্লেষণ ফিল্টাৰ
ਸਰਗਰਮ ਖੇਤਰ,সক্ৰিয় অঞ্চল
ਅਨੁਕੂਲ ਇਲੈਕਟ੍ਰੋਨਿਕਸ,অভিযোজিত ইলেক্ট্ৰনিক্স
ਜੋੜਨ ਵਾਲਾ,adder
ਵਿਵਸਥਿਤ ਬੈਂਡ ਐਕਸਟੈਂਸ਼ਨ,এডজাষ্টেবল বেণ্ড এক্সটেনচন
ਪ੍ਰਵੇਸ਼,ভেদ
ਏਰੀਅਲ,এৰিয়েল
pep ਬਾਰੰਬਾਰਤਾ,pep কম্পাঙ্ক
ੲੇ. ਸੀ,এয়াৰ কণ্ডিচনাৰ
ਅਲਾਈਨਮੈਂਟ,প্ৰান্তিককৰণ
ਐਲਗੋਰਿਦਮ,এলগৰিদম
ਸਾਰੇ ਪਾਸ ਫਿਲਟਰ,সকলো পাছ ফিল্টাৰ
ਮਿਸ਼ਰਤ ਜੰਕਸ਼ਨ,মিশ্ৰণ সংযোগ
ਧਿਆਨ,ক্ষীণকৰণ
ਬਦਲਵੇਂ ਮੌਜੂਦਾ,বিকল্প বিদ্যুৎ প্ৰবাহ
ਅੰਬੀਨਟ ਤਾਪਮਾਨ,পৰিৱেশৰ উষ্ণতা
ਬਾਈਪੋਲਰ,বাইপোলাৰ
ਵਾਧਾ,এম্প্লিফিকেশন
ਐਂਪਲੀਫਾਇਰ,এম্প্লিফায়াৰ
ਐਂਪਲੀਫਾਇਰ ਕੁਸ਼ਲਤਾ,এম্প্লিফায়াৰৰ কাৰ্যক্ষমতা
ਮਾਪ,মাত্ৰাসমূহ
ਐਪਲੀਟਿਊਡ attenuation,প্ৰসাৰণ ক্ষীণকৰণ
ਐਪਲੀਟਿਊਡ ਮੋਡਿਊਲੇਟਡ AM ਔਸਿਲੇਟਰ,প্ৰসাৰণ মডুলেটেড AM দোলক
ਐਪਲੀਟਿਊਡ ਮੋਡਿਊਲੇਸ਼ਨ,প্ৰসাৰণ মডুলেচন
ਐਪਲੀਟਿਊਡ ਮੋਡਿਊਲੇਟਰ,প্ৰসাৰণ মডুলেটৰ
ਐਂਗਸਟ੍ਰੋਮ ਯੂਨਿਟ,angstrom একক
ਐਨਾਲਾਗ ਸਰਕਟ,এনালগ বৰ্তনী
ਐਨਾਲਾਗ ਕੰਪਿਊਟਰ,এনালগ কম্পিউটাৰ
ਐਨਾਲਾਗ ਫਿਲਟਰ,এনালগ ফিল্টাৰ
ਐਨਾਲਾਗ ਮਲਟੀਮੀਟਰ,এনালগ মাল্টিমিটাৰ
ਐਨਾਲਾਗ ਸਵਿੱਚ,এনালগ চুইচ
ਅਤੇ ਗੇਟ,AND গেট
ਕੋਣੀ ਬਾਰੰਬਾਰਤਾ,কৌণিক কম্পাঙ্ক
"anion, anion","এনিয়ন, এনিয়ন"
ਐਨੀਲਿੰਗ ਤਾਪਮਾਨ,এনিয়েলিং উষ্ণতা
ਐਨੋਡ,এনোড
ਐਨੋਡ ਐਂਪਲੀਫਾਇਰ,এনোড এম্প্লিফায়াৰ
anodyne,এনোডাইন
ਐਂਟੀਨਾ,এন্টেনা
ਐਂਟੀਨਾ ਕੰਪੋਨੈਂਟ,এন্টেনা উপাদান
ਵਿਰੋਧੀ ਪ੍ਰਤੀਬਿੰਬ ਪਰਤ,এন্টি-ৰিফ্লেক্টিভ আৱৰণ
