Gujarati,Assamese
અબેકસ,abacus
અસામાન્ય સમાપ્તિ,অস্বাভাৱিক সমাপ্তি
ગર્ભપાત,abort
સંપૂર્ણ,নিৰপেক্ষ
સંપૂર્ણ સરનામું,নিৰপেক্ষ ঠিকনা
સંપૂર્ણ સંબોધન,নিৰপেক্ষ সম্বোধন
સંપૂર્ણ એસેમ્બલર,নিৰপেক্ষ এছেম্বলাৰ
સંપૂર્ણ કોડ,নিৰপেক্ষ ক&#39;ড
સંપૂર્ણ આદેશ,নিৰপেক্ষ আদেশ
સંપૂર્ણ ડેટા,নিৰপেক্ষ তথ্য
સંપૂર્ણ સૂચના,নিৰপেক্ষ নিৰ্দেশনা
સંપૂર્ણ મોડ,নিৰপেক্ষ ধৰণ
સંપૂર્ણ માર્ગ,নিৰপেক্ষ পথ
સંપૂર્ણ પ્રોગ્રામિંગ,নিৰপেক্ষ প্ৰগ্ৰেমিং
અમૂર્ત વર્ગ,বিমূৰ্ত শ্ৰেণী
અમૂર્ત ડેટા પ્રકાર,বিমূৰ্ত তথ্যৰ ধৰণ
અમૂર્ત મશીન,বিমূৰ্ত মেচিন
અમૂર્ત પ્રતીક,বিমূৰ্ত চিহ্ন
અમૂર્ત વાક્યરચના,বিমূৰ্ত বাক্যবিন্যাস
સ્વીકૃતિ પરીક્ષણ,গ্ৰহণযোগ্যতা পৰীক্ষা
ઍક્સેસ પ્રમાણીકરણ,প্ৰৱেশ প্ৰমাণীকৰণ
ઍક્સેસ કોડ,প্ৰৱেশ ক&#39;ড
વપરાશ નિયંત્રણ,প্ৰৱেশ নিয়ন্ত্ৰণ
એક્સેસ સ્કેન,এক্সেছ স্কেন
સહાયક,আনুষংগিক বস্তু
એકાઉન્ટ,একাউণ্ট
એકાઉન્ટ ID,একাউণ্ট আইডি
સંચયક,এক্যুলেটৰ
ચોકસાઈ,শুদ্ধতা
ઍક્સેસ,acess
એક્સેસ કંટ્રોલ બાઈટ,প্ৰৱেশ নিয়ন্ত্ৰণ বাইট
એક્સેસ ઇન્ડેક્સ,acess index
ઍક્સેસ કી,acess key
એક્સેસ મેટ્રિક્સ,acess মেট্ৰিক্স
ઍક્સેસ મોડ,প্ৰৱেশ ধৰণ
એક્સેસ વિશેષાધિકાર,acess বিশেষাধিকাৰ
ઍક્સેસ સુરક્ષા,acess security
ઍક્સેસ સર્વર,এচেছ চাৰ্ভাৰ
ઍક્સેસ સમય,acess সময়
સ્વીકૃતિ,স্বীকৃতি
ધ્વનિશાસ્ત્ર,শব্দবিজ্ঞান
ટૂંકાક્ષર,সংক্ষিপ্ত ৰূপ
ક્રિયા સંદેશ,কাৰ্য্য বাৰ্তা
સક્રિયકરણ,সক্ৰিয়কৰণ
સક્રિય સર્વર પૃષ્ઠ (ASP),সক্ৰিয় চাৰ্ভাৰ পৃষ্ঠা (ASP)
સક્રિય સંસ્કરણ,সক্ৰিয় সংস্কৰণ
એસાયક્લિક,অচক্ৰীয়
એસાયક્લિક ગ્રાફ,অচক্ৰীয় গ্ৰাফ
અદા ભાષા,আদা ভাষা
એડેપ્ટર,এডাপ্টাৰ
ઉમેરો,যোগ কৰা
ફાઇલ ઉમેરો,ফাইল যোগ কৰক
કામગીરી ઉમેરો,অপাৰেচন যোগ কৰক
ઉમેરનાર,adder
સરનામું,ঠিকনা
સરનામું બસ,ঠিকনা বাছ
સરનામું ફાઇલ,ঠিকনা নথিপত্ৰ
સરનામું ફોર્મેટ,ঠিকনা বিন্যাস
સરનામું જનરેટર,ঠিকনা উৎপাদক
એડ્રેસ લાઇન,ঠিকনা ৰেখা
સરનામું મેપિંગ,ঠিকনা মেপিং
સરનામું નિર્દેશક,ঠিকনা পইণ্টাৰ
સરનામું રજીસ્ટર,ঠিকনা পঞ্জীয়ন
સરનામું રિઝોલ્યુશન,ঠিকনা সমাধান
સરનામા અનુવાદ,ঠিকনা অনুবাদ
સંબોધિત મેમરી,ঠিকনাযুক্ত মেমৰি
સંબોધન,সম্বোধন কৰা
પર્યાપ્તતા માપદંડ,পৰ্যাপ্ততাৰ মাপকাঠী
સંલગ્ન,সংযুক্ত
વહીવટ,প্ৰশাসন
સંચાલક,প্ৰশাসক
એડોબ એક્રોબેટ,এডোব এক্ৰ&#39;বেট
એડોબ ફોટોશોપ,এডোব ফটোশ্বপ
એડવાન્સ બિઝનેસ એપ્લિકેશન પ્રોગ્રામિંગ (ABAP),উন্নত ব্যৱসায়িক প্ৰয়োগ প্ৰগ্ৰেমিং (ABAP)
અદ્યતન ડેટા,উন্নত তথ্য
અદ્યતન માહિતી સિસ્ટમ,উন্নত তথ্য ব্যৱস্থা
અદ્યતન ટેકનોલોજી (AT),উন্নত প্ৰযুক্তি (AT)
એજન્ટ,এজেণ্ট
એકત્રીકરણ,একত্ৰীকৰণ
એરબોર્ન કમ્પ્યુટર સિસ્ટમ,বায়ুমণ্ডলীয় কম্পিউটাৰ ব্যৱস্থা
aldus પૃષ્ઠ નિર્માતા,aldus পৃষ্ঠা নিৰ্মাতা
ચેતવણી બોક્સ,সতৰ্কবাণী বাকচ
algol,এলগোল
અલ્ગોરિધમ,এলগৰিদম
અલ્ગોરિધમ વિશ્લેષણ,এলগৰিদম বিশ্লেষণ
અલ્ગોરિધમ કાર્યક્ષમતા,এলগৰিদম দক্ষতা
ઉપનામ,alias
ગોઠવણી,প্ৰান্তিককৰণ
ફાળવણી,আবণ্টন
આલ્ફાબેટીક,বৰ্ণানুক্ৰমিক
આલ્ફાન્યૂમેરિક,আলফানিউমেৰিক
આલ્ફાન્યૂમેરિક કી બોર્ડ,আলফানিউমেৰিক কি বৰ্ড
આલ્ફા-પરીક્ષણ,আলফা-পৰীক্ষা
આલ્ફા-સંસ્કરણ,আলফা-সংস্কৰণ
alt કી,alt কি&#39;
અલ્ટાવિસ્ટા,আলতাভিস্তা
અસ્પષ્ટતા,অস্পষ্টতা
અસ્પષ્ટ વ્યાકરણ,অস্পষ্ট ব্যাকৰণ
અમેરિકન નેશનલ સ્ટાન્ડર્ડ ઇન્સ્ટિટ્યૂટ (ANSI),আমেৰিকান নেচনেল ষ্টেণ্ডাৰ্ডছ ইনষ্টিটিউট (ANSI)
અમેરિકન સ્ટાન્ડર્ડ કોડ ફોર ઇન્ફોર્મેશન ઇન્ટરચેન્જ (ASCII),তথ্য বিনিময়ৰ বাবে আমেৰিকান মানক ক&#39;ড (ASCII)
એનાલોગ,এনালগ
એનાલોગ કમ્પ્યુટર,এনালগ কম্পিউটাৰ
એનાલોગ ઉપકરણ,এনালগ ডিভাইচ
એનાલોગ મોડેમ,এনালগ মডেম
એનાલોગ થી ડિજિટલ કન્વર્ટર (ADC),এনালগ টু ডিজিটেল কনভাৰ্টাৰ (ADC)
અને,আৰু
અને સર્કિટ,AND বৰ্তনী
અને દરવાજો,AND গেট
અને ઓપરેશન નહીં (બાકાત),AND অপাৰেচন নহয় (বৰ্জন)
એનિમેશન,এনিমেচন
ટીકા,টীকাকৰণ
વિસંગતતા,বিজুতি
પૂર્વવર્તી,পূৰ্বসূৰী
આગોતરી પેજીંગ,প্ৰত্যাশিত পেজিং
વિરોધી સપ્રમાણ,এন্টি-চিমেট্ৰিক
એન્ટિવાયરસ પ્રોગ્રામ,এন্টিভাইৰাছ প্ৰগ্ৰেম
એપ્લેટ,applet
એપ્લિકેશન ડેવલપર,এপ্লিকেচন ডেভেলপাৰ
એપ્લિકેશન પ્રોગ્રામિંગ,এপ্লিকেচন প্ৰগ্ৰেমিং
એપ્લિકેશન પ્રોગ્રામિંગ ઈન્ટરફેસ (API),এপ্লিকেচন প্ৰগ্ৰেমিং আন্তঃপৃষ্ঠ (API)
એપ્લિકેશન સોફ્ટવેર,এপ্লিকেচন চফ্টৱেৰ
લાગુ પડતી ભાષા,প্ৰয়োগমূলক ভাষা
અંદાજ સિદ્ધાંત,আনুমানিক তত্ত্ব
સ્થાપત્ય,স্থাপত্য
વિસ્તાર ટ્રાન્સફર,এলেকা হস্তান্তৰ
દલીલ,তৰ্কাতৰ্কি
અંકિત અને તર્ક એકમ,গাণিতিক আৰু যুক্তিৰ একক
અંકિત તપાસ,গাণিতিক পৰীক্ষা
અંકિત સ્થિરાંક,গাণিতিক ধ্ৰুৱক
અંકિત માહિતી,গাণিতিক তথ্য
અંકગણિત સૂચના,গাণিতিক নিৰ্দেশনা
અંકગણિત અને તર્ક એકમ (ALU),গাণিতিক আৰু যুক্তি একক (ALU)
અર્પાનેટ,ARPANET
એરે,এৰে
એરે કેશ,এৰে কেচ
એરે કમ્પ્યુટર,এৰে কম্পিউটাৰ
એરે તત્વ,এৰে উপাদান
એરે નામ,এৰেৰ নাম
એરે પ્રોસેસર,এৰে প্ৰচেছৰ
તીર કીઓ,কাঁড় চিহ্নসমূহ
ઉચ્ચારણ,আৰ্টিকুলেচন
ઉચ્ચારણ બિંદુ,আৰ্টিকুলেচন পইণ্ট
કૃત્રિમ કોમ્પેક્શન,কৃত্ৰিম সংকোচন
કૃત્રિમ નિયંત્રણ,কৃত্ৰিম নিয়ন্ত্ৰণ
કૃત્રિમ બુદ્ધિ,কৃত্ৰিম বুদ্ধিমত্তা
ચડતા,আৰোহী
ચડતા સૉર્ટ,আৰোহী সজাই পৰাই তোলা
ASCII બેટીકલ ઓર્ડર,ASCII betical ক্ৰম
ASCII નિયંત્રણ પાત્ર,ASCII নিয়ন্ত্ৰণ আখৰ
ASCII ફાઇલ,ASCII নথিপত্ৰ
ASCII ફોન્ટ,ASCII ফন্ট
ASCII ટ્રાન્સફર,ASCII স্থানান্তৰ
પાસા ગુણોત્તર,এস্পেক্ট ৰেচিঅ&#39;
ASPI,এ এছ পি আই
ASR ટાઈમર,ASR টাইমাৰ
ભેગા,একত্ৰিত কৰা
એસેમ્બલર,এছেম্বলাৰ
એસેમ્બલી,সভা
એસેમ્બલી ભાષા,সমাবেশ ভাষা
નિવેદન,assertion
સોંપણી,আবণ্টন কৰা কাৰ্য
સંગઠન,সংস্থা
સહયોગી સરનામું,সহযোগী ঠিকনা
સહયોગી મેમરી,সহযোগী স্মৃতিশক্তি
એસ્ટરીક,এস্টেৰিক
અસમપ્રમાણ,অসমতাপূৰ্ণ
અસુમેળ,এচিনক্ৰ&#39;নাছ
અસુમેળ ડિજિટલ સબસ્ક્રાઇબર લાઇન (ADSL),ডিজিটেল গ্রাহক লাইন (ADSL)
અસુમેળ સમય વિભાગ મલ્ટિપ્લેક્સીંગ (ATDM),asynchronous সময় বিভাজন মাল্টিপ্লেক্সিং (ATDM)
અસુમેળ ટ્રાન્સફર,এচিনক্ৰ&#39;নাছ স্থানান্তৰ
અસુમેળ ટ્રાન્સફર મોડ (ATM),এচিনক্ৰ&#39;নাছ স্থানান্তৰ ধৰণ (ATM)
અણુ,পৰমাণু
જોડાયેલ દસ્તાવેજ,সংলগ্ন নথিপত্ৰ
જોડેલી ફાઈલ,সংলগ্ন ফাইল
જોડાણ,সংলগ্নক
લક્ષણ,বৈশিষ্ট্য
ઓડિયો,অডিঅ&#39;
ઓડિટ પ્રોગ્રામિંગ,অডিট প্ৰগ্ৰেমিং
વિષ્લેષણ,অডিট ট্ৰেইল
વૃદ્ધિ,বৃদ্ধি কৰা
પ્રમાણીકરણ પ્રોટોકોલ,প্ৰমাণীকৰণ প্ৰটোকল
ઓથરિંગ સિસ્ટમ,লেখক ব্যৱস্থা
અધિકૃતતા,অনুমোদন
સ્વતઃ અમૂર્ત,অটো বিমূৰ্ত
ઓટોબૂટિંગ,স্বয়ংক্ৰিয় বুট কৰা
ઓટોકેડ,অটোকেড
ઓટોલોગ ચાલુ,অটোলগ অন
ઓટોમેટા,automata
ઓટોમેટા સિદ્ધાંત,automata তত্ত্ব
આપોઆપ કમ્પ્યુટિંગ,স্বয়ংক্ৰিয় কম্পিউটিং
સ્વચાલિત ડેટા પ્રોસેસિંગ,স্বয়ংক্ৰিয় তথ্য প্ৰক্ৰিয়াকৰণ
આપોઆપ ભૂલ સુધારણા,স্বয়ংক্ৰিয় ভুল সংশোধন
સ્વચાલિત કાર્ય,স্বয়ংক্ৰিয় কাৰ্য্য
આપોઆપ અનુક્રમણિકા,স্বয়ংক্ৰিয় সূচীভুক্তকৰণ
સ્વચાલિત પુસ્તકાલય કૉલ,স্বয়ংক্ৰিয় লাইব্ৰেৰী কল
આપોઆપ પ્રોગ્રામિંગ,স্বয়ংক্ৰিয় প্ৰগ্ৰেমিং
સ્વચાલિત પુનઃપ્રાપ્તિ કાર્યક્રમ,স্বয়ংক্ৰিয় পুনৰুদ্ধাৰ প্ৰগ্ৰেম
આપોઆપ નિયમિત,স্বয়ংক্ৰিয় ৰুটিন
આપોઆપ સિસ્ટમ પુનઃપ્રાપ્તિ,স্বয়ংক্ৰিয় চিস্টেম পুনৰুদ্ধাৰ
ઓટોમેટિક ટેલર મશીન (ATM),স্বয়ংক্ৰিয় টেলাৰ মেচিন (ATM)
ઓટોમેશન,অটোমেচন
ઑટોપ્લે,অটোপ্লে
સ્વતઃ સાચવો,স্বয়ংক্ৰিয় সংৰক্ষণ কৰক
સહાયક,সহায়ক
સહાયક મેમરી,সহায়ক স্মৃতিশক্তি
સહાયક સંગ્રહ,সহায়ক সংৰক্ষণ
ઉપલબ્ધ યાદી,উপলব্ধ তালিকা
ઉપલબ્ધ સમય,উপলব্ধ সময়
સરેરાશ,গড়
awk (ભાષા),awk (ভাষা)
બેકએન્ડ,বেকএণ্ড
બેકએન્ડ પ્રોસેસર,বেকএণ্ড প্ৰচেছৰ
બેકફેસ દૂર કરવું,বেকফেচ আঁতৰোৱা
પૃષ્ઠભૂમિ પ્રક્રિયા,পটভূমি প্ৰক্ৰিয়াকৰণ
બેકિંગ સ્ટોર,বেকিং ষ্ট&#39;ৰ
બેકપેચિંગ,বেকপেচিং
બેકસ્પેસ,বেকস্পেচ
બેકટ્રેકિંગ,পিছুৱাই যোৱা
બેકઅપ,বেক-আপ
બેકઅપ મેમરી,বেক-আপ মেমৰি
પછાત ભૂલ પુનઃપ્રાપ્તિ,পিছলৈ ত্ৰুটি পুনৰুদ্ধাৰ
સરવૈયા,বেলেন্স শ্বীট
બેન્ડ,বেণ্ড
બેન્ડ પહોળાઈ,বেণ্ডৰ প্ৰস্থ
બેંકરનું અલ્ગોરિધમ,বেংকাৰৰ এলগৰিদম
બાર કોડ,বাৰ ক&#39;ড
બાર કોડ સ્કેનર,বাৰ ক&#39;ড স্ক্যানাৰ
બાર ગ્રાફ,বাৰ গ্ৰাফ
આધાર સરનામું,ভিত্তি ঠিকনা
આધાર બેન્ડ,বেচ বেণ্ড
આધાર નંબર,ভিত্তি সংখ্যা
આધાર ટેબલ,ভিত্তি টেবুল
પાયાની,প্ৰাথমিক
મૂળભૂત નિયંત્રણ,মূল নিয়ন্ত্ৰণ
મૂળભૂત ઇનપુટ,মূল ইনপুট
મૂળભૂત સૂચના,মূল নিৰ্দেশনা
મૂળભૂત આઉટપુટ,মূল আউটপুট
મૂળભૂત પગલું,মূল পদক্ষেপ
બેચ,বেটছ
બેચ ફાઇલ,বেচ ফাইল
બેચ સ્થિતિ,বেচৰ অৱস্থান
બેચ પ્રક્રિયા,বেচ প্ৰচেছিং
બેચ સિસ્ટમ,বেচ ব্যৱস্থা
બાઉડ,baud
બાઉડ દર,বড হাৰ
બીમ,আলোকৰশ্মি
બેન્ચમાર્ક,বেঞ্চমাৰ্ক
દ્વિદિશ સંચાર,দ্বিমুখী যোগাযোগ
દ્વિદિશ લિંક,দ্বিমুখী সংযোগ
દ્વિસંગી કોડ,বাইনাৰী ক&#39;ড
દ્વિસંગી અંક,বাইনাৰী অংক
બાઈનરી ઇનપુટ આઉટપુટ સિસ્ટમ (BIOS),বাইনাৰী ইনপুট আউটপুট চিস্টেম (BIOS)
દ્વિસંગી સંખ્યા,বাইনাৰী সংখ্যা
બાઈનરી ઓપરેટર,বাইনাৰী অপাৰেটৰ
દ્વિસંગી સંબંધ,বাইনাৰী সম্পৰ্ক
દ્વિસંગી શોધ,বাইনাৰী সন্ধান
દ્વિસંગી શોધ વૃક્ષ (BST),বাইনাৰী সন্ধান গছ (BST)
બાઈનરી ટ્રાન્સફર,বাইনাৰী স্থানান্তৰ
દ્વિસંગી વૃક્ષ,বাইনাৰী গছ
બાયપોલર મેમરી,বাইপোলাৰ মেম’ৰী
જન્મ મૃત્યુ મોડેલ,জন্ম মৃত্যুৰ আৰ্হি
જન્મ મૃત્યુ પ્રક્રિયા,জন্ম মৃত্যু প্ৰক্ৰিয়া
બીટ,বিট
થોડી ખામી,বিট দোষ
બીટ નકશો,বিট মেপ
બીટ મેપ પિક્સેલ (BMP),বিট মেপ পিক্সেল (BMP)
બીટ મેટ્રિક્સ,বিট মেট্ৰিক্স
બીટ પેટર્ન,বিট পেটাৰ্ণ
બીટ સ્થિતિ,বিটৰ অৱস্থান
બીટ દર,বিট হাৰ
બ્લેક બોક્સ પરીક્ષણ,ব্লেক বক্স পৰীক্ষা
ઝબકવું,টিপটিপিয়াই
બ્લોક,অৱৰুদ্ধ কৰা
બ્લોક કેશ,ব্লক কেচ
બ્લોક ચેક,ব্লক চেক কৰক
બ્લોક નકલ,ব্লক কপি
રેખાક્રુતિ,ব্লক ডায়াগ্ৰাম
બ્લોકીંગ નેટવર્ક,নেটৱাৰ্ক ব্লক কৰা
પાટીયું,ব’ৰ্ড
પુસ્તક ચિહ્ન,বুক মাৰ্ক
બુલિયન બીજગણિત,বুলিয়ান বীজগণিত
બુલિયન સંબંધ,বুলিয়ান সম্পৰ্ক
બુટ પાર્ટીશન,বুট বিভাজন
બુટ strapping,বুট ষ্ট্ৰেপিং
બુટ-સ્ટ્રેપ લોડર,বুট-ষ্ট্ৰেপ লোডাৰ
પુલ,সেঁতু
બ્રોડબેન્ડ નેટવર્કિંગ,ব্ৰডবেণ্ড নেটৱৰ্কিং
પ્રસારણ,সম্প্ৰচাৰ
પ્રસારણ રેડિયો,সম্প্ৰচাৰ ৰেডিঅ&#39;
બ્રાઉઝ કરો,ব্ৰাউজ কৰক
બ્રાઉઝર,ব্ৰাউজাৰ
બી-ટ્રી,বি-বৃক্ষ
બબલ મેમરી,বুদবুদ স্মৃতিশক্তি
બબલ સૉર્ટ,বুদবুদ সজাই পৰাই তোলা
ડોલ,বাল্টি
મિત્ર સિસ્ટમ,বন্ধু ব্যৱস্থা
બજેટ અસરકારક નિયંત્રણ,বাজেট ফলপ্ৰসূ নিয়ন্ত্ৰণ
બફર,বাফাৰ
ભૂલ,পোক
બસ,বাছ
બાઈટ,বাইট
બાઈટ કોડ,বাইট ক&#39;ড
c,গ
C++,C++
કેશ,cache
કેશ બફર,কেশ্ব বাফাৰ
કેશ મેમરી,কেশ্ব মেমৰি
ગણતરી,গণনা কৰা
કેલ્ક્યુલેટર,কেলকুলেটৰ
કેલ્ક્યુલેટર ચિપ,কেলকুলেটৰ চিপ
કૉલ,কল কৰা
નામથી બોલાવો,নামেৰে ফোন কৰক
સંદર્ભ દ્વારા કૉલ કરો,ৰেফাৰেন্সৰ দ্বাৰা কল কৰক
મૂલ્ય દ્વારા કૉલ કરો,মূল্যৰ দ্বাৰা কল কৰক
ચલ દ્વારા કૉલ કરો,চলকৰ দ্বাৰা কল কৰক
કૉલ ગેટ,গেট কল কৰক
રદ કરો,বাতিল কৰক
રદ કરો બટન,বাতিল বুটাম
પ્રમાણભૂત,canonical
પ્રમાણભૂત સ્વરૂપ,কেননিক ৰূপ
ક્ષમતા,ক্ষমতা
ક્ષમતા યાદી,ক্ষমতা তালিকা
ક્ષમતા,ক্ষমতা
કેપ્સ લોક કી,caps লক চাবি
કાર્ડ,কাৰ্ড
કાર્ડ રીડર,কাৰ্ড ৰিডাৰ
મુખ્યત્વ,কাৰ্ডিনালিটি
વાહક,বাহক
વાહક બેન્ડ,বাহক বেণ্ড
વાહક લોડ,বাহক বোজা
વાહક સંકેત,বাহক সংকেত
વાહક તરંગ,বাহক তৰংগ
વહન,কঢ়িওৱা
વહન અંક,carry digit
ધ્વજ વહન કરો,পতাকা কঢ়িয়াই নিয়া
કારતૂસ ડિસ્ક,কাৰ্টিজ ডিস্ক
કાસ્કેડ,cascade
કેસ,ঘটনা
કેથોડ રે ટ્યુબ (CRT),কেথড ৰে টিউব (CRT)
કેથોડ રે ટ્યુબ (CRT),কেথ&#39;ড ৰে টিউব (CRT)
CD ROM ડિસ્ક ડ્રાઇવ,CD ROM ডিষ্ক ড্ৰাইভ
કોષ,কোষ
સેલ એનિમેશન,কোষ এনিমেচন
સેલ્યુલર ફોન,চেলুলাৰ ফোন
કેન્દ્રીય મેમરી,কেন্দ্ৰীয় স্মৃতিশক্তি
સેન્ટ્રલ પ્રોસેસિંગ યુનિટ (CPU),কেন্দ্ৰীয় প্ৰক্ৰিয়াকৰণ একক (CPU)
કેન્દ્રિય સિસ્ટમ,কেন্দ্ৰীভূত ব্যৱস্থা
પ્રમાણિત ટેપ,প্ৰমাণিত টেপ
સાંકળ,শিকলি
સાંકળ ડેટા,শৃংখল তথ্য
સાંકળ કડી,শৃংখল সংযোগ
સાંકળ,চেইনিং
ચેનલ,চেনেল
ચેનલ વ્યસ્ત સ્વર,চেনেল ব্যস্ত সুৰ
ચેનલ ક્ષમતા,চেনেলৰ ক্ষমতা
ચેનલ નિયંત્રક,চেনেল নিয়ন্ত্ৰক
ચેનલ ભૂલ,চেনেলৰ ভুল
ચેનલ કાર્યક્રમ,চেনেল প্ৰগ্ৰেম
ચેનલ વિશ્વસનીયતા,চেনেলৰ নিৰ্ভৰযোগ্যতা
ચેનલ સેટ,চেনেল ছেট
પાત્ર,চৰিত্ৰ
અક્ષર કોડ,আখৰৰ ক&#39;ড
અક્ષર કી,আখৰৰ চাবি
પાત્ર વાચક,চৰিত্ৰ পাঠক
અક્ષરનું કદ,আখৰৰ আকাৰ
ચાર્ટ,তালিকা
ચેસિસ,চেছিছ
બીટ તપાસો,বিট পৰীক্ষা কৰক
અંક તપાસો,ডিজিট পৰীক্ষা কৰক
રકમ તપાસો,ৰাশি পৰীক্ষা কৰক
શબ્દ તપાસો,শব্দ পৰীক্ষা কৰক
ચિપ,চিপ
ચિપ સેટ,চিপ চেট
પસંદ કરો,বাছনি কৰক
રંગીન રીતે,ৰঙীনভাৱে
સાઇફર,চাইফাৰ
સર્કિટ,বৰ্তনী
પરિપત્ર યાદી,বৃত্তাকাৰ তালিকা
સિરસ,cirus
અવતરણ,উদ্ধৃতি
વર્ગ,শ্ৰেণী
વર્ગ ચલ,ক্লাছ ভেৰিয়েবল
વર્ગીકરણ,শ্ৰেণীবিভাজন
ચોખ્ખુ,পৰিষ্কাৰ
સ્પષ્ટ વિસ્તાર,স্পষ্ট এলেকা
સ્પષ્ટ ચેનલ,ক্লিয়াৰ চেনেল
ક્લિક કરો,ক্লিক কৰক
ગ્રાહક,গ্ৰাহক
ક્લાયંટ સર્વર,ক্লাএন্ট চাৰ্ভাৰ
