Kannada,Marathi
ವೆಸ್ಟ್‌ಮಿನಿಸ್ಟರ್‌ನ ಅಬ್ಬೆ,वेस्टमिन्स्टरचे मठाधीश
ವ್ಯಭಿಚಾರ,निषिद्ध
ಗುಲಾಮಗಿರಿಯ ನಿರ್ಮೂಲನೆ,गुलामगिरीचे उच्चाटन
ಮೂಲನಿವಾಸಿಗಳು,आदिवासी
ಅಬ್ರಹಾಂ ಯುಗ,अब्राहम युग
ಗೈರುಹಾಜರಾದ ಭೂಮಾಲೀಕರು,अनुपस्थित जमीनदार
ಅಕಾಡೆಮಿ,अकादमी
ಅಕ್ರಾ ಸಮ್ಮೇಳನ,अक्रा परिषद
ಸಂಚಯಗಳು,जमा
ಸಂಸ್ಕಾರ,संवर्धन
ಅಸೆಲ್ಡಾಮಾ,एसेलडामा
ಅಚೆಯನ್ (=ಅಚಿಯನ್),आचियन (=अचियन)
ಅಚೆಯನ್ ಲೀಗ್ (=ಅಚಿಯನ್ ಲೀಗ್),आचियन लीग (=अचियन लीग)
ಆಕ್ರೊಪೊಲಿಸ್,एक्रोपोलिस
ಆಕ್ಟಾ ಡೈರ್ನಾ,Acta Diurna
ಆಕ್ಟಾ ಸೆನಾಟಸ್,Acta Senatus
ಆಕ್ಟೆ ಹೆಚ್ಚುವರಿ,ऍक्ट अॅडिशनल
ಸಕ್ರಿಯ ದಾಖಲೆ (=ಪ್ರಸ್ತುತ ದಾಖಲೆ),सक्रिय रेकॉर्ड (=वर्तमान रेकॉर्ड)
ಸಾಧಿಸುವವರ ಕ್ರಿಯೆ,प्राप्तकर्त्याची कृती
ನಷ್ಟ ಪರಿಹಾರ ಮತ್ತು ಮರೆವಿನ ಕಾಯಿದೆ,नुकसानभरपाई आणि विस्मरणाचा कायदा
ವಸಾಹತು ಕಾಯಿದೆ,सेटलमेंटचा कायदा
ಜಾಹೀರಾತು ಒಪ್ಪಂದದ ಮುದ್ರೆ,जाहिरात करार सील
ಅಡುಲಮೈಟ್ಸ್,अदुल्लामाइट्स
ಎದುರಾಳಿ,विरोधक
ಎದುರಾಳಿ,विरोधक
ಏಯಾನ್,एऑन
ಏರೋರಿಯಮ್,एरेरियम
ವೈಮಾನಿಕ ಯುದ್ಧ,हवाई युद्ध
ಏಟೋಲಿಯನ್ ಲೀಗ್,एटोलियन लीग
ವಯಸ್ಸು,वय
ವಯಸ್ಸಾಗುವಿಕೆ (=ವಯಸ್ಸಾದ),वृद्धत्व (=वृद्धत्व)
ವಯಸ್ಸಾದ ಪ್ರಕ್ರಿಯೆ,वृद्धत्व प्रक्रिया
ಅಗೆಲೈ,अगेलाय
ಅಶ್ವದಳದ ವಯಸ್ಸು,पराक्रमाचे वय
ಜ್ಞಾನೋದಯದ ವಯಸ್ಸು,ज्ञानाचे वय
ಪೆರಿಕಲ್ಸ್ ವಯಸ್ಸು,पेरिकल्सचे वय
ಕಾರಣದ ವಯಸ್ಸು,कारण वय
ಕೃಷಿಧರ್ಮ,कृषीवाद
ಕೃಷಿ ಚಳುವಳಿ,कृषी चळवळ
ಅಲ್ಬಿಯಾನ್,अल्बिओन
ಆಲ್ಬಮ್,अल्बम
