Tamil,Punjabi
கைவிடப்பட்ட உறுப்பு,ਅਧੂਰਾ ਹਿੱਸਾ ਅਧੂਰਾ ਛੱਡ ਦਿੱਤਾ
நிறுத்தப்பட்ட விதை,ਅਧੂਰਾ
கருக்கலைப்பு,ਗਰਭਪਾਤ
முழுமையான களை,ਸੰਪੂਰਨ ਬੂਟੀ
உறிஞ்சப்பட்ட கேஷன்,ਸਮਾਈ
உறிஞ்சுதல்,ਸਮਾਈ
அபிசீனிய கடுகு,ਅਬੀਸਨੀਅਨ ਰਾਈ
அகரைடு,ਅਚੰਭੇ
உச்சரிப்பு,ਰਾਜਕੁਮਾਰੀ
உச்சநிலை (செல்),ਲਹਿਜ਼ਾ (ਸੈੱਲ)
ஏற்றுக்கொள்ளப்பட்ட சகிப்புத்தன்மை,ਸਹਿਣਸ਼ੀਲਤਾ ਸਵੀਕਾਰ ਕੀਤੀ
துணை,ਸਹਾਇਕ
பழக்கவழக்கமயமாக்கல்,ਅਨੁਕੂਲਤਾ
குவிப்பு,ਇਕੱਠਾ
துல்லியம்,ਸ਼ੁੱਧਤਾ
அசெருலஸ்,ਏਸਰਵੂਲਸ
அசிடிபிகேஷன்,ਐਸੀਟਿਫਿਕੇਸ਼ਨ
அமிலமயமாக்கல்,ਐਸਿਡਿਫਿਕੇਸ਼ਨ
அமிலமீட்டர்,ਐਸਿਡਮੀਟਰ
அமிலத்தன்மை,ਐਸਿਡਿਟੀ
அமிலத்தன்மை கொண்ட,ਐਸਿਡੋਫਿਲਿਕ
அமிலப்படுத்தப்பட்ட ராக் பாஸ்பேட்,ਤੇਜ਼ਾਬ ਵਾਲੀ ਰਾਜ਼ ਫਾਸਫੇਟ
அமிலத்தன்மை,ਐਸਿਡੁਰਿਕ
நீர்வாழ்,ਐਕੁਇਫਰ
கையகப்படுத்தல்,ਗ੍ਰਹਿਣ
ஏக்கர்,ਏਕੜ
ஏக்கர் தூரம்,ਰਕਬੇ
அக்ரோசென்ட்ரிக் குரோமோசோம்,ਐਕਰੋਸੀਐਸਟ੍ਰਿਕ ਕ੍ਰੋਮੋਸੋਮ
அக்ரோபெட்டல்,ਐਕਰੋਪੇਟਲ
சக்ரோசோம்,ਐਸ਼੍ਰੋਸੋਮ
ஆக்டினோமைசீட்கள்,ਐਕਟਿਨੋਮਾਈਸਾਈਟਸ
செயலில் ரூட் மண்டலம்,ਐਕਟਿਵ ਰੂਟ ਜ਼ੋਨ
கடுமையான,ਗੰਭੀਰ
தகவமைப்பு,ਅਨੁਕੂਲਤਾ
தழுவல்,ਅਨੁਕੂਲਤਾ
ஒட்டுதல்,ਚਿਪਕਿਆ
கொழுப்பு,ADPIPOSE
சரிசெய்தல் சமன்பாடு,ਵਿਵਸਥ ਸਮੀਕਰਨ
அடோப் மண்,ਅਡੋਬ ਮਿੱਟੀ
கலப்படம்,ਮਨਜ਼ੂਰ
