Assamese,Odiya
এবেলিয়ান গোট,ଆବେଲିଆନ୍ ଗୋଷ୍ଠୀ |
abelian অৰ্ধগোট,ଆବେଲିଆନ୍ ସେମିଗ୍ରୁପ୍ |
abscissa,abscissa
নিৰপেক্ষ,ସଂପୂର୍ଣ୍ଣ
নিৰপেক্ষ অভিসৰণ,ସଂପୂର୍ଣ୍ଣ ସମ୍ମିଶ୍ରଣ |
নিৰপেক্ষ ভুল,ସଂପୂର୍ଣ୍ଣ ତ୍ରୁଟି |
নিৰপেক্ষ সৰ্বোচ্চ,ସଂପୂର୍ଣ୍ଣ ସର୍ବାଧିକ
নিৰপেক্ষ নূন্যতম,ସଂପୂର୍ଣ୍ଣ ସର୍ବନିମ୍ନ |
নিৰপেক্ষ মূল্য,ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ
নিৰপেক্ষ বেগ,ସଂପୂର୍ଣ୍ଣ ବେଗ
বিমূৰ্ত বীজগণিত,ବିସ୍ତୃତ ବୀଜ ବର୍ଣ୍ଣନା |
বিমূৰ্ত গোট তত্ত্ব,ବିସ୍ତୃତ ଗୋଷ୍ଠୀ ସିଦ୍ଧାନ୍ତ |
বেগ বৃদ্ধি,ତ୍ୱରଣ
মাধ্যাকৰ্ষণৰ ফলত হোৱা ত্বৰণ,ମାଧ୍ୟାକର୍ଷଣ ହେତୁ ତ୍ୱରଣ |
গ্ৰহণযোগ্য পছন্দৰ ছেট,ଗ୍ରହଣୀୟ ପସନ୍ଦ ସେଟ୍ |
গ্ৰহণযোগ্য গুণগত মানৰ স্তৰ,ଗ୍ରହଣୀୟ ଗୁଣବତ୍ତା ସ୍ତର |
গ্ৰহণযোগ্য পৰিসৰ,ଗ୍ରହଣୀୟ ପରିସର |
গ্ৰহণযোগ্য নিৰ্ভৰযোগ্যতা স্তৰ,ଗ୍ରହଣୀୟ ବିଶ୍ୱସନୀୟତା ସ୍ତର |
গ্ৰহণযোগ্য নমুনা সংগ্ৰহ কৰা,ଗ୍ରହଣୀୟ ନମୁନା
সঞ্চিত ভুল,ସଂଗୃହିତ ତ୍ରୁଟି |
শুদ্ধতা,ସଠିକତା
ক্ৰিয়াশীল শক্তি,ଅଭିନୟ ଶକ୍ତି
কাৰ্য কৰা,କାର୍ଯ୍ୟ
ক্ৰিয়া আৰু প্ৰতিক্ৰিয়া,କାର୍ଯ୍ୟ ଏବଂ ପ୍ରତିକ୍ରିୟା
কৃষি বিজ্ঞান,ଆକ୍ଟୁରିଆଲ୍ ସାଇନ୍ସ |
তীব্ৰ কোণীয়া ত্ৰিভুজ,ତୀବ୍ର କୋଣିଆ ତ୍ରିରଙ୍ଗା |
অচক্ৰীয়,acyclic
যোগ কৰা,ଯୋଡନ୍ତୁ |
adder,ଆଡର୍
যোগ,ଯୋଗ
যোগ সূত্ৰ,ଯୋଗ ସୂତ୍ର
জটিল সংখ্যাৰ সংযোজন,ଜଟିଳ ସଂଖ୍ୟାଗୁଡ଼ିକର ଯୋଗ |
ফলনসমূহৰ সংযোজন,କାର୍ଯ୍ୟଗୁଡ଼ିକର ଯୋଗ
মেট্ৰিক্সৰ সংযোজন,ମାଟ୍ରିକ୍ସର ଯୋଗ
বহুপদ যোগ কৰা,ବହୁଭାଷୀ ଯୋଗ |
সম্ভাৱনাৰ সংযোজন,ସମ୍ଭାବ୍ୟତାର ଯୋଗ |
ভেক্টৰৰ সংযোজন,ଭେକ୍ଟର ଯୋଗ
যোগ উপপাদ্য,ଯୋଗ ତତ୍ତ୍ୱ
যোগকৰণ গোট,ଯୋଗୀ ଗୋଷ୍ଠୀ |
যোগকৰণৰ বিপৰীত,ଯୋଗୀ ଓଲଟା |
যোগসূত্ৰৰ বৈশিষ্ট্য,ଯୋଗୀ ସମ୍ପତ୍ତି |
যোগকৰণ,ଯୋଗୀତା |
সংলগ্নতা মেট্ৰিক্স,ସଂଲଗ୍ନ ମ୍ୟାଟ୍ରିକ୍ସ |
পাৰ্শ্বৱৰ্তী,ସଂଲଗ୍ନ
কাষৰীয়া কোণ,ସଂଲଗ୍ନ କୋଣ
কাষৰীয়া শিখৰ,ସଂଲଗ୍ନ ଭର୍ଟେକ୍ସ |
adjoin,ସଂଲଗ୍ନ
সংলগ্ন,ସଂଲଗ୍ନ
সংযুক্ত নিৰ্ণায়ক,ନିର୍ଣ୍ଣୟକାରୀ
সংযুক্ত অৱভেদ্য সমীকৰণ,ଭିନ୍ନ ଭିନ୍ନ ସମୀକରଣ
সংযুক্ত সমীকৰণ,ସମୀକରଣ
সংলগ্ন মেট্ৰিক্স,ମ୍ୟାଟ୍ରିକ୍ସ ଯୋଡନ୍ତୁ |
মেট্ৰিক্সৰ সংযুক্ত,ମାଟ୍ରିକ୍ସର ଯୋଗ
এডজুগেট মেট্ৰিক্স,ମ୍ୟାଟ୍ରିକ୍ସ ଆଡୁଗେଟ୍ କରନ୍ତୁ |
গ্ৰহণযোগ্য সিদ্ধান্ত কাৰ্য্য,ଗ୍ରହଣୀୟ ନିଷ୍ପତ୍ତି କାର୍ଯ୍ୟ
গ্ৰহণযোগ্য অনুমান,ଗ୍ରହଣୀୟ ଅନୁମାନ
বায়ুগতিবিদ্যা বল,ଏରୋଡାଇନାମିକ୍ ଫୋର୍ସ |
বায়ুগতিবিদ্যা,ଏରୋଡାଇନାମିକ୍ସ |
affine জ্যামিতি,ଆଫାଇନ୍ ଜ୍ୟାମିତି |
affine মেপিং,ଆଫାଇନ୍ ମ୍ୟାପିଙ୍ଗ୍ |
affine ৰূপান্তৰ,ଆଫାଇନ୍ ଟ୍ରାନ୍ସଫର୍ମେସନ୍ |
চলকসমূহ একত্ৰিত কৰা,ଏଗ୍ରିଗେଟ୍ ଭେରିଏବଲ୍ |
বীজগণিত,ବୀଜ ବିବେଚନା
বীজগণিতীয়ভাৱে বন্ধ কৰা হৈছে,ବୀଜ ବର୍ଣ୍ଣିତ ଭାବରେ ବନ୍ଦ |
বীজগণিতীয় সমীকৰণ,ବୀଜ ବର୍ଣ୍ଣିତ ସମୀକରଣ |
বীজগণিতীয় প্ৰকাশ,ବୀଜ ବର୍ଣ୍ଣନା
বীজগণিতীয় ৰূপ,ବୀଜ ବର୍ଣ୍ଣିତ ଫର୍ମ |
বীজগণিতীয় ফলন,ବୀଜ ବର୍ଣ୍ଣିତ କାର୍ଯ୍ୟ
বীজগণিতীয় জ্যামিতি,ବୀଜ ବର୍ଣ୍ଣିତ ଜ୍ୟାମିତି |
বীজগণিতীয় বহুগুণতা,ବୀଜ ବର୍ଣ୍ଣିତ ଗୁଣ |
বীজগণিতীয় ব্যৱস্থা,ବୀଜ ବର୍ଣ୍ଣିତ ପ୍ରଣାଳୀ |
সকলো-পূৰ্ণসংখ্যা সমস্যা,ସମସ୍ତ-ପୂର୍ଣ୍ଣ ସମସ୍ୟା |
আবণ্টনৰ সমস্যা,ବଣ୍ଟନ ସମସ୍ୟା
বৰ্ণানুক্ৰমিক সংকেত,ବର୍ଣ୍ଣାନୁକ୍ରମିକ ଟିପ୍ପଣୀ |
বৰ্ণানুক্ৰমিক আখৰ,ବର୍ଣ୍ଣମାଳା ବର୍ଣ୍ଣ
বিকল্প কোণ,ବିକଳ୍ପ କୋଣ
বিকল্প ৰূপ,ବିକଳ୍ପ ଫର୍ମ |
বিকল্প গোট,ବିକଳ୍ପ ଗୋଷ୍ଠୀ
বিকল্প মেট্ৰিক্স,ବିକଳ୍ପ ମ୍ୟାଟ୍ରିକ୍ସ |
বিকল্প শৃংখলা,ବିକଳ୍ପ କ୍ରମ |
বিকল্প অনুমান,ବିକଳ୍ପ ଅନୁମାନ
বিকল্প optima,ବିକଳ୍ପ ଅପ୍ଟିମା |
বিকল্প ফলাফল,ବିକଳ୍ପ ଫଳାଫଳ |
এনালগ-টু-ডিজিটেল ৰূপান্তৰক,ଆନାଗଲ୍-ଟୁ-ଡିଜିଟାଲ୍ କନଭର୍ଟର |
এনালগ কম্পিউটাৰ,ଆନାଗଲ୍ କମ୍ପ୍ୟୁଟର |
বিশ্লেষণ,ବିଶ୍ଳେଷଣ |
সহাৱস্থানৰ বিশ্লেষণ,କୋଭାରିଆନ୍ସର ବିଶ୍ଳେଷଣ |
গণনা তথ্যৰ বিশ্লেষণ,ଗଣନା ତଥ୍ୟର ବିଶ୍ଳେଷଣ |
ভ্যাৰিয়েন্সৰ বিশ্লেষণ,ଭିନ୍ନତାର ବିଶ୍ଳେଷଣ |
বিশ্লেষণাত্মক জ্যামিতি,ଆନାଲିଟିକ୍ ଜ୍ୟାମିତି |
বিশ্লেষণাত্মক কাৰ্য্য,ଆନାଲିଟିକ୍ କାର୍ଯ୍ୟ
কোণ,କୋଣ
সংস্পৰ্শৰ কোণ,ଯୋଗାଯୋଗ କୋଣ
বিচ্যুতিৰ কোণ,ବିଘ୍ନର କୋଣ |
বিষণ্ণতাৰ কোণ,ଉଦାସୀନତାର କୋଣ
বিচ্যুতিৰ কোণ,ବିଘ୍ନର କୋଣ |
বিবৰ্তনৰ কোণ,ବିଭାଜନର କୋଣ |
উচ্চতাৰ কোণ,ଉଚ୍ଚତାର କୋଣ
প্ৰাদুৰ্ভাৱৰ কোণ,ଘଟଣାର କୋଣ
প্ৰক্ষেপণৰ কোণ,ପ୍ରୋଜେକ୍ଟର କୋଣ
প্ৰতিফলনৰ কোণ,ପ୍ରତିଫଳନ କୋଣ
বিবৰ্তনৰ কোণ,ପ୍ରତିଫଳନ କୋଣ
ঘূৰ্ণনৰ কোণ,ଘୂର୍ଣ୍ଣନ କୋଣ
মুঠ প্ৰতিফলনৰ কোণ,ସମୁଦାୟ ପ୍ରତିଫଳନର କୋଣ |
কৌণিক ত্বৰণ,କୋଣାର୍କ ତ୍ୱରଣ |
কৌণিক গতি,କୋଣାର୍କ ଗତି |
কৌণিক গতি,କୋଣାର୍କ ଗତି
কৌণিক বেগ,କୋଣାର୍କ ବେଗ |
annulus,annulus
উত্তৰ,ଉତ୍ତର ଦିଅ
এন্টি – ডেৰাইভেটিভ,ଆଣ୍ଟି-ଡେରିଭେଟିଭ୍ |
এন্টিচিমেট্ৰিক ফাংচন,ଆଣ୍ଟିସାଇମେଟ୍ରିକ୍ କାର୍ଯ୍ୟ
প্ৰযোজ্য,ପ୍ରଯୁଜ୍ୟ |
দৰ্খাস্ত,ପ୍ରୟୋଗ
ডাইনামিক প্ৰগ্ৰেমিং প্ৰয়োগ কৰা হৈছে,ପ୍ରୟୋଗ ହୋଇଥିବା ଗତିଶୀଳ ପ୍ରୋଗ୍ରାମିଂ |
প্ৰয়োগ কৰা জ্যামিতি,ପ୍ରୟୋଗ ହୋଇଥିବା ଜ୍ୟାମିତି |
প্ৰয়োগ কৰা গণিত,ପ୍ରୟୋଗ ହୋଇଥିବା ଗଣିତ |
প্ৰয়োগ কৰা পৰিসংখ্যা,ପ୍ରୟୋଗ ପରିସଂଖ୍ୟାନ |
অনুমানিক,ପାଖାପାଖି
প্ৰায় অবিৰত ফলন,ପ୍ରାୟ ନିରନ୍ତର କାର୍ଯ୍ୟ |
আনুমানিক পদ্ধতি,ଆନୁମାନିକ ପଦ୍ଧତି |
আনুমানিক সমাধান,ଆନୁମାନିକ ସମାଧାନ
আনুমানিক সমস্যা,ଆନୁମାନିକ ସମସ୍ୟା
আনুমানিক বৈশিষ্ট্য,ଆନୁମାନିକ ସମ୍ପତ୍ତି
aptitude পৰীক্ষাৰ বেটাৰী,ଦକ୍ଷତା ପରୀକ୍ଷା ବ୍ୟାଟେରୀ |
আৰ্গাণ্ড ডায়েগ্ৰাম,ଅର୍ଗାନ୍ ଚିତ୍ର |
ইচ্ছাকৃতভাৱে বাছি লোৱা,ମନଇଚ୍ଛା ମନୋନୀତ |
স্বেচ্ছাচাৰী,ଇଚ୍ଛାଧୀନ |
ইচ্ছাকৃত ধ্ৰুৱক,ଇଚ୍ଛାଧୀନ ସ୍ଥିର |
ইচ্ছাকৃত উপাদান,ଇଚ୍ଛାଧୀନ ଉପାଦାନ |
ইচ্ছাকৃত বিন্দু,ଇଚ୍ଛାଧୀନ ବିନ୍ଦୁ |
আৰ্কিমিডিয়ান আইন,ଆର୍କେମିଡିଆନ୍ ନିୟମ |
আৰ্কিমিডিছ নীতি,ଆର୍କିମିଡିସ୍ ନୀତି |
চাপৰ দৈৰ্ঘ্য,ଆର୍କ ଲମ୍ବ |
বৃত্তৰ চাপ,ବୃତ୍ତର ଆର୍କ |
চাপ চাইন বিতৰণ,ଆର୍କ ସାଇନ ବଣ୍ଟନ |
চাপ চাইন ৰূপান্তৰ,ଆର୍କ ସାଇନ ପରିବର୍ତ୍ତନ
এলাকা,କ୍ଷେତ୍ର
এৰিয়াল টেক্সচাৰ,ଆରେଲ୍ ଟେକ୍ସଚର୍ |
জটিল সংখ্যাৰ যুক্তি,ଜଟିଳ ସଂଖ୍ୟାର ଯୁକ୍ତି
গাণিতিক গড়,ଗାଣିତିକ ଅର୍ଥ |
গাণিতিক কাৰ্য্য,ଗାଣିତିକ କାର୍ଯ୍ୟ
গাণিতিক একক,ଗାଣିତିକ ଏକକ
ব্যৱস্থা,ବ୍ୟବସ୍ଥା
এৰে,ଆରେ
কৃত্ৰিম উপগ্ৰহ,କୃତ୍ରିମ ଉପଗ୍ରହ |
কৃত্ৰিম চলক,କୃତ୍ରିମ ଭେରିଏବଲ୍ |
আৰোহণ কৰা,ଆରୋହଣ
আৰোহী,ଆରୋହଣ
মাত্ৰাৰ আৰোহী ক্ৰম,ତୀବ୍ରତାର କ୍ରମ
আৰোহী শৃংখলা,ଆରୋହଣ କ୍ରମ |
এছেম্বলাৰ ভাষা,ଏକତ୍ରକାରୀ ଭାଷା |
নিযুক্তিৰ সমস্যা,ଆସାଇନମେଣ୍ଟ ସମସ୍ୟା
সহযোগী আইন,ସହଯୋଗୀ ନିୟମ |
অপাৰেটৰৰ এছ&#39;চিয়েটিভ ল&#39;,ଅପରେଟର୍ମାନଙ୍କର ଆସୋସିଏଟିଭ୍ ନିୟମ |
এছ&#39;চিয়েটিভ অপাৰেচন,ଆସୋସିଏଟିଭ୍ ଅପରେସନ୍ |
সহযোগিতা,ସହଯୋଗୀତା |
ধৰি লোৱা গড়,ଅନୁମାନ କରାଯାଉଥିବା ଅର୍ଥ |
ধাৰণা কৰা সম্ভাৱনা বিতৰণ,ସମ୍ଭାବ୍ୟ ବଣ୍ଟନ ଅନୁମାନ କରାଯାଇଛି |
ধাৰণা,ଅନୁମାନ
জ্যোতিষ,ଜ୍ୟୋତିଷ ଶାସ୍ତ୍ର
মহাকাশ অভিযন্তা,ମହାକାଶଚାରୀ ଇଞ୍ଜିନିୟର
জ্যোতিৰ্বিজ্ঞানী,ଜ୍ୟୋତିର୍ବିଜ୍ଞାନୀ
জ্যোতিৰ্বিজ্ঞানৰ ঘড়ী,ଜ୍ୟୋତିର୍ବିଜ୍ଞାନ ଘଣ୍ଟା |
জ্যোতিৰ্বিজ্ঞান,ଜ୍ୟୋତିର୍ବିଜ୍ଞାନ
অসমতাপূৰ্ণ বক্ৰ,ଅସୀମିତ ବକ୍ର
বিষমতা,ଅସୀମତା |
asymptote,asymptote
এছিম্পটটিক,ଅସ୍ମିପଟୋଟିକ୍ |
asymptotically দক্ষ অনুমানক,ଅସାମାଜିକ ଭାବରେ ଦକ୍ଷ ଆକଳନକାରୀ |
asymptotically নিৰপেক্ষ অনুমানক,ଅସାମାଜିକ ଭାବରେ ନିରପେକ୍ଷ ଆକଳନକାରୀ |
asymptotic আচৰণ,ଅସ୍ମିତିକ ଆଚରଣ |
এছিম্পটটিক বিতৰণ ফলন,ଅସ୍ମିପଟୋଟିକ୍ ବଣ୍ଟନ କାର୍ଯ୍ୟ |
এছিম্পটটিক প্ৰসাৰণ,ଅସ୍ମିପଟୋଟିକ୍ ବିସ୍ତାର |
বায়ুমণ্ডলীয় চাপ,ବାୟୁମଣ୍ଡଳୀୟ ଚାପ |
যাদৃচ্ছিকভাৱে,ଅନିୟମିତତାରେ |
বৈশিষ্ট্য,ଗୁଣ
বৈশিষ্ট্যসমূহৰ নমুনা সংগ্ৰহ পদ্ধতি,ଗୁଣବତ୍ତା ନମୁନା ପ୍ରକ୍ରିୟା
বৰ্ধিত মেট্ৰিক্স,ବୃଦ୍ଧି ହୋଇଥିବା ମାଟ୍ରିକ୍ସ
স্ব-সম্বন্ধ সহগ,ଅଟୋକୋରେଲେସନ୍ କୋଏଫିସିଏଣ୍ଟ୍ |
স্বয়ংসম্বন্ধ কাৰ্য্য,ଅଟୋକୋରେଲେସନ୍ ଫଙ୍କସନ୍
অটোকোভেৰিয়েন্স,ଅଟୋକୋଭାରିଆନ୍ସ |
স্বয়ংক্ৰিয় কম্পিউটাৰ,ସ୍ୱୟଂଚାଳିତ କମ୍ପ୍ୟୁଟର |
অটোৰিগ্ৰেছন,ଆତ୍ମସମ୍ମାନ
সহায়ক সমীকৰণ,ସହାୟକ ସମୀକରଣ
গড় নমুনা সংখ্যা বক্ৰ (ASN বক্ৰ),ହାରାହାରି ନମୁନା ସଂଖ୍ୟା ବକ୍ର (ASN ବକ୍ର)
axiom,axiom
স্বতন্ত্ৰীয় পদ্ধতি,ସ୍ୱୀକୃତିପ୍ରାପ୍ତ ଉପାୟ |
সম্ভাৱনাৰ স্বতন্ত্ৰতা,ସମ୍ଭାବ୍ୟତାର axiom |
অক্ষ,ଅକ୍ଷ
abscissa ৰ অক্ষ,ଅବସିସା ର ଅକ୍ଷ |
পৃথিৱীৰ অক্ষ,ପୃଥିବୀର ଅକ୍ଷ
বিপ্লৱৰ অক্ষ,ବିପ୍ଳବର ଅକ୍ଷ
ঘূৰ্ণনৰ অক্ষ,ଘୂର୍ଣ୍ଣନ ଅକ୍ଷ
স্পিনৰ অক্ষ,ସ୍ପିନ୍ ର ଅକ୍ଷ |
বেক-বিকল্প,ବ୍ୟାକ୍-ପ୍ରତିସ୍ଥାପନ
পিছপৰা পাৰ্থক্য,ପଛୁଆ ପାର୍ଥକ୍ୟ |
বেকৱাৰ্ড-ইন্টাৰপলেচন সূত্ৰ,ପଛୁଆ-ଇଣ୍ଟରପୋଲେସନ୍ ସୂତ୍ର |
ভাৰসাম্যতা বজাই ৰখা,ସନ୍ତୁଳନ
সুষম ডিজাইন,ସନ୍ତୁଳିତ ଡିଜାଇନ୍ |
বেলেন্স শ্বীট,ତୂଳନା ପତ୍ର
বেলিষ্টিক মিছাইল,ବାଲିଷ୍ଟିକ୍ କ୍ଷେପଣାସ୍ତ୍ର |
বেলিষ্টিকছ,ବାଲିଷ୍ଟିକ୍
বাৰ,ଦଣ୍ଡିକା
ভেঁটি,ଆଧାର
ভিত্তি কোণ,ମୂଳ କୋଣ
লগাৰিদমৰ ভিত্তি,ଲୋଗାରିଦମର ଆଧାର |
প্ৰাথমিক,ମ basic ଳିକ
মূল সম্ভৱপৰ সমাধান,ମ basic ଳିକ ସମ୍ଭାବ୍ୟ ସମାଧାନ |
মূল সমাধান,ମ basic ଳିକ ସମାଧାନ |
মূল চলক,ମ basic ଳିକ ଭେରିଏବଲ୍ |
ভিত্তিত,ଆଧାର
ভিত্তি উপাদান,ଆଧାର ଉପାଦାନ |
ভিত্তি মেট্ৰিক্স,ଆଧାର ମ୍ୟାଟ୍ରିକ୍ସ |
এটা ভেক্টৰ স্থানৰ ভিত্তি,ଏକ ଭେକ୍ଟର ସ୍ପେସ୍ ର ଆଧାର |
উপস্থানৰ ভিত্তি,ସବ୍ ସ୍ପେସ୍ ର ଆଧାର |
বেইছিয়ান অনুমান,ବାଏସିଆନ୍ ଆକଳନ |
বেইছৰ নিয়ম,ବାଇସ୍ ନିୟମ |
বেইছৰ উপপাদ্য,ବାଇସ୍ ଥିଓରେମ୍ |
বাৰ্নৌলি বিতৰণ,ବର୍ନୁଲି ବଣ୍ଟନ |
বাৰ্নৌলি নম্বৰ,ବର୍ନୁଲି ସଂଖ୍ୟା |
বাৰ্নৌলি সম্ভাৱনা ফলন,ବର୍ନୁଲି ସମ୍ଭାବ୍ୟ କାର୍ଯ୍ୟ |
বাৰ্নৌলিৰ সমীকৰণ,ବର୍ନୁଲିଙ୍କ ସମୀକରଣ |
বেৰী ফাংচন,ବେରୀ କାର୍ଯ୍ୟ
বেষ্ট ফিট,ସର୍ବୋତ୍ତମ ଫିଟ୍ |
শ্ৰেষ্ঠ - ফিট লাইন,ସର୍ବୋତ୍ତମ - ଫିଟ୍ ଲାଇନ୍ |
উত্তম সমাধান,ସର୍ବୋତ୍ତମ ସମାଧାନ |
শ্ৰেষ্ঠ কৌশলসমূহ,ସର୍ବୋତ୍ତମ ରଣନୀତି |
বিটা বিতৰণ,ବିଟା ବଣ୍ଟନ |
পক্ষপাত,ପକ୍ଷପାତ
পক্ষপাতমূলক অনুমান,ପକ୍ଷପାତ ଅନୁମାନ |
বিহাৰমনিক সমীকৰণ,ବିହାରମୋନିକ୍ ସମୀକରଣ |
bijection,bijection
bijective মানচিত্ৰ,ବାୟଜେକ୍ଟିଭ୍ ମାନଚିତ୍ର
bijective মেপিং,ବାୟଜେକ୍ଟିଭ୍ ମ୍ୟାପିଙ୍ଗ୍ |
দ্বিৰৈখিক ৰূপ,ବିଲିନାର୍ ଫର୍ମ |
দ্বিৰৈখিক ফলন,ବିଲିନାର୍ ଫଙ୍କସନ୍
দ্বিৰৈখিক হাৰ্মিটিয়ান ৰূপ,ବିଲିନାର୍ ହର୍ମିଟିଆନ୍ ଫର୍ମ |
বাইনাৰী,ବାଇନାରୀ
বাইনাৰী ক&#39;ড,ବାଇନାରୀ କୋଡ୍ |
বাইনাৰী ক&#39;ড কৰা দশমিক,ବାଇନାରୀ କୋଡେଡ୍ ଦଶମିକ |
বাইনাৰী ক&#39;ডিং,ବାଇନାରୀ କୋଡିଂ |
বাইনাৰী কম্পিউটাৰ,ବାଇନାରୀ କମ୍ପ୍ୟୁଟର |
বাইনাৰী অংক,ବାଇନାରୀ ଅଙ୍କ
বাইনাৰী অপাৰেচন,ବାଇନାରୀ ଅପରେସନ୍ |
বাইনাৰী ব্যৱস্থা,ବାଇନାରୀ ସିଷ୍ଟମ୍ |
বাইনাৰী চলক,ବାଇନାରୀ ଭେରିଏବଲ୍ |
দ্বিপদ সহগ,ଦ୍ୱିପାକ୍ଷିକ ଗୁଣବତ୍ତା |
দ্বিপদ বিতৰণ,ଦ୍ୱିପାକ୍ଷିକ ବଣ୍ଟନ |
দ্বিপদ সমীকৰণ,ଦ୍ୱିପାକ୍ଷିକ ସମୀକରଣ |
দ্বিপদ সম্প্ৰসাৰণ,ଦ୍ୱିପାକ୍ଷିକ ବିସ୍ତାର |
দ্বিপদ অভিব্যক্তি,ଦ୍ୱିପାକ୍ଷିକ ଅଭିବ୍ୟକ୍ତି |
দ্বিপদ ৰেণ্ডম চলক,ଦ୍ୱିପାକ୍ଷିକ ରାଣ୍ଡମ୍ ଭେରିଏବଲ୍ |
দ্বিপদ উপপাদ্য,ଦ୍ୱିପାକ୍ଷିକ ତତ୍ତ୍। |
দ্বিখণ্ড,ବିଭାଜନ
দ্বিখণ্ডন পদ্ধতি,ବିଭାଜନ ପଦ୍ଧତି |
দ্বিখণ্ড,bisector
biserial,ଦ୍ୱିପାକ୍ଷିକ |
বিট,ବିଟ୍
দ্বিচলকীয় দ্বিপদ বিতৰণ,ଦ୍ୱିପାକ୍ଷିକ ଦ୍ୱିପାକ୍ଷିକ ବଣ୍ଟନ |
দ্বিচলকীয় সম্পৰ্ক সহগ,ବିଭାରିଏଟ୍ ସମ୍ପର୍କ କୋଏଫିସିଏଣ୍ଟ୍ |
