Hindi,Punjabi
आबेली समूह,ਅਬੇਲੀਅਨ ਸਮੂਹ
आबेली सामिसमूह,ਅਬੇਲੀਅਨ ਸੈਮੀਗਰੁੱਪ
भुज,abscissa
"निरपेक्ष, परम, अचर, परिशुद्‌ध",ਅਸੀਮ
निरपेक्ष अभिसरण,ਪੂਰਨ ਕਨਵਰਜੈਂਸ
निरपेक्ष त्रुटि,ਪੂਰਨ ਗਲਤੀ
परम उच्चिष्ठ,ਪੂਰਨ ਅਧਿਕਤਮ
परम निम्निष्ठ,ਪੂਰਨ ਘੱਟੋ-ਘੱਟ
निरपेक्ष मान,ਸਹੀ ਮੁੱਲ
निरपेक्ष वेग,ਪੂਰਨ ਗਤੀ
अमूर्त बीजगणित,ਸਾਰ ਅਲਜਬਰਾ
अमूर्त समूह सिद्‌धांत,ਐਬਸਟਰੈਕਟ ਗਰੁੱਪ ਥਿਊਰੀ
त्वरण,ਪ੍ਰਵੇਗ
गुरुत्वीय त्वरण,ਗੰਭੀਰਤਾ ਦੇ ਕਾਰਨ ਪ੍ਰਵੇਗ
स्वीकार्य वरण-समुच्चय,ਸਵੀਕਾਰਯੋਗ ਚੋਣ ਸੈੱਟ
स्वीकार्य गुणता स्तर,ਸਵੀਕਾਰਯੋਗ ਗੁਣਵੱਤਾ ਪੱਧਰ
स्वीकार्य परिसर,ਸਵੀਕਾਰਯੋਗ ਸੀਮਾ
मान्य विश्वसनीयता स्तर,ਸਵੀਕਾਰਯੋਗ ਭਰੋਸੇਯੋਗਤਾ ਦਾ ਪੱਧਰ
स्वीकरण-प्रतिचयन,ਸਵੀਕਾਰਯੋਗ ਨਮੂਨਾ
संचित त्रुटि,ਸੰਚਿਤ ਗਲਤੀ
यथार्थता,ਸ਼ੁੱਧਤਾ
लगा हुआ बल,ਐਕਟਿੰਗ ਫੋਰਸ
" क्रिया , कर्म",ਕਾਰਵਾਈ
क्रिया और प्रतिक्रिया,ਕਾਰਵਾਈ ਅਤੇ ਪ੍ਰਤੀਕਰਮ
बीमा विज्ञान,ਅਸਲ ਵਿਗਿਆਨ
न्यूनकोण त्रिभुज,ਤੀਬਰ ਕੋਣ ਵਾਲਾ ਤਿਕੋਣ
अचक्रीय,acyclic
"योग करना, जोड़ना",ਸ਼ਾਮਲ ਕਰੋ
योजक,ਜੋੜਨ ਵਾਲਾ
"योग, जोड़, संकलन (स.), योगात्मक (वि.)",ਇਸ ਤੋਂ ਇਲਾਵਾ
योग का सूत्र,ਜੋੜ ਫਾਰਮੂਲਾ
सम्मिश्र संख्याओं का योग,ਗੁੰਝਲਦਾਰ ਸੰਖਿਆਵਾਂ ਦਾ ਜੋੜ
फलनों का योग,ਫੰਕਸ਼ਨਾਂ ਦਾ ਜੋੜ
आव्यूहों का योग,ਮੈਟ੍ਰਿਕਸ ਦੇ ਜੋੜ
बहुपदों का योग,ਬਹੁਪਦ ਦਾ ਜੋੜ
प्रायिकताओं का योग,ਸੰਭਾਵਨਾਵਾਂ ਦਾ ਜੋੜ
सदिशों का योग,ਵੈਕਟਰ ਦਾ ਜੋੜ
"योग प्रमेय बेरीज सिद्‌धांत,",ਵਾਧੂ ਪ੍ਰਮੇਯ
योज्य समूह,additive ਗਰੁੱਪ
योज्य व्युत्क्रम,additive ਉਲਟ
"योज्यता, योगशीलता",additive ਸੰਪਤੀ
योज्यता,additivity
आसन्नता आव्यूह,ਆਸਪਾਸ ਮੈਟ੍ਰਿਕਸ
" संलग्न, निकटवर्ती , आसन्न",ਨੇੜੇ
आसन्न कोण,ਨੇੜੇ ਦੇ ਕੋਣ
आसन्न शीर्ष,ਨੇੜੇ ਦਾ ਸਿਰਾ
सहबद्‌ध करना,ਨਾਲ ਜੁੜੋ
"संलग्न संलग्नीत,",ਨਾਲ ਲੱਗਦੇ
सहखंडज सारणिक,ਸੰਜੋਗ ਨਿਰਧਾਰਕ
संलग्न अवकल समीकरण,ਸੰਜੋਗ ਵਿਭਿੰਨ ਸਮੀਕਰਨ
संलग्न समीकरण,ਸੰਜੋਗ ਸਮੀਕਰਨ
सहखंडज आव्यूह,ਸੰਜੋਗ ਮੈਟ੍ਰਿਕਸ
आव्यूह सहखंडज,ਮੈਟ੍ਰਿਕਸ ਦਾ ਜੋੜ
सहखंडज आव्यूह,ਨਿਰਣਾਇਕ ਮੈਟ੍ਰਿਕਸ
ग्राह्य निर्णय फलन,ਸਵੀਕਾਰਯੋਗ ਫੈਸਲੇ ਫੰਕਸ਼ਨ
ग्राह्य परिकल्पना,ਮੰਨਣਯੋਗ ਪਰਿਕਲਪਨਾ
वायुगतिक बल,ਐਰੋਡਾਇਨਾਮਿਕ ਫੋਰਸ
वायु गतिकी,ਐਰੋਡਾਇਨਾਮਿਕਸ
सजातीय ज्यामिति,affine ਜਿਓਮੈਟਰੀ
सजातीय प्रतिचित्रण,affine ਮੈਪਿੰਗ
सजातीय रूपांतरण,affine ਪਰਿਵਰਤਨ
समुच्चयी चर,ਵੇਰੀਏਬਲ ਇਕੱਠੇ ਕਰਨਾ
" बीजगणित, ऐलजेब्रा , बीजावली , बीजक्रिया",ਅਲਜਬਰਾ
"बीजतः संवृत, बीजतः",ਬੀਜਗਣਿਤ ਬੰਦ
