Kannada,Assamese
ಅಬೆಲಿಯನ್ ಗುಂಪು,এবেলিয়ান গোট
ಅಬೆಲಿಯನ್ ಸೆಮಿಗ್ರೂಪ್,abelian অৰ্ধগোট
ಅಬ್ಸಿಸ್ಸಾ,abscissa
ಸಂಪೂರ್ಣ,নিৰপেক্ষ
ಸಂಪೂರ್ಣ ಒಮ್ಮುಖ,নিৰপেক্ষ অভিসৰণ
ಸಂಪೂರ್ಣ ದೋಷ,নিৰপেক্ষ ভুল
ಸಂಪೂರ್ಣ ಗರಿಷ್ಠ,নিৰপেক্ষ সৰ্বোচ্চ
ಸಂಪೂರ್ಣ ಕನಿಷ್ಠ,নিৰপেক্ষ নূন্যতম
ಸಂಪೂರ್ಣ ಮೌಲ್ಯ,নিৰপেক্ষ মূল্য
ಸಂಪೂರ್ಣ ವೇಗ,নিৰপেক্ষ বেগ
ಅಮೂರ್ತ ಬೀಜಗಣಿತ,বিমূৰ্ত বীজগণিত
ಅಮೂರ್ತ ಗುಂಪು ಸಿದ್ಧಾಂತ,বিমূৰ্ত গোট তত্ত্ব
ವೇಗವರ್ಧನೆ,বেগ বৃদ্ধি
ಗುರುತ್ವಾಕರ್ಷಣೆಯಿಂದಾಗಿ ವೇಗವರ್ಧನೆ,মাধ্যাকৰ্ষণৰ ফলত হোৱা ত্বৰণ
ಸ್ವೀಕಾರಾರ್ಹ ಆಯ್ಕೆ ಸೆಟ್,গ্ৰহণযোগ্য পছন্দৰ ছেট
ಸ್ವೀಕಾರಾರ್ಹ ಗುಣಮಟ್ಟದ ಮಟ್ಟ,গ্ৰহণযোগ্য গুণগত মানৰ স্তৰ
ಸ್ವೀಕಾರಾರ್ಹ ಶ್ರೇಣಿ,গ্ৰহণযোগ্য পৰিসৰ
ಸ್ವೀಕಾರಾರ್ಹ ವಿಶ್ವಾಸಾರ್ಹತೆಯ ಮಟ್ಟ,গ্ৰহণযোগ্য নিৰ্ভৰযোগ্যতা স্তৰ
ಸ್ವೀಕಾರಾರ್ಹ ಮಾದರಿ,গ্ৰহণযোগ্য নমুনা সংগ্ৰহ কৰা
ಸಂಚಿತ ದೋಷ,সঞ্চিত ভুল
ನಿಖರತೆ,শুদ্ধতা
ಕಾರ್ಯನಿರ್ವಹಿಸುವ ಶಕ್ತಿ,ক্ৰিয়াশীল শক্তি
ಕ್ರಮ,কাৰ্য কৰা
ಕ್ರಿಯೆ ಮತ್ತು ಪ್ರತಿಕ್ರಿಯೆ,ক্ৰিয়া আৰু প্ৰতিক্ৰিয়া
ವಾಸ್ತವಿಕ ವಿಜ್ಞಾನ,কৃষি বিজ্ঞান
ತೀವ್ರ ಕೋನೀಯ ತ್ರಿಕೋನ,তীব্ৰ কোণীয়া ত্ৰিভুজ
ಅಸೈಕ್ಲಿಕ್,অচক্ৰীয়
ಸೇರಿಸಿ,যোগ কৰা
ಸೇರಿಸುವವನು,adder
ಜೊತೆಗೆ,যোগ
ಸೇರ್ಪಡೆ ಸೂತ್ರ,যোগ সূত্ৰ
ಸಂಕೀರ್ಣ ಸಂಖ್ಯೆಗಳ ಸೇರ್ಪಡೆ,জটিল সংখ্যাৰ সংযোজন
ಕಾರ್ಯಗಳ ಸೇರ್ಪಡೆ,ফলনসমূহৰ সংযোজন
ಮ್ಯಾಟ್ರಿಕ್ಸ್ ಸೇರ್ಪಡೆ,মেট্ৰিক্সৰ সংযোজন
ಬಹುಪದಗಳ ಸೇರ್ಪಡೆ,বহুপদ যোগ কৰা
ಸಂಭವನೀಯತೆಗಳ ಸೇರ್ಪಡೆ,সম্ভাৱনাৰ সংযোজন
ವಾಹಕಗಳ ಸೇರ್ಪಡೆ,ভেক্টৰৰ সংযোজন
ಸೇರ್ಪಡೆ ಪ್ರಮೇಯ,যোগ উপপাদ্য
ಸಂಯೋಜಕ ಗುಂಪು,যোগকৰণ গোট
ಸಂಯೋಜಕ ವಿಲೋಮ,যোগকৰণৰ বিপৰীত
ಸಂಯೋಜಕ ಆಸ್ತಿ,যোগসূত্ৰৰ বৈশিষ্ট্য
ಸಂಕಲನ,যোগকৰণ
ಪಕ್ಕದ ಮ್ಯಾಟ್ರಿಕ್ಸ್,সংলগ্নতা মেট্ৰিক্স
ಪಕ್ಕದ,পাৰ্শ্বৱৰ্তী
ಪಕ್ಕದ ಕೋನಗಳು,কাষৰীয়া কোণ
ಪಕ್ಕದ ಶೃಂಗ,কাষৰীয়া শিখৰ
ಹೊಂದು,adjoin
ಪಕ್ಕದ,সংলগ্ন
ಸಂಯೋಜಿತ ನಿರ್ಣಾಯಕ,সংযুক্ত নিৰ্ণায়ক
ಸಂಯೋಜಿತ ಭೇದಾತ್ಮಕ ಸಮೀಕರಣ,সংযুক্ত অৱভেদ্য সমীকৰণ
ಸಂಯೋಜಿತ ಸಮೀಕರಣ,সংযুক্ত সমীকৰণ
ಸಂಯೋಜಿತ ಮ್ಯಾಟ್ರಿಕ್ಸ್,সংলগ্ন মেট্ৰিক্স
ಮ್ಯಾಟ್ರಿಕ್ಸ್ನ ಸಂಯೋಜಿತ,মেট্ৰিক্সৰ সংযুক্ত
ಅಡ್ಜುಗೇಟ್ ಮ್ಯಾಟ್ರಿಕ್ಸ್,এডজুগেট মেট্ৰিক্স
ಸ್ವೀಕಾರಾರ್ಹ ನಿರ್ಧಾರ ಕಾರ್ಯ,গ্ৰহণযোগ্য সিদ্ধান্ত কাৰ্য্য
ಸ್ವೀಕಾರಾರ್ಹ ಕಲ್ಪನೆ,গ্ৰহণযোগ্য অনুমান
ವಾಯುಬಲವೈಜ್ಞಾನಿಕ ಶಕ್ತಿ,বায়ুগতিবিদ্যা বল
ವಾಯುಬಲವಿಜ್ಞಾನ,বায়ুগতিবিদ্যা
ಅಫೈನ್ ಜ್ಯಾಮಿತಿ,affine জ্যামিতি
ಅಫೈನ್ ಮ್ಯಾಪಿಂಗ್,affine মেপিং
ಅಫೈನ್ ರೂಪಾಂತರ,affine ৰূপান্তৰ
ಒಟ್ಟುಗೂಡಿಸುವ ಅಸ್ಥಿರ,চলকসমূহ একত্ৰিত কৰা
ಬೀಜಗಣಿತ,বীজগণিত
ಬೀಜಗಣಿತವಾಗಿ ಮುಚ್ಚಲಾಗಿದೆ,বীজগণিতীয়ভাৱে বন্ধ কৰা হৈছে
ಬೀಜಗಣಿತದ ಸಮೀಕರಣ,বীজগণিতীয় সমীকৰণ
