Odiya,Bengali
ଆବାକସ୍ |,অ্যাবাকাস
ଅସ୍ୱାଭାବିକ ସମାପ୍ତି |,অস্বাভাবিক সমাপ্তি
ପରିତ୍ୟାଗ,গর্ভপাত
ସଂପୂର୍ଣ୍ଣ,পরম
ସଂପୂର୍ଣ୍ଣ ଠିକଣା,পরম ঠিকানা
ସଂପୂର୍ଣ୍ଣ ଠିକଣା,পরম ঠিকানা
ସଂପୂର୍ଣ୍ଣ ସମାବେଶକାରୀ |,পরম সংযোজনকারী
ସଂପୂର୍ଣ୍ଣ କୋଡ୍,পরম কোড
ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ |,পরম আদেশ
ସଂପୂର୍ଣ୍ଣ ତଥ୍ୟ |,পরম তথ্য
ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ,পরম নির্দেশ
ସଂପୂର୍ଣ୍ଣ ମୋଡ୍ |,পরম মোড
ସଂପୂର୍ଣ୍ଣ ପଥ,পরম পথ
ସଂପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ |,পরম প্রোগ্রামিং
ବିସ୍ତୃତ ଶ୍ରେଣୀ |,বিমূর্ত ক্লাস
ବିସ୍ତୃତ ତଥ୍ୟ ପ୍ରକାର |,বিমূর্ত তথ্য প্রকার
ବିସ୍ତୃତ ମେସିନ୍ |,বিমূর্ত মেশিন
ବିସ୍ତୃତ ପ୍ରତୀକ |,বিমূর্ত প্রতীক
ବିସ୍ତୃତ ବାକ୍ୟବିନ୍ୟାସ |,বিমূর্ত বাক্য গঠন
ଗ୍ରହଣ ପରୀକ୍ଷା,স্বীকৃতি যাচাইকরণ
ପ୍ରାମାଣିକିକରଣକୁ ପ୍ରବେଶ କରନ୍ତୁ |,অ্যাক্সেস প্রমাণীকরণ
ପ୍ରବେଶ କୋଡ୍,প্রবেশাধিকার কোড
ପ୍ରବେଶ ନିୟନ୍ତ୍ରଣ,প্রবেশাধিকার নিয়ন্ত্রণ
ଆକ୍ସେସ୍ ସ୍କାନ୍ |,অ্যাক্সেস স্ক্যান
ଆନୁଷଙ୍ଗିକ,আনুষঙ্গিক
ଖାତା,অ্যাকাউন্ট
ଖାତା ID,অ্যাকাউন্ট আইডি
ଜମାକାରୀ,সঞ্চয়কারী
ସଠିକତା,সঠিকতা
acess,অ্যাক্সেস
ଏସିସ୍ ନିୟନ୍ତ୍ରଣ ବାଇଟ୍ |,অ্যাক্সেস নিয়ন্ত্রণ বাইট
acess index,অ্যাক্সেস সূচক
acess କି,অ্যাক্সেস কী
acess matrix,অ্যাক্সেস ম্যাট্রিক্স
acess ମୋଡ୍ |,অ্যাক্সেস মোড
acess ଅଧିକାର,প্রবেশাধিকার
acess ସୁରକ୍ଷା |,অ্যাক্সেস নিরাপত্তা
acess ସର୍ଭର |,অ্যাক্সেস সার্ভার
ଆକସେସ୍ ସମୟ |,অ্যাক্সেস সময়
ସ୍ୱୀକୃତି,স্বীকৃতি
ଆକାଶବାଣୀ,ধ্বনিবিদ্যা
ସଂକ୍ଷିପ୍ତ ଶବ୍ଦ,সংক্ষিপ্ত রূপ
କାର୍ଯ୍ୟ ବାର୍ତ୍ତା |,কর্ম বার্তা
ସକ୍ରିୟ,সক্রিয়করণ
ସକ୍ରିୟ ସର୍ଭର ପୃଷ୍ଠା (ASP),সক্রিয় সার্ভার পৃষ্ঠা (এএসপি)
ସକ୍ରିୟ ସଂସ୍କରଣ |,সক্রিয় সংস্করণ
acyclic,অ্যাসাইক্লিক
acyclic ଗ୍ରାଫ୍ |,অ্যাসাইক্লিক গ্রাফ
ଅଦା ଭାଷା |,অ্যাডা ভাষা
ଆଡାପ୍ଟର,অ্যাডাপ্টার
ଯୋଡନ୍ତୁ |,যোগ করুন
ଫାଇଲ୍ ଯୋଡନ୍ତୁ |,ফাইল যুক্ত কর
ଅପରେସନ୍ ଯୋଡନ୍ତୁ |,অপারেশন যোগ করুন
ଆଡର୍,যোগকারী
ଠିକଣା,ঠিকানা
ଠିକଣା ବସ୍,ঠিকানা বাস
ଠିକଣା ଫାଇଲ୍ |,ঠিকানা ফাইল
ଠିକଣା ଫର୍ମାଟ୍,ঠিকানা বিন্যাস
ଠିକଣା ଜେନେରେଟର,ঠিকানা জেনারেটর
ଠିକଣା ରେଖା,ঠিকানা লাইন
ଠିକଣା ମ୍ୟାପିଂ,ঠিকানা ম্যাপিং
ଠିକଣା ସୂଚକ,ঠিকানা নির্দেশক
ଠିକଣା ରେଜିଷ୍ଟର,ঠিকানা রেজিস্টার
ଠିକଣା ରେଜୋଲୁସନ,ঠিকানা রেজোলিউশন
ଠିକଣା ଅନୁବାଦ,ঠিকানা অনুবাদ
ଠିକଣା ସ୍ମୃତି,ঠিকানাযুক্ত স্মৃতি
ଠିକଣା,সম্বোধন
ପର୍ଯ୍ୟାପ୍ତ ମାନଦଣ୍ଡ,পর্যাপ্ততার মানদণ্ড
ଯୋଗ,সংলগ্ন
ପ୍ରଶାସନ,প্রশাসন
ପ୍ରଶାସକ,প্রশাসক
ଆଡୋବ ଆକ୍ରୋବାଟ୍ |,অ্যাডোবি অ্যাক্রোব্যাট
ଆଡୋବ ଫଟୋଶପ୍ |,অ্যাডোবি ফটোশপ
ଆଡଭାନ୍ସ ବ୍ୟବସାୟ ଆବେଦନ ପ୍ରୋଗ୍ରାମିଂ (ABAP),অ্যাডভান্স বিজনেস অ্যাপ্লিকেশন প্রোগ্রামিং (ABAP)
ଉନ୍ନତ ତଥ୍ୟ,উন্নত তথ্য
ଉନ୍ନତ ସୂଚନା ପ୍ରଣାଳୀ |,উন্নত তথ্য সিস্টেম
ଉନ୍ନତ ଜ୍ଞାନକ technology ଶଳ (AT),উন্নত প্রযুক্তি (AT)
ଏଜେଣ୍ଟ,প্রতিনিধি
ଏକୀକରଣ,সমষ্টি
ବାୟୁବାହୀ କମ୍ପ୍ୟୁଟର ସିଷ୍ଟମ୍ |,বায়ুবাহিত কম্পিউটার সিস্টেম
aldus ପୃଷ୍ଠା ନିର୍ମାତା |,aldus পেজ মেকার
ଆଲର୍ଟ ବାକ୍ସ,সতর্কতা বাক্স
ଆଲଗୋଲ୍,algol
ଆଲଗୋରିଦମ |,অ্যালগরিদম
ଆଲଗୋରିଦମ ବିଶ୍ଳେଷଣ |,অ্যালগরিদম বিশ্লেষণ
ଆଲଗୋରିଦମ ଦକ୍ଷତା |,অ্যালগরিদম দক্ষতা
ଛଦ୍ମନାମ,উপনাম
ଶ୍ରେଣୀବଦ୍ଧତା |,প্রান্তিককরণ
ଆବଣ୍ଟନ,বরাদ্দ
ବର୍ଣ୍ଣାନୁକ୍ରମିକ,বর্ণানুক্রমিক
ବର୍ଣ୍ଣମାଳା,আলফানিউমেরিক
ବର୍ଣ୍ଣମାଳା କି ବୋର୍ଡ |,আলফানিউমেরিক কী বোর্ড
ଆଲଫା-ପରୀକ୍ଷା,আলফা-পরীক্ষা
ଆଲଫା-ସଂସ୍କରଣ |,আলফা-সংস্করণ
alt କି,alt কী
altavista,আলতাভিস্তা
ଅସ୍ପଷ୍ଟତା |,অস্পষ্টতা
ଅସ୍ପଷ୍ଟ ବ୍ୟାକରଣ,অস্পষ্ট ব্যাকরণ
ଆମେରିକୀୟ ଜାତୀୟ ମାନକ ପ୍ରତିଷ୍ଠାନ (ANSI),আমেরিকান ন্যাশনাল স্ট্যান্ডার্ড ইনস্টিটিউট (ANSI)
ସୂଚନା ଆଦାନ ପ୍ରଦାନ ପାଇଁ ଆମେରିକୀୟ ଷ୍ଟାଣ୍ଡାର୍ଡ କୋଡ୍ (ASCII),আমেরিকান স্ট্যান্ডার্ড কোড ফর ইনফরমেশন ইন্টারচেঞ্জ (ASCII)
analog,এনালগ
ଆନାଗଲ୍ କମ୍ପ୍ୟୁଟର |,এনালগ কম্পিউটার
analog ଉପକରଣ,এনালগ ডিভাইস
ଆନାଗଲ୍ ମୋଡେମ୍ |,এনালগ মডেম
ଡିଜିଟାଲ୍ କନଭର୍ଟର (ADC),এনালগ থেকে ডিজিটাল কনভার্টার (ADC)
ଏବଂ,এবং
ଏବଂ ସର୍କିଟ |,এবং সার্কিট
ଏବଂ ଫାଟକ |,এবং গেট
ଏବଂ ଅପରେସନ୍ ନୁହେଁ (ବହିଷ୍କାର),এবং অপারেশন নয় (বর্জন)
ଆନିମେସନ୍,অ্যানিমেশন
ଟିପ୍ପଣୀ,টীকা
ଅନୋମାଲିୟା |,ব্যতিক্রম
ପ୍ରାଚୀନ,পূর্ববর্তী
ଆଶାକର୍ମୀ ପେଜିଂ |,প্রত্যাশিত পেজিং
ଆଣ୍ଟି-ସିମେଟ୍ରିକ୍ |,বিরোধী প্রতিসম
ଆଣ୍ଟିଭାଇରସ୍ ପ୍ରୋଗ୍ରାମ୍ |,অ্যান্টিভাইরাস প্রোগ্রাম
ଆପଲେଟ୍,অ্যাপলেট
ପ୍ରୟୋଗ ବିକାଶକାରୀ,অ্যাপ্লিকেশন ডেভেলপার
ପ୍ରୟୋଗ ପ୍ରୋଗ୍ରାମିଂ,অ্যাপ্লিকেশন প্রোগ্রামিং
ପ୍ରୟୋଗ ପ୍ରୋଗ୍ରାମିଂ ଇଣ୍ଟରଫେସ୍ (API),অ্যাপ্লিকেশন প্রোগ্রামিং ইন্টারফেস (API)
ପ୍ରୟୋଗ ସଫ୍ଟୱେର୍,অ্যাপ্লিকেশন সফ্টওয়্যার
