Punjabi,English
ਅਧੂਰਾ ਹਿੱਸਾ ਅਧੂਰਾ ਛੱਡ ਦਿੱਤਾ,Aborted organ
ਅਧੂਰਾ,Aborted seed
ਗਰਭਪਾਤ,Abortion
ਸੰਪੂਰਨ ਬੂਟੀ,Absolute weed
ਸਮਾਈ,Absorbed cation
ਸਮਾਈ,Absorption
ਅਬੀਸਨੀਅਨ ਰਾਈ,Abyssinian mustard
ਅਚੰਭੇ,Acaricide
ਰਾਜਕੁਮਾਰੀ,Accentric
ਲਹਿਜ਼ਾ (ਸੈੱਲ),Accentuate (cell)
ਸਹਿਣਸ਼ੀਲਤਾ ਸਵੀਕਾਰ ਕੀਤੀ,Accepted tolerance
ਸਹਾਇਕ,Accessory
ਅਨੁਕੂਲਤਾ,Acclimatization
ਇਕੱਠਾ,Accumulation
ਸ਼ੁੱਧਤਾ,Accuracy
ਏਸਰਵੂਲਸ,Acervulus
ਐਸੀਟਿਫਿਕੇਸ਼ਨ,Acetification
ਐਸਿਡਿਫਿਕੇਸ਼ਨ,Acidification
ਐਸਿਡਮੀਟਰ,Acidimeter
ਐਸਿਡਿਟੀ,Acidity
ਐਸਿਡੋਫਿਲਿਕ,Acidophilic
ਤੇਜ਼ਾਬ ਵਾਲੀ ਰਾਜ਼ ਫਾਸਫੇਟ,Acidulated rock phosphate
ਐਸਿਡੁਰਿਕ,Aciduric
ਐਕੁਇਫਰ,Aquifer
ਗ੍ਰਹਿਣ,Acquisition
ਏਕੜ,Acre
ਰਕਬੇ,Acreage
ਐਕਰੋਸੀਐਸਟ੍ਰਿਕ ਕ੍ਰੋਮੋਸੋਮ,Acrocentric chromosome
ਐਕਰੋਪੇਟਲ,Acropetal
ਐਸ਼੍ਰੋਸੋਮ,Acrosome
ਐਕਟਿਨੋਮਾਈਸਾਈਟਸ,Actinomycetes
ਐਕਟਿਵ ਰੂਟ ਜ਼ੋਨ,Active root zone
ਗੰਭੀਰ,Acute
ਅਨੁਕੂਲਤਾ,Adaptability
ਅਨੁਕੂਲਤਾ,Adaptation
ਚਿਪਕਿਆ,Adhesion
ADPIPOSE,Adipose
ਵਿਵਸਥ ਸਮੀਕਰਨ,Adjustment equation
ਅਡੋਬ ਮਿੱਟੀ,Adobe soil
ਮਨਜ਼ੂਰ,Adulterant
ਸਾਹਸੀ,Adventitious
ਏਸੀਡਿਓਸਪੋਰ,Aecidiospore
ਏਓਲੀਅਨ ਪ੍ਰਕਿਰਿਆ,Aeolian process
ਏਓਲੀਅਨ,Aeolian
Aeate,Aerate
ਏਰੀਅਲ,Aerial
ਐਰੋਮੀਟਰ,Aerometer
ਐਰੋਸੋਲ,Aerosol
ਖਰਾਸ਼,Aestivation
ਏਟੀਓਲੋਜੀ (ਐਟਾਇਜੀੋਲੋਜੀ),Aetiology (etiology)
ਕਥਾ,Afforestation
ਅੰਦੋਲਨ,Agitation
ਆਕਮਾਰਕ,Agmark
ਅਗਰਾਰੀਅਨ,Agrarian
ਖੇਤੀਬਾੜੀ ਕਲੀਨਿਕ,Agricultural clinic
ਖੇਤੀਬਾੜੀ ਕਿਰਤ,Agricultural labour
ਖੇਤੀਬਾੜੀ ਮਾਰਕੀਟਿੰਗ,Agricultural marketing
ਖੇਤੀਬਾੜੀ ਤਕਨਾਲੋਜੀ,Agricultural technology
ਖੇਤੀ ਬਾੜੀ,Agriculture
ਐਗਰੀਸਿਲਵੀਕਲਚਰ,Agrisilviculture
ਖੇਰਤ,Agrobiodiversity
ਖੇਤੀਬਾਜੀਕਲ ਨੁਕਸ,Agrobiological defects
ਅਗਾਹੀਵੋਲੋਜੀ,Agrobiology
ਐਗ੍ਰੋਕਲਮੈਟਿਕ ਵਿਭਿੰਨਤਾ,Agroclimatic diversity
ਅਗਰੋਕਲਮੈਟਿਕ ਜ਼ੋਨਿੰਗ,Agroclimatic zoning
ਐਗਰੋਫੋਰੈਸਟਰੀ,Agroforestry
ਖੇਤੀਬਾਜੀ,Agrology
ਖੇਤੀਬਾੜੀ,Agronomy
ਐਗ੍ਰੋਪਾਸਟਰਲ,Agropastoral
ਸ਼ਿਕਾਰ,Agroprocessing
ਐਗਰੋਸਟੋਲੋਜੀ,Agrostology
ਐਗਰੋਟਾਈਪ,Agrotype
ਏਅਰ ਪੌਦਾ,Air plant
ਅਕੀਓਚੀ ਮਿੱਟੀ,Akiochi soil
ਅਲਮੀਨੀਜ਼ਮ,Albinism
ਐਲਫਿਸੋਲਸ,Alfisols
ਐਲਗੀ,Algae
ਐਲਗਲ ਰੋਗ,Algal disease
ਅਲਕਾਲੀ ਪਾਣੀ,Alkali water
ਐਲਕਲੀਨ,Alkaline
ਐਲੀਲੇ,Allele
ਐਲਲੋਕਲਿਕਸ,Allelochemicals
ਅਲੇਲੋਮੋਰਫ,Allelomorph
ਅਲੇਲੋਪੈਥੀ,Allelopathy
ਐਲੀ ਫਸਲ,Alley cropping
ਅਲੋਕਰੇਪੀ,Allocarpy
ਆਲੋਗਮ,Allogamy
ਐਲੋਮੈਟਰੀ,Allometry
ਐਲੋਪੋਲਾਈਵਲਾਈਡ,Allopolyploid
ਐਲੋਸਮੈਨੈਪਸਿਸ (ਐਲੋਸਿਨੈਂਡਸਿਸ),Allosynapsis (allosyndesis)
ਵਿਕਲਪਿਕ ਬੇਅਰਿੰਗ,Alternate bearing
ਵਿਕਲਪੀ ਜ਼ਮੀਨ ਦੀ ਵਰਤੋਂ,Alternate land use
ਅੰਬੀਨਟ,Ambient
ਅਮਜੀਗਤ,Ameliorant
ਅਮਿਤੋਸਿਸ,Amitosis
ਅਮਿਨਾਜਾਈਜ਼,Amminization
ਅਨੁਮੋਧ,Ammonification
ਅਮੋਨੀਫਾਇਰ,Ammonifier
ਅਮੋਰਫ,Amorph
ਐਮਫੀਮਿਕਸਿਸ,Amphimixis
ਐਮਫੋਟੇਰਿਕ,Amphoteric
ਐਨਾਬੋਲਿਜ਼ਮ,Anabolism
ਅਨੀਰੋਬ,Anaerobe
ਅਨੀਉਟਲੋਇਡ,Aneuploid
ਕੋਣ ਲਾਉਣਾ,Angle planting
ਪਸ਼ੂ ਪਾਲਣ,Animal husbandry
ਪਸ਼ੂਆਂ ਤੋਂ ਇਨਕਾਰ ਕਰੋ,Animal refuse
Energy ਰਜਾ ਐਨੀਮੇਟ ਕਰੋ,Animate energy
ਅਨੀਸੋਪਲੋਇਡ,Anisoploid
ਸਾਲਾਨਾ ਪੌਦਾ,Annual plant
ਸਾਲਾਨਾ,Annual
ਐਥੇਸਮਿਸ,Anthesis
ਐਂਥ੍ਰੈਕਸ,Anthrax
ਐਂਥ੍ਰੋਪੋਜਾਈਜਿਕ ਫੈਕਟਰ,Anthropogenic factor
ਐਂਟੀਬਾਇਸਿਸ,Antibiosis
ਐਂਟੀਬਾਇਓਟਿਕ,Antibiotic
ਐਂਟੀਡੋਟਾ,Antidote
