English,Tamil
Abbey of Westminster,வெஸ்ட்மின்ஸ்டர் அபே
Abditory,துறவு
Abolition of slavery,அடிமைத்தனத்தை ஒழித்தல்
Aboriginal,பழங்குடியினர்
Abraham Era,ஆபிரகாம் சகாப்தம்
Absentee landlords,இல்லாத நில உரிமையாளர்கள்
Academy,கலைக்கூடம்
Accra conference,அக்ரா மாநாடு
Accruals,திரட்டல்கள்
Acculturation,வளர்ப்பு
Aceldama,அசெல்டாமா
Achaean (=Achian),அச்சேயன் (=ஆச்சியன்)
Achaean League (=Achian League),அச்சேயன் லீக் (=ஆச்சியன் லீக்)
Acropolis,அக்ரோபோலிஸ்
Acta Diurna,ஆக்டா டைர்னா
Acta Senatus,ஆக்டா செனடஸ்
Acte Additionel,Acte Additionel
Active record (=current record),செயலில் உள்ள பதிவு (=தற்போதைய பதிவு)
Act of attainder,அடையும் செயல்
Act of Indemnity and oblivion,இழப்பீடு மற்றும் மறதியின் செயல்
Act of Settlement,தீர்வு சட்டம்
Ad contractus seal,விளம்பர ஒப்பந்த முத்திரை
Adullamites,அதுலமைட்டுகள்
Adversary,எதிரி
Adversary,எதிரி
Aeon,ஏயோன்
Aerarium,ஏரேரியம்
Aerial warfare,வான்வழிப் போர்
Aetolian League,ஏட்டோலியன் லீக்
Age,வயது
Ageing (=aging),முதுமை (=வயதான)
Ageing process,வயதான செயல்முறை
Agelai,அகெலாய்
Age of chivalry,வீரத்தின் வயது
Age of Englightment,அறிவாற்றல் வயது
Age of Pericles,பெரிக்கிள்ஸ் வயது
Age of reason,பகுத்தறிவு வயது
Agrarianism,விவசாயம்
Agrarian movement,விவசாய இயக்கம்
Albion,அல்பியன்
Album,ஆல்பம்
Alderman,ஆல்டர்மேன்
Allusive arms,கவர்ச்சியான ஆயுதங்கள்
Amity,அமிட்டி
Amphictyonic Council,ஆம்ஃபிக்டியோனிக் கவுன்சில்
Amphictyonic League,ஆம்ஃபிக்டியோனிக் லீக்
Amphitheatre,ஆம்பிதியேட்டர்
Amri Nal group (of pottery),அம்ரி நல் குழு (மட்பாண்டங்கள்)
Anachronism,அனாக்ரோனிசம்
Anachronistic,காலமற்ற
Ancestor,மூதாதையர்
Ancestor Worship,முன்னோர் வழிபாடு
Ancestry,பரம்பரை
Ancestry,பரம்பரை
Ancestry,பரம்பரை
Ancestry,பரம்பரை
Ancien regime,பண்டைய ஆட்சி
Ancient,பண்டைய
Ancient ballad,பழங்கால பாலாட்
Ancient belief,பண்டைய நம்பிக்கை
Ancient custom,பண்டைய வழக்கம்
Ancient history,பண்டைய வரலாறு
Ancient monuments,பழங்கால நினைவுச்சின்னங்கள்
Anecdote,சிறுகதை
Angelot,ஏஞ்சலோட்
Angelus,ஏஞ்சலஸ்
Angevin (=anjevin),ஆஞ்செவின் (=அஞ்செவின்)
Angles,கோணங்கள்
Anglican,ஆங்கிலிகன்
Anglican Communion,ஆங்கிலிகன் ஒற்றுமை
Anglicanism,ஆங்கிலிக்கனிசம்
Anglo-phobe,ஆங்கிலோ-போப்
Anglo-phobia,ஆங்கிலோ-ஃபோபியா
Anglo-Saxon,ஆங்கிலோ-சாக்சன்
Anglo-Saxonism,ஆங்கிலோ-சாக்சோனிசம்
Annalist,அன்னாலிஸ்ட்
Annals,அன்னல்
Annexation,இணைப்பு
Ante-bellum,ஆன்டி-பெல்லம்
Ante date,முன் தேதி
Anti-clericalism,மதகுருத்துவத்திற்கு எதிரானது
Anti-clerical legislation,மதகுருவுக்கு எதிரான சட்டம்
Antiquity,பழமை
Anti-rent,எதிர்ப்பு வாடகை
Anti-rent,எதிர்ப்பு வாடகை
Anti Semitism,யூத எதிர்ப்பு
Anzac,அன்சாக்
Apella,அப்பெல்லா
Aralu,அரலு
Arch bishop,பேராயர்
Arch duchy,ஆர்ச் டச்சி
Arch duke,ஆர்ச் டியூக்
Archief (=archival collection),காப்பகம் (=காப்பக சேகரிப்பு)
Archiepiscopate,ஆர்க்கிபிஸ்கோபேட்
Aristocracy,பிரபுத்துவம்
Aristocrat,பிரபு
Aristocratic snobbery,பிரபுத்துவ ஸ்னோபரி
Aristotelian,அரிஸ்டாட்டிலியன்
Armada,அர்மடா
Armada (=The Spanish Armada),அர்மடா (=ஸ்பானிய அர்மடா)
Armorist (=armourist),கவசக்காரர் (=கவசக்காரர்)
Armour (=armor),கவசம் (=கவசம்)
Armourist,ஆயுதக்கடைக்காரர்
Aryan,ஆர்யன்
Aryan,ஆர்யன்
Askari,அஸ்காரி
Assignat,ஒதுக்கு
Assize,உதவு
Assize,உதவு
Assize,உதவு
Assize of Arms Act,ஆயுதச் சட்டம்
Assize of Darrein Presentment,அசிஸ் ஆஃப் டேரின் பிரசன்ட்மென்ட்
Assize of Mort 'D' Ancestor,மோர்ட் &#39;டி&#39; மூதாதையரின் அசிஸ்
Assize of Novel Disseisin,நாவல் Disseisin Assize
Atrocity,கொடுமை
Attack,தாக்குதல்
Aulic Council,ஆலிக் கவுன்சில்
Axe of the Geddess (=the Geddess axe),கோடரியின் கோடாரி (=கெடெஸ் கோடாரி)
Axis (=The Rome-Berlin-Tokyo Axis),அச்சு (=ரோம்-பெர்லின்-டோக்கியோ அச்சு)
Babylon,பாபிலோன்
Babylonian captivity (=Babylonish captivity),பாபிலோனிய சிறைப்பிடிப்பு (=பாபிலோனிய சிறைப்பிடிப்பு)
Bacchanal devotee,பச்சனல் பக்தர்
Bacchanalia,பச்சனாலியா
Bachelor,இளங்கலை
Baghdad Pact,பாக்தாத் ஒப்பந்தம்
Balkan League,பால்கன் லீக்
Balkan Pact,பால்கன் ஒப்பந்தம்
Balkan Wars,பால்கன் போர்கள்
Baltic Pact,பால்டிக் ஒப்பந்தம்
Bandit,கொள்ளைக்காரன்
Bandung Conference,பாண்டுங் மாநாடு
Banishment,நாடுகடத்தல்
Banner,பதாகை
Barbarian,காட்டுமிராண்டித்தனம்
Barbican,பார்பிகன்
Bardoli satyagraha,பர்தோலி சத்தியாகிரகம்
Barn Burners,பார்ன் பர்னர்ஸ்
Baron,பரோன்
Baronage,பாரோனேஜ்
Barones majores,பரோன்ஸ் மேஜர்கள்
Barones minores,பரோன்ஸ் மைனர்கள்
Baroness,பரோனஸ்
Baronet,பரோனெட்
Baronetage,பரோனேடேஜ்
Baronetage,பரோனேடேஜ்
Baronetcy,பேரோனெட்டி
Barony,பேரோனி
Barracoon,பாராகூன்
Barracoon,பாராகூன்
Barricade (=barricado),தடுப்பு (=பேரிகாடோ)
Barricade (=barricado),தடுப்பு (=பேரிகாடோ)
Barricade (=barricado),தடுப்பு (=பேரிகாடோ)
Base camp,அடிப்படை முகாம்
Basilica,பேராலயம்
Basilica,பேராலயம்
Bastila,பஸ்திலா
Bastille,பாஸ்டில்
Bastille,பாஸ்டில்
Battery,மின்கலம்
Battle,போர்
Batlle-array,போர்-வரிசை
Battle cry,யுத்த அழுகுரல்
Battle din,போர் டின்
Battle field,போர்க்களம்
Battle hymn,போர் பாடல்
Battle of the Spurs,ஸ்பர்ஸ் போர்
Battle of the Standard,ஸ்டாண்டர்ட் போர்
Battleship,போர்க்கப்பல்
Battleship-strength,போர்க்கப்பல்-வலிமை
Bayeux tapestry,பேயுக்ஸ் சீலை
Beacon,கலங்கரை விளக்கம்
Beacon tower,கலங்கரை விளக்கம் கோபுரம்
Beaver,பீவர்
Beaver,பீவர்
Beggars of the sea,கடலின் பிச்சைக்காரர்கள்
Bellicose,பெல்லிகோஸ்
Bellicose,பெல்லிகோஸ்
Bellicose,பெல்லிகோஸ்
Bellicosity,பெல்கோசிட்டி
Bellona,பெல்லோனா
Benefice,நன்மை
Benefit of clergy,குருமார்களின் பலன்
Benelux,பெனலக்ஸ்
Berlin Decree,பெர்லின் ஆணை
Berserker,பெர்சர்கர்
Besant (=bezant),பெசன்ட் (=பெசண்ட்)
Bethel,பெத்தேல்
Bibliolater,நூலாசிரியர்
Bibliolatry,புத்தக வழிபாடு
Big Bertha,பெரிய பெர்தா
Bigot,மதவெறி
Billeting,பில்லெட்டிங்
Bill of Attainder,பில்
Bill of Rights,உரிமைகள் மசோதா
Biographer,வாழ்க்கை வரலாற்றாசிரியர்
Birth stories,பிறப்பு கதைகள்
Bivouac,Bivouac
Bivouac,Bivouac
Bivouac,Bivouac
Bizonia,பிசோனியா
Black birding,கருப்பு பறவைகள்
Black flag,கருப்பு கொடி
Black Hole,கருந்துளை
Black Hole,கருந்துளை
Black leg (=scab),கருப்பு கால் (=சிரங்கு)
Black Shirt,கருப்பு சட்டை
Blazon,பிளேசன்
Blazon,பிளேசன்
Blazonry,பிரகாசம்
Blazonry,பிரகாசம்
Blitzkrieg,பிளிட்ஸ்கிரீக்
Bloodless Revolution (=Glorious Revolution),இரத்தமில்லாத புரட்சி (=புகழ்பெற்ற புரட்சி)
Bloodwite,இரத்தம் கொண்டவர்
Bloody Mary,ப்ளடி மேரி
Blue,நீலம்
Blue blood,நீல இரத்தம்
Blue book,நீல புத்தகம்
Blue ribbon,நீல தலைப்பட்டை
Blue ribbon,நீல தலைப்பட்டை
Blues (=Royal Horse Guards),ப்ளூஸ் (=ராயல் குதிரை காவலர்கள்)
Blue Shirt,நீல நிற சட்டை
Blue Water School,நீல நீர் பள்ளி
Board of Control,கட்டுப்பாட்டு வாரியம்
Body armour,உடல் கவசம்
Boer,போயர்
Booty,கொள்ளை
Borough,பெருநகரம்
Bouleuterion,பவுல்யூடெரியன்
Bourbon,போர்பன்
Boxer rebellion,குத்துச்சண்டை வீரர் கிளர்ச்சி
Brace,பிரேஸ்
Brassard,பிராசர்ட்
Brassard,பிராசர்ட்
Bread colonies,ரொட்டி காலனிகள்
Breast Plate,மார்பக தட்டு
Breast work,மார்பக வேலை
Bretwalda,ப்ரெட்வால்டா
Brigand,பிரிகாண்ட்
Brigandage,பிரிகாண்டேஜ்
British Commonwealth of Nations,பிரிட்டிஷ் காமன்வெல்த் நாடுகள்
Brown Shirts (=The Nazis),பிரவுன் ஷர்ட்ஸ் (=நாஜிக்கள்)
Brussels Treaty (Pact) organisation (=Western Europeon union),பிரஸ்ஸல்ஸ் உடன்படிக்கை (ஒப்பந்தம்) அமைப்பு (=மேற்கு ஐரோப்பிய ஒன்றியம்)
Buff,பஃப்
Buff,பஃப்
Buff-coat,பஃப்-கோட்
Buffs,பஃப்ஸ்
Bule (=council),புலே (=சபை)
Burgage,பர்கேஜ்
Burgess,பர்கெஸ்
Byzantine,பைசண்டைன்
Byzantine church,பைசண்டைன் தேவாலயம்
Byzantine Empire,பைசண்டைன் பேரரசு
Byzantine Era,பைசண்டைன் சகாப்தம்
Byzantine historians,பைசண்டைன் வரலாற்றாசிரியர்கள்
Cabal,கபால்
Caesarism,சீசரிசம்
Caliph,கலீஃபா
Calligrapher,எழுத்தாளன்
Calligraphist,கையெழுத்து எழுதுபவர்
Calligraphy,எழுத்துக்கலை
Caltrop,கால்ட்ராப்
Camaraderie,தோழமை
Camarilla,கேமரிலா
Camarilla,கேமரிலா
Camelaucum,கேமலாகம்
Camouflage,உருமறைப்பு
Campaign,பிரச்சாரம்
Camp follower,முகாம் பின்பற்றுபவர்
Campo santo,காம்போ சாண்டோ
Campus martius,மார்டியஸ் வளாகம்
Canephora,கேனபோரா
Cangue,கங்கு
Cannonade,பீரங்கி
Cannon fodder,பீரங்கி தீவனம்
Canon,நியதி
Canon law,நியதி சட்டம்
Canopus decree,கனோபஸ் ஆணை
Canting arms,ஆயுதங்களை ஏந்துதல்
Captive,கைதி
Captor,பிடிப்பவன்
Cardinal,கார்டினல்
Carl,கார்ல்
Carolingian dynasty,கரோலிங்கியன் வம்சம்
Carthusian sect,கார்த்தூசியன் பிரிவு
