Tamil,Gujarati
வெஸ்ட்மின்ஸ்டர் அபே,વેસ્ટમિન્સ્ટરના એબી
துறவு,ત્યાગી
அடிமைத்தனத்தை ஒழித்தல்,ગુલામી નાબૂદી
பழங்குடியினர்,એબોરિજિનલ
ஆபிரகாம் சகாப்தம்,અબ્રાહમ યુગ
இல்லாத நில உரிமையாளர்கள்,ગેરહાજર મકાનમાલિકો
கலைக்கூடம்,એકેડમી
அக்ரா மாநாடு,અકરા કોન્ફરન્સ
திரட்டல்கள்,સંસાધનો
வளர்ப்பு,સંવર્ધન
அசெல்டாமா,એસેલડામા
அச்சேயன் (=ஆச்சியன்),અચેઅન (=અચિયન)
அச்சேயன் லீக் (=ஆச்சியன் லீக்),આચિયન લીગ (=એચિયન લીગ)
அக்ரோபோலிஸ்,એક્રોપોલિસ
ஆக்டா டைர்னா,એક્ટા દીર્ના
ஆக்டா செனடஸ்,એક્ટા સેનાટસ
Acte Additionel,એક્ટ એડિશનલ
செயலில் உள்ள பதிவு (=தற்போதைய பதிவு),સક્રિય રેકોર્ડ (=વર્તમાન રેકોર્ડ)
அடையும் செயல்,પ્રાપ્ત કરનારનું કાર્ય
இழப்பீடு மற்றும் மறதியின் செயல்,ક્ષતિપૂર્તિ અને વિસ્મૃતિનું કાર્ય
தீர்வு சட்டம்,સમાધાનનો અધિનિયમ
விளம்பர ஒப்பந்த முத்திரை,જાહેરાત કરાર સીલ
அதுலமைட்டுகள்,અદુલ્લામાઈટસ
எதிரி,વિરોધી
எதிரி,વિરોધી
ஏயோன்,એઓન
ஏரேரியம்,એરેરિયમ
வான்வழிப் போர்,હવાઈ યુદ્ધ
ஏட்டோலியன் லீக்,એટોલિયન લીગ
வயது,ઉંમર
முதுமை (=வயதான),વૃદ્ધત્વ (=વૃદ્ધત્વ)
வயதான செயல்முறை,વૃદ્ધત્વ પ્રક્રિયા
அகெலாய்,અગેલાઈ
வீரத்தின் வயது,શૌર્યની ઉંમર
அறிவாற்றல் வயது,જ્ઞાનની ઉંમર
பெரிக்கிள்ஸ் வயது,પેરિકલ્સની ઉંમર
பகுத்தறிவு வயது,કારણની ઉંમર
விவசாயம்,કૃષિવાદ
விவசாய இயக்கம்,કૃષિ આંદોલન
அல்பியன்,એલ્બિયન
ஆல்பம்,આલ્બમ
ஆல்டர்மேன்,એલ્ડરમેન
கவர்ச்சியான ஆயுதங்கள்,મોહક શસ્ત્રો
அமிட்டி,સૌમ્યતા
ஆம்ஃபிக்டியோனிக் கவுன்சில்,એમ્ફિક્ટિઓનિક કાઉન્સિલ
ஆம்ஃபிக்டியோனிக் லீக்,એમ્ફિક્ટિઓનિક લીગ
ஆம்பிதியேட்டர்,એમ્ફીથિયેટર
அம்ரி நல் குழு (மட்பாண்டங்கள்),અમરી નલ જૂથ (માટીના વાસણો)
அனாக்ரோனிசம்,અનાક્રોનિઝમ
