Hindi,Tamil
एसीडायड,அமிலத்தன்மை
जलोढ़ मृदा,அயோலியன் மண்
समुच्चय,மதிப்பீட்டு
समुच्चयन,திரட்டுதல்
सस्य मृदा विज्ञान,வேளாண்மை
सस्य विज्ञान,வேளாண்மை
"A-संस्तर, A-होराइजन",A- அடிவானம்
Ao-संस्तर/Ao-होराइजन,Ao- அடிவானம்
Aoo-संस्तर/होराइजन,Aoo- அடிவானம்
मृदा की वायु धारिता,மண்ணின் காற்று திறன்
मृदा का वायु अंग,மண்ணின் காற்றின் உள்ளடக்கம்
वायु पिक्नोमीटर,காற்று பிக்னோமீட்டர்
एलीटिक मृदा,அல்லிடிக் மண்
जलोढ़ मृदा,வண்டல் மண்
एम्फोलीटायड,ஆம்போலிடாய்டு
ऋणायन,அயன்
आभासी आपेक्षिक घनत्व आयतन भार या आयतन आपेक्षित घनत्व,"வெளிப்படையான குறிப்பிட்ட ஈர்ப்பு அளவு எடை அல்லது மொத்த குறிப்பிட்ட ஈர்ப்பு,&quot;"
कोर,அரிஸ்
बारीक वराश्म चिनाई,Ashlar நன்றாக கொத்து
वराश्म चिनाई,ஆஷ்லர் கொத்து
अस्तरीय मृदा/अक्षेत्रीय मृदा,அசோனல் மண்
कर्ष खनित्र,பின் நடிகர்
पश्च डाट,பின் வளைவு
पश्च पट्ट,பின் இசைக்குழு
उपटा प्रलेप,பின் தூரிகை
पश्च रोधक,மீண்டும் சரிபார்க்கவும்
पश्च पटल,பின் கவுண்டர்
पश्च कर्तन,முதுகு வெட்டுதல்
उपटा झोंका अवमंदक,பின் வரைவு damper
पश्च नली,பின் வடிகால்
पश्च पट,பின் துளி
पृष्ठ भरण,பின் நிரப்பவும்
पश्च पट्टिका,பின் ஃபில்லட்
पृष्ठ पल्ला कब्जा,பின் மடல் கீல்
प्रतीप प्रवाह संयोजन,பின் ஓட்ட இணைப்பு
प्रतीप प्रवाह निरोधक,பின் ஓட்டம் தடுப்பான்
पश्चांतर,பின் அளவுகோல்
पश्च नली,பின்புற சாக்கடை
अग्निस्थान पृष्ठ,பின் அடுப்பு
पीठ/पृष्ठ भाग,ஆதரவு
पिछला तख्ता,பேக்கிங் போர்டு
पश्च दाब,பின் அழுத்தம்
पश्च टेक,பின் முட்டு
पश्चावलोकन,பின் பார்வை
पश्चजल,பின் நீர்
व्यारोध,குழப்பம்
थैला पुशताबंदो,பை வேலை
गिट्टी,பேலாஸ்ட்
बॉल मृत्तिका,பந்து களிமண்
बॉल शंकुआकार शिकंजा,பந்து கூம்பு கவ்வி
काँटेदार तार,முள்வேலி
छड़ कुत्ता,பார் நாய்
त्रयंकी पार्श्व फलक,விசைப்படகு பலகை
बेरियम सल्फेट परीक्षण,பேரியம் சல்பேட் சோதனை
बैराज,சரமாரி
बरेट,பாரெட்
क्षार,அடித்தளம்
बेस विनिमय,அடிப்படை பரிமாற்றம்
आधार रेखा,அடிப்படை வரி
तहखाना/अधोभवन,அடித்தளம்
अधोगृह भित्ति,அடித்தள சுவர்
आधार पट्टिका,அடித்தட்டு
समायोज्य आधार पट्टिका,"அடிப்படை தட்டு, சரிசெய்யக்கூடியது"
क्षार संतृप्ति,அடிப்படை செறிவு
बेसाइड,பாசாய்டு
रोड़ा,வௌவால்
स्नानागर व शौच कुण्ड,பாத் மற்றும் WC
सलामी खूँटी,இடி ஆப்பு
सलामी पाया,பேட்டர் பையர்
सलामी नियम,பேட்டர் விதி
बॉक,பால்க் (பால்க்)
खंडक,விரிகுடா
धारक,தாங்குபவர்
धारण क्षमता,தாங்கும் திறன்
धारक पाइल,தாங்கும் பைல்
धारक स्तर,தாங்கி அடுக்கு
आधार तल,படுக்கை
संस्तरण तल,படுக்கை விமானம்
पड़ी दरज,படுக்கை கூட்டு
अश्माधार,படுக்கை பாறை
शयन कक्ष,படுக்கை அறை
मधुमोम,தேன் மெழுகு
बैल बॉक्स,மணி பெட்டி
बैलिंग बकेट,பெல்லிங் வாளி
बैलोफ्राम,பெல்லோஃப்ராம்
पैड़ीदार नींव,பெஞ்ச் அடித்தளம்
पैड़ी बनाना,பெஞ்சிங்
निदेश तलचिह्न,பெஞ்ச் மார்க்
हितलाभ लागत विश्लेषण,நன்மை செலவு பகுப்பாய்வு
उपतट,பெர்ம்
ढालू डेली,வளைந்த மூடல்
संस्तर/B-होराइजन,"பி-ஹரைசன்,&quot;பி-"
बीएट,பயாட்
बंधक,பைண்டர்
बंधक पदार्थ,பிணைப்பு பொருள்
बायोट का सिद्धांत,பயோட்டின் கோட்பாடு
बीटूमन,பிடுமின்
काली मृदा,கருப்பு பருத்தி மண்
काली मिट्टी,கருப்பு பூமி
काली शाब्दल मृदा,கருப்பு தரை மண்
फलक,கத்தி
वात्या भट्टी धातुमल सीमेंट,ஊது உலை கசடு சிமெண்ட்
खंडीय संरचना,தடுப்பு அமைப்பு
बोगी संचलन प्रतिरोध,போகி எதிர்ப்பு
दलदल लोह खनित्र,போக்-இரும்பு தாது
चाल (चिनाई की),பத்திரம்
बद्ध अवयव,பிணைக்கப்பட்ட உறுப்பினர்
बद्ध प्रत्ययित तनन,பிணைக்கப்பட்ட பிந்தைய பதற்றம்
बंधक पत्थर,பத்திர கல்
बद्ध जल,கட்டுப்பட்ட நீர்
पेटिकाकार नाली,பெட்டி சாக்கடை
बंधनी,பிரேஸ்
खड़ी ईंट,விளிம்பில் செங்கல்
ब्राइडल,கடிவாளம்
द्युति,பிரகாசம்
भूरी मृदा,பழுப்பு மண்
भवन,கட்டிடம்
भवन सर्वेक्षक,கட்டிட சர்வேயர்
बफर (रोधक),தாங்கல்
रोधनवक या अनुपामन वक,தாங்கல் வளைவு
रोधन,தாங்கல்
रोधन क्षमता,தாங்கல் திறன்
बन्दर,பண்டர்
पुश्ता,பட்டர்ஸ்
c-संस्तर/c-होराइजन,சி-அடிவானம்
तार/केबल,கேபிள்
तारगढ़ाई,கேபிள் மோல்டிங்
केबिल तंत्र,கேபிளிங்
केबिन,அறை
केबिन अंकुश,கேபின் ஹூக்
मंजूषा,மந்திரி சபை
ध्वनि शोषण चादर,கபோல்ட் வெளியேறினார்
कैफेटेरिया,சிற்றுண்டியகம்
पिंजरा,கூண்டு
पिंजरानुमा निर्माण,கூண்டு கட்டுமானம்
केनसूत्र,கெய்னின் சூத்திரம்
कैसन (या कॉफर),கெய்சன்
कैसन रोग,கெய்சன் நோய்
केसन नींव,கெய்சன் அடித்தளம்
कैसन पाइल,கெய்சன் குவியல்
चूनेदार ईंट,சுண்ணாம்பு செங்கல்
चूनेदार मिट्टी,சுண்ணாம்பு களிமண்
चूनेदार पपड़ी,சுண்ணாம்பு மேலோடு
केल्सीकरण,கால்சிஃபிகேஷன்
निस्तापन,கால்சினேஷன்
कैलसाइन,கால்சின்
कैल्साइट,கால்சைட்
कैल्शियम एल्यूमिनेट सीमेंट,கால்சியம்-அலுமினேட் சிமெண்ட்
कैल्शियम सिलीकेट ईंट,கால்சியம்-சிலிகேட் செங்கல்
कैल्शियम सिलिकेट हाईड्रेट,கால்சியம்-சிலிகேட் ஹைட்ரேட்
कालीचे,கலிச்சே
कैलिफोर्निया असर अनुपात,கலிபோர்னியா தாங்கி விகிதம்
केलिपर,காலிபர்
कैलोरीमीटर,கலோரிமீட்டர்
न्युब्ज़ता/कैम्बर,கேம்பர்
नहर,கால்வாய்
कैनॉपी,விதானம்
बहुधारन पद,கான்டிலீவர் அடிவாரம்
टोपी,தொப்பி
धारिता,திறன்
रेल पथ क्षमता,ஆயில் பாதையின் திறன்
टोपी कंडरा,தொப்பி கேபிள்
केशिकत्व,கேபிலரிட்டி
केशिका विच्छेद,தந்துகி முறிவு
केशिका प्रवाह,தந்துகி ஓட்டம்
केशिका आर्द्रता या केशिका जल,தந்துகி ஈரப்பதம் அல்லது தந்துகி நீர்
केशिका रंध्र अवकाश,தந்துகி துளை இடம்
केशिका रंध्रता,கேபிலரி போரோசிட்டி
केशिका अवकाश,தந்துகி வெளி
प्रग्रहण वेग,பிடிப்பு வேகம்
कार्बोनेशन,கார்பனேற்றம்
कार्बन काजल,கார்பன் கருப்பு
ढलने योग्य उच्च तापसह,காஸ்ட்பிள் பயனற்ற
स्वस्थान ढली,காஸ்ட்-இன்-பிளேஸ் அல்லது காஸ்ட்-இன்-சிட்டு
यथास्थान बनाई पाइल,காஸ்ட்-இன்-பிளேஸ் பைல்
कैस्टर,ஆமணக்கு
ढला पत्थर,வார்ப்பு கல்
उत्प्रेरक,வினையூக்கி
मृदा श्रृंखला,கேட்டனா
विडाल मुख,பூனை முகம்
कैट हैड,பூனை தலை
धनायन,கேஷன்
कैट बॉक,பூனை நடை
कोटरन क्षति,குழிவுறுதல் சேதம்
