Bengali,Kannada
অ্যাসিডয়েড,ಆಸಿಡಾಯ್ಡ್
বায়বীয় মাটি,ಅಯೋಲಿಯನ್ ಮಣ್ಣು
সমষ্টি,ಒಟ್ಟು
সমষ্টি,ಒಟ್ಟುಗೂಡಿಸುವಿಕೆ
কৃষিবিদ্যা,ಕೃಷಿಶಾಸ್ತ್ರ
কৃষিবিদ্যা,ಕೃಷಿಶಾಸ್ತ್ರ
A- দিগন্ত,ಎ-ಹಾರಿಜಾನ್
আও-দিগন্ত,Ao-ಹಾರಿಜಾನ್
আও-দিগন্ত,Aoo-ಹಾರಿಜಾನ್
মাটির বায়ু ক্ষমতা,ಮಣ್ಣಿನ ಗಾಳಿಯ ಸಾಮರ್ಥ್ಯ
মাটির বায়ু উপাদান,ಮಣ್ಣಿನ ಗಾಳಿಯ ಅಂಶ
এয়ার পিকনোমিটার,ಏರ್ ಪಿಕ್ನೋಮೀಟರ್
অ্যালিটিক মাটি,ಆಲಿಟಿಕ್ ಮಣ್ಣು
পলিমাটি,ಮೆಕ್ಕಲು ಮಣ್ಣು
অ্যামফোলাইটয়েড,ಆಂಫೋಲಿಟಾಯ್ಡ್
অ্যানিয়ন,ಅಯಾನ್
"আপাত নির্দিষ্ট মাধ্যাকর্ষণ আয়তনের ওজন বা বাল্ক নির্দিষ্ট মাধ্যাকর্ষণ,&quot;","ಸ್ಪಷ್ಟವಾದ ನಿರ್ದಿಷ್ಟ ಗುರುತ್ವಾಕರ್ಷಣೆಯ ಪರಿಮಾಣದ ತೂಕ ಅಥವಾ ಬೃಹತ್ ನಿರ್ದಿಷ್ಟ ಗುರುತ್ವಾಕರ್ಷಣೆ,&quot;"
আরিস,ಅರ್ರಿಸ್
আশলার সূক্ষ্ম গাঁথনি,ಆಶ್ಲರ್ ಉತ್ತಮವಾದ ಕಲ್ಲು
আশলার রাজমিস্ত্রি,ಆಶ್ಲರ್ ಕಲ್ಲು
অ্যাজোনাল মাটি,ಅಜೋನಲ್ ಮಣ್ಣು
পেছনের অভিনেতা,ಹಿಂದೆ ನಟ
পিছনের খিলান,ಹಿಂದಿನ ಕಮಾನು
ব্যাক ব্যান্ড,ಬ್ಯಾಕ್ ಬ್ಯಾಂಡ್
