Gujarati,Punjabi
ખર્ચ,ਪਰੇਸ਼ਾਨੀ
સંક્ષેપ,ਸੰਖੇਪ
અપહરણ,ਅਗਵਾ
સ્થગ,ਧਾਰਨਾ
ક્ષમતા,ਯੋਗਤਾ
આરંભ,ਏਬੀ ਦੀ ਸ਼ੁਰੂਆਤ
કઠોર,ਯੋਗ
અસામાન્ય,ਅਸਧਾਰਨ
નાબૂદી,ਖਤਮ
નાબૂદી પોસ્ટ,ਅਬੋਲੋਜੀਫ ਪੋਸਟ
ઉપર ઉલ્લેખ કર્યો છે,ਉੱਪਰ ਦੱਸਿਆ ਗਿਆ
ઉપર જણાવેલ,ਉੱਪਰ ਹਵਾਲਾ ਦਿੱਤਾ
ઉપર જણાવ્યું હતું કે,ਉਪਰੋਕਤ ਕਿਹਾ
ગેરહાજરી,ਗੈਰਹਾਜ਼ਰੀ
ગેરહાજર,ਗੈਰਹਾਜ਼ਰ
ગેરહાજરી,ਗੈਰਹਾਜ਼ਰ
અનુપસ્થિત નિવેદનો,ਗੈਰਹਾਜ਼ਰ ਬਿਆਨ
અબાધિત,ਅਸੀਮ
અબાધિત ઈજારો,ਪੂਰੀ ਏਕਾਅਧਿਕਾਰ
અબાધિત માલિકી,ਸੰਪੂਰਨ ਮਾਲਕੀ
સમાવેશ,ਸਮਾਈ
નિષ્ક્રિય,ਸਾਰ
અખબારો,ਸੰਖੇਪ
વાહિયાત,ਬੇਹੂਦਾ
વિપુલતા,ਬਹੁਤਾਤ
સત્તાનો દુરુપયોગ,ਸ਼ਕਤੀ ਦੀ ਦੁਰਵਰਤੋਂ
અપશબ્દો,ਗਾਲਾਂ ਕੱ .ਣ ਵਾਲੀ ਭਾਸ਼ਾ
શૈક્ષણિક,ਅਕਾਦਮਿਕ
શૈક્ષણિક ચર્ચા,ਅਕਾਦਮਿਕ ਵਿਚਾਰ ਵਟਾਂਦਰੇ
શૈક્ષણિક રજા,ਅਕਾਦਮਿਕ ਛੁੱਟੀ
શૈક્ષણિક લાયકાત,ਅਕਾਦਮਿਕ ਯੋਗਤਾ
વિદ્યા,ਅਕਾਦਮਿਕ ਰਿਕਾਰਡ
સહયોગ કરવો,ਐੱਸ
સ્વીકારવું,ਸਵੀਕਾਰ ਕਰੋ
સ્વીકૃતિ,ਮਨਜ਼ੂਰ
પદની સ્વીકૃતિ,ਦਫਤਰ ਦੀ ਪ੍ਰਵਾਨਗੀ
પ્રતિજ્ ofા,ਟੈਂਡਰ ਦੀ ਪ੍ਰਵਾਨਗੀ
પ્રવેશ,ਪਹੁੰਚ
સંચાર,ਐਕਸੈਸਿੰਗ
સહાયક,ਸਹਾਇਕ
અકસ્માત,ਹਾਦਸਾ
સ્વાર્થીકરણ,ਅਨੁਕੂਲਤਾ
આવાસ,ਰਿਹਾਇਸ਼
સંલગ્ન,ਦੇ ਨਾਲ
સંલગ્ન,ਸਮਝੌਤਾ
અનુસાર,ਦੇ ਅਨੁਸਾਰ
તદનુસાર,ਇਸ ਅਨੁਸਾਰ
હિસાબ,ਖਾਤਾ
જવાબદારી,ਜਵਾਬਦੇਹੀ
જવાબદાર,ਜਵਾਬਦੇਹ
હિસાબની સંખ્યા,ਖਾਤੇ ਦੀ
હિસાબ રાખનાર,ਲੇਖਾਕਾਰ
માટે એકાઉન્ટ,ਲਈ ਖਾਤਾ
હિસાબનું માથું,ਖਾਤਾ ਸਿਰ
ઉપાર્જિત લાભ,ਇਕੱਠਾ ਕੀਤਾ ਲਾਭ
ઉપાર્જિત પેન્શન,ਇਕੱਠੀ ਕੀਤੀ ਪੈਨਸ਼ਨ
સંચય,ਇਕੱਠਾ
