English,Tamil
abacus,அபாகஸ்
abnormal termination,அசாதாரண நிறுத்தம்
abort,கருக்கலைப்பு
absolute,அறுதி
absolute address,முழுமையான முகவரி
absolute addressing,முழுமையான முகவரி
absolute assembler,முழுமையான அசெம்பிளர்
absolute code,முழுமையான குறியீடு
absolute command,முழுமையான கட்டளை
absolute data,முழுமையான தரவு
absolute instruction,முழுமையான அறிவுறுத்தல்
absolute mode,முழுமையான பயன்முறை
absolute path,முழுமையான பாதை
absolute programming,முழுமையான நிரலாக்கம்
abstract class,சுருக்க வர்க்கம்
abstract data type,சுருக்க தரவு வகை
abstract machine,சுருக்க இயந்திரம்
abstract symbol,சுருக்க சின்னம்
abstract syntax,சுருக்க தொடரியல்
acceptance testing,ஏற்றுக்கொள்ளும் சோதனை
access authentication,அணுகல் அங்கீகாரம்
access code,அணுகல் குறியீடு
access control,நுழைவு கட்டுப்பாடு
access scan,அணுகல் ஸ்கேன்
accessory,துணை
account,கணக்கு
account ID,கணக்கு ஐடி
accumulator,திரட்டி
accuracy,துல்லியம்
acess,அணுகல்
acess control byte,அணுகல் கட்டுப்பாட்டு பைட்
acess index,அணுகல் குறியீடு
acess key,அணுகல் விசை
acess matrix,அணுகல் அணி
acess mode,அணுகல் முறை
acess privilege,அணுகல் சலுகை
acess security,அணுகல் பாதுகாப்பு
acess server,அணுகல் சேவையகம்
acess time,அணுகல் நேரம்
acknowledgement,ஒப்புகை
acoustics,ஒலியியல்
acronym,சுருக்கம்
action message,செயல் செய்தி
activation,செயல்படுத்துதல்
active server page (ASP),செயலில் உள்ள சர்வர் பக்கம் (ASP)
active version,செயலில் உள்ள பதிப்பு
acyclic,அசைக்ளிக்
acyclic graph,அசைக்ளிக் வரைபடம்
Ada language,அட மொழி
adapter,அடாப்டர்
add,கூட்டு
add file,கோப்பை சேர்க்க
add operation,செயல்பாட்டைச் சேர்க்கவும்
adder,சேர்ப்பான்
address,முகவரி
address bus,முகவரி பேருந்து
address file,முகவரி கோப்பு
address format,முகவரி வடிவம்
address generator,முகவரி ஜெனரேட்டர்
address line,முகவரி வரி
address mapping,முகவரி மேப்பிங்
address pointer,முகவரி சுட்டி
address register,முகவரி பதிவு
address resolution,முகவரி தீர்மானம்
address translation,முகவரி மொழிபெயர்ப்பு
addressed memory,நினைவாற்றலை உரையாற்றினார்
addressing,உரையாற்றுவது
adequacy criteria,போதுமான அளவுகோல்கள்
adjoint,இணைந்த
administration,நிர்வாகம்
administrator,நிர்வாகி
adobe acrobat,அடோப் அக்ரோபேட்
adobe photoshop,அடோ போட்டோஷாப்
Advance Business Application Programming (ABAP),அட்வான்ஸ் பிசினஸ் அப்ளிகேஷன் புரோகிராமிங் (ஏபிஏபி)
advanced data,மேம்பட்ட தரவு
advanced information system,மேம்பட்ட தகவல் அமைப்பு
advanced technology (AT),மேம்பட்ட தொழில்நுட்பம் (AT)
agent,முகவர்
aggregation,திரட்டுதல்
airborne computer system,வான்வழி கணினி அமைப்பு
aldus page maker,அல்டஸ் பக்க தயாரிப்பாளர்
alert box,எச்சரிக்கை பெட்டி
algol,அல்கோல்
algorithm,அல்காரிதம்
algorithm analysis,அல்காரிதம் பகுப்பாய்வு
algorithm efficiency,அல்காரிதம் திறன்
alias,மாற்றுப்பெயர்
alignment,சீரமைப்பு
allocation,ஒதுக்கீடு
alphabetic,அகரவரிசை
alphanumeric,எண்ணெழுத்து
alphanumeric key board,எண்ணெழுத்து விசைப்பலகை
alpha-test,ஆல்பா-சோதனை
alpha-version,ஆல்பா பதிப்பு
alt key,alt விசை
altavista,அல்டாவிஸ்டா
ambiguity,தெளிவின்மை
ambiguous grammar,தெளிவற்ற இலக்கணம்
American National Standards Institute (ANSI),அமெரிக்க தேசிய தரநிலை நிறுவனம் (ANSI)
American Standard Code For Information Interchange (ASCII),தகவல் பரிமாற்றத்திற்கான அமெரிக்க தரநிலை குறியீடு (ASCII)
analog,அனலாக்
analog computer,அனலாக் கணினி
analog device,அனலாக் சாதனம்
analog modem,அனலாக் மோடம்
Analog To Digital Converter (ADC),அனலாக் டு டிஜிட்டல் மாற்றி (ADC)
AND,மற்றும்
AND circuit,மற்றும் சுற்று
AND gate,மற்றும் வாயில்
AND not operation (Exclusion),மற்றும் செயல்பாடு அல்ல (விலக்கு)
animation,இயங்குபடம்
annotation,சிறுகுறிப்பு
anomaly,ஒழுங்கின்மை
antecedent,முன்னோடி
anticipatory paging,முன்கூட்டிய பேஜிங்
anti-symmetric,எதிர்ப்பு சமச்சீர்
antivirus program,வைரஸ் தடுப்பு நிரல்
applet,ஆப்லெட்
application developer,பயன்பாட்டு டெவலப்பர்
application programming,பயன்பாட்டு நிரலாக்கம்
application programming interface (API),பயன்பாட்டு நிரலாக்க இடைமுகம் (API)
application software,பயன்பாட்டு மென்பொருள்
applicative language,பயன்பாட்டு மொழி
approximation theory,தோராயக் கோட்பாடு
architecture,கட்டிடக்கலை
area transfer,பகுதி பரிமாற்றம்
argument,வாதம்
arithmatic and logic unit,எண்கணித மற்றும் தர்க்க அலகு
arithmatic check,எண்கணித சரிபார்ப்பு
arithmatic constant,எண்கணித மாறிலி
arithmatic data,எண்கணித தரவு
arithmatical instruction,எண்கணித அறிவுரை
arithmetic and logic unit (ALU),எண்கணிதம் மற்றும் தருக்க அலகு (ALU)
ARPANET,அர்பானெட்
array,வரிசை
array cache,வரிசை கேச்
array computer,வரிசை கணினி
array element,வரிசை உறுப்பு
array name,வரிசை பெயர்
array processor,வரிசை செயலி
arrow keys,அம்புக்குறி விசைகள்
articulation,உச்சரிப்பு
articulation point,உச்சரிப்பு புள்ளி
artificial compaction,செயற்கை சுருக்கம்
artificial control,செயற்கை கட்டுப்பாடு
artificial intelligence,செயற்கை நுண்ணறிவு
ascender,ஏறுபவர்
ascending sort,ஏறும் வகை
ASCII betical order,ASCII betical order
ASCII control character,ASCII கட்டுப்பாட்டு எழுத்து
ASCII file,ASCII கோப்பு
ASCII font,ASCII எழுத்துரு
ASCII transfer,ASCII பரிமாற்றம்
aspect ratio,விகிதம்
ASPI,ASPI
ASR timer,ASR டைமர்
assemble,கூடி
assembler,அசெம்பிளர்
assembly,சட்டசபை
assembly language,சட்டசபை மொழி
assertion,வலியுறுத்தல்
assignment,பணி நியமனம்
association,சங்கம்
associative address,துணை முகவரி
associative memory,துணை நினைவகம்
asteric,ஆஸ்டிரிக்
asymmetric,சமச்சீரற்ற
asynchronous,ஒத்திசைவற்ற
asynchronous Digital Subscriber Line (ADSL),ஒத்திசைவற்ற டிஜிட்டல் சந்தாதாரர் வரி (ADSL)
asynchronous Time Division Multiplexing (ATDM),ஒத்திசைவற்ற நேரப் பிரிவு மல்டிபிளெக்சிங் (ATDM)
asynchronous transfer,ஒத்திசைவற்ற பரிமாற்றம்
asynchronous Transfer Mode (ATM),ஒத்திசைவற்ற பரிமாற்ற முறை (ATM)
atom,அணு
attached document,இணைக்கப்பட்ட ஆவணம்
attached file,இணைக்கப்பட்டுள்ள கோப்பு
attachment,இணைப்பு
attribute,பண்பு
audio,ஆடியோ
audit programming,தணிக்கை நிரலாக்கம்
audit trail,தணிக்கை சோதனை
augmentation,பெருக்குதல்
authentication protocol,அங்கீகார நெறிமுறை
authoring system,ஆசிரியர் அமைப்பு
authorization,அங்கீகாரம்
auto abstract,தானியங்கு சுருக்கம்
autobooting,தானாக துவக்குதல்
autocad,ஆட்டோகேட்
autolog on,ஆட்டோலாக் ஆன்
automata,தானியங்கி
automata theory,தானியங்கு கோட்பாடு
automatic computing,தானியங்கி கணினி
automatic data processing,தானியங்கி தரவு செயலாக்கம்
automatic error correction,தானியங்கி பிழை திருத்தம்
automatic function,தானியங்கி செயல்பாடு
automatic indexing,தானியங்கி அட்டவணைப்படுத்தல்
automatic library call,தானியங்கி நூலக அழைப்பு
automatic programming,தானியங்கி நிரலாக்க
automatic recovery program,தானியங்கி மீட்பு திட்டம்
automatic routine,தானியங்கி வழக்கம்
automatic system recovery,தானியங்கி கணினி மீட்பு
automatic teller machine (ATM),தானியங்கி பணம் செலுத்தும் இயந்திரம் (ATM)
automation,தானியங்கி
autoplay,தானியங்கி
autosave,தானாக சேமிக்கவும்
auxiliary,துணை
auxiliary memory,துணை நினைவகம்
auxiliary storage,துணை சேமிப்பு
available list,கிடைக்கும் பட்டியல்
available time,கிடைக்கும் நேரம்
average,சராசரி
awk (language),awk (மொழி)
backend,பின்தளம்
backend processor,பின்தள செயலி
backface removal,பின்முகத்தை அகற்றுதல்
