English,Malayalam
Absorption,ആഗിരണം
Absorption co - efficient,ആഗിരണം കോ-എഫിഷ്യന്റ്
Acceptor,സ്വീകർത്താവ്
Access time,പ്രവേശന സമയം
Accumulation,സഞ്ചയനം
Acid glove,ആസിഡ് കയ്യുറ
Acid resistant,ആസിഡ് റെസിസ്റ്റന്റ്
Activation energy,സജീവമാക്കൽ ഊർജ്ജം
Active layer,സജീവ പാളി
Active matrix liquid crystal display,സജീവ മാട്രിക്സ് ലിക്വിഡ് ക്രിസ്റ്റൽ ഡിസ്പ്ലേ
Adapter,അഡാപ്റ്റർ
Adhesion,അഡീഷൻ
Adhesion promotor,അഡീഷൻ പ്രൊമോട്ടർ
Aligner,അലൈനർ
Alignment,വിന്യാസം
Alternative dielectric,ഇതര വൈദ്യുത
Alumina,അലുമിന
Aluminium bonding wire,അലുമിനിയം ബോണ്ടിംഗ് വയർ
Aluminium box,അലുമിനിയം പെട്ടി
Aluminium electrolyte capacitor,അലുമിനിയം ഇലക്ട്രോലൈറ്റ് കപ്പാസിറ്റർ
Aluminium extrusion,അലുമിനിയം എക്സ്ട്രൂഷൻ
Aluminium oxide,അലുമിനിയം ഓക്സൈഡ്
Aluminium tray,അലുമിനിയം ട്രേ
Ambipolar carrier transport,ആംബിപോളാർ കാരിയർ ഗതാഗതം
Amonium flouride chem,അമോണിയം ഫ്ലൂറൈഡ് കെം
Amonium persulphate chem,അമോണിയം പെർസൾഫേറ്റ് രാസവസ്തു
Amorphous,രൂപരഹിതം
Amorphous material,രൂപരഹിതമായ മെറ്റീരിയൽ
Analog device,അനലോഗ് ഉപകരണം
Analog integrated circuit,അനലോഗ് ഇന്റഗ്രേറ്റഡ് സർക്യൂട്ട്
Angstrom,ആങ്സ്ട്രോം
Anhydrous hydrofluoric acid,അൺഹൈഡ്രസ് ഹൈഡ്രോഫ്ലൂറിക് ആസിഡ്
Anisotropic etch,അനിസോട്രോപിക് എച്ച്
Anneal,അനിയൽ
Anodization,ആനോഡൈസേഷൻ
Antimony standard solution,ആന്റിമണി സ്റ്റാൻഡേർഡ് പരിഹാരം
Antireflective coating,ആന്റിഫ്ലക്റ്റീവ് കോട്ടിംഗ്
Antistatic bin,ആന്റിസ്റ്റാറ്റിക് ബിൻ
Antistatic box,ആന്റിസ്റ്റാറ്റിക് ബോക്സ്
Application specific integrated circuit,ആപ്ലിക്കേഷൻ നിർദ്ദിഷ്ട ഇന്റഗ്രേറ്റഡ് സർക്യൂട്ട്
Araldite,അരാൽഡൈറ്റ്
Argon gas,ആർഗോൺ വാതകം
Arrhenius plot,അർഹേനിയസ് പ്ലോട്ട്
Ashing,ആഷിംഗ്
Assembly,അസംബ്ലി
Atmospheric pressure,അന്തരീക്ഷമർദ്ദം
Atomic force microscope,ആറ്റോമിക് ഫോഴ്സ് മൈക്രോസ്കോപ്പ്
Atomic layer chemical vapour deposition,ആറ്റോമിക് പാളി രാസ നീരാവി നിക്ഷേപം
Atomic layer deposition,ആറ്റോമിക് പാളി നിക്ഷേപം
Atomic layer epitaxy,ആറ്റോമിക് പാളി എപ്പിറ്റാക്സി
Atomic number,ആറ്റോമിക് നമ്പർ
Auger electron spectroscopy,ഓഗർ ഇലക്ട്രോൺ സ്പെക്ട്രോസ്കോപ്പി
Auto doping,ഓട്ടോ ഡോപ്പിംഗ്
Avalanche breakdown,ഹിമപാത തകർച്ച
Avalanche multiplication,അവലാഞ്ച് ഗുണനം
Abandonment,ഉപേക്ഷിക്കൽ
"Abattoir, slaughter house","അറവുശാല, അറവുശാല"
Abdomen,ഉദരം
Abdominal filament,വയറിലെ ഫിലമെന്റ്
Aberrant,വ്യതിചലനം
Abiogenesis,അബിയോജെനിസിസ്
Abiotic factor,അജിയോട്ടിക് ഘടകം
Abort,ഉപേക്ഷിക്കുക
Abortive,ഗർഭച്ഛിദ്രം
Abortion,ഗർഭച്ഛിദ്രം
Abortive transduction,അബോർട്ടീവ് ട്രാൻസ്‌ഡക്ഷൻ
Abrasion,അബ്രേഷൻ
Abrasive,ഉരച്ചിലുകൾ
Abrasive property,ഉരച്ചിലിന്റെ സ്വത്ത്
Abscission,അബ്സിഷൻ
Absorption,ആഗിരണം
Absorption spectrum,ആഗിരണം സ്പെക്ട്രം
Absorptive dust,ആഗിരണം ചെയ്യുന്ന പൊടി
Abundance of insect,പ്രാണികളുടെ സമൃദ്ധി
Abyss,അഗാധം
Academic control,അക്കാദമിക് നിയന്ത്രണം
Acapsular,അകാപ്സുലാർ
Acaricide,അകാരിസൈഡ്
Acarology,അകറോളജി
Accelerated growth phase,ത്വരിതപ്പെടുത്തിയ വളർച്ചാ ഘട്ടം
Accentuate,ഊന്നിപ്പറയുക
Acceptor,സ്വീകർത്താവ്
Accessory,ഉപസാധനം
Accessory genital gland,അനുബന്ധ ജനനേന്ദ്രിയ ഗ്രന്ഥി
Accessory gland,അനുബന്ധ ഗ്രന്ഥി
Accessory heart,അനുബന്ധ ഹൃദയം
Accessory pigment,ആക്സസറി പിഗ്മെന്റ്
Accessory respiratory organ,ആക്സസറി ശ്വസന അവയവം
Accumulation of body waste,ശരീരമാലിന്യങ്ങളുടെ ശേഖരണം
Acellular slime mold,അസെല്ലുലാർ സ്ലിം പൂപ്പൽ
Acervulus,അസെർവുലസ്
Achromatic,അക്രോമാറ്റിക്
Acidfast,ആസിഡ് ഫാസ്റ്റ്
Acidfast stain,ആസിഡ് ഫാസ്റ്റ് കറ
Acidification,അസിഡിഫിക്കേഷൻ
Acidity,അസിഡിറ്റി
Acid mine drainage,ആസിഡ് മൈൻ ഡ്രെയിനേജ്
Acidophile,അസിഡോഫൈൽ
Acid spring,ആസിഡ് സ്പ്രിംഗ്
Acquired resistance,പ്രതിരോധം ഏറ്റെടുത്തു
Actinomycetes,ആക്ടിനോമൈസെറ്റുകൾ
Actinomycosis,ആക്ടിനോമൈക്കോസിസ്
Action spectrum,ആക്ഷൻ സ്പെക്ട്രം
Activated,സജീവമാക്കി
Activated sludge,സജീവമാക്കിയ സ്ലഡ്ജ്
Activation,സജീവമാക്കൽ
Activation centre,സജീവമാക്കൽ കേന്ദ്രം
Activator,ആക്റ്റിവേറ്റർ
Active immunity,സജീവമായ പ്രതിരോധശേഷി
Active ingredient,സജീവ പദാർത്ഥം
Active transport,സജീവ ഗതാഗതം
Acute respiratory disease,അക്യൂട്ട് റെസ്പിറേറ്ററി രോഗം
Adaptation,അഡാപ്റ്റേഷൻ
Adaptive enzyme,അഡാപ്റ്റീവ് എൻസൈം
Adaptive radiation,അഡാപ്റ്റീവ് റേഡിയേഷൻ
Adaptive variations,അഡാപ്റ്റീവ് വ്യതിയാനങ്ങൾ
Additive,കൂട്ടിച്ചേർക്കൽ
Adduct,കൂട്ടിച്ചേർക്കൽ
Adenocarcinoma,അഡിനോകാർസിനോമ
Aderoides,അഡറോയിഡുകൾ
Adhesion,അഡീഷൻ
Adhesion of stomach poison,വയറ്റിലെ വിഷത്തിന്റെ അഡീഷൻ
