English,Malayalam
Abort,ഉപേക്ഷിക്കുക
Abort timer,ടൈമർ നിർത്തലാക്കുക
Absolute address,സമ്പൂർണ്ണ വിലാസം
Absolute addressing,സമ്പൂർണ്ണ അഭിസംബോധന
Absolute assembler,സമ്പൂർണ്ണ അസംബ്ലർ
Absolute code,സമ്പൂർണ്ണ കോഡ്
Absolute coding,സമ്പൂർണ്ണ കോഡിംഗ്
Absolute command,സമ്പൂർണ്ണ ആജ്ഞ
Absolute coordinate,സമ്പൂർണ്ണ കോർഡിനേറ്റ്
Absolute data,സമ്പൂർണ്ണ ഡാറ്റ
Absolute error,സമ്പൂർണ്ണ പിശക്
Absolute expression,കേവലമായ ആവിഷ്കാരം
Absolute instruction,സമ്പൂർണ്ണ നിർദ്ദേശം
Absolute loader,സമ്പൂർണ്ണ ലോഡർ
Absolute order,സമ്പൂർണ്ണ ക്രമം
Absolute programming,സമ്പൂർണ്ണ പ്രോഗ്രാമിംഗ്
Absolute term,സമ്പൂർണ്ണ കാലാവധി
Absolute value,യഥാർത്ഥ മൂല്യം
Absolute vector,കേവല വെക്റ്റർ
Abstract,അമൂർത്തമായ
Abstracting,സംഗ്രഹിക്കുന്നു
Abstract symbol,അമൂർത്ത ചിഹ്നം
Acceleration period,ത്വരിതപ്പെടുത്തൽ കാലയളവ്
Acceleration time,ത്വരിതപ്പെടുത്തൽ സമയം
Accent,ഉച്ചാരണം
Acceptance test,സ്വീകാര്യത പരിശോധന
Access,പ്രവേശനം
Access arm,ആക്സസ് ഭുജം
Access arrangement,പ്രവേശന ക്രമീകരണം
Access authority,ആക്സസ് അതോറിറ്റി
Access charge,പ്രവേശന നിരക്ക്
Access class,ആക്സസ് ക്ലാസ്
Access data base management,ഡാറ്റാ ബേസ് മാനേജ്മെന്റ് ആക്സസ് ചെയ്യുക
Access environment,ആക്സസ് പരിസ്ഥിതി
Access gap,പ്രവേശന വിടവ്
Access index,പ്രവേശന സൂചിക
Access line,ആക്സസ് ലൈൻ
Access mechanism,ആക്സസ് മെക്കാനിസം
Access method,പ്രവേശന രീതി
Access method routine,ആക്സസ് രീതി ദിനചര്യ
Access mode,ആക്സസ് മോഡ്
Access right,വലത്തേക്ക് പ്രവേശിക്കുക
Access scan,ആക്സസ് സ്കാൻ
Access time,പ്രവേശന സമയം
Accounting,അക്കൌണ്ടിംഗ്
Accounting finance system,അക്കൗണ്ടിംഗ് ഫിനാൻസ് സിസ്റ്റം
Accounting machine,അക്കൗണ്ടിംഗ് മെഷീൻ
Account number,അക്കൗണ്ട് നമ്പർ
Accumulating reproducer,സഞ്ചിത പുനർനിർമ്മാതാവ്
Accumulator,അക്യുമുലേറ്റർ
Accumulator register,അക്യുമുലേറ്റർ രജിസ്റ്റർ
Accumulator shift instruction,അക്യുമുലേറ്റർ ഷിഫ്റ്റ് നിർദ്ദേശം
Accuracy,കൃത്യത
Accuracy control character,കൃത്യത നിയന്ത്രണ സ്വഭാവം
Accuracy control system,കൃത്യത നിയന്ത്രണ സംവിധാനം
Ace pilot,ഏസ് പൈലറ്റ്
Acknowledge character,സ്വഭാവം അംഗീകരിക്കുക
Acoustic coupler,അക്കോസ്റ്റിക് കപ്ലർ
