Hindi,Tamil
विफलन,கருக்கலைப்பு
विफलन कालद,டைமரை நிறுத்துங்கள்
निरपेक्ष पता,முழுமையான முகவரி
निरपेक्ष पताभिगमन,முழுமையான முகவரி
निरपेक्ष कोडांतरक,முழுமையான அசெம்பிளர்
निरपेक्ष कूट,முழுமையான குறியீடு
निरपेक्ष कूटलेखन,முழுமையான குறியீட்டு முறை
निरपेक्ष समादेश,முழுமையான கட்டளை
निरपेक्ष निर्देशांक,முழுமையான ஒருங்கிணைப்பு
निरपेक्ष आंकड़े,முழுமையான தரவு
निरपेक्ष त्रुटि,முழுமையான பிழை
निरपेक्ष व्यंजक,முழுமையான வெளிப்பாடு
निरपेक्ष अनुदेश,முழுமையான அறிவுறுத்தல்
निरपेक्ष भारक,முழுமையான ஏற்றி
निरपेक्ष आदेश,முழுமையான வரிசை
निरपेक्ष क्रमादेशन,முழுமையான நிரலாக்க
निरपेक्ष पद,முழுமையான சொல்
निरपेक्ष मान,துல்லியமான மதிப்பு
निरपेक्ष सदिश,முழுமையான திசையன்
"सारांश, अमूर्त",சுருக்கம்
"सारांशन, अमूर्तकरण, साराहरण",சுருக்கம்
अमूर्त प्रतीक,சுருக்க சின்னம்
त्वरण अवधि,முடுக்கம் காலம்
त्वरण काल,முடுக்கம் நேரம்
उच्चारण चिह्न,உச்சரிப்பு
स्वीकरण परीक्षण,ஏற்பு சோதனை
अभिगम,அணுகல்
अभिगम बाहु,அணுகல் கை
अभिगम व्यवस्था,அணுகல் ஏற்பாடு
अभिगम प्राधिकारक,அணுகல் அதிகாரம்
अभिगम शुल्क,அணுகல் கட்டணம்
अभिगम वर्ग,அணுகல் வகுப்பு
अभिगम आँकड़ासंचय प्रबंध,தரவு அடிப்படை நிர்வாகத்தை அணுகவும்
अभिगम परिवेश,அணுகல் சூழல்
अभिगम अंतराल,அணுகல் இடைவெளி
अभिगम सूचक,அணுகல் அட்டவணை
अभिगम लाइन,அணுகல் வரி
अभिगम यांत्रिकत्व,அணுகல் பொறிமுறை
अभिगम विधि,அணுகல் முறை
अभिगम विधि नेमका,அணுகல் முறை வழக்கமான
अभिगम विधा,அணுகல் பயன்முறை
अभिगम अधिकार,அணுகல் உரிமை
अभिगम क्रमवीक्षण,அணுகல் ஸ்கேன்
अभिगम काल,அணுகல் நேரம்
लेखा कार्य,கணக்கியல்
लेखाकार्य वित्त तंत्र,கணக்கியல் நிதி அமைப்பு
लेखा यंत्र,கணக்கியல் இயந்திரம்
खाता संख्या,கணக்கு எண்
संचयी पुनरुत्पादक,திரட்டுதல் இனப்பெருக்கம்
संचायक,குவிப்பான்
संचायक पंजी,குவிப்பான் பதிவு
संचायक विस्थापन अनुदेश,திரட்டல் ஷிப்ட் வழிமுறை
परिशुद्धता,துல்லியம்
परिशुद्धता नियंत्रण संप्रतीक,துல்லியம் கட்டுப்பாட்டு தன்மை
परिशुद्धता नियंत्रण तंत्र,துல்லியம் கட்டுப்பாட்டு அமைப்பு
उत्कृष्ठ मार्गदर्शी,ஏஸ் பைலட்
पावती संप्रतीक,தன்மையை ஒப்புக் கொள்ளுங்கள்
ध्वनिक युग्मक,ஒலி கப்ளர்
ध्वनिक युग्मन,ஒலி இணைப்பு
ध्वनिक विलंब लाइन,ஒலி தாமத வரி
ध्वनिक स्मृति,ஒலி நினைவகம்
ध्वनिक मोडेम,ஒலி மோடம்
