Assamese,Odiya
এচিড’ইড,ଏସିଡଏଡ୍ |
ইঅ’লিয়ান মাটি,ଆଓଲିୟାନ୍ ମାଟି |
গোট খোৱা,ସମୁଦାୟ
সংগ্ৰহ,ଏକୀକରଣ
কৃষি বিজ্ঞান,ଏଗ୍ରୋଲୋଜି
কৃষি বিজ্ঞান,କୃଷି
এ-দিগন্ত,ଏକ ରାଶି
আও-দিগন্ত,ଆଓ-ରାଶି
আও-দিগন্ত,ଆଓ-ରାଶି |
মাটিৰ বায়ু ক্ষমতা,ମାଟିର ବାୟୁ କ୍ଷମତା |
মাটিৰ বায়ুৰ পৰিমাণ,ମାଟିର ବାୟୁ ସାମଗ୍ରୀ |
এয়াৰ পিকনোমিটাৰ,ବାୟୁ ପିକନୋମିଟର |
এলিটিক মাটি,ଆଲିଟିକ୍ ମାଟି |
জলজ মাটি,ଆଲୁଭିଆଲ୍ ମାଟି |
এম্ফোলাইট’ইড,ଆମ୍ଫୋଲାଇଟଏଡ୍ |
এনিয়ন,ଆନିଅନ୍ |
"আপাত নিৰ্দিষ্ট মাধ্যাকৰ্ষণৰ আয়তনৰ ওজন বা বাল্ক নিৰ্দিষ্ট মাধ্যাকৰ্ষণ,&quot;","ସ୍ପଷ୍ଟ ନିର୍ଦ୍ଦିଷ୍ଟ ମାଧ୍ୟାକର୍ଷଣ ପରିମାଣ ଓଜନ କିମ୍ବା ବହୁଳ ନିର୍ଦ୍ଦିଷ୍ଟ ମାଧ୍ୟାକର୍ଷଣ, &quot;"
আৰিছ,ଆରିସ୍
আছলাৰ মিহি শিলৰ কাম,ଆଶଲାର୍ ସୂକ୍ଷ୍ମ ଚୁକ୍ତି |
আছলাৰ শিলৰ কাম,ଆଶଲାର୍ ରାଜକନିକା |
এজ’নেল মাটি,ଆଜୋନାଲ ମାଟି |
পিঠিৰ অভিনেতা,ପଛ ଆକ୍ଟର୍ |
পিছফালৰ খোলা,ପଛ ଆର୍କ
বেক বেণ্ড,ବ୍ୟାକ୍ ବ୍ୟାଣ୍ଡ |
পিছফালৰ ব্ৰাছ,ପଛ ବ୍ରଶ୍ |
বেক চেক,ପଛକୁ ଯା check ୍ଚ କରନ୍ତୁ |
বেক কাউণ্টাৰ,ପଛ କାଉଣ୍ଟର |
পিঠি কাটি থকা,ପଛ କାଟିବା |
বেক ড্ৰাফ্ট ডেম্পাৰ,ପଛ ଡ୍ରାଫ୍ଟ ଡ୍ୟାମ୍ପର୍ |
বেক ড্ৰেইন,ପଛ ଡ୍ରେନ୍ |
বেক ড্ৰপ,ବ୍ୟାକ୍ ଡ୍ରପ୍ |
বেক ফিল,ପଛକୁ ପୁରଣ କରନ୍ତୁ |
পিছফালৰ ফিলেট,ପଛ ଫିଲେଟ୍ |
বেক ফ্লেপ হিঞ্জ,ପଛ ଫ୍ଲାପ୍ ହିଙ୍ଗ୍ |
বেক ফ্ল&#39; সংযোগ,ପଛ ପ୍ରବାହ ସଂଯୋଗ |
বেক ফ্ল’ প্ৰিভেণ্টাৰ,ପଛ ପ୍ରବାହ ପ୍ରତିରୋଧକ |
বেক গেজ,ବ୍ୟାକ୍ ଗେଜ୍ |
পিছফালৰ নালা,ପଛ ଗୁଟର୍ |
পিছফালৰ অগ্নিকুণ্ড,ପଛ ଚୁଲି
বেকিং,ସମର୍ଥନ
বেকিং বৰ্ড,ବ୍ୟାକିଂ ବୋର୍ଡ |
পিঠিৰ চাপ,ପଛ ଚାପ |
বেক প্ৰপ,ପଛ ପ୍ରପ
পিছফালৰ দৃষ্টি,ପଛ ଦୃଶ୍ୟ |
পিছফালৰ পানী,ପଛ ପାଣି |
বেফেল,ବାଫଲ୍ |
বেগৱৰ্ক,ବ୍ୟାଗୱାର୍କ |
বেলেষ্ট,ବାଲାଷ୍ଟ
বল মাটি,ବଲ୍ ମାଟି |
বল কন ক্লেম্প,ବଲ୍ କୋଣ କ୍ଲମ୍ପ୍ |
কাঁইটীয়া তাঁৰ,କଣ୍ଟା ତାର
বাৰ কুকুৰ,ବାର୍ କୁକୁର |
বাৰ্জ বৰ্ড,ବ୍ୟାରେଜ୍ ବୋର୍ଡ |
বেৰিয়াম ছালফেট পৰীক্ষা,ବାରିୟମ୍ ସଲଫେଟ୍ ପରୀକ୍ଷା |
বেৰেজ,ବ୍ୟାରେଜ୍
বেৰেট,ବାରେଟ୍ |
ভেঁটি,ଆଧାର
ভিত্তি বিনিময়,ଆଧାର ବିନିମୟ |
ভিত্তি লাইন,ଆଧାର ରେଖା |
বেছমেণ্ট,ବେସମେଣ୍ଟ୍ |
বেছমেণ্টৰ দেৱাল,ବେସମେଣ୍ଟ କାନ୍ଥ |
বেচ প্লেট,ବେସ୍ ପ୍ଲେଟ୍ |
"বেচ প্লেট, নিয়ন্ত্ৰণযোগ্য","ବେସ୍ ପ୍ଲେଟ୍, ନିୟନ୍ତ୍ରିତ |"
ভিত্তি পৰিপূৰকতা,ମୂଳ ପରିପୃଷ୍ଠା |
বেছ’ইড,ବାସୋଏଡ୍ |
বেট,ବ୍ୟାଟ୍
বাথ আৰু ডব্লিউ চি,ସ୍ନାନ ଏବଂ WC
বেটাৰ পেগ,ବାଟା ପେଗ୍ |
বেটাৰ ঘাট,ବାଟା ପାଇର୍ |
বেটাৰৰ নিয়ম,ବ୍ୟାଟର ନିୟମ |
Baulk (বালক),ବାଲ୍କ (ବାଲ୍କ)
উপসাগৰ,ବାଇ
বাহক,ଧାରକ
বহন ক্ষমতা,ବହନ କରିବାର କ୍ଷମତା |
বেয়াৰিং পাইল,ଗଦା ବହନ କରିବା |
বহন স্তৰ,ଷ୍ଟ୍ରାଟମ୍ ବହନ କରିବା |
বিছনা,ଶଯ୍ୟା
বিচনাৰ বিমান,ବିଛଣା ବିମାନ |
বিচনাৰ সংযোগ,ଶଯ୍ୟା ଗଣ୍ଠି |
বিচনাৰ শিল,ବେଡ୍ ପଥର |
শোৱনি কোঠা,ବେଡ୍ ରୁମ୍ |
মৌমাখিৰ মোম,ମହୁମାଛି
বেল বাকচ,ବେଲ୍ ବାକ୍ସ |
বেলিং বাল্টি,ବାଲ୍ଟି ବାଲିଙ୍ଗ୍ |
বেলোফ্ৰেম,ବେଲୋଫ୍ରାମ୍ |
বেঞ্চযুক্ত ভেটি,ବେଞ୍ଚ ଭିତ୍ତିଭୂମି |
বেঞ্চিং কৰা,ବେଞ୍ଚିଂ
বেঞ্চ মাৰ্ক,ବେଞ୍ଚ ମାର୍କ |
লাভৰ খৰচ বিশ্লেষণ,ଲାଭ ମୂଲ୍ୟ ବିଶ୍ଳେଷଣ |
বাৰ্ম,ବରମ
বেভেলড বন্ধ,ବେଭେଲଡ୍ ବନ୍ଦ |
"খ-দিগন্ত,&quot;খ-","ବି-ରାଶି, &quot;B-"
বিয়াত,ବିଟ୍ |
বাইণ্ডাৰ,ବାଇଣ୍ଡର୍ |
বান্ধি ৰখা সামগ্ৰী,ବାନ୍ଧିବା ସାମଗ୍ରୀ |
বায়টৰ তত্ত্ব,ବାୟୋଟ ସିଦ୍ଧାନ୍ତ |
বিটুমিন,ବିଟୁମେନ |
ক’লা কপাহী মাটি,କଳା ସୂତା ମାଟି |
ক&#39;লা পৃথিৱী,କଳା ପୃଥିବୀ |
ক’লা টাৰ্ফ মাটি,କଳା ଟର୍ଫ ମାଟି |
ব্লেড,ବ୍ଲେଡ୍ |
ব্লাষ্ট ফাৰ্নেচ স্লেগ চিমেণ্ট,ବ୍ଲାଷ୍ଟ ଫର୍ଣ୍ଣେସ୍ ସ୍ଲାଗ୍ ସିମେଣ୍ଟ |
ব্লকযুক্ত গঠন,ଅବରୋଧ ସଂରଚନା |
বগী প্ৰতিৰোধ,ବଗି ପ୍ରତିରୋଧ |
বোগ-লোহাৰ অক্সাইড,ବଗ୍-ଲୁହାପଥର |
বান্ধোন,ବନ୍ଧ
বণ্ডেড সদস্য,ବନ୍ଧିତ ସଦସ୍ୟ |
বণ্ডেড পোষ্ট টেনচিং,ବନ୍ଧିତ ପୋଷ୍ଟ ଟେନସିଂ |
বণ্ড ষ্টোন,ବନ୍ଧ ପଥର |
বান্ধি থোৱা পানী,ସୀମା ଜଳ |
বক্স নালা,ବାକ୍ସ ଗୁଟର୍ |
ব্ৰেচ,ବନ୍ଧନୀ
ইটা-অন-এজ,ଇଟା-ଧାର
লজ্জাজনক,ବ୍ରିଡଲ୍ |
উজ্জ্বলতা,ଉଜ୍ଜ୍ୱଳତା |
বাদামী মাটি,ବାଦାମୀ ମାଟି |
ভৱন,ବିଲଡିଂ
বিল্ডিং জৰীপকাৰী,ବିଲ୍ଡିଂ ସର୍ବେକ୍ଷଣକାରୀ |
বাফাৰ,ବଫର୍ |
বাফাৰ বক্ৰ,ବଫର୍ ବକ୍ର
বাফাৰিং,ବଫରିଂ |
বাফাৰিং ক্ষমতা,ବଫରିଂ କ୍ଷମତା |
বাণ্ডাৰ,ବଣ୍ଡର୍ |
বাট্ৰেছ,ଦୁର୍ଗ
গ-দিগন্ত,ସି-ରାଶି
কেবল,କେବୁଲ୍ |
কেবল মল্ডিং,କେବୁଲ୍ ମୋଲିଡିଂ |
কেবলিং,କ୍ୟାବଲିଂ |
কেবিন,କ୍ୟାବିନ
কেবিন হুক,କ୍ୟାବିନ ହୁକ୍ |
কেবিনেট,କ୍ୟାବିନେଟ୍
কেবল্টৰ চাকৰি এৰিছে,କ୍ୟାବୋଲ୍ଟଙ୍କ ବିଦାୟ
কেফেটেৰিয়া,କାଫେରିଆ |
সঁজা,କେଜ୍ |
পিঞ্জৰা নিৰ্মাণ,କେଜ୍ ନିର୍ମାଣ
কয়িনৰ সূত্ৰ,କ ain ନଙ୍କ ସୂତ୍ର |
কেইচন,କେସନ୍ |
কেইচন ৰোগ,କେସନ୍ ରୋଗ |
কেইচন ফাউণ্ডেচন,କେସନ୍ ଫାଉଣ୍ଡେସନ୍ |
কেইচন পাইল,କେସନ୍ ଗଦା |
কেলকেয়াৰযুক্ত ইটা,କାଲ୍କେରିସ୍ ଇଟା |
কেলকেয়াৰযুক্ত মাটি,କାଲକେୟାର ମାଟି |
কেলকেয়াৰযুক্ত খোলা,କାଲ୍କେରିସ୍ କ୍ରଷ୍ଟ୍ |
কেলচিফিকেশন,ଗଣନା
কেলচিনেচন,ଗଣନା
কেলচিন,କାଲସିନ୍
কেলচাইট,କାଲସିଟ୍ |
