Tamil,Odiya
அமிலத்தன்மை,ଏସିଡଏଡ୍ |
அயோலியன் மண்,ଆଓଲିୟାନ୍ ମାଟି |
மதிப்பீட்டு,ସମୁଦାୟ
திரட்டுதல்,ଏକୀକରଣ
வேளாண்மை,ଏଗ୍ରୋଲୋଜି
வேளாண்மை,କୃଷି
A- அடிவானம்,ଏକ ରାଶି
Ao- அடிவானம்,ଆଓ-ରାଶି
Aoo- அடிவானம்,ଆଓ-ରାଶି |
மண்ணின் காற்று திறன்,ମାଟିର ବାୟୁ କ୍ଷମତା |
மண்ணின் காற்றின் உள்ளடக்கம்,ମାଟିର ବାୟୁ ସାମଗ୍ରୀ |
காற்று பிக்னோமீட்டர்,ବାୟୁ ପିକନୋମିଟର |
அல்லிடிக் மண்,ଆଲିଟିକ୍ ମାଟି |
வண்டல் மண்,ଆଲୁଭିଆଲ୍ ମାଟି |
ஆம்போலிடாய்டு,ଆମ୍ଫୋଲାଇଟଏଡ୍ |
அயன்,ଆନିଅନ୍ |
"வெளிப்படையான குறிப்பிட்ட ஈர்ப்பு அளவு எடை அல்லது மொத்த குறிப்பிட்ட ஈர்ப்பு,&quot;","ସ୍ପଷ୍ଟ ନିର୍ଦ୍ଦିଷ୍ଟ ମାଧ୍ୟାକର୍ଷଣ ପରିମାଣ ଓଜନ କିମ୍ବା ବହୁଳ ନିର୍ଦ୍ଦିଷ୍ଟ ମାଧ୍ୟାକର୍ଷଣ, &quot;"
அரிஸ்,ଆରିସ୍
Ashlar நன்றாக கொத்து,ଆଶଲାର୍ ସୂକ୍ଷ୍ମ ଚୁକ୍ତି |
ஆஷ்லர் கொத்து,ଆଶଲାର୍ ରାଜକନିକା |
அசோனல் மண்,ଆଜୋନାଲ ମାଟି |
பின் நடிகர்,ପଛ ଆକ୍ଟର୍ |
பின் வளைவு,ପଛ ଆର୍କ
பின் இசைக்குழு,ବ୍ୟାକ୍ ବ୍ୟାଣ୍ଡ |
பின் தூரிகை,ପଛ ବ୍ରଶ୍ |
மீண்டும் சரிபார்க்கவும்,ପଛକୁ ଯା check ୍ଚ କରନ୍ତୁ |
பின் கவுண்டர்,ପଛ କାଉଣ୍ଟର |
முதுகு வெட்டுதல்,ପଛ କାଟିବା |
பின் வரைவு damper,ପଛ ଡ୍ରାଫ୍ଟ ଡ୍ୟାମ୍ପର୍ |
பின் வடிகால்,ପଛ ଡ୍ରେନ୍ |
பின் துளி,ବ୍ୟାକ୍ ଡ୍ରପ୍ |
பின் நிரப்பவும்,ପଛକୁ ପୁରଣ କରନ୍ତୁ |
பின் ஃபில்லட்,ପଛ ଫିଲେଟ୍ |
பின் மடல் கீல்,ପଛ ଫ୍ଲାପ୍ ହିଙ୍ଗ୍ |
பின் ஓட்ட இணைப்பு,ପଛ ପ୍ରବାହ ସଂଯୋଗ |
பின் ஓட்டம் தடுப்பான்,ପଛ ପ୍ରବାହ ପ୍ରତିରୋଧକ |
பின் அளவுகோல்,ବ୍ୟାକ୍ ଗେଜ୍ |
பின்புற சாக்கடை,ପଛ ଗୁଟର୍ |
பின் அடுப்பு,ପଛ ଚୁଲି
ஆதரவு,ସମର୍ଥନ
பேக்கிங் போர்டு,ବ୍ୟାକିଂ ବୋର୍ଡ |
பின் அழுத்தம்,ପଛ ଚାପ |
பின் முட்டு,ପଛ ପ୍ରପ
பின் பார்வை,ପଛ ଦୃଶ୍ୟ |
பின் நீர்,ପଛ ପାଣି |
குழப்பம்,ବାଫଲ୍ |
பை வேலை,ବ୍ୟାଗୱାର୍କ |
பேலாஸ்ட்,ବାଲାଷ୍ଟ
பந்து களிமண்,ବଲ୍ ମାଟି |
பந்து கூம்பு கவ்வி,ବଲ୍ କୋଣ କ୍ଲମ୍ପ୍ |
முள்வேலி,କଣ୍ଟା ତାର
பார் நாய்,ବାର୍ କୁକୁର |
விசைப்படகு பலகை,ବ୍ୟାରେଜ୍ ବୋର୍ଡ |
பேரியம் சல்பேட் சோதனை,ବାରିୟମ୍ ସଲଫେଟ୍ ପରୀକ୍ଷା |
சரமாரி,ବ୍ୟାରେଜ୍
பாரெட்,ବାରେଟ୍ |
அடித்தளம்,ଆଧାର
அடிப்படை பரிமாற்றம்,ଆଧାର ବିନିମୟ |
அடிப்படை வரி,ଆଧାର ରେଖା |
அடித்தளம்,ବେସମେଣ୍ଟ୍ |
அடித்தள சுவர்,ବେସମେଣ୍ଟ କାନ୍ଥ |
அடித்தட்டு,ବେସ୍ ପ୍ଲେଟ୍ |
"அடிப்படை தட்டு, சரிசெய்யக்கூடியது","ବେସ୍ ପ୍ଲେଟ୍, ନିୟନ୍ତ୍ରିତ |"
அடிப்படை செறிவு,ମୂଳ ପରିପୃଷ୍ଠା |
பாசாய்டு,ବାସୋଏଡ୍ |
வௌவால்,ବ୍ୟାଟ୍
பாத் மற்றும் WC,ସ୍ନାନ ଏବଂ WC
இடி ஆப்பு,ବାଟା ପେଗ୍ |
பேட்டர் பையர்,ବାଟା ପାଇର୍ |
பேட்டர் விதி,ବ୍ୟାଟର ନିୟମ |
பால்க் (பால்க்),ବାଲ୍କ (ବାଲ୍କ)
விரிகுடா,ବାଇ
தாங்குபவர்,ଧାରକ
தாங்கும் திறன்,ବହନ କରିବାର କ୍ଷମତା |
தாங்கும் பைல்,ଗଦା ବହନ କରିବା |
