Hindi,Malayalam
" उपशमन ,कमी",ശീതീകരണം
संक्षिप्‍ति,ചുരുക്കല്
अपहरण,പിടിച്ചുകൊണ്ടുപോകല്
प्रास्थगन,Aveyne
योग्यता,കഴിവ്
"आदित:,आरंभ से",Ab initio
योग्य,കഴിവുള്ള
अपसामान्य,വിലക്ഷണമായ
" उन्मूलन , समाप्‍ति",നിർത്തലാക്കൽ
पद समाप्‍ति,നിർത്തലാക്കൽ പോസ്റ്റ്
"ऊपर उल्लिखित, उपर्युक्‍त",മുകളിൽ സൂചിപ്പിച്ച
ऊपर उद्‍धृत,മുകളിൽ ഉദ്ധരിച്ചത്
उपर्युक्‍त,മുകളിൽ പറഞ്ഞത്
" अनुपस्थिति, गैरहाजि़री , अभाव",അസാന്നിദ്ധം
"अनुपस्थित, ग़ैरहाजि़र",ഹാജരാകാത്ത
" अनुपस्थिति-प्रवृत्‍ति , अन्यत्रवासिता",ഹാജരാകാത്തീയത
अनुपस्थिति-विवरण,ഹാജരാകാതിരിക്കുക
" पूर्ण , निरपेक्ष",കേശവം
पूर्ण एकाधिकार,കേവല കുത്തക
पूर्ण स्वामित्व,കേവല ഉടമസ്ഥാവകാശം
" आमेलन , अवशोषण",ആഗിരണം
सार,വേര്പെട്ടുനില്ക്കുന്ന
सार-विवरण,അനുഗമിക്കുന്നു
"अर्थहीन, बेतुका",അസംബന്ധം
प्रचुरता,സമൃദ്ധി
शक्‍ति का दुरुपयोग,അധികാര ദുരുപയോഗം
गाली-गलौज,അധിക്ഷേപകരമായ ഭാഷ
"अकादमिक, शैक्षणिक,विद्‌यासंबंधी,शास्त्रीय",പണ്ഡിതോചിതമായ
शास्त्रीय चर्चा,അക്കാദമിക് ചർച്ച
अकादमिक छुट्टी,അക്കാദമിക് അവധി
शैक्षिणिक अर्हता,വിദ്യാഭ്യാസ യോഗ്യത
"शैक्षिक रिकार्ड,शैक्षिक अभिलेख",അക്കാദമിക് റെക്കോർഡ്
"मान लेना, अधिमिलन होना",നിര്വഹിക്കുക
"स्वीकार करना,मानना",അംഗീകരിക്കുക
" स्वीकृति , प्रतिग्रहण ",കൈക്കൊള്ളല്
पद-स्वीकृति,ഓഫീസിന്റെ സ്വീകാര്യത
निविदा की स्वीकृति,ടെണ്ടർ സ്വീകാര്യത
पहुंच,പ്രവേശനം
"राज्यारोहण , पदारोहण , परिग्रहण",അപേക്ഷ
" अनुषंगी, उपसाधन",ഉപസാധനം
" दुर्घटना, संयोग",ആകസ്മികത
पर्यनुकूलन,ACCLIMATIES
" आवास, निर्वाह , समंजन",സ്ഥലസൗകരം
संगकार,അനുഗമിച്ചു
" समझौता, प्रदान करना, देना",അക്കോര്
