Marathi,Gujarati
"1.अॅबॅकस, 2. मोजणी","1.એબેકસ, 2. ગણતરી"
असामान्य शेवट,અસામાન્ય અંત
इंटरसेप्ट,ઇન્ટરસેપ્ટ
"1. निरपेक्ष, 2. सर्वोच्च","1. સંપૂર્ણ, 2. સર્વોચ્ચ"
परिपूर्ण पत्ता,સંપૂર્ણ સરનામું
परिपूर्ण पत्ता योग्यता,સંપૂર્ણ સંબોધનક્ષમતા
परिपूर्ण असेंबलर,સંપૂર્ણ એસેમ્બલર
"1. संपूर्ण कोड, 2. परिपूर्ण कोड","1. સંપૂર્ણ કોડ, 2. સંપૂર્ણ કોડ"
निरपेक्ष आज्ञा,સંપૂર્ણ આદેશ
"1. परिपूर्ण आकडे, 2. परिपूर्ण डेटा","1. સંપૂર્ણ આંકડા, 2. સંપૂર્ણ ડેટા"
परिपूर्ण सूचना,સંપૂર્ણ સૂચના
परिपूर्ण मोड,સંપૂર્ણ મોડ
परिपूर्ण मार्ग,સંપૂર્ણ માર્ગ
"1. परिपूर्ण प्रोग्रामिंग, 2. परिपूर्ण प्रोग्रामिंग","1. સંપૂર્ણ પ્રોગ્રામિંગ, 2. સંપૂર્ણ પ્રોગ્રામિંગ"
अमूर्त वर्ग,અમૂર્ત વર્ગ
अमूर्त डेटा प्रकार,અમૂર્ત ડેટા પ્રકાર
अमूर्त मशीन,અમૂર્ત મશીન
अमूर्त चिन्ह,અમૂર્ત પ્રતીક
अमूर्त वाक्यरचना,અમૂર્ત વાક્યરચના
स्वीकृती चाचणी,સ્વીકૃતિ કસોટી
प्रवेश प्रमाणपत्र,પ્રવેશ પ્રમાણપત્ર
"1. प्रवेश कोड, 2. प्रवेश कोड","1. એક્સેસ કોડ, 2. ઍક્સેસ કોડ"
प्रवेश नियंत्रण,વપરાશ નિયંત્રણ
प्रवेश स्कॅनिंग,ઍક્સેસ સ્કેનિંગ
उपकरणे,એસેસરીઝ
लेखा,નામું
"1. खाते आयडी, 2. लेखा ओळख","1. એકાઉન્ટ ID, 2. એકાઉન્ટિંગ ઓળખ"
संचयक,સંચયક
"1. अचूकता, 2. अचूकता","1. ચોકસાઈ, 2. ચોકસાઈ"
प्रवेश,ઍક્સેસ
प्रवेश नियंत्रण बाइट्स,એક્સેસ કંટ્રોલ બાઇટ્સ
प्रवेश सूचक,ઍક્સેસ સૂચક
प्रवेश की,ઍક્સેસ કી
"1. प्रवेश मॅट्रिक्स, 2. प्रवेश मॅट्रिक्स","1. એક્સેસ મેટ્રિક્સ, 2. એક્સેસ મેટ્રિક્સ"
प्रवेश मोड,ઍક્સેસ મોડ
प्रवेश विशेषाधिकार,ઍક્સેસ વિશેષાધિકારો
प्रवेश सुरक्षा,ઍક્સેસ સુરક્ષા
"1. ऍक्सेस सर्व्हर, 2. प्रवेश सर्व्हर","1. એક્સેસ સર્વર, 2. સર્વર ઍક્સેસ કરો"
प्रवेश वेळ,ઍક્સેસ સમય
पोचपावती,સ્વીકૃતિ
ध्वनीशास्त्र,ધ્વનિશાસ્ત્ર
"1. संक्षेप, 2. संक्षेप, 3. पासून लहान","1. ટૂંકાક્ષર, 2. સંક્ષેપ, 3. થી ટૂંકું"
क्रिया संदेश,ક્રિયા સંદેશ
सक्रियकरण,સક્રિયકરણ
सक्रिय सर्व्हर पृष्ठ,સક્રિય સર્વર પૃષ્ઠ
सक्रिय आवृत्ती,સક્રિય સંસ્કરણ
अॅसायक्लिक,એસાયક્લિક
"1. अॅसायक्लिक आलेख, 2. अॅसायक्लिक आलेख","1. એસાયક્લિક ગ્રાફ, 2. એસાયક્લિક ગ્રાફ"
