Kannada,Gujarati
ಎ ಬಿ ವರ್ಗದ ಆಂಪ್ಲಿಫಯರ್,A B વર્ગ એમ્પ્લીફાયર
ವಿಪಥನ,વિકૃતિ
ಅಸಹಜ ಪ್ರಸರಣ,અસામાન્ય ટ્રાન્સમિશન
"ಜೋಡಿಸದ, ಸಾಮಾನ್ಯವಾಗಿ, ಹೊಂಡ, ಕತ್ತರಿಸಿದ, ಮುರಿತ","જોડાણ વિનાનું, સામાન્ય રીતે, ખાડો, અંગવિચ્છેદન, અસ્થિભંગ"
ಸ್ಪೆಕ್ಟ್ರಮ್ ಕಾಣೆಯಾಗಿದೆ,ગુમ થયેલ સ્પેક્ટ્રમ
"ಸಂಪೂರ್ಣ, ಸಂಪೂರ್ಣ, ನಿರಂತರ, ಪರಿಪೂರ್ಣ","નિરપેક્ષ, નિરપેક્ષ, અચળ, સંપૂર્ણ"
ಸಂಪೂರ್ಣ ಆರ್ದ್ರತೆ,સંપૂર્ણ ભેજ
ಸಂಪೂರ್ಣ ವೇಗ,સંપૂર્ણ ગતિ
ಸಂಪೂರ್ಣ ವೀಕ್ಷಣೆ,સંપૂર્ણ અવલોકન
ಸಂಪೂರ್ಣ ತಾಪಮಾನ,સંપૂર્ણ તાપમાન
ಸಂಪೂರ್ಣ ಶೂನ್ಯ,સંપૂર્ણ શૂન્ય
ಹೀರಿಕೊಳ್ಳುತ್ತವೆ,શોષી લેવું
"ಹೀರಿಕೊಳ್ಳುವ, ಹೀರಿಕೊಳ್ಳುವ","શોષક, શોષક"
ಹೀರಿಕೊಳ್ಳುವ ಸಾಮರ್ಥ್ಯ,શોષણ ક્ષમતા
ಹೀರಿಕೊಳ್ಳುವಿಕೆ,શોષણ
ಹೀರಿಕೊಳ್ಳುವ,શોષક
ಹೀರಿಕೊಳ್ಳುವಿಕೆ,શોષકતા
ಬಹುಸಂಖ್ಯೆಯ ಅನುಪಾತ,ગુણાકાર ગુણોત્તર
ವೇಗವನ್ನು,વેગ આપો
ಆತುರಪಟ್ಟರು,ઉતાવળ કરી
ವೇಗವರ್ಧನೆ,પ્રવેગ
ಗುರುತ್ವಾಕರ್ಷಣೆಯ ವೇಗವರ್ಧನೆ,ગુરુત્વાકર્ષણ પ્રવેગક
ವೇಗವರ್ಧಕ,પ્રવેગક
ವೇಗವರ್ಧಕ,પ્રવેગક
ವೇಗವರ್ಧಕ,એક્સેલરોમીટર
ಪ್ರಿಸ್ಟ್ರೆಸರ್,prestresser
ಸ್ವೀಕಾರಾರ್ಹ ಪರೀಕ್ಷೆ,સ્વીકાર્ય પરીક્ષણ
ಸ್ವೀಕರಿಸುವವರು,સ્વીકારનાર
ದಾನಿ ಅಣು,દાતા પરમાણુ
"ಪ್ರವೇಶ, ಕಾಯುವಿಕೆ, ಪ್ರವೇಶಿಸುವಿಕೆ","પ્રવેશ, રાહ, સુલભતા"
ಪ್ರವೇಶಿಸುವಿಕೆ,ઉપલ્બધતા
"ಹೆಚ್ಚುವರಿ, ಪರಿಕರ, ಪರಿಕರ (ವಿ.), ಪರಿಕರಗಳು (ಸಂ)","ફાજલ, સહાયક, સહાયક (v.), ઉપસાધનો (ed.)"
ಪ್ರವೇಶ ಸಮಯ,ઍક્સેસ સમય
ಸಂದರ್ಶಕರ ದೋಷ,મુલાકાતી ભૂલ
ಹೊಂದಾಣಿಕೆ,ગોઠવણ
ಸಂಗ್ರಹಿಸಲಾಗಿದೆ,સંચિત
"ಶೇಖರಣೆ, ಶೇಖರಣೆ","સંચય, સંચય"
ಸಂಚಯಕ,સંચયક
ನಿಖರತೆ,ચોકસાઈ
ರಿಯಾಲಿಟಿ,વાસ્તવિકતા
ವರ್ಣರಹಿತ ಮಸೂರ,વર્ણહીન લેન્સ
ವರ್ಣರಹಿತ,વર્ણહીન
ವರ್ಣರಹಿತತೆ,વર્ણહીનતા
ಅಕೌಸ್ಟಿಕ್,એકોસ્ટિક
ಧ್ವನಿ ನಿರೋಧಕ,સાઉન્ડપ્રૂફ
ಅಕೌಸ್ಟಿಕ್ ಫೋನಾನ್,એકોસ્ટિક ફોનોન
ಧ್ವನಿ ಘಟಕ,ધ્વનિ એકમ
ಅಕೌಸ್ಟಿಕ್,એકોસ્ટિક
ಧ್ವನಿ ಜನರೇಟರ್,અવાજ જનરેટર
ಕ್ರಿಯೆ ಮತ್ತು ಪ್ರತಿಕ್ರಿಯೆ,ક્રિયા અને પ્રતિક્રિયા
ಸಕ್ರಿಯಗೊಳಿಸುವಿಕೆ,સક્રિયકરણ
ಸಕ್ರಿಯಗೊಳಿಸುವ ಶಕ್ತಿ,સક્રિયકરણ ઊર્જા
"ಆಕ್ಟಿವೇಟರ್, ಆಕ್ಟಿವೇಟರ್","એક્ટિવેટર, એક્ટિવેટર"
ಸಕ್ರಿಯ,સક્રિય
ಕ್ರಿಯಾಶೀಲತೆ,સક્રિયતા
ನಿಜವಾದ ಒತ್ತಡ,વાસ્તવિક તણાવ
ಗುಸುಗುಸು,બબડાટ
ಒಟ್ಟುಗೂಡಿಸಲು,સારાંશ માટે
"ಮೊತ್ತ, ಸಂಕಲನ, ಒಟ್ಟು (ed.), ಸಂಯೋಜಕ (v.)","સરવાળો, ઉમેરો, એકંદર (સં.), ઉમેરણ (વિ.)"
"ಸಂಯೋಜಕ ಸ್ವರ, ಹೆಚ್ಚುವರಿ ಸ್ವರ (ಸ್ವರ)","સંયોજક સ્વર, વધારાનો સ્વર (સ્વર)"
ಸಂಯೋಜಕ,ઉમેરણ
ಅಂಟಿಕೊಳ್ಳುವಿಕೆ,સંલગ્નતા
ಅಂಟಿಕೊಳ್ಳುವ ಶಕ್ತಿ,એડહેસિવ ઊર્જા
ಅಡಿಯಾಬಟ್,adiabat
ಅಡಿಯಾಬಾಟಿಕ್,એડિબેટિક
ಶಾಖ ನಿರೋಧಕ,હીટ ઇન્સ્યુલેટીંગ
ಬಾಂಧವ್ಯ,જોડાણ
ಹೊಂದಾಣಿಕೆ,એડજસ્ટેબલ
ನುಗ್ಗುವಿಕೆ,પ્રવેશ
ಹೊರಹೀರುವಿಕೆ,શોષણ
ಮುಂದೆ,આગળ
ಪ್ರಗತಿಪರ,પ્રગતિશીલ
"ಆಕಾಶಿ, ವಾಯು (ವಿ.), ವೈಮಾನಿಕ (ಸಂ)","આકાશી, હવા (વિ.), હવાઈ (સં.)"
ಆಂಟೆನಾ ಸ್ಟ್ರೀಮ್,એન્ટેના સ્ટ્રીમ
ವೈಮಾನಿಕ ಸಮೀಕ್ಷೆ,હવાઈ સર્વેક્ષણ
ಗಾಳಿಯ ವೇಗ,હવાનો વેગ
ವಾಯುಬಲವೈಜ್ಞಾನಿಕ ಗುಣಾಂಕ,એરોડાયનેમિક ગુણાંક
ವಾಯುಬಲವೈಜ್ಞಾನಿಕ,એરોડાયનેમિક
ವಾಯುಬಲವಿಜ್ಞಾನ,એરોડાયનેમિક્સ
ಏರೋನಾಟಿಕಲ್,એરોનોટિકલ
ಏರೋನಾಟಿಕ್ಸ್,એરોનોટિક્સ
ಗಾಳಿಯ ನಾಡಿ,હવા નાડી
"ವಾತಾವರಣ, ಅನಿಲಗೋಳ","વાતાવરણ, ગેસોસ્ફિયર"
ಕೇಂದ್ರೀಕೃತ ವ್ಯವಸ್ಥೆ,ફોકસ સિસ્ટમ
ಹಿಂಭಾಗದ ದಹನ,પાછળની ઇગ્નીશન
ಹಿಂಬದಿ ಬೆಳಕು,પાછળનો પ્રકાશ
ಕನ್ಕ್ಯುಶನ್,ઉશ્કેરાટ
"ವಯಸ್ಸು, ವಯಸ್ಸು, ವಯಸ್ಸು, ಯುಗ (ed.), ಸಮಯವನ್ನು ಪ್ರಭಾವಿಸಲು (ver.), ಸಮಯ, ಸಮಯದಿಂದ ಪ್ರಭಾವಿತವಾಗಿರುತ್ತದೆ","ઉંમર, ઉંમર, ઉંમર, યુગ (ed.), સમયને અસર કરવા માટે (ver.), સમય, સમય દ્વારા પ્રભાવિત થવો"
ಸಮಯ ಪ್ರಭಾವಿತವಾಗಿದೆ,અસરગ્રસ્ત સમય
"ವಯಸ್ಸಾದ, ವಯಸ್ಸಾದ","વૃદ્ધાવસ્થા, વૃદ્ધત્વ"
ಸಮಯದ ಪರಿಣಾಮ,સમયની અસર
ಸಮಯ ಪರಿಣಾಮ ಪರೀಕ್ಷೆ,સમય અસર પરીક્ષણ
ಗುರುತ್ವಾಕರ್ಷಣೆಯಿಲ್ಲದ,ગુરુત્વાકર્ષણ રહિત
ಸಮನ್ವಯ,સમાધાન
"ವಾಯುಗಾಮಿ ರಾಡಾರ್, ವೈಮಾನಿಕ ರಾಡಾರ್","એરબોર્ન રડાર, એરિયલ રડાર"
"ವೈಮಾನಿಕ ಗುರಿ, ವೈಮಾನಿಕ ಗುರಿ","હવાઈ લક્ષ્ય, હવાઈ લક્ષ્ય"
ವಾಯು ಉಸಿರಾಟಕಾರಕ,હવા શ્વસન કરનાર
ಹವಾನಿಯಂತ್ರಣ,એર કન્ડીશનીંગ
ಏರ್ಕ್ರೂ ಟ್ರಾನ್ಸ್ಫಾರ್ಮರ್,એરક્રુ ટ્રાન્સફોર્મર
ವಿಮಾನ,વિમાન
ಜೋಡಣೆ,ગોઠવણી
ಜೋಡಣೆ ದೋಷ,સંરેખણ ભૂલ
ಲೈವ್ ಸರ್ಕ್ಯೂಟ್,જીવંત સર્કિટ
ಪೂರ್ಣ ಗಾಜಿನ ಕೊಳವೆ,સંપૂર્ણ કાચની નળી
ಸಂಪೂರ್ಣ ಲೋಹದ ಕೊಳವೆ,આખી મેટલ ટ્યુબ
ಸರಿಪಡಿಸಲು,ઠીક
"ಮಿಶ್ರತು (ಸಂ), ಮಿಶ್ರತ್ವಾನ್ (ಸಿಆರ್.)","મિશ્રાતુ (સં.), મિશ્રત્વન (cr.)"
ಮಿಶ್ರತ್ವಾನ್,મિશ્રત્વ
ಸರ್ವತ್ರ ಮಾಧ್ಯಮ,સર્વવ્યાપક માધ્યમ
ಓಮ್ನಿ ಆಂಟೆನಾ,ઓમ્ની એન્ટેના
ಪಂಚಾಂಗ,પંચાંગ
ಆಲ್ಫಾ,આલ્ફા
ಆಲ್ಫಾ ಚಟುವಟಿಕೆ,આલ્ફા-પ્રવૃત્તિ
ಆಲ್ಫಾನ್ಯೂಮರಿಕ್,આલ્ફાન્યૂમેરિક
ಆಲ್ಫಾ ಕಿರಣ,આલ્ફા કિરણ
ಬದಲಾವಣೆ,બદલો
"ಪರ್ಯಾಯ, ಪರ್ಯಾಯ","વૈકલ્પિક, વૈકલ્પિક"
ಆವರ್ತಕ,વૈકલ્પિક
ಅಲ್ಟಿಮೀಟರ್,અલ્ટિમીટર
ಅಲ್ಟಿಮೀಟರ್,અલ્ટિમીટર
ಆಲ್ಟೈಮೆಟ್ರಿ,અલ્ટાઇમટ્રી
"ಎತ್ತರ, ಎತ್ತರ, ಎತ್ತರ, ಎತ್ತರ","ઊંચાઈ, ઊંચાઈ, ઊંચાઈ, ઊંચાઈ"
ಅಂಕಗಣಿತದ ತಾರ್ಕಿಕ ಘಟಕ (ALU),અંકગણિત તર્ક એકમ (ALU)
ಅಮೇಟ್ ನಿಯಮ,amaget નિયમ
ಪರಿಸರ,પર્યાવરણ
ಅಮಿಕ್ರಾನ್,એમીક્રોન
ವಿದ್ಯುತ್ ಪ್ರವಾಹ ಮಾಪಕ,એમીટર
ಆಂಪಿಯರ್,એમ્પીયર
ಆಂಪಿಯರ್-ಕಾನೂನು,એમ્પીયર કાયદો
ಉಭಯಚರ ಅಯಾನು,ઉભયજીવી આયન
ವರ್ಧನೆ,એમ્પ્લીફિકેશન
ಆಂಪ್ಲಿಫಯರ್,એમ્પ્લીફાયર
"ಕೋನ, ಆಯಾಮ","કોણ, પરિમાણ"
ಎ. ಎಂ.ಯು. (ಪರಮಾಣು ದ್ರವ್ಯರಾಶಿ ಘಟಕ),a એમ. યુ. (અણુ સમૂહ એકમ)
ಹೊಂದಬಲ್ಲ,સુસંગત
ಸಾದೃಶ್ಯ,સામ્યતા
ವಿಶ್ಲೇಷಕ,વિશ્લેષક
ವಿಶ್ಲೇಷಣೆ,વિશ્લેષણ
ವಿಶ್ಲೇಷಣಾತ್ಮಕ,વિશ્લેષણાત્મક
ಪಾಯಿಂಟ್ ಅಲ್ಲದ,બિન-બિંદુ
ಅಸಂಗತ,વિસંગત
ಮತ್ತು ಬಾಗಿಲು,અને દરવાજો
ಅಕೌಸ್ಟಿಕ್ ಅಲ್ಲದ,બિન-એકોસ્ટિક
ಅಸಂಗತ ಸ್ಥಿತಿಸ್ಥಾಪಕತ್ವ,વિસંગત સ્થિતિસ્થાપકતા
ಜಲರಹಿತ,નિર્જળ
ಕೋನ,કોણ
ಆಂಗ್ಸ್ಟ್ರಾಮ್ ಘಟಕ,એંગસ્ટ્રોમ એકમ
ಕೋನೀಯ,કોણીય
ಪ್ರೊಟ್ರಾಕ್ಟರ್ ವರ್ನಿಯರ್,પ્રોટ્રેક્ટર વેર્નિયર
ವಿವಾದಾತೀತ,વિવાદાસ્પદ
ಗೌರವವಿಲ್ಲದ,આદરહીન
ವರ್ಣರಹಿತ ಕಾಂತೀಕರಣ,વર્ણહીન ચુંબકીયકરણ
ಆಲಸ್ಯ,ઢીલું
ಅಯಾನ್,anion
ಅಸಮ್ಮಿತ,અસમપ્રમાણ
