Telugu,Tamil
తగ్గింపు,குறைப்பு
సంక్షిప్తీకరణ,சுருக்கம்
అపహరణ,கடத்தல்
Abeyance,நிறுத்துதல்
సామర్థ్యం,திறன்
అబ్ ఇనిషియో,Ab initio
సామర్థ్యం,முடியும்
అసాధారణ,அசாதாரணமானது
రద్దు,ஒழிப்பு
నిర్మూలన పోస్ట్,இடுகை ஒழிப்பு
పైన పేర్కొన్నారు,மேலே குறிப்பிட்டுள்ள
పైన కోట్ చేయబడింది,மேலே மேற்கோள் காட்டப்பட்டுள்ளது
పైన చెప్పారు,மேலே கூறினார்
లేకపోవడం,இல்லாதது
హాజరుకాని,வராதவர்
హాజరుకానితనం,இல்லாதது
హాజరుకాని ప్రకటన,இல்லாத அறிக்கை
సంపూర్ణ,அறுதி
సంపూర్ణ గుత్తాధిపత్యం,முழுமையான ஏகபோகம்
సంపూర్ణ యాజమాన్యం,முழுமையான உரிமை
శోషణ,உறிஞ்சுதல்
నైరూప్య,சுருக்கம்
అబ్స్ట్రాక్ట్ స్టేట్మెంట్,சுருக்கம்
అసంబద్ధం,அபத்தமான
సమృద్ధి,ஏராளமாக
అధికార దుర్వినియోగం,அதிகார துஷ்பிரயோகம்
దుర్వినియోగ భాష,தவறான மொழி
విద్యావేత్త,கல்வி
విద్యా చర్చ,கல்வி விவாதம்
విద్యా సెలవు,கல்வி விடுப்பு
విద్యా అర్హత,கல்வி தகுதி
విద్యా రికార్డు,கல்வி சாதனையை
ACCEDE,ஏற்றுக்கொள்ளுங்கள்
అంగీకరించండి,ஏற்றுக்கொள்
అంగీకారం,ஏற்றுக்கொள்ளல்
కార్యాలయం అంగీకారం,பதவியை ஏற்றுக்கொள்வது
టెండర్ అంగీకారం,டெண்டரை ஏற்றுக்கொள்வது
యాక్సెస్,அணுகல்
ప్రవేశం,அணுகல்
అనుబంధ,துணை
ప్రమాదం,விபத்து
అలవాటు,பழக்கவழக்கமயமாக்கல்
వసతి,தங்குமிடம்
తోడు,துணையுடன்
ఒప్పందం,உடன்பாடு
అనుగుణంగా,ஒப்புதல்
దీని ప్రకారం,அதன்படி
ఖాతా,கணக்கு
జవాబుదారీతనం,பொறுப்புக்கூறல்
జవాబుదారీతనం,பொறுப்பு
అకౌంటెన్సీ,கணக்கியல்
అకౌంటెంట్,கணக்காளர்
ఖాతా,கணக்கு
ఖాతా హెడ్,கணக்கு தலை
సేకరించిన ప్రయోజనం,திரட்டப்பட்ட நன்மை
పెన్షన్ పెన్షన్,திரட்டப்பட்ட ஓய்வூதியம்
చేరడం,குவிப்பு
ఖచ్చితత్వం,துல்லியம்
ఖచ్చితమైనది,துல்லியமானது
నిందించండి,குற்றம்
ఆరోపణలు,குற்றம் சாட்டப்பட்டவர்
సాధన,சாதனை
గుర్తింపు,ஒப்புதல்
రసీదు గడువు,ஒப்புதல் காரணமாக
పరిచయము,அறிமுகம்
సముపార్జన,கையகப்படுத்தல்
సముపార్జన,விடுவித்தல்
చట్టం,நாடகம்
నటన భత్యం,நடிப்பு கொடுப்பனவு
చర్య,செயல்
కార్య ప్రణాళిక,செயல் திட்டம்
క్రియాశీల,செயலில்
చురుకుగా,சுறுசுறுப்பாக
కార్యకర్త,ஆர்வலர்
దైవఘటన,கடவுளின் செயல்
దుష్ప్రవర్తన చర్య,தவறான நடத்தை செயல்
కమీషన్ మరియు కమీషన్,கமிஷன் மற்றும் விடுபடுதல் சட்டம்
అసలు,உண்மையான
వాస్తవాలు,உண்மையான
అనుసరణ,தழுவல்
అదనంగా,கூடுதலாக
అదనపు ఛార్జ్,கூடுதல் கட்டணம்
అదనపు ఫండ్,கூடுதல் நிதி
అదనపు గ్రాంట్,கூடுதல் மானியம்
అదనపు సమాచారం,கூடுதல் தகவல்
అదనపు వేతనం,கூடுதல் ஊதியம்
అదనంగా మరియు మార్పు,கூட்டல் மற்றும் மாற்றம்
చిరునామా,முகவரி
చిరునామా,முகவரி
స్వాగత చిరునామా,வரவேற்பின் முகவரி
తగినంత,போதுமானது
కట్టుబడి,பின்பற்றவும்
తాత్కాలిక హాక్,தற்காலிக
తాత్కాలిక దావా,தற்காலிக உரிமைகோரல்
తాత్కాలిక కమిటీ,தற்காலிக குழு
తాత్కాలిక పెరుగుదల,தற்காலிக அதிகரிப்பு
తాత్కాలిక చెల్లింపు,தற்காலிக கட்டணம்
ప్రక్కనే,அருகில்
ప్రక్కనే (= పరస్పర),அருகிலுள்ள (= தொடர்ச்சியான)
వాయిదా,ஒத்திவைப்பு
వాయిదా చలన,ஒத்திவைப்பு இயக்கம்
అనుబంధం,தீர்ப்பளிக்கவும்
తీర్పు,தீர்ப்பளிக்கவும்
తీర్పు,தீர்ப்பு
న్యాయాధికారి,தீர்ப்பாளர்
సర్దుబాటు,சரிசெய்தல்
నిర్వహించండి,நிர்வாகி
ప్రమాణం చేయండి,சத்தியப்பிரமாணத்தை நிர்வகிக்கவும்
పరిపాలన,நிர்வாகம்
న్యాయం యొక్క పరిపాలన,நீதி நிர்வாகம்
పరిపాలనా,நிர்வாக
పరిపాలనా చర్య,நிர்வாக நடவடிக்கை
అడ్మినిస్ట్రేటివ్ అప్రైసల్,நிர்வாக மதிப்பீடு
పరిపాలనా ఆమోదం,நிர்வாக ஒப்புதல்
పరిపాలనా అధికారం,நிர்வாக அதிகாரம்
పరిపాలనా నియంత్రణ,நிர்வாக கட்டுப்பாடு
పరిపాలనా నిర్ణయం,நிர்வாக முடிவு
పరిపాలనా విభాగం,நிர்வாகத் துறை
అడ్మినిస్ట్రేటివ్ హెడ్,நிர்வாகத் தலைவர்
పరిపాలనా ప్రధాన కార్యాలయం,நிர்வாக தலைமையகம்
పరిపాలనా చర్యలు,நிர்வாக நடவடிக்கைகள்
పరిపాలనా శక్తి,நிர்வாக சக்தி
పరిపాలనా అనుమతి,நிர்வாக அனுமதி
పరిపాలనా సాంకేతికత,நிர்வாக நுட்பம்
అడ్మినిస్ట్రేటివ్ ట్రిబ్యునల్,நிர்வாக தீர்ப்பாயம்
ప్రవేశం,ஒப்புதல்
ఆమోదయోగ్యమైన వ్యయం,ஏற்றுக்கொள்ளக்கூடிய செலவு
అంగీకరించండి,அனுமதிக்கவும்
అడ్మిట్ కార్డ్,அட்டை சேர்க்கவும்
అంగీకరించారు,ஒப்புக்கொள்ளப்பட்டது
సలహా,அறிவுறுத்துங்கள்
దత్తత తీసుకున్న వ్యక్తి,தத்தெடுப்பவர்
దత్తత,தத்தெடுப்பவர்
దత్తత,தத்தெடுப்பு
వయోజన,வயது வந்தோர்
కల్తీ,கலப்படம்
వ్యభిచారం,விபச்சாரம்
వయోజన ఫ్రాంచైజ్,வயதுவந்தோர் உரிமை
ప్రకటన విలువ,விளம்பர மதிப்பீட்டு கடமை
అడ్వాన్స్,முன்கூட்டியே
అడ్వాన్స్ బుకింగ్,முன்கூட்டியே முன்பதிவு
ముందస్తు కాపీ,முன்கூட்டியே நகல்
ముందస్తు పెరుగుదల,அட்வான்ஸ் அதிகரிப்பு
ముందస్తు చెల్లింపు,முன் பணம்
ప్రతికూల ప్రవేశం,பாதகமான நுழைவு
ప్రతికూల వ్యాఖ్యలు,பாதகமான கருத்துக்கள்
ప్రతికూల నివేదిక,பாதகமான அறிக்கை
ప్రకటన,விளம்பரம்
సలహా,ஆலோசனை
చెల్లింపు సలహా,கட்டண ஆலோசனை
సలహా సమితి,ஆலோசனை குழு
సలహా మండలి,ஆலோசனை கவுன்சில்
న్యాయవాది,வக்கீல்
వ్యవహారాలు,விவகாரங்கள்
అఫిడవిట్,பிரமாணப் பத்திரம்
అనుబంధం,இணைப்பு
ధృవీకరణ,உறுதிப்படுத்தல்
ధృవీకరించేది,உறுதியான
స్థోమత,வாங்க
పైన పేర్కొన్నది,மேற்கூறிய
అఫ్రెష్,புதிதாக
వ్యతిరేకంగా,எதிராக
వయస్సు,வயது
వయస్సు ధృవీకరణ పత్రం,வயது சான்றிதழ்
ఓటు హక్కు కోసం వయస్సు,வாக்குரிமைக்கான வயது
వయో పరిమితి,வயது எல்லை
ఏజెన్సీ,ஏஜென்சி
ఎజెండా,நிகழ்ச்சி நிரல்
పదవీ విరమణ వయస్సు,ஓய்வூதிய வயது
పర్యవేక్షణ వయస్సు,மேலதிக வயது
సమూహనం,திரட்டுதல்
బాధపడ్డాడు,வேதனைக்குள்ளானது
ఆందోళన,கிளர்ச்சி
AGM,ஏஜிஎம்
ఒప్పందం,ஒப்பந்தம்
ఒప్పంద ఫారం,ஒப்பந்த படிவம்
వ్యవసాయం,வேளாண்மை
అగ్రో-ఇండస్ట్రీ,வேளாண் தொழில்
సహాయం,உதவி
అలారం,அலாரம்
అప్రమత్తత,விழிப்புணர்வு
