Marathi,Gujarati
abeli गट,અબેલી જૂથ
अबेली गट,અબેલી જૂથ
हात,હાથ
"निरपेक्ष, निरपेक्ष, स्थिर, अचूक","નિરપેક્ષ, નિરપેક્ષ, અચળ, ચોક્કસ"
परिपूर्ण अभिसरण,સંપૂર્ણ સંકલન
परिपूर्ण त्रुटी,સંપૂર્ણ ભૂલ
सर्वोच्च सर्वोच्च,સર્વોચ્ચ સર્વોચ્ચ
परिपूर्ण सर्वात कमी,એકદમ નીચું
परिपूर्ण मूल्य,સંપૂર્ણ મૂલ્ય
परिपूर्ण वेग,સંપૂર્ણ વેગ
अमूर्त बीजगणित,અમૂર્ત બીજગણિત
अमूर्त गट सिद्धांत,અમૂર્ત જૂથ સિદ્ધાંત
प्रवेग,પ્રવેગ
गुरुत्वाकर्षण प्रवेग,ગુરુત્વાકર્ષણ પ્રવેગક
स्वीकार्य निवडकर्ता,સ્વીકાર્ય પસંદગીકાર
स्वीकार्य गुणवत्ता पातळी,સ્વીકાર્ય ગુણવત્તા સ્તર
स्वीकार्य परिसर,સ્વીકાર્ય જગ્યા
वैध विश्वसनीयता पातळी,માન્ય વિશ્વસનીયતા સ્તર
स्वीकृती नमुना,સ્વીકૃતિ નમૂના
संचित त्रुटी,સંચિત ભૂલ
अचूकता,ચોકસાઈ
शक्ती लागू,બળ લાગુ કર્યું
"कृती, कृती","ક્રિયા, ખત"
क्रिया आणि प्रतिक्रिया,ક્રિયા અને પ્રતિક્રિયા
विमा विज्ञान,વીમા વિજ્ઞાન
तीव्र त्रिकोण,તીવ્ર ત્રિકોણ
अॅसायक्लिक,એસાયક્લિક
बेरीज करणे,સારાંશ માટે
जोडणारा,ઉમેરનાર
"बेरीज, बेरीज, बेरीज (c.), बेरीज (v.)","સરવાળો, ઉમેરો, સરવાળો (c.), ઉમેરણ (v.)"
योगाचे सूत्र,યોગનું સૂત્ર
जटिल संख्यांची बेरीज,જટિલ સંખ્યાઓનો સરવાળો
कार्यांची बेरीज,કાર્યોનો સરવાળો
मॅट्रिक्सची बेरीज,મેટ્રિસિસનો સરવાળો
बहुपदांची बेरीज,બહુપદીનો સરવાળો
संभाव्यतेची बेरीज,સંભાવનાઓનો સરવાળો
वेक्टरची बेरीज,વેક્ટરનો સરવાળો
"बेरीज प्रमेय, बेरी सिद्धांत,","સરવાળો પ્રમેય, બેરી સિદ્ધાંત"
मिश्रित गट,ઉમેરણ જૂથ
additive inverse,ઉમેરણ વ્યસ્ત
जोडणी,ઉમેરણ
जोडणी,ઉમેરણ
संलग्नता मॅट्रिक्स,સંલગ્નતા મેટ્રિક્સ
"समीप, समीप, समीप","અડીને, અડીને, અડીને"
समीप कोन,અડીને કોણ
समीप शिरोबिंदू,અડીને શિરોબિંદુ
संबद्ध करणे,સાંકળવું
"संलग्न संलग्न,",જોડાયેલ બંધ
सामान्य निर्धारक,સામાન્ય નિર્ણાયક
संलग्न विभेदक समीकरण,જોડાયેલ વિભેદક સમીકરણ
संलग्न समीकरण,જોડાયેલ સમીકરણ
एकसंध मॅट्रिक्स,કોહોમોજીનીયસ મેટ્રિક્સ
मॅट्रिक्स सहप्रसरण,મેટ્રિક્સ સહપ્રવૃત્તિ
एकसंध मॅट्रिक्स,કોહોમોજીનીયસ મેટ્રિક્સ
स्वीकार्य निर्णय कार्य,સ્વીકાર્ય નિર્ણય કાર્ય
स्वीकार्य गृहीतक,સ્વીકાર્ય પૂર્વધારણા
वायुगतिकीय शक्ती,એરોડાયનેમિક બળ
वायुगतिकी,એરોડાયનેમિક્સ
एकसंध भूमिती,સજાતીય ભૂમિતિ
एकसंध मॅपिंग,સજાતીય મેપિંગ
एकसंध परिवर्तन,સજાતીય પરિવર્તન
एकूण चल,એકંદર ચલ
"बीजगणित, बीजगणित, बीजगणित, बीजगणित","બીજગણિત, બીજગણિત, બીજગણિત, બીજગણિત"
"बियाणे बंद, बीजारोपण","સીડી બંધ, બીજરૂપે"
बीजगणितीय समीकरण,બીજગણિતીય સમીકરણ
बीजगणितीय अभिव्यक्ती,બીજગણિતીય અભિવ્યક્તિ
बीजगणितीय एकरूपता,બીજગણિત એકરૂપતા
बीजगणितीय कार्य,બીજગણિત કાર્ય
बीजगणितीय भूमिती,બીજગણિત ભૂમિતિ
बीजगणितीय बहुलता,બીજગણિત બહુમતી
बीजगणितीय प्रणाली,બીજગણિત સિસ્ટમ
सर्व-पूर्णांक समस्या,તમામ પૂર્ણાંક સમસ્યા
"असाइनमेंट समस्या वॅट प्रश्न,",સોંપણી સમસ્યા વોટ પ્રશ્ન
वर्णक्रमानुसार नोटेशन,આલ્ફાબેટીકલ નોટેશન
वर्णमाला वर्ण,આલ્ફાબેટીક અક્ષર
पर्यायी कोन,વૈકલ્પિક ખૂણા
"पर्यायी एकसंध पर्यायी फॉर्म,",વૈકલ્પિક સજાતીય વૈકલ્પિક સ્વરૂપ
पर्यायी गट,વૈકલ્પિક જૂથ
पर्यायी मॅट्रिक्स,વૈકલ્પિક મેટ્રિક્સ
पर्यायी मालिका,વૈકલ્પિક શ્રેણી
वैकल्पिक गृहीतक,વૈકલ્પિક પૂર્વધારણા
पर्यायी इष्टतम,વૈકલ્પિક શ્રેષ્ઠ
पर्यायी परिणाम,વૈકલ્પિક પરિણામ
