Marathi,Kannada
एसी समतुल्य सर्किट,ಎಸಿ ಸಮಾನ ಸರ್ಕ್ಯೂಟ್
एनालॉग ते अंकीय कनवर्टर,ಸಂಖ್ಯಾ ಪರಿವರ್ತಕಕ್ಕೆ ಅನಲಾಗ್
पूर्ण शून्य,ಸಂಪೂರ್ಣ ಶೂನ್ಯ
शोषण गुणांक,ಹೀರಿಕೊಳ್ಳುವ ಗುಣಾಂಕ
शोषण स्पेक्ट्रम,ಹೀರಿಕೊಳ್ಳುವ ವರ್ಣಪಟಲ
रिसेप्टर अणू,ಗ್ರಾಹಕ ಪರಮಾಣು
पर्यायी वर्तमान जोडणी,ಪರ್ಯಾಯ ವಿದ್ಯುತ್ ಜೋಡಣೆ
इलेक्ट्रॉन कापणी,ಎಲೆಕ್ಟ್ರಾನ್ ಕೊಯ್ಲು
भोक संचयन,ರಂಧ್ರ ಸಂಗ್ರಹಣೆ
सक्रियता ऊर्जा,ಸಕ್ರಿಯಗೊಳಿಸುವ ಶಕ್ತಿ
सक्रिय अॅम्प्लीफायर,ಸಕ್ರಿಯ ಆಂಪ್ಲಿಫಯರ್
सक्रिय डायोड सर्किट,ಸಕ್ರಿಯ ಡಯೋಡ್ ಸರ್ಕ್ಯೂಟ್
सक्रिय फिल्टर,ಸಕ್ರಿಯ ಫಿಲ್ಟರ್
सक्रिय उच्च वारंवारता पर्केट फिल्टर,ಸಕ್ರಿಯ ಹೈ ಫ್ರೀಕ್ವೆನ್ಸಿ ಪ್ಯಾರ್ಕ್ವೆಟ್ ಫಿಲ್ಟರ್
सक्रिय भार,ಸಕ್ರಿಯ ಲೋಡ್
सक्रिय कमी वारंवारता पार्स फिल्टर,ಸಕ್ರಿಯ ಕಡಿಮೆ ಆವರ್ತನ ಪಾರ್ಸ್ ಫಿಲ್ಟರ್
सक्रिय क्षेत्र,ಸಕ್ರಿಯ ಪ್ರದೇಶ
अनुकूली इलेक्ट्रॉनिक्स,ಹೊಂದಾಣಿಕೆಯ ಎಲೆಕ್ಟ್ರಾನಿಕ್ಸ್
जोडणारा,ಸೇರಿಸುವವನು
समायोज्य बँड विस्तार,ಹೊಂದಾಣಿಕೆ ಬ್ಯಾಂಡ್ ವಿಸ್ತರಣೆ
प्रवेश,ನುಗ್ಗುವಿಕೆ
एरियल,ಏರಿಯಲ್
pep वारंवारता,ಪೆಪ್ ಆವರ್ತನ
एअर कंडिशनर,ಹವಾ ನಿಯಂತ್ರಣ ಯಂತ್ರ
संरेखन,ಜೋಡಣೆ
अल्गोरिदम,ಅಲ್ಗಾರಿದಮ್
सर्व पास फिल्टर,ಎಲ್ಲಾ ಪಾಸ್ ಫಿಲ್ಟರ್
मिश्र धातु जंक्शन,ಮಿಶ್ರಲೋಹ ಜಂಕ್ಷನ್
क्षीणन,ಕ್ಷೀಣತೆ
पर्यायी प्रवाह,ಪರ್ಯಾಯ ಪ್ರವಾಹ
वातावरणीय तापमान,ಹೊರಗಿನ ತಾಪಮಾನ
द्विध्रुवीय,ಬೈಪೋಲಾರ್
प्रवर्धन,ವರ್ಧನೆ
अॅम्प्लिफायर,ಆಂಪ್ಲಿಫಯರ್
एम्पलीफायर कार्यक्षमता,ಆಂಪ್ಲಿಫಯರ್ ದಕ್ಷತೆ
परिमाण,ಆಯಾಮಗಳು
मोठेपणा क्षीणन,ವೈಶಾಲ್ಯ ಕ್ಷೀಣತೆ
अॅम्प्लिट्यूड मॉड्युलेटेड एएम ऑसिलेटर,ಆಂಪ್ಲಿಟ್ಯೂಡ್ ಮಾಡ್ಯುಲೇಟೆಡ್ AM ಆಂದೋಲಕ
मोठेपणा मॉड्यूलेशन,ವೈಶಾಲ್ಯ ಮಾಡ್ಯುಲೇಶನ್
मोठेपणा मॉड्युलेटर,ವೈಶಾಲ್ಯ ಮಾಡ್ಯುಲೇಟರ್
अँग्स्ट्रोम युनिट,ಆಂಗ್ಸ್ಟ್ರಾಮ್ ಘಟಕ
अॅनालॉग सर्किट,ಅನಲಾಗ್ ಸರ್ಕ್ಯೂಟ್
