Punjabi,Gujarati
ਏ.ਸੀ ਬਰਾਬਰ ਸਰਕਟ,એસી સમકક્ષ સર્કિટ
ਐਨਾਲਾਗ ਤੋਂ ਸੰਖਿਆਤਮਕ ਕਨਵਰਟਰ,આંકડાકીય કન્વર્ટર માટે એનાલોગ
ਪੂਰਨ ਜ਼ੀਰੋ,સંપૂર્ણ શૂન્ય
ਸਮਾਈ ਗੁਣਾਂਕ,શોષણ ગુણાંક
ਸਮਾਈ ਸਪੈਕਟ੍ਰਮ,શોષણ સ્પેક્ટ્રમ
ਰੀਸੈਪਟਰ ਐਟਮ,રીસેપ્ટર અણુ
ਬਦਲਵੀਂ ਮੌਜੂਦਾ ਜੋੜੀ,વૈકલ્પિક વર્તમાન જોડાણ
ਇਲੈਕਟ੍ਰੋਨ ਵਾਢੀ,ઇલેક્ટ્રોન લણણી
ਮੋਰੀ ਸਟੋਰੇਜ਼,છિદ્ર સંગ્રહ
ਸਰਗਰਮੀ ਊਰਜਾ,સક્રિયકરણ ઊર્જા
ਸਰਗਰਮ ਐਂਪਲੀਫਾਇਰ,સક્રિય એમ્પ્લીફાયર
ਸਰਗਰਮ diode ਸਰਕਟ,સક્રિય ડાયોડ સર્કિટ
ਸਰਗਰਮ ਫਿਲਟਰ,સક્રિય ફિલ્ટર
ਐਕਟਿਵ ਹਾਈ ਫ੍ਰੀਕੁਐਂਸੀ ਪਾਰਕਵੇਟ ਫਿਲਟਰ,સક્રિય ઉચ્ચ આવર્તન લાકડું ફિલ્ટર
ਸਰਗਰਮ ਲੋਡ,સક્રિય લોડ
ਕਿਰਿਆਸ਼ੀਲ ਘੱਟ ਬਾਰੰਬਾਰਤਾ ਪਾਰਸ ਫਿਲਟਰ,સક્રિય ઓછી આવર્તન પાર્સ ફિલ્ટર
ਸਰਗਰਮ ਖੇਤਰ,સક્રિય વિસ્તાર
ਅਨੁਕੂਲ ਇਲੈਕਟ੍ਰੋਨਿਕਸ,અનુકૂલનશીલ ઇલેક્ટ્રોનિક્સ
ਜੋੜਨ ਵਾਲਾ,ઉમેરનાર
ਵਿਵਸਥਿਤ ਬੈਂਡ ਐਕਸਟੈਂਸ਼ਨ,એડજસ્ટેબલ બેન્ડ એક્સ્ટેંશન
ਪ੍ਰਵੇਸ਼,પ્રવેશ
ਏਰੀਅਲ,એરિયલ
pep ਬਾਰੰਬਾਰਤਾ,pep આવર્તન
ੲੇ. ਸੀ,એર કન્ડીશનર
ਅਲਾਈਨਮੈਂਟ,ગોઠવણી
ਐਲਗੋਰਿਦਮ,અલ્ગોરિધમ
