Tamil,Malayalam
வெஸ்ட்மின்ஸ்டர் அபே,വെസ്റ്റ്മിൻസ്റ്ററിലെ ആബി
துறவு,ഒഴിഞ്ഞുമാറുക
அடிமைத்தனத்தை ஒழித்தல்,അടിമത്തം നിർത്തലാക്കൽ
பழங்குடியினர்,ആദിവാസികൾ
ஆபிரகாம் சகாப்தம்,അബ്രഹാം യുഗം
இல்லாத நில உரிமையாளர்கள்,ഹാജരാകാത്ത ഭൂവുടമകൾ
கலைக்கூடம்,അക്കാദമി
அக்ரா மாநாடு,അക്ര സമ്മേളനം
திரட்டல்கள்,സമാഹരണങ്ങൾ
வளர்ப்பு,സംസ്കരണം
அசெல்டாமா,അസെൽഡാമ
அச்சேயன் (=ஆச்சியன்),അച്ചായൻ (=അച്ചിയൻ)
அச்சேயன் லீக் (=ஆச்சியன் லீக்),അച്ചിയൻ ലീഗ് (=അച്ചിയൻ ലീഗ്)
அக்ரோபோலிஸ்,അക്രോപോളിസ്
ஆக்டா டைர்னா,ആക്റ്റ ദിയുർന
ஆக்டா செனடஸ்,ആക്റ്റ സെനറ്റസ്
Acte Additionel,ആക്റ്റ് അഡീഷണൽ
செயலில் உள்ள பதிவு (=தற்போதைய பதிவு),സജീവ റെക്കോർഡ് (=നിലവിലെ റെക്കോർഡ്)
அடையும் செயல்,നേടിയെടുക്കുന്നവരുടെ പ്രവർത്തനം
இழப்பீடு மற்றும் மறதியின் செயல்,നഷ്ടപരിഹാരത്തിന്റെയും മറവിയുടെയും പ്രവർത്തനം
தீர்வு சட்டம்,സെറ്റിൽമെന്റ് നിയമം
விளம்பர ஒப்பந்த முத்திரை,പരസ്യ കരാർ മുദ്ര
அதுலமைட்டுகள்,അഡുല്ലമൈറ്റുകൾ
எதிரி,എതിരാളി
எதிரி,എതിരാളി
ஏயோன்,അയോൺ
ஏரேரியம்,എയറേറിയം
வான்வழிப் போர்,ആകാശ യുദ്ധം
ஏட்டோலியன் லீக்,എറ്റോലിയൻ ലീഗ്
வயது,വയസ്സ്
முதுமை (=வயதான),വാർദ്ധക്യം (=വാർദ്ധക്യം)
வயதான செயல்முறை,പ്രായമാകൽ പ്രക്രിയ
அகெலாய்,അഗെലൈ
வீரத்தின் வயது,ധീരതയുടെ പ്രായം
அறிவாற்றல் வயது,എൻഗ്ലൈറ്റ്മെന്റ് പ്രായം
பெரிக்கிள்ஸ் வயது,പെരിക്കിൾസിന്റെ പ്രായം
பகுத்தறிவு வயது,യുക്തിയുടെ പ്രായം
விவசாயம்,കാർഷികവാദം
விவசாய இயக்கம்,കാർഷിക പ്രസ്ഥാനം
அல்பியன்,ആൽബിയോൺ
ஆல்பம்,ആൽബം
ஆல்டர்மேன்,ആൽഡർമാൻ
கவர்ச்சியான ஆயுதங்கள்,വശീകരിക്കുന്ന ആയുധങ്ങൾ
அமிட்டி,അമിറ്റി
ஆம்ஃபிக்டியோனிக் கவுன்சில்,ആംഫിക്റ്റോണിക് കൗൺസിൽ
ஆம்ஃபிக்டியோனிக் லீக்,ആംഫിക്റ്റോണിക് ലീഗ്
ஆம்பிதியேட்டர்,ആംഫി തിയേറ്റർ
அம்ரி நல் குழு (மட்பாண்டங்கள்),അമ്രി നാൽ ഗ്രൂപ്പ് (മൺപാത്രങ്ങൾ)
அனாக்ரோனிசம்,അനാക്രോണിസം
காலமற்ற,അനാക്രോണിസ്റ്റിക്
மூதாதையர்,പൂർവ്വികൻ
முன்னோர் வழிபாடு,പൂർവിക ആരാധന
பரம்பரை,വംശപരമ്പര
பரம்பரை,വംശപരമ്പര
பரம்பரை,വംശപരമ്പര
பரம்பரை,വംശപരമ്പര
பண்டைய ஆட்சி,പുരാതന ഭരണം
பண்டைய,പുരാതന
பழங்கால பாலாட்,പുരാതന ബാലഡ്
பண்டைய நம்பிக்கை,പുരാതന വിശ്വാസം
பண்டைய வழக்கம்,പുരാതന ആചാരം
பண்டைய வரலாறு,പുരാതനമായ ചരിത്രം
பழங்கால நினைவுச்சின்னங்கள்,പുരാതന സ്മാരകങ്ങൾ
சிறுகதை,ഉപകഥ
ஏஞ்சலோட்,ആഞ്ചലോട്ട്
ஏஞ்சலஸ்,ആഞ്ചലസ്
ஆஞ்செவின் (=அஞ்செவின்),ആഞ്ജെവിൻ (=ആഞ്ജെവിൻ)
கோணங்கள்,കോണുകൾ
ஆங்கிலிகன்,ആംഗ്ലിക്കൻ
ஆங்கிலிகன் ஒற்றுமை,ആംഗ്ലിക്കൻ കൂട്ടായ്മ
ஆங்கிலிக்கனிசம்,ആംഗ്ലിക്കനിസം
ஆங்கிலோ-போப்,ആംഗ്ലോ-ഫോബ്
ஆங்கிலோ-ஃபோபியா,ആംഗ്ലോ-ഫോബിയ
ஆங்கிலோ-சாக்சன்,ആംഗ്ലോ-സാക്സൺ
ஆங்கிலோ-சாக்சோனிசம்,ആംഗ്ലോ-സാക്‌സോണിസം
அன்னாலிஸ்ட்,അനലിസ്റ്റ്
அன்னல்,വാർഷികങ്ങൾ
இணைப்பு,കൂട്ടിച്ചേർക്കൽ
ஆன்டி-பெல்லம்,ആന്റി-ബെല്ലം
முன் தேதி,മുൻ തീയതി
மதகுருத்துவத்திற்கு எதிரானது,പൗരോഹിത്യ വിരുദ്ധത
மதகுருவுக்கு எதிரான சட்டம்,വൈദിക വിരുദ്ധ നിയമം
பழமை,പൗരാണികത
எதிர்ப்பு வாடகை,വാടക വിരുദ്ധം
எதிர்ப்பு வாடகை,വാടക വിരുദ്ധം
யூத எதிர்ப்பு,സെമിറ്റിസം വിരുദ്ധത
அன்சாக்,അൻസാക്ക്
அப்பெல்லா,അപ്പെല്ല
அரலு,അരലു
பேராயர்,ആർച്ച് ബിഷപ്പ്
ஆர்ச் டச்சி,ആർച്ച് ഡച്ചി
ஆர்ச் டியூக்,ആർച്ച് ഡ്യൂക്ക്
காப்பகம் (=காப்பக சேகரிப்பு),ആർക്കൈഫ് (=ആർക്കൈവൽ ശേഖരം)
ஆர்க்கிபிஸ்கோபேட்,ആർക്കിഎപ്പിസ്കോപ്പേറ്റ്
பிரபுத்துவம்,പ്രഭുവർഗ്ഗം
பிரபு,പ്രഭു
பிரபுத்துவ ஸ்னோபரி,പ്രഭുവർഗ്ഗ സ്നോബറി
அரிஸ்டாட்டிலியன்,അരിസ്റ്റോട്ടിലിയൻ
அர்மடா,അർമാഡ
அர்மடா (=ஸ்பானிய அர்மடா),അർമ്മഡ (=സ്പാനിഷ് അർമ്മഡ)
கவசக்காரர் (=கவசக்காரர்),കവചക്കാരൻ (=കവചക്കാരൻ)
கவசம் (=கவசம்),കവചം (=കവചം)
ஆயுதக்கடைக்காரர்,ആയുധധാരി
ஆர்யன்,ആര്യൻ
ஆர்யன்,ആര്യൻ
அஸ்காரி,അസ്കരി
ஒதுக்கு,നിയോഗിക്കുക
உதவு,അസൈസ് ചെയ്യുക
உதவு,അസൈസ് ചെയ്യുക
உதவு,അസൈസ് ചെയ്യുക
ஆயுதச் சட்டம்,അസൈസ് ഓഫ് ആയുധ നിയമം
அசிஸ் ஆஃப் டேரின் பிரசன்ட்மென்ட்,അസൈസ് ഓഫ് ഡാരെൻ അവതരണം
மோர்ட் &#39;டி&#39; மூதாதையரின் அசிஸ்,മോർട്ട് &#39;ഡി&#39; മുൻഗാമിയുടെ അസൈസ്
நாவல் Disseisin Assize,അസൈസ് ഓഫ് നോവൽ ഡിസെസിൻ
கொடுமை,ക്രൂരത
தாக்குதல்,ആക്രമണം
ஆலிக் கவுன்சில்,ഔലിക് കൗൺസിൽ
கோடரியின் கோடாரி (=கெடெஸ் கோடாரி),ഗെഡസിന്റെ കോടാലി (=ദി ഗെഡെസ് കോടാലി)
அச்சு (=ரோம்-பெர்லின்-டோக்கியோ அச்சு),ആക്സിസ് (=റോം-ബെർലിൻ-ടോക്കിയോ ആക്സിസ്)
பாபிலோன்,ബാബിലോൺ
பாபிலோனிய சிறைப்பிடிப்பு (=பாபிலோனிய சிறைப்பிடிப்பு),ബാബിലോണിയൻ അടിമത്തം (=ബാബിലോണിയൻ അടിമത്തം)
