Punjabi,Kannada
ਐਸਿਡੌਇਡ,ಆಸಿಡಾಯ್ಡ್
ਏਓਲੀਅਨ ਮਿੱਟੀ,ಅಯೋಲಿಯನ್ ಮಣ್ಣು
ਕੁੱਲ,ಒಟ್ಟು
ਐਗਰੀਗੇਸ਼ਨ,ಒಟ್ಟುಗೂಡಿಸುವಿಕೆ
ਖੇਤੀ ਵਿਗਿਆਨ,ಕೃಷಿಶಾಸ್ತ್ರ
ਖੇਤੀ ਵਿਗਿਆਨ,ಕೃಷಿಶಾಸ್ತ್ರ
ਏ-ਹੋਰੀਜ਼ਨ,ಎ-ಹಾರಿಜಾನ್
ਆਉ-ਦਿਮਾਗ,Ao-ಹಾರಿಜಾನ್
ਆਉ—ਅੰਦਾਜ਼,Aoo-ಹಾರಿಜಾನ್
ਮਿੱਟੀ ਦੀ ਹਵਾ ਦੀ ਸਮਰੱਥਾ,ಮಣ್ಣಿನ ಗಾಳಿಯ ಸಾಮರ್ಥ್ಯ
ਮਿੱਟੀ ਦੀ ਹਵਾ ਸਮੱਗਰੀ,ಮಣ್ಣಿನ ಗಾಳಿಯ ಅಂಶ
ਏਅਰ ਪਿਕਨੋਮੀਟਰ,ಏರ್ ಪಿಕ್ನೋಮೀಟರ್
ਐਲੀਟਿਕ ਮਿੱਟੀ,ಆಲಿಟಿಕ್ ಮಣ್ಣು
ਐਲਵੀਅਲ ਮਿੱਟੀ,ಮೆಕ್ಕಲು ಮಣ್ಣು
ਐਮਫੋਲੀਟੋਇਡ,ಆಂಫೋಲಿಟಾಯ್ಡ್
ਐਨੀਅਨ,ಅಯಾನ್
"ਸਪੱਸ਼ਟ ਖਾਸ ਗਰੈਵਿਟੀ ਵਾਲੀਅਮ ਭਾਰ ਜਾਂ ਬਲਕ ਖਾਸ ਗਰੈਵਿਟੀ,&quot;","ಸ್ಪಷ್ಟವಾದ ನಿರ್ದಿಷ್ಟ ಗುರುತ್ವಾಕರ್ಷಣೆಯ ಪರಿಮಾಣದ ತೂಕ ಅಥವಾ ಬೃಹತ್ ನಿರ್ದಿಷ್ಟ ಗುರುತ್ವಾಕರ್ಷಣೆ,&quot;"
ਅਰਿਸ,ಅರ್ರಿಸ್
ਐਸ਼ਲਰ ਵਧੀਆ ਚਿਣਾਈ,ಆಶ್ಲರ್ ಉತ್ತಮವಾದ ಕಲ್ಲು
ਐਸ਼ਲਰ ਚਿਣਾਈ,ಆಶ್ಲರ್ ಕಲ್ಲು
ਅਜੋਨਲ ਮਿੱਟੀ,ಅಜೋನಲ್ ಮಣ್ಣು
ਪਿਛਲਾ ਅਦਾਕਾਰ,ಹಿಂದೆ ನಟ
