Marathi,Odiya
abeli गट,ଆବେଲି ଗୋଷ୍ଠୀ |
अबेली गट,ଆବେଲି ଗୋଷ୍ଠୀ |
हात,ହାତ
"निरपेक्ष, निरपेक्ष, स्थिर, अचूक","ସଂପୂର୍ଣ୍ଣ, ସଂପୂର୍ଣ୍ଣ, ସ୍ଥିର, ସଠିକ୍ |"
परिपूर्ण अभिसरण,ସଂପୂର୍ଣ୍ଣ ସମ୍ମିଶ୍ରଣ |
परिपूर्ण त्रुटी,ସଂପୂର୍ଣ୍ଣ ତ୍ରୁଟି |
सर्वोच्च सर्वोच्च,ସର୍ବୋଚ୍ଚ ସର୍ବୋଚ୍ଚ
परिपूर्ण सर्वात कमी,ସଂପୂର୍ଣ୍ଣ ସର୍ବନିମ୍ନ |
परिपूर्ण मूल्य,ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ
परिपूर्ण वेग,ସଂପୂର୍ଣ୍ଣ ବେଗ
अमूर्त बीजगणित,ବିସ୍ତୃତ ବୀଜ ବର୍ଣ୍ଣନା |
अमूर्त गट सिद्धांत,ବିସ୍ତୃତ ଗୋଷ୍ଠୀ ସିଦ୍ଧାନ୍ତ |
प्रवेग,ତ୍ୱରଣ
गुरुत्वाकर्षण प्रवेग,ମାଧ୍ୟାକର୍ଷଣ ତ୍ୱରଣ |
स्वीकार्य निवडकर्ता,ଗ୍ରହଣୀୟ ଚୟନକର୍ତ୍ତା |
स्वीकार्य गुणवत्ता पातळी,ଗ୍ରହଣୀୟ ଗୁଣବତ୍ତା ସ୍ତର |
स्वीकार्य परिसर,ଗ୍ରହଣୀୟ ପରିସର
वैध विश्वसनीयता पातळी,ବ valid ଧ ବିଶ୍ୱସନୀୟତା ସ୍ତର |
स्वीकृती नमुना,ଗ୍ରହଣ ନମୁନା
संचित त्रुटी,ସଂଗୃହିତ ତ୍ରୁଟି |
अचूकता,ସଠିକତା
शक्ती लागू,ପ୍ରୟୋଗ ଶକ୍ତି
"कृती, कृती","କାର୍ଯ୍ୟ, କାର୍ଯ୍ୟ"
क्रिया आणि प्रतिक्रिया,କାର୍ଯ୍ୟ ଏବଂ ପ୍ରତିକ୍ରିୟା
विमा विज्ञान,ବୀମା ବିଜ୍ଞାନ |
तीव्र त्रिकोण,ତୀବ୍ର ତ୍ରିରଙ୍ଗା |
अॅसायक्लिक,acyclic
बेरीज करणे,ସଂକ୍ଷେପରେ
जोडणारा,ଆଡର୍
"बेरीज, बेरीज, बेरीज (c.), बेरीज (v.)","ରାଶି, ଯୋଗ, ସମୀକରଣ (ଗ।), ଯୋଗୀ (v।)"
योगाचे सूत्र,ଯୋଗର ସୂତ୍ର
जटिल संख्यांची बेरीज,ଜଟିଳ ସଂଖ୍ୟାଗୁଡ଼ିକର ସମଷ୍ଟି |
कार्यांची बेरीज,କାର୍ଯ୍ୟଗୁଡ଼ିକର ସମଷ୍ଟି
मॅट्रिक्सची बेरीज,ମାଟ୍ରିକ୍ସର ରାଶି
बहुपदांची बेरीज,ବହୁଜନର ସମଷ୍ଟି |
संभाव्यतेची बेरीज,ସମ୍ଭାବ୍ୟତାର ସମଷ୍ଟି
वेक्टरची बेरीज,ଭେକ୍ଟରର ରାଶି
"बेरीज प्रमेय, बेरी सिद्धांत,","ଯୋଗ ଥିଓରେମ୍, ବିରି ଥିଓରୀ"
मिश्रित गट,ଯୋଗୀ ଗୋଷ୍ଠୀ |
additive inverse,ଯୋଗୀ ଓଲଟା |
जोडणी,ଯୋଗନୀୟତା |
जोडणी,ଯୋଗନୀୟତା |
संलग्नता मॅट्रिक्स,ସଂଲଗ୍ନ ମ୍ୟାଟ୍ରିକ୍ସ |
"समीप, समीप, समीप","ସଂଲଗ୍ନ, ସଂଲଗ୍ନ, ସଂଲଗ୍ନ"
समीप कोन,ସଂଲଗ୍ନ କୋଣ
समीप शिरोबिंदू,ସଂଲଗ୍ନ ଭର୍ଟେକ୍ସ |
संबद्ध करणे,ସହଯୋଗ କରିବାକୁ
"संलग्न संलग्न,",ସଂଲଗ୍ନ ଏନକ୍ଲୋଜର
सामान्य निर्धारक,ସାଧାରଣ ନିର୍ଣ୍ଣୟକାରୀ |
संलग्न विभेदक समीकरण,ସଂଲଗ୍ନ ଡିଫେରିଏଲ୍ ସମୀକରଣ |
संलग्न समीकरण,ସଂଲଗ୍ନ ସମୀକରଣ
एकसंध मॅट्रिक्स,କୋହୋମୋଜେନସ୍ ମ୍ୟାଟ୍ରିକ୍ସ |
मॅट्रिक्स सहप्रसरण,ମ୍ୟାଟ୍ରିକ୍ସ କୋଭାରିଆନ୍ସ |
एकसंध मॅट्रिक्स,କୋହୋମୋଜେନସ୍ ମ୍ୟାଟ୍ରିକ୍ସ |
स्वीकार्य निर्णय कार्य,ଗ୍ରହଣୀୟ ନିଷ୍ପତ୍ତି କାର୍ଯ୍ୟ
स्वीकार्य गृहीतक,ଗ୍ରହଣୀୟ ଅନୁମାନ
वायुगतिकीय शक्ती,ଏରୋଡାଇନାମିକ୍ ଫୋର୍ସ |
वायुगतिकी,ଏରୋଡାଇନାମିକ୍ସ |
एकसंध भूमिती,ଏକମାତ୍ର ଜ୍ୟାମିତି |
एकसंध मॅपिंग,ଏକମାତ୍ର ମ୍ୟାପିଙ୍ଗ୍ |
एकसंध परिवर्तन,ଏକମାତ୍ର ପରିବର୍ତ୍ତନ
एकूण चल,ଏଗ୍ରିଗେଟ୍ ଭେରିଏବଲ୍ |
"बीजगणित, बीजगणित, बीजगणित, बीजगणित","ବୀଜ ବିବେଚନା, ବୀଜ ବିବେଚନା, ବୀଜ ବିବେଚନା"
"बियाणे बंद, बीजारोपण","ବିହନ ବନ୍ଦ, ବିହନଯୁକ୍ତ |"
बीजगणितीय समीकरण,ବୀଜ ବର୍ଣ୍ଣିତ ସମୀକରଣ |
