Punjabi,Hindi
ਅਧੂਰਾ ਛੱਡਣਾ,विफलन
ਅਧੂਰਾ ਛੱਡੋ,विफलन कालद
निरपेक्ष an s,निरपेक्ष पता
ਪੂਰਨ ਪਤਾ,निरपेक्ष पताभिगमन
ਸੰਪੂਰਨ ਸੰਜਮ,निरपेक्ष कोडांतरक
ਸੰਪੂਰਨ ਕੋਡ,निरपेक्ष कूट
ਸੰਪੂਰਨ ਕੋਡਿੰਗ,निरपेक्ष कूटलेखन
ਸੰਪੂਰਨ ਕਮਾਂਡ,निरपेक्ष समादेश
ਸੰਪੂਰਨ ਕੋਆਰਡੀਨੇਟ,निरपेक्ष निर्देशांक
ਸੰਪੂਰਨ ਡੇਟਾ,निरपेक्ष आंकड़े
ਪੂਰੀ ਗਲਤੀ,निरपेक्ष त्रुटि
ਪੂਰਨ ਸਮੀਕਰਨ,निरपेक्ष व्यंजक
ਪੂਰਨ ਹਦਾਇਤ,निरपेक्ष अनुदेश
ਸੰਪੂਰਨ ਲੋਡਰ,निरपेक्ष भारक
ਸੰਪੂਰਨ ਕ੍ਰਮ,निरपेक्ष आदेश
ਸੰਪੂਰਨ ਪ੍ਰੋਗਰਾਮਿੰਗ,निरपेक्ष क्रमादेशन
ਸੰਪੂਰਨ ਅਵਧੀ,निरपेक्ष पद
ਸਹੀ ਮੁੱਲ,निरपेक्ष मान
ਸੰਪੂਰਨ ਵੈਕਟਰ,निरपेक्ष सदिश
ਸਾਰ,"सारांश, अमूर्त"
ਐਬਸਟ੍ਰੈਕਟਿੰਗ,"सारांशन, अमूर्तकरण, साराहरण"
ਸੰਖੇਪ ਪ੍ਰਤੀਕ,अमूर्त प्रतीक
ਪ੍ਰਵੇਗ ਦੀ ਮਿਆਦ,त्वरण अवधि
ਪ੍ਰਵੇਗ ਟਾਈਮ,त्वरण काल
ਲਹਿਜ਼ਾ,उच्चारण चिह्न
ਪ੍ਰਵਾਨਗੀ ਟੈਸਟ,स्वीकरण परीक्षण
ਪਹੁੰਚ,अभिगम
ਐਗ ਬਾਂਹ ਨੂੰ ਐਕਸੈਸ ਕਰੋ,अभिगम बाहु
ਐਕਸੈਸ ਪ੍ਰਬੰਧ,अभिगम व्यवस्था
ਪਹੁੰਚ ਅਥਾਰਟੀ,अभिगम प्राधिकारक
ਐਕਸੈਸ ਚਾਰਜ,अभिगम शुल्क
ਐਕਸੈਸ ਕਲਾਸ,अभिगम वर्ग
ਐਕਸੈਸ ਡੇਟਾ ਬੇਸ ਪ੍ਰਬੰਧਨ,अभिगम आँकड़ासंचय प्रबंध
ਐਕਸੈਸ ਵਾਤਾਵਰਣ,अभिगम परिवेश
ਐਕਸੈਸ ਪਾੜਾ,अभिगम अंतराल
ਐਕਸੈਸ ਇੰਡੈਕਸ,अभिगम सूचक
ਐਕਸੈਸ ਲਾਈਨ,अभिगम लाइन
ਐਕਸੈਸ ਵਿਧੀ,अभिगम यांत्रिकत्व
ਐਕਸੈਸ ਵਿਧੀ,अभिगम विधि
ਐਕਸੈਸ ਵਿਧੀ ਰੁਟੀਨ,अभिगम विधि नेमका
ਐਕਸੈਸ ਮੋਡ,अभिगम विधा
ਸਹੀ ਪਹੁੰਚ,अभिगम अधिकार
ਐਕਸੈਸ ਸਕੈਨ,अभिगम क्रमवीक्षण
ਐਕਸੈਸ ਟਾਈਮ,अभिगम काल
ਲੇਖਾ,लेखा कार्य
ਲੇਖਾ ਵਿੱਤ ਸਿਸਟਮ,लेखाकार्य वित्त तंत्र
ਲੇਖਾ ਮਸ਼ੀਨ,लेखा यंत्र
ਅਕਾਊਂਟ ਨੰਬਰ,खाता संख्या
ਦੁਬਾਰਾ ਪੈਦਾ ਕਰਨ ਵਾਲਾ,संचयी पुनरुत्पादक
ਇਕੱਤਰ ਕਰਨ ਵਾਲਾ,संचायक
ਇਕੱਤਰ ਕਰਨ ਵਾਲਾ ਰਜਿਸਟਰ,संचायक पंजी
ਇਕੱਤਰ ਕਰਨ ਵਾਲੀ ਸ਼ਿਫਟ ਹਦਾਇਤਾਂ,संचायक विस्थापन अनुदेश
ਸ਼ੁੱਧਤਾ,परिशुद्धता
ਸ਼ੁੱਧਤਾ ਕੰਟਰੋਲ ਅੱਖਰ,परिशुद्धता नियंत्रण संप्रतीक
ਸ਼ੁੱਧਤਾ ਕੰਟਰੋਲ ਪ੍ਰਣਾਲੀ,परिशुद्धता नियंत्रण तंत्र
ਏਸ ਪਾਇਲਟ,उत्कृष्ठ मार्गदर्शी
ਅੱਖਰ ਮੰਨੋ,पावती संप्रतीक
ਧੁਨੀ ਕਥਾ,ध्वनिक युग्मक
ਧੁਨੀ,ध्वनिक युग्मन
ਧੁਨੀ ਦੇਰੀ ਨਾਲ,ध्वनिक विलंब लाइन
ਧੁਨੀ ਯਾਦਦਾਸ਼ਤ,ध्वनिक स्मृति
ਧੁਨੀ ਮਾਡਮ,ध्वनिक मोडेम
ਧੁਨੀ ਸੰਕੇਤ,ध्वनिक संकेत
ਧੁਨੀ ਸਟੋਰੇਜ,ध्वनिक भंडारण
ਐਕਰੋਨਾਈਮ,परिवर्णी शब्द
ਕਾਰਵਾਈ,क्रिया
