Assamese,Tamil
এটা B শ্ৰেণীৰ এম্প্লিফায়াৰ,A B வகுப்பு பெருக்கி
বিচ্যুতি,பிறழ்வு
অস্বাভাৱিক সংক্ৰমণ,அசாதாரண பரிமாற்றம்
"অসংলগ্ন, সাধাৰণতে, গাঁতযুক্ত, কাটি পেলোৱা, ভাঙি যোৱা","இணைக்கப்படாத, பொதுவாக, குழி, துண்டிக்கப்பட்ட, எலும்பு முறிவு"
অনুপস্থিত বৰ্ণালী,ஸ்பெக்ட்ரம் காணவில்லை
"নিৰপেক্ষ, নিৰপেক্ষ, ধ্ৰুৱক, নিখুঁত","முழுமையான, முழுமையான, நிலையான, சரியான"
নিৰপেক্ষ আৰ্দ্ৰতা,முழுமையான ஈரப்பதம்
নিৰপেক্ষ গতি,முழுமையான வேகம்
নিৰপেক্ষ পৰ্যবেক্ষণ,முழுமையான கவனிப்பு
নিৰপেক্ষ উষ্ণতা,முழுமையான வெப்பநிலை
নিৰপেক্ষ শূন্য,முழுமையான பூஜ்ஜியம்
শুহি লোৱা,உறிஞ்சி
"শোষক, শোষক","உறிஞ்சும், உறிஞ்சும்"
শোষণ ক্ষমতা,உறிஞ்சும் திறன்
শোষণ ক্ষমতা,உறிஞ்சுதல்
শোষক,உறிஞ்சக்கூடியது
শোষণ ক্ষমতা,உறிஞ்சும் தன்மை
বহুগুণতা অনুপাত,பன்மடங்கு விகிதம்
ত্বৰান্বিত কৰক,முடுக்கி
খৰধৰকৈ উঠিল,விரைந்தார்
বেগ বৃদ্ধি,முடுக்கம்
মাধ্যাকৰ্ষণৰ ত্বৰণ,ஈர்ப்பு முடுக்கம்
ত্বৰণকাৰী,முடுக்கி
ত্বৰণকাৰী,முடுக்கி
এক্সিলেৰমিটাৰ,முடுக்கமானி
প্ৰিষ্ট্ৰেছাৰ,முன் அழுத்தம் கொடுப்பவர்
গ্ৰহণযোগ্য পৰীক্ষা,ஏற்றுக்கொள்ளக்கூடிய சோதனை
গ্ৰহণকাৰী,ஏற்பவர்
দাতা অণু,நன்கொடையாளர் மூலக்கூறு
"প্ৰৱেশ, অপেক্ষা, অভিগম্যতা","அணுகல், காத்திருப்பு, அணுகல்"
অভিগম্যতা,அணுகல்
"অতিৰিক্ত, আনুষংগিক, আনুষংগিক (v.), আনুষংগিক (ed.)","கூடுதல், துணை, துணை (v.), துணைக்கருவிகள் (ed.)"
প্ৰৱেশ সময়,அணுகல் நேரம்
দৰ্শকৰ ভুল,பார்வையாளர் பிழை
সমন্বয়,சரிசெய்தல்
সঞ্চিত কৰা হৈছে,திரட்டப்பட்டது
"সঞ্চয়, সঞ্চয়","திரட்சி, குவிப்பு"
এক্যুলেটৰ,திரட்டி
