Hindi,Kannada
रुद्ध-वृद्धि अंग,ಸ್ಥಗಿತಗೊಂಡ ಅಂಗ
रुद्ध वृद्धि बीज,ಸ್ಥಗಿತಗೊಂಡ ಬೀಜ
"गर्भपात, गर्भस्राव, वृद्धि विरोध",ಗರ್ಭಪಾತ
"अवांछित अपतृण, पूर्ण खरपतवार",ಸಂಪೂರ್ಣ ಕಳೆ
अवशोषित धनायन,ಹೀರಿಕೊಳ್ಳುವ ಕ್ಯಾಷನ್
अवशोषण,ಹೀರುವಿಕೆ
ऐबिसिनी सरसों,ಪ್ರಪಾತದ ಸಾಸಿವೆ
"एकेरेसनाशी, चिचड़ीनाशी",ಉಜ್ಜೆ
अकेंद्री,ಉಪನಾಮದ
प्रवर्धन (कोशिका),ಎದ್ದು ಕಾಣುವುದು (ಕೋಶ)
स्वीकृत सहायता,ಅಂಗೀಕರಿಸಿದ ಸಹಿಷ್ಣುತೆ
"अतिरिक्त, सहायक, गौण",ಪರಿಕರ
पर्यनुकूलन,ಒಗ್ಗೂಡಿಸುವಿಕೆ
संचय,ಸಂಗ್ರಹಣೆ
"यथार्थता, परिशुद्धता",ನಿಖರತೆ
"एसर्वुलस, बीजाणुपात्र",ಕಸಚೂಕು
"ऐसीटीकरण, सिरका बनाना",ಸಮಗ್ರೀಕರಣ
"अम्लीकरण, अम्लन",ಆಮ್ಲೀಕರಣ
"अम्लतामापी, एसिडीमीटर",ಆಚಿಮೀಟರ್ ಚೀಟಿ
अम्लता,ಅಚ್ಚುಕಟ್ಟಾಗಿತ್ವ
अम्लरागी,ಸಿಹಿನೀರಿನ
अम्लीकृत रॉक फॉस्फेट,ಆಮ್ಲೀಯ
अम्लसह,ಸಂಚೇಮದ
जलभृत,ಜಲಚರಗಳು
अधिग्रहण,ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವುದು
एकड़,ಎಕರೆ
"क्षेत्रफल, रकबा",ಎಕರೆ
उपांत बिंदु क्रोमोसोम,ಅಕ್ರೊಸೆಂಟ್ರಿಕ್ ವರ್ಣತಂತು
अग्राभिसारी,ಖುಷಿಯ
ऐक्रोसोम,ಸುಣ್ಣ
एक्टिनोमाइसिटीज,ಅಂಧ
सक्रिय मूलक्षेत्र,ಸಕ್ರಿಯ ಮೂಲ ವಲಯ
"उग्र, तीव्र",ತೀವ್ರ
अनुकूलनशीलता,ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ
अनुकूलन,ರೂಪಾಂತರ
"आसंजन, अभिलाग, बन्ध",ಅಂಟಿಕೊಳ್ಳುವಿಕೆ
वसामय,ಅಡಿ
समायोजन समीकरण,ಹೊಂದಾಣಿಕೆ ಸಮೀಕರಣ
ऐडोब मृदा,ಮಣ್ಣು
अपमिश्रक,ವ್ಯಭಿಚಾರಮಾಡುವ
अपस्थानिक,ಸಾಹಸದ
"एसीडियोस्पोर, एसीडियम बीजाणु",ಅಕ್ಸಿಯೊಸ್ಪೋರ್
वातोढ़ प्रक्रिया,ಅಯೋಲಿಯನ್ ಪ್ರಕ್ರಿಯೆ
वातोढ़,ಅಯೋಲಿಯನ್
वातन करना,ಗಾಳಿಗೊಡ್ಡು
"वायव, आकाशी",ವೈಮಾನಿಕ
"ऐरोमीटर, वायुमापी, वायुघनत्वमाप",ವಾಯುಮಾಪಕ
ऐरोसॉल,ವಾಯುಪಾವತಿ
"पुष्पदलविन्यास, ग्रीष्मनिष्क्रियता",ಅಸ್ವಸ್ಥತೆ
"रोग हेतु विज्ञान, व्याधिनिदान विज्ञान",ಏಟಿಯಾಲಜಿ (ಎಟಿಯಾಲಜಿ)
वनरोपण,ಸಂಯಮ
"विलोडन, प्रक्षोभन",ಆಂದೋಲನ
"ऐगमार्क, कृष्यंक",ಅಣಕೇಡು
"भूमी संबंधी, कृषि संबंधी",ಕೃಷಿ
कृषि निदानालय,ಕೃಷಿ ಚಿಕಿತ್ಸಾಲಯ
"कृषि श्रम, खेतिहर मजदूर",ಕೃಷಿ ದುಡಿಮೆ
कृषि विपणन,ಕೃಷಿ ಮಾರಾಟ
कृषि प्रद्योगिकी,ಕೃಷಿ ತಂತ್ರಜ್ಞಾನ
"कृषि, खेतीबारी, कृषि विज्ञान",ಕೃಷಿ
कृषि वनवर्धन,ಕೃಪಣಸಾಮರಿ
कृषि जैविक विविधता,ಕೃಷಿ -ವೈವಿಧ್ಯತೆ
कृषि जैविक दोष,ಕೃಷಿ ಜೀವವಿಜ್ಞಾನದ ದೋಷಗಳು
कृषि जैविकी,ಕೃಷಿ ಜೀವವಿಜ್ಞಾನ
कृषि जलवायुवीय विविधता,ಕೃಷಿ -ವೈವಿಧ್ಯತೆ
कृषि जलवायुवीय क्षेत्रीकरण,ಕೃಷಿ ವಲಯ
कृषि वानिकी,ಕೃಚಾರಕ
सस्य मृदा विज्ञान,ಕೃಷಿ ಶಾಸ್ತ್ರ
सस्य विज्ञान,ಕೃಷಿ ವಿಜ್ಞಾನ
कृषि पशुचारणिक,ಅಬ್ವಿಶರ
फसल प्रसंस्करण,ಕೃಷಿಪ್ರೊಸೆಸಿಂಗ್
घास विज्ञान,Agrostology
सस्य प्ररूप,ಕೃಪೆ
