Tamil,Gujarati
"1.அபாகஸ், 2. எண்ணும்","1.એબેકસ, 2. ગણતરી"
அசாதாரண முடிவு,અસામાન્ય અંત
இடைமறிக்கவும்,ઇન્ટરસેપ્ટ
"1. முழுமையான, 2. உச்சம்","1. સંપૂર્ણ, 2. સર્વોચ્ચ"
முழுமையான முகவரி,સંપૂર્ણ સરનામું
முழுமையான முகவரித்திறன்,સંપૂર્ણ સંબોધનક્ષમતા
முழுமையான அசெம்பிளர்,સંપૂર્ણ એસેમ્બલર
"1. முழுமையான குறியீடு, 2. முழுமையான குறியீடு","1. સંપૂર્ણ કોડ, 2. સંપૂર્ણ કોડ"
முழுமையான கட்டளை,સંપૂર્ણ આદેશ
"1. முழுமையான புள்ளிவிவரங்கள், 2. முழுமையான தரவு","1. સંપૂર્ણ આંકડા, 2. સંપૂર્ણ ડેટા"
முழுமையான அறிவுறுத்தல்,સંપૂર્ણ સૂચના
முழுமையான பயன்முறை,સંપૂર્ણ મોડ
முழுமையான பாதை,સંપૂર્ણ માર્ગ
"1. முழுமையான நிரலாக்கம், 2. முழுமையான நிரலாக்கம்","1. સંપૂર્ણ પ્રોગ્રામિંગ, 2. સંપૂર્ણ પ્રોગ્રામિંગ"
சுருக்க வர்க்கம்,અમૂર્ત વર્ગ
சுருக்க தரவு வகை,અમૂર્ત ડેટા પ્રકાર
சுருக்க இயந்திரம்,અમૂર્ત મશીન
சுருக்க சின்னம்,અમૂર્ત પ્રતીક
சுருக்க தொடரியல்,અમૂર્ત વાક્યરચના
ஏற்பு சோதனை,સ્વીકૃતિ કસોટી
அணுகல் சான்றிதழ்,પ્રવેશ પ્રમાણપત્ર
"1. அணுகல் குறியீடு, 2. அணுகல் குறியீடு","1. એક્સેસ કોડ, 2. ઍક્સેસ કોડ"
நுழைவு கட்டுப்பாடு,વપરાશ નિયંત્રણ
அணுகல் ஸ்கேனிங்,ઍક્સેસ સ્કેનિંગ
பாகங்கள்,એસેસરીઝ
கணக்கியல்,નામું
"1. கணக்கு ஐடி, 2. கணக்கியல் அடையாளம்","1. એકાઉન્ટ ID, 2. એકાઉન્ટિંગ ઓળખ"
திரட்டி,સંચયક
"1. துல்லியம், 2. துல்லியம்","1. ચોકસાઈ, 2. ચોકસાઈ"
அணுகல்,ઍક્સેસ
அணுகல் கட்டுப்பாட்டு பைட்டுகள்,એક્સેસ કંટ્રોલ બાઇટ્સ
அணுகல் காட்டி,ઍક્સેસ સૂચક
அணுகல் விசை,ઍક્સેસ કી
"1. அணுகல் அணி, 2. அணுகல் அணி","1. એક્સેસ મેટ્રિક્સ, 2. એક્સેસ મેટ્રિક્સ"
அணுகல் முறை,ઍક્સેસ મોડ
அணுகல் சலுகைகள்,ઍક્સેસ વિશેષાધિકારો
அணுகல் பாதுகாப்பு,ઍક્સેસ સુરક્ષા
"1. அணுகல் சேவையகம், 2. அணுகல் சர்வர்","1. એક્સેસ સર્વર, 2. સર્વર ઍક્સેસ કરો"
அணுகல் நேரம்,ઍક્સેસ સમય
ஒப்புகை,સ્વીકૃતિ
ஒலியியல்,ધ્વનિશાસ્ત્ર
"1. சுருக்கம், 2. சுருக்கம், 3. இருந்து குறுகிய","1. ટૂંકાક્ષર, 2. સંક્ષેપ, 3. થી ટૂંકું"
செயல் செய்தி,ક્રિયા સંદેશ
செயல்படுத்துதல்,સક્રિયકરણ
செயலில் உள்ள சர்வர் பக்கம்,સક્રિય સર્વર પૃષ્ઠ
செயலில் உள்ள பதிப்பு,સક્રિય સંસ્કરણ
அசைக்ளிக்,એસાયક્લિક
"1. அசைக்ளிக் வரைபடம், 2. அசைக்ளிக் வரைபடம்","1. એસાયક્લિક ગ્રાફ, 2. એસાયક્લિક ગ્રાફ"
அட கணினி மொழி,અદા કોમ્પ્યુટર ભાષા
"1. ஆப்டிமைசர், 2. உகப்பாக்கி","1. ઑપ્ટિમાઇઝર, 2. ઑપ્ટિમાઇઝર"
மொத்தத்தில்),સરવાળે)
தொகை கோப்பு,સરવાળો ફાઇલ
"1. கூட்டல் செயல்பாடு, 2. மொத்த செயல்பாடு","1. એડિશન ઓપરેશન, 2. સરવાળો કામગીરી"
சேர்ப்பான்,ઉમેરનાર
தெரியும்,જાણો
முகவரி பேருந்து,સરનામું બસ
முகவரி கோப்பு,સરનામું ફાઇલ
முகவரி வடிவம்,સરનામું ફોર્મેટ
முகவரி ஜெனரேட்டர்,સરનામું જનરેટર
முகவரி வரி,એડ્રેસ લાઇન
முகவரி மேப்பிங்,સરનામું મેપિંગ
முகவரி காட்டி,સરનામું સૂચક
முகவரி பதிவு,સરનામું રજીસ્ટર
முகவரி முறிவு,સરનામું ભંગાણ
முகவரி மொழிபெயர்ப்பு,સરનામા અનુવાદ
"1. முகவரி நினைவகம், 2. முகவரியிடக்கூடிய நினைவகம்","1. એડ્રેસેબલ મેમરી, 2. એડ્રેસેબલ મેમરી"
உரையாற்றுதல்,સંબોધન
"1. போதுமான அளவுகோல்கள், 2. போதுமான அளவுகோல்","1. પર્યાપ્તતા માપદંડ, 2. પર્યાપ્તતા માપદંડ"
இணைப்பு,જોડાણ
"1. மேலாண்மை, 2. கட்டுப்பாடு","1. મેનેજમેન્ટ, 2. નિયંત્રણ"
"1. மேலாளர், 2. கட்டுப்படுத்தி","1. મેનેજર, 2. નિયંત્રક"
அடோப் அக்ரோபேட்,એડોબ એક્રોબેટ
அடோ போட்டோஷாப்,એડોબ ફોટોશોપ
ABAP (மேம்பட்ட வணிக நிரலாக்கம்),ABAP (એડવાન્સ્ડ બિઝનેસ પ્રોગ્રામિંગ)
