Kannada,Bengali
ಆಸಿಡಾಯ್ಡ್,অ্যাসিডয়েড
ಅಯೋಲಿಯನ್ ಮಣ್ಣು,বায়বীয় মাটি
ಒಟ್ಟು,সমষ্টি
ಒಟ್ಟುಗೂಡಿಸುವಿಕೆ,সমষ্টি
ಕೃಷಿಶಾಸ್ತ್ರ,কৃষিবিদ্যা
ಕೃಷಿಶಾಸ್ತ್ರ,কৃষিবিদ্যা
ಎ-ಹಾರಿಜಾನ್,A- দিগন্ত
Ao-ಹಾರಿಜಾನ್,আও-দিগন্ত
Aoo-ಹಾರಿಜಾನ್,আও-দিগন্ত
ಮಣ್ಣಿನ ಗಾಳಿಯ ಸಾಮರ್ಥ್ಯ,মাটির বায়ু ক্ষমতা
ಮಣ್ಣಿನ ಗಾಳಿಯ ಅಂಶ,মাটির বায়ু উপাদান
ಏರ್ ಪಿಕ್ನೋಮೀಟರ್,এয়ার পিকনোমিটার
ಆಲಿಟಿಕ್ ಮಣ್ಣು,অ্যালিটিক মাটি
ಮೆಕ್ಕಲು ಮಣ್ಣು,পলিমাটি
ಆಂಫೋಲಿಟಾಯ್ಡ್,অ্যামফোলাইটয়েড
ಅಯಾನ್,অ্যানিয়ন
"ಸ್ಪಷ್ಟವಾದ ನಿರ್ದಿಷ್ಟ ಗುರುತ್ವಾಕರ್ಷಣೆಯ ಪರಿಮಾಣದ ತೂಕ ಅಥವಾ ಬೃಹತ್ ನಿರ್ದಿಷ್ಟ ಗುರುತ್ವಾಕರ್ಷಣೆ,&quot;","আপাত নির্দিষ্ট মাধ্যাকর্ষণ আয়তনের ওজন বা বাল্ক নির্দিষ্ট মাধ্যাকর্ষণ,&quot;"
ಅರ್ರಿಸ್,আরিস
ಆಶ್ಲರ್ ಉತ್ತಮವಾದ ಕಲ್ಲು,আশলার সূক্ষ্ম গাঁথনি
ಆಶ್ಲರ್ ಕಲ್ಲು,আশলার রাজমিস্ত্রি
ಅಜೋನಲ್ ಮಣ್ಣು,অ্যাজোনাল মাটি
ಹಿಂದೆ ನಟ,পেছনের অভিনেতা
ಹಿಂದಿನ ಕಮಾನು,পিছনের খিলান
ಬ್ಯಾಕ್ ಬ್ಯಾಂಡ್,ব্যাক ব্যান্ড
ಬ್ಯಾಕ್ ಬ್ರಷ್,পিছনের ব্রাশ
ಹಿಂತಿರುಗಿ ಪರಿಶೀಲಿಸಿ,ফিরে চেক
ಹಿಂದಿನ ಕೌಂಟರ್,পিছনে কাউন্টার
ಬೆನ್ನು ಕತ್ತರಿಸುವುದು,পিছনে কাটা
ಬ್ಯಾಕ್ ಡ್ರಾಫ್ಟ್ ಡ್ಯಾಂಪರ್,ব্যাক ড্রাফ্ট ড্যাম্পার
ಬ್ಯಾಕ್ ಡ್ರೈನ್,পিছনের ড্রেন
ಬ್ಯಾಕ್ ಡ್ರಾಪ್,ব্যাকড্রপ
ಹಿಂದೆ ಭರ್ತಿ,ব্যাক ফিল
ಬ್ಯಾಕ್ ಫಿಲೆಟ್,ব্যাক ফিললেট
ಬ್ಯಾಕ್ ಫ್ಲಾಪ್ ಹಿಂಜ್,পিছনে ফ্ল্যাপ কবজা
ಬ್ಯಾಕ್ ಫ್ಲೋ ಸಂಪರ್ಕ,পিছনে প্রবাহ সংযোগ
ಬ್ಯಾಕ್ ಫ್ಲೋ ತಡೆಗಟ್ಟುವಿಕೆ,পিছনে প্রবাহ প্রতিরোধক
ಬ್ಯಾಕ್ ಗೇಜ್,ব্যাক গেজ
ಹಿಂಭಾಗದ ಗಟಾರ,পিছনে নর্দমা
ಹಿಂಬದಿ ಒಲೆ,পিছনের চুলা
ಹಿಮ್ಮೇಳ,ব্যাকিং
ಬ್ಯಾಕಿಂಗ್ ಬೋರ್ಡ್,ব্যাকিং বোর্ড
ಬೆನ್ನಿನ ಒತ್ತಡ,ফিরতি চাপ
ಬ್ಯಾಕ್ ಪ್ರಾಪ್,পিছনে প্রপ
ಹಿಂದಿನ ದೃಷ್ಟಿ,পিছনের দৃষ্টি
ಹಿಂಬದಿ ನೀರು,পিঠের জল
ಅಡ್ಡಿಪಡಿಸು,বিভ্রান্ত
ಬ್ಯಾಗ್ವರ್ಕ್,ব্যাগওয়ার্ক
ನಿಲುಭಾರ,ব্যালাস্ট
ಬಾಲ್ ಕ್ಲೇ,বল কাদামাটি
ಬಾಲ್ ಕೋನ್ ಕ್ಲಾಂಪ್,বল শঙ্কু বাতা
ಮುಳ್ಳುತಂತಿ,কাঁটাতার
ಬಾರ್ ನಾಯಿ,বার কুকুর
ಬಾರ್ಜ್ ಬೋರ್ಡ್,বার্জ বোর্ড
