Punjabi,Odiya
ਐਂਪੀਅਰ (ਯੂਨਿਟ),ଆମ୍ପେର୍ (ୟୁନିଟ୍)
angstrum,ଆଙ୍ଗଷ୍ଟ୍ରମ୍ |
ਏ-ਕਲਾਸ ਐਂਪਲੀਫਾਇਰ,ଏକ ଶ୍ରେଣୀ ଏମ୍ପ୍ଲିଫାୟର୍ |
ਏਐਨ ਰੇਡੀਓ ਸਹਾਏ,ଏକ ରେଡିଓ ସାହା |
ਇੱਕ-ਸਕੈਨਿੰਗ ਪੇਸ਼ਕਾਰੀ,ଏକ ସ୍କାନିଂ ଉପସ୍ଥାପନା |
a-ਦਰਸ਼,a-darsh
ਏ-ਸਕੋਪ ਪ੍ਰਦਰਸ਼ਨ,ଏକ ପରିସର କାର୍ଯ୍ୟଦକ୍ଷତା |
A-T ਕਰਵਡ ਕ੍ਰਿਸਟਲ,A-T ବକ୍ର ସ୍ଫଟିକ୍ |
"AC-DC ਲਾਭ, ਏ. ਸੀ.ਡੀ. ਸੀ.ਲਾਭੀ, ਏ. ਸੀ.ਡੀ. c. ਪ੍ਰਸਾਰਣ","ଏସି ଡିସି ଲାଭ, a। CD C. Labhi, A. CD ଗ"
am,ମୁଁ
ਏ.ਐੱਮ.ਯੂ (ਪਰਮਾਣੂ ਪੁੰਜ ਯੂਨਿਟ),AMU (ପରମାଣୁ ମାସ ଏକକ)
ਆਰਡ-ਵਰਕ*,aard-vark *
ਐਬ-ਐਂਪੀਅਰ,ab-ampere
ਏ-ਬੀ ਕਲਾਸ ਐਂਪਲੀਫਾਇਰ,A-B ଶ୍ରେଣୀ ଏମ୍ପ୍ଲିଫାୟର୍ |
adah,ଆଦା
ਏ-ਬੀ ਸ਼ਕਤੀ ਪਿਟਕ,A-B ଶକ୍ତି ପିଟାକା |
abc = ਅਲਾਈਨਮੈਂਟ ਚਾਰਟ = ਨਾਮੋਗ੍ਰਾਫ,abc = ଆଲାଇନ୍ମେଣ୍ଟ ଚାର୍ଟ = ନାମୋଗ୍ରାଫ୍ |
ਅਬੇ ਨੰਬਰ (ਆਬੇ ਸਥਿਰ),ଆବେ ସଂଖ୍ୟା (ଆବେ ସ୍ଥିର)
abe refractometer,abe refractometer
ਅਬੇ ਸਾਈਨ ਸਟੇਟ,ଆବେ ସାଇନ ଅବସ୍ଥା |
ਆਟੋਮੈਟਿਕ ਪੱਖਪਾਤ ਮੁਆਵਜ਼ਾ,ସ୍ୱୟଂଚାଳିତ ପକ୍ଷପାତ କ୍ଷତିପୂରଣ |
abcoulom,abcoulom
ਵਿਗਾੜ,"ଘୃଣ୍ୟତା, ଅବକ୍ଷୟ |"
ਵਿਗਾੜ ਠੀਕ ਕਰਨ ਵਾਲਾ ਲੈਂਸ,ଅବରାଟେସନ୍ ସଂଶୋଧନକାରୀ ଲେନ୍ସ |
ਅਸਮਾਨ ਵਿਕਾਰ,ଆକାଶ ଅବକ୍ଷୟ |
abfarad,abfarad
ਈਬੇਨਰੀ,ଏବେନେରୀ |
ਈਬੋਨੀ ਪ੍ਰਭਾਵ,ଇବୋନି ପ୍ରଭାବ |
ਅਸਧਾਰਨ ਧਰੁਵੀਕਰਨ,ଅସ୍ୱାଭାବିକ ପୋଲାରାଇଜେସନ୍ |
ਅਸਧਾਰਨ ਸੰਚਾਰ,ଅସ୍ୱାଭାବିକ ସଂକ୍ରମଣ
ਅਲੌਕਿਕ ਪ੍ਰਤੀਬਿੰਬ,ପରମାନନ୍ଦ ପ୍ରତିଫଳନ |
ਅਸਧਾਰਨ ਅਪਵਰਤਨ*,ଅସ୍ୱାଭାବିକ ପ୍ରତିକ୍ରିୟା *
ਅਲੌਕਿਕ ਵਿਰੋਧ,ପରମାନନ୍ଦ ପ୍ରତିରୋଧ |
ab-om,ab-om
"ਪ੍ਰਬਲਤਾ, ਅਸਫਲਤਾ","ଅଗ୍ରାଧିକାର, ବିଫଳତା |"
"ਜੁੜੇ ਹੋਏ, ਆਮ ਤੌਰ &#39;ਤੇ, ਖੜ੍ਹੇ, ਕੱਟੇ ਹੋਏ, ਖੰਡਿਤ","ସଂଲଗ୍ନ, ସାଧାରଣତ, ଠିଆ, ବିଚ୍ଛିନ୍ନ, ଖଣ୍ଡବିଖଣ୍ଡିତ |"
ਅਕਸਰ ਛਾਲ ਮਾਰਦਾ ਹੈ,ବାରମ୍ବାର ଡେଇଁପଡେ |
ਹੱਥ*,ହାତ *
ਗੁੰਮ ਪ੍ਰਤੀਬਿੰਬ,ହଜିଯାଇଥିବା ପ୍ରତିଫଳନ |
ਗੁੰਮ ਸਪੈਕਟ੍ਰਮ,ସ୍ପେକ୍ଟ୍ରମ୍ ଅନୁପସ୍ଥିତ |
"ਪੂਰਨ, ਸੰਪੂਰਨ, ਨਿਰੰਤਰ, ਸੰਪੂਰਨ","ସଂପୂର୍ଣ୍ଣ, ସଂପୂର୍ଣ୍ଣ, ସ୍ଥିର, ସିଦ୍ଧ |"
ਪੂਰਨ ਪ੍ਰਵੇਗ,ସଂପୂର୍ଣ୍ଣ ତ୍ୱରଣ
ਪੂਰਨ ਅਸਲੀਅਤ,ସଂପୂର୍ଣ୍ଣ ବାସ୍ତବତା |
ਪੂਰਾ ਪਤਾ,ସଂପୂର୍ଣ୍ଣ ଠିକଣା
ਭੂ-ਸੰਬੰਧੀ ਉਚਾਈ ਮੀਟਰ,ଜିଓ-ଆପେକ୍ଷିକ ଉଚ୍ଚତା |
