Kannada,English
ಅಬೆಲಿ ಗುಂಪು,Abelian group
ಅಬೆಲಿ ಗುಂಪು,abelian semigroup
ಕೈ,abscissa
"ಸಂಪೂರ್ಣ, ಸಂಪೂರ್ಣ, ಸ್ಥಿರ, ನಿಖರ",absolute
ಸಂಪೂರ್ಣ ಒಮ್ಮುಖ,absolute convergence
ಸಂಪೂರ್ಣ ದೋಷ,absolute error
ಸರ್ವೋಚ್ಚ ಸರ್ವೋಚ್ಚ,absolute maximum
ಸಂಪೂರ್ಣ ಕಡಿಮೆ,absolute minimum
ಸಂಪೂರ್ಣ ಮೌಲ್ಯ,absolute value
ಸಂಪೂರ್ಣ ವೇಗ,absolute velocity
ಅಮೂರ್ತ ಬೀಜಗಣಿತ,abstract algebra
ಅಮೂರ್ತ ಗುಂಪು ಸಿದ್ಧಾಂತ,abstract group theory
ವೇಗವರ್ಧನೆ,acceleration
ಗುರುತ್ವಾಕರ್ಷಣೆಯ ವೇಗವರ್ಧನೆ,acceleration due to gravity
ಸ್ವೀಕಾರಾರ್ಹ ಆಯ್ಕೆಗಾರ,acceptable choice set
ಸ್ವೀಕಾರಾರ್ಹ ಗುಣಮಟ್ಟದ ಮಟ್ಟ,acceptable quality level
ಸ್ವೀಕಾರಾರ್ಹ ಆವರಣ,acceptable range
ಮಾನ್ಯವಾದ ವಿಶ್ವಾಸಾರ್ಹತೆಯ ಮಟ್ಟ,acceptable reliability level
ಸ್ವೀಕಾರ ಮಾದರಿ,acceptable sampling
ಸಂಚಿತ ದೋಷ,accumulated error
ನಿಖರತೆ,accuracy
ಅನ್ವಯಿಸಿದ ಬಲ,acting force
"ಕ್ರಿಯೆ, ಕಾರ್ಯ",action
ಕ್ರಿಯೆ ಮತ್ತು ಪ್ರತಿಕ್ರಿಯೆ,action and reaction
ವಿಮಾ ವಿಜ್ಞಾನ,acturial science
ತೀವ್ರ ತ್ರಿಕೋನ,acute angled triangle
ಅಸೈಕ್ಲಿಕ್,acyclic
ಒಟ್ಟುಗೂಡಿಸಲು,add
ಸೇರಿಸುವವನು,adder
"ಮೊತ್ತ, ಸಂಕಲನ, ಸಂಕಲನ (ಸಿ.), ಸಂಯೋಜಕ (ವಿ.)",addition
ಯೋಗದ ಸೂತ್ರ,addition formula
ಸಂಕೀರ್ಣ ಸಂಖ್ಯೆಗಳ ಮೊತ್ತ,addition of complex numbers
ಕಾರ್ಯಗಳ ಮೊತ್ತ,addition of functions
ಮ್ಯಾಟ್ರಿಕ್ಸ್ ಮೊತ್ತ,addition of matrices
ಬಹುಪದಗಳ ಮೊತ್ತ,addition of polynomials
ಸಂಭವನೀಯತೆಗಳ ಮೊತ್ತ,addition of probabilities
ವಾಹಕಗಳ ಮೊತ್ತ,addition of vectors
"ಯೋಗ ಪ್ರಮೇಯ, ಬೆರ್ರಿ ಸಿದ್ಧಾಂತ,",addition theorem
ಸಂಯೋಜಕ ಗುಂಪು,additive group
ಸಂಯೋಜಕ ವಿಲೋಮ,additive inverse
ಸೇರಿಸುವಿಕೆ,additive property
ಸೇರಿಸುವಿಕೆ,additivity
ಪಕ್ಕದ ಮ್ಯಾಟ್ರಿಕ್ಸ್,adjacency matrix
"ಪಕ್ಕದ, ಪಕ್ಕದ, ಪಕ್ಕದ",adjacent
ಪಕ್ಕದ ಕೋನ,adjacent angles
ಪಕ್ಕದ ಶೃಂಗ,adjacent vertex
ಸಂಯೋಜಿಸಲು,adjoin
"ಲಗತ್ತಿಸಲಾದ ಸುತ್ತುವರಿದ,",adjoining
ಸಾಮಾನ್ಯ ನಿರ್ಣಾಯಕ,adjoint determinant
ಲಗತ್ತಿಸಲಾದ ಭೇದಾತ್ಮಕ ಸಮೀಕರಣ,adjoint differential equation
ಲಗತ್ತಿಸಲಾದ ಸಮೀಕರಣ,adjoint equation
ಏಕರೂಪದ ಮ್ಯಾಟ್ರಿಕ್ಸ್,adjoint matrix
ಮ್ಯಾಟ್ರಿಕ್ಸ್ ಒಗ್ಗಟ್ಟು,adjoint of matrix
ಏಕರೂಪದ ಮ್ಯಾಟ್ರಿಕ್ಸ್,adjugate matrix
ಸ್ವೀಕಾರಾರ್ಹ ನಿರ್ಧಾರ ಕಾರ್ಯ,admissible decision function
ಸ್ವೀಕಾರಾರ್ಹ ಊಹೆ,admissible hypothesis
ವಾಯುಬಲವೈಜ್ಞಾನಿಕ ಶಕ್ತಿ,aerodynamic force
ವಾಯುಬಲವಿಜ್ಞಾನ,aerodynamics
ಏಕರೂಪದ ಜ್ಯಾಮಿತಿ,affine geometry
ಏಕರೂಪದ ಮ್ಯಾಪಿಂಗ್,affine mapping
ಏಕರೂಪದ ರೂಪಾಂತರ,affine transformation
ಒಟ್ಟು ವೇರಿಯಬಲ್,aggregating variables
"ಬೀಜಗಣಿತ, ಬೀಜಗಣಿತ, ಬೀಜಗಣಿತ, ಬೀಜಗಣಿತ",algebra
"ಬೀಜದ ಮುಚ್ಚಿದ, ಬೀಜದ",algebraically closed
ಬೀಜಗಣಿತದ ಸಮೀಕರಣ,algebraic equation
ಬೀಜಗಣಿತದ ಅಭಿವ್ಯಕ್ತಿ,algebraic expression
ಬೀಜಗಣಿತದ ಏಕರೂಪತೆ,algebraic form
ಬೀಜಗಣಿತದ ಕಾರ್ಯ,algebraic function
ಬೀಜಗಣಿತದ ರೇಖಾಗಣಿತ,algebraic geometry
ಬೀಜಗಣಿತದ ಬಹುತ್ವ,algebraic multiplicity
ಬೀಜಗಣಿತ ವ್ಯವಸ್ಥೆ,algebraic system
ಎಲ್ಲಾ ಪೂರ್ಣಾಂಕ ಸಮಸ್ಯೆ,all-integer problem
"ನಿಯೋಜನೆ ಸಮಸ್ಯೆ ವ್ಯಾಟ್ ಪ್ರಶ್ನೆ,",allocation problem
ವರ್ಣಮಾಲೆಯ ಸಂಕೇತ,alphabetical notation
ವರ್ಣಮಾಲೆಯ ಅಕ್ಷರ,alphabetic character
ಪರ್ಯಾಯ ಕೋನಗಳು,alternate angle
"ಪರ್ಯಾಯ ಏಕರೂಪದ ಪರ್ಯಾಯ ರೂಪ,",alternating form
ಪರ್ಯಾಯ ಗುಂಪು,alternating group
ಪರ್ಯಾಯ ಮ್ಯಾಟ್ರಿಕ್ಸ್,alternating matrix
ಪರ್ಯಾಯ ಸರಣಿ,alternating series
ಪರ್ಯಾಯ ಕಲ್ಪನೆ,alternative hypothesis
ಪರ್ಯಾಯ ಆಪ್ಟಿಮಮ್,alternative optima
ಪರ್ಯಾಯ ಫಲಿತಾಂಶ,alternative outcome
ಅನಲಾಗ್-ಅಂಕಿಯ ಪರಿವರ್ತಕ,analog-to-digital converter
"ಅನಲಾಗ್ ಕಂಪ್ಯೂಟರ್,",analogue computer
ವಿಶ್ಲೇಷಣೆ,analysis
ಸಹವರ್ತಿ ವಿಶ್ಲೇಷಣೆ,analysis of covariance
ಎಣಿಕೆ-ಡೇಟಾ ವಿಶ್ಲೇಷಣೆ,analysis of enumeration data
ವ್ಯತ್ಯಾಸ ವಿಶ್ಲೇಷಣೆ,analysis of variance
ವಿಶ್ಲೇಷಣಾತ್ಮಕ ಜ್ಯಾಮಿತಿ,analytic geometry
ವಿಶ್ಲೇಷಣಾತ್ಮಕ ಕಾರ್ಯ,analytic function
ಕೋನ,angle
ಸ್ಪರ್ಶ ಕೋನ,angle of contact
ವಿಚಲನ ಕೋನ,angle of deflection
ಖಿನ್ನತೆಯ ಕೋನ,angle of depression
ವಿಚಲನ ಕೋನ,angle of deviation
ವಿವರ್ತನೆಯ ಕೋನ,angle of diffraction
ಎತ್ತರದ ಕೋನ,angle of elevation
ಘಟನೆಯ ಕೋನ,angle of incidence
ಪ್ರೊಜೆಕ್ಷನ್ ಕೋನ,angle of projection
ಪ್ರತಿಬಿಂಬದ ಕೋನ,angle of reflection
ವಕ್ರೀಭವನದ ಕೋನ,angle of refraction
ತಿರುಗುವ ಕೋನ,angle of rotation
ಪ್ರತಿಫಲನದ ಸಂಪೂರ್ಣ ಕೋನ,angle of total reflection
ಕೋನೀಯ ವೇಗವರ್ಧನೆ,angular acceleration
ಕೋನೀಯ ವೇಗ,angular motion
ಕೋನೀಯ ವೇಗ,angular speed
ಕೋನೀಯ ವೇಗ,angular velocity
ಉಂಗುರದ ಬೆರಳು,annulus
ಉತ್ತರ,answer
ಕೌಂಟರ್ ಉತ್ಪನ್ನ,anti – derivative
ಸಮಮಾಪನ ಕಾರ್ಯ,antisymmetric function
"ಆವರಿಸಬಹುದಾದ, ಅನ್ವಯಿಸುವ, ಅನ್ವಯಿಸುವ",applicable
"ಅರ್ಜಿ ಅರ್ಜಿ,",application
ಅನ್ವಯಿಕ ಡೈನಾಮಿಕ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್,applied dynamic programming
ಅನ್ವಯಿಕ ಜ್ಯಾಮಿತಿ,applied geometry
ಅನ್ವಯಿಕ ಗಣಿತ,applied mathematics
ಅನ್ವಯಿಕ ಅಂಕಿಅಂಶಗಳು,applied statistics
"ಸರಿಸುಮಾರು, ಸರಿಸುಮಾರು",approximately
ಸರಿಸುಮಾರು ನಿರಂತರ ಕಾರ್ಯ,approximately continuous function
"ಮ್ಯಾಕ್ರೋ ವಿಧಾನ, ಅಂದಾಜು ವಿಧಾನ",approximate method
ಅಂದಾಜು ಪರಿಹಾರ,approximate solution
ಅಂದಾಜು ಸಮಸ್ಯೆ,approximation problem
ಅಂದಾಜು ಆಸ್ತಿ,approximation property
ಯೋಗ್ಯತಾ ಪರೀಕ್ಷೆ,aptitude test battery
ಆರ್ಗಾನ್ ರೇಖಾಚಿತ್ರ,Argand diagram
ಸ್ವಯಂಪ್ರೇರಿತ,arbitrarily chosen
"ಯಾದೃಚ್ಛಿಕ, ಯಾದೃಚ್ಛಿಕ",arbitrary
ಅನಿಯಂತ್ರಿತ ಸ್ಥಿರ,arbitrary constant
ಉಚಿತ ಅಂಶ,arbitrary element
