Punjabi,Telugu
ਅਧੂਰਾ ਹਿੱਸਾ ਅਧੂਰਾ ਛੱਡ ਦਿੱਤਾ,గర్భస్రావం చేసిన అవయవం
ਅਧੂਰਾ,గర్భస్రావం చేసిన విత్తనం
ਗਰਭਪਾਤ,గర్భస్రావం
ਸੰਪੂਰਨ ਬੂਟੀ,సంపూర్ణ కలుపు
ਸਮਾਈ,గ్రహించిన కేషన్
ਸਮਾਈ,శోషణ
ਅਬੀਸਨੀਅਨ ਰਾਈ,అబిస్సినియన్ ఆవాలు
ਅਚੰਭੇ,అకారిసైడ్
ਰਾਜਕੁਮਾਰੀ,యాక్సెంట్రిక్
ਲਹਿਜ਼ਾ (ਸੈੱਲ),ఉచ్ఛారణ (సెల్)
ਸਹਿਣਸ਼ੀਲਤਾ ਸਵੀਕਾਰ ਕੀਤੀ,అంగీకరించబడిన సహనం
ਸਹਾਇਕ,అనుబంధ
ਅਨੁਕੂਲਤਾ,అలవాటు
ਇਕੱਠਾ,చేరడం
ਸ਼ੁੱਧਤਾ,ఖచ్చితత్వం
ਏਸਰਵੂਲਸ,అసర్వులస్
ਐਸੀਟਿਫਿਕੇਸ਼ਨ,ఎసిటిఫికేషన్
ਐਸਿਡਿਫਿਕੇਸ਼ਨ,ఆమ్లీకరణ
ਐਸਿਡਮੀਟਰ,అసిడిమీటర్
ਐਸਿਡਿਟੀ,ఆమ్లత్వం
ਐਸਿਡੋਫਿਲਿਕ,అసిడోఫిలిక్
ਤੇਜ਼ਾਬ ਵਾਲੀ ਰਾਜ਼ ਫਾਸਫੇਟ,ఆమ్లీకృత రాక్ ఫాస్ఫేట్
ਐਸਿਡੁਰਿਕ,యాసిడ్యూరిక్
ਐਕੁਇਫਰ,జలాశయం
ਗ੍ਰਹਿਣ,సముపార్జన
ਏਕੜ,ఎకరాలు
ਰਕਬੇ,ఎకరాల
ਐਕਰੋਸੀਐਸਟ੍ਰਿਕ ਕ੍ਰੋਮੋਸੋਮ,అక్రోసెంట్రిక్ క్రోమోజోమ్
ਐਕਰੋਪੇਟਲ,అక్రోపెటల్
ਐਸ਼੍ਰੋਸੋਮ,అక్రోసోమ్
ਐਕਟਿਨੋਮਾਈਸਾਈਟਸ,ఆక్టినోమైసెట్స్
ਐਕਟਿਵ ਰੂਟ ਜ਼ੋਨ,యాక్టివ్ రూట్ జోన్
