Marathi,Tamil
वेस्टमिन्स्टरचे मठाधीश,வெஸ்ட்மின்ஸ்டர் அபே
निषिद्ध,துறவு
गुलामगिरीचे उच्चाटन,அடிமைத்தனத்தை ஒழித்தல்
आदिवासी,பழங்குடியினர்
अब्राहम युग,ஆபிரகாம் சகாப்தம்
अनुपस्थित जमीनदार,இல்லாத நில உரிமையாளர்கள்
अकादमी,கலைக்கூடம்
अक्रा परिषद,அக்ரா மாநாடு
जमा,திரட்டல்கள்
संवर्धन,வளர்ப்பு
एसेलडामा,அசெல்டாமா
आचियन (=अचियन),அச்சேயன் (=ஆச்சியன்)
आचियन लीग (=अचियन लीग),அச்சேயன் லீக் (=ஆச்சியன் லீக்)
एक्रोपोलिस,அக்ரோபோலிஸ்
Acta Diurna,ஆக்டா டைர்னா
Acta Senatus,ஆக்டா செனடஸ்
ऍक्ट अॅडिशनल,Acte Additionel
सक्रिय रेकॉर्ड (=वर्तमान रेकॉर्ड),செயலில் உள்ள பதிவு (=தற்போதைய பதிவு)
प्राप्तकर्त्याची कृती,அடையும் செயல்
नुकसानभरपाई आणि विस्मरणाचा कायदा,இழப்பீடு மற்றும் மறதியின் செயல்
सेटलमेंटचा कायदा,தீர்வு சட்டம்
जाहिरात करार सील,விளம்பர ஒப்பந்த முத்திரை
अदुल्लामाइट्स,அதுலமைட்டுகள்
विरोधक,எதிரி
विरोधक,எதிரி
एऑन,ஏயோன்
एरेरियम,ஏரேரியம்
हवाई युद्ध,வான்வழிப் போர்
एटोलियन लीग,ஏட்டோலியன் லீக்
वय,வயது
वृद्धत्व (=वृद्धत्व),முதுமை (=வயதான)
वृद्धत्व प्रक्रिया,வயதான செயல்முறை
अगेलाय,அகெலாய்
पराक्रमाचे वय,வீரத்தின் வயது
ज्ञानाचे वय,அறிவாற்றல் வயது
पेरिकल्सचे वय,பெரிக்கிள்ஸ் வயது
कारण वय,பகுத்தறிவு வயது
कृषीवाद,விவசாயம்
कृषी चळवळ,விவசாய இயக்கம்
अल्बिओन,அல்பியன்
अल्बम,ஆல்பம்
अल्डरमन,ஆல்டர்மேன்
मोहक हात,கவர்ச்சியான ஆயுதங்கள்
मैत्री,அமிட்டி
एम्फेक्टियोनिक परिषद,ஆம்ஃபிக்டியோனிக் கவுன்சில்
