Hindi,Gujarati
वैस्‍टम‍िन्‍स्‍टर मठ,વેસ્ટમિન્સ્ટરના એબી
मालखाना,ત્યાગી
दासता का उन्मूलन,ગુલામી નાબૂદી
आदिवासी,એબોરિજિનલ
अब्राहम काल,અબ્રાહમ યુગ
प्रवासी ज़मींदार,ગેરહાજર મકાનમાલિકો
अकादमी; विद्वत्परिषद,એકેડમી
अक्रा सम्मेलन,અકરા કોન્ફરન્સ
"प्रोद्भूत सामग्री, उपचित सामग्री",સંસાધનો
"परसंस्कृति-ग्रहण, उत्संस्करण",સંવર્ધન
एसेलडामा,એસેલડામા
एकियायी,અચેઅન (=અચિયન)
एकीयायी लीग,આચિયન લીગ (=એચિયન લીગ)
एक्रोपोलिस,એક્રોપોલિસ
"शाही रोज़नामचा, दैनिक समाचार",એક્ટા દીર્ના
सीनेट का कार्यवृत्त,એક્ટા સેનાટસ
"अपर प्रपत्र, एक्टे एडिशनेल",એક્ટ એડિશનલ
सक्रिय रिकार्ड,સક્રિય રેકોર્ડ (=વર્તમાન રેકોર્ડ)
अपकीर्त्ति अधिनियम,પ્રાપ્ત કરનારનું કાર્ય
दंड विमुक्ति एवं विस्मरण अधिनियम,ક્ષતિપૂર્તિ અને વિસ્મૃતિનું કાર્ય
"राज्य-व्यवस्था अधिनियम, एक्ट ऑफ सेटिलमेंट",સમાધાનનો અધિનિયમ
संविदा मुद्रा,જાહેરાત કરાર સીલ
आडुलम गुटवादी,અદુલ્લામાઈટસ
विपक्षी,વિરોધી
2. शत्रु,વિરોધી
युग,એઓન
इरेरियम,એરેરિયમ
"आकाशी युद्ध, हवाई लड़ाई",હવાઈ યુદ્ધ
"एटोलियन लीग, एटोलियायी संघ",એટોલિયન લીગ
"काल, युग",ઉંમર
"काल-प्रभावन, जीर्णन",વૃદ્ધત્વ (=વૃદ્ધત્વ)
जीर्णन-प्रक्रिया,વૃદ્ધત્વ પ્રક્રિયા
एजिलायी,અગેલાઈ
शौर्य युग,શૌર્યની ઉંમર
"प्रबोध युग, ज्ञानोदय युग",જ્ઞાનની ઉંમર
पेरीक्लीज़ युग,પેરિકલ્સની ઉંમર
तर्क प्रधान युग,કારણની ઉંમર
भूमि सुधारवाद,કૃષિવાદ
भूमि सुधारवादी आंदोलन,કૃષિ આંદોલન
एलबियन,એલ્બિયન
अलबम,આલ્બમ
"पौर मुख्य, विशिष्ट पौर, आल्‍डर्मन",એલ્ડરમેન
कुलांकित आयुध,મોહક શસ્ત્રો
मैत्री,સૌમ્યતા
एम्फिकटिआनी परिषद,એમ્ફિક્ટિઓનિક કાઉન્સિલ
ऊपर देo : Amphictyonic Council,એમ્ફિક્ટિઓનિક લીગ
"रंगवाट, रंगभूमि, अखाड़ा",એમ્ફીથિયેટર
(मृद्भांडों का) अमरीनाल वर्ग,અમરી નલ જૂથ (માટીના વાસણો)
"काल-वैषम्य, काल-दोष",અનાક્રોનિઝમ
काल-वैषम्ययुक्त,એનાક્રોનિસ્ટિક
पूर्वज,પૂર્વજ
पितृ-पूजा,પૂર્વજની પૂજા
कुल-परंपरा,વંશ
2. वंश,વંશ
3. वंश-क्रम,વંશ
4. उच्च कुल,વંશ
"प्राचीन शासन-व्यवस्था, क्रांति पूर्व शासन-व्यवस्था",પ્રાચીન શાસન
"पुरातन, प्राचीन",પ્રાચીન
प्राचीन गाथा,પ્રાચીન લોકગીત
प्राचीन मत,પ્રાચીન માન્યતા
प्राचीन प्रथा,પ્રાચીન રિવાજ
प्राचीन हतिहास,પ્રાચીન ઇતિહાસ
प्राचीन स्मारक,પ્રાચીન સ્મારકો
उपाख्यान,ટુચકો
एन्जिलोट,એન્જેલોટ
देवदूत पूजा,એન્જલસ
आन्जवै,એન્જેવિન (=એન્જેવિન)
ऐन्गल्स,ખૂણો
आंग्लिक,એંગ્લિકન
आंग्ल चर्च,એંગ્લિકન કોમ્યુનિયન
आंग्ल चर्चवाद,અંગ્રેજવાદ
आंग्ल विरोधी,એંગ્લો-ફોબ
आंग्ल-दुर्भीति,એંગ્લો-ફોબિયા
आंग्ल सैक्सन,એંગ્લો-સેક્સન
आंग्ल-सैक्सनवाद,એંગ્લો-સેક્સોનિઝમ
"आख्यान-लेखक, आख्यानकार",એનાલિસ્ટ
"वर्षवृत्त, आख्यान, ख्यात",ઇતિહાસ
"अधिनहन, मिला देना",જોડાણ
युद्ध पूर्व (स्थिति),એન્ટિ-બેલમ
"पूर्वतिथि-निर्धांरण, पूर्वकाल निर्धारण",તારીખ પહેલાં
पादरी प्रथा विरोधी,ક્લેરિકલિઝમ વિરોધી
पादरी प्रथा विरोधी विधान,કારકુની વિરોધી કાયદો
"पुरावशेष, पुरावस्तु",પ્રાચીનકાળ
लगान-विरोधी,વિરોધી ભાડા
2. एन्टी रैन्ट पार्टी,વિરોધી ભાડા
"यहूदी विरोध, यहूदीवाद-विरोध, यहूदी विरोधवाद",વિરોધી સેમિટિઝમ
ऐन्ज़ेक,એન્ઝેક
नागरिक सभा,અપેલા
अरालू,અરાલુ
आर्च बिशप,આર્ક બિશપ
आर्च डची,કમાન ડચી
आर्च ड्यूक,આર્ક ડ્યુક
पुरालेख संग्रह,આર્કાઇફ (=આર્કાઇવલ સંગ્રહ)
महाधर्माध्यक्ष का पद,આર્કિપીસ્કોપેટ
अभिजाततंत्र,કુલીન વર્ગ
अभिजात,કુલીન
अभिजातीय दंभ,કુલીન સ્નોબરી
अरस्तूवादी,એરિસ્ટોટેલિયન
आर्मेडा,આર્માડા
स्पेन का आर्मेडा,આર્મડા (=ધ સ્પેનિશ આર્મડા)
कवच-विशारद,આર્મોરિસ્ટ (=આર્મરિસ્ટ)
"कवच, बख्तर, वर्म",બખ્તર (=બખ્તર)
अo देo armorist,આર્મરિસ્ટ
आर्य,આર્યન
2. कुलीन,આર્યન
अस्कारी,અસ્કરી
"आसिग्ना, भू-प्रतिभृत मुद्रा",સોંપણી
अभिसत्र,સહાય કરો
2. विधिपृच्छा,સહાય કરો
3. अभिसत्राधिनियम,સહાય કરો
आयुध अभिसत्राधिनियम,આર્મ્સ એક્ટની સહાય
डारेन उपस्थापन अभिसत्राधिनियम,ડેરેન પ્રેઝન્ટમેન્ટની સહાય
मृत पूर्वज अभिसत्राधिनियम,મોર્ટ &#39;ડી&#39; પૂર્વજની સહાય
अभिनव अधिधारणोत्सादन अभिसत्राधिनियम,નવલકથા ડીસીસીનની સહાય
नृशंसता,અત્યાચાર
आक्रमण,હુમલો
"सर्वोच्च न्यायालय, ऑलिक काउन्सिल",ઓલિક કાઉન્સિલ
गेडिस समाधान,દેવીની કુહાડી (=દેવીની કુહાડી)
धुरी राष्ट्र,એક્સિસ (=ધ રોમ-બર્લિન-ટોક્યો એક્સિસ)
"बाबुल, बेबीलोन",બેબીલોન
बेबीलोनी बंदीकरण,બેબીલોનીયન કેદ (=બેબીલોનીશ કેદ)
बाखुसी उपासक,બચનલ ભક્ત
मद्यपानोत्सव,બચ્ચનલિયા
युवा योद्धा,સ્નાતક
"बगदाद अनुबंध, बगदाद पैक्ट",બગદાદ કરાર
बाल्कन लीग,બાલ્કન લીગ
बाल्कन अनुबंध,બાલ્કન કરાર
बाल्कन युद्ध,બાલ્કન યુદ્ધો
बाल्टिक अनुबंध,બાલ્ટિક સંધિ
दस्यु,ડાકુ
बांडुंग सम्मेलन,બાંડુંગ કોન્ફરન્સ
"निर्वासन, देश-निकाला",દેશનિકાલ
"पताका, ध्वजा",બેનર
बर्बर,અસંસ્કારી
कोट-घूँघट,બાર્બીકન
बारदोली सत्याग्रह,બારડોલી સત્યાગ્રહ
बार्न बर्नस,બાર્ન બર્નર્સ
"बैरन, सामंत",બેરોન
बैरोनेज,બેરોનેજ
महासामंत,બેરોન્સ મેજર
लघु सामंत,બેરોન્સ સગીર
सामंत पत्नी,બેરોનેસ
उपसामंत,બેરોનેટ
उपसामंत वर्ग,બેરોનેટેજ
2. बैरोनेट वंशावली,બેરોનેટેજ
उपसामंत,બેરોનેટસી
बैरोनी,બેરોની
दास बंदीगृह,બેરાકૂન
2. दास-गृह,બેરાકૂન
अवरोध,બેરિકેડ (=બેરિકેડ)
2. घिराव,બેરિકેડ (=બેરિકેડ)
3. मोचबिंदी,બેરિકેડ (=બેરિકેડ)
आधार शिबिर,મુખ્ય છાવણી
वैसिलिका,બેસિલિકા
