Gujarati,Assamese
A B વર્ગ એમ્પ્લીફાયર,এটা B শ্ৰেণীৰ এম্প্লিফায়াৰ
વિકૃતિ,বিচ্যুতি
અસામાન્ય ટ્રાન્સમિશન,অস্বাভাৱিক সংক্ৰমণ
"જોડાણ વિનાનું, સામાન્ય રીતે, ખાડો, અંગવિચ્છેદન, અસ્થિભંગ","অসংলগ্ন, সাধাৰণতে, গাঁতযুক্ত, কাটি পেলোৱা, ভাঙি যোৱা"
ગુમ થયેલ સ્પેક્ટ્રમ,অনুপস্থিত বৰ্ণালী
"નિરપેક્ષ, નિરપેક્ષ, અચળ, સંપૂર્ણ","নিৰপেক্ষ, নিৰপেক্ষ, ধ্ৰুৱক, নিখুঁত"
સંપૂર્ણ ભેજ,নিৰপেক্ষ আৰ্দ্ৰতা
સંપૂર્ણ ગતિ,নিৰপেক্ষ গতি
સંપૂર્ણ અવલોકન,নিৰপেক্ষ পৰ্যবেক্ষণ
સંપૂર્ણ તાપમાન,নিৰপেক্ষ উষ্ণতা
સંપૂર્ણ શૂન્ય,নিৰপেক্ষ শূন্য
શોષી લેવું,শুহি লোৱা
"શોષક, શોષક","শোষক, শোষক"
શોષણ ક્ષમતા,শোষণ ক্ষমতা
શોષણ,শোষণ ক্ষমতা
શોષક,শোষক
શોષકતા,শোষণ ক্ষমতা
ગુણાકાર ગુણોત્તર,বহুগুণতা অনুপাত
વેગ આપો,ত্বৰান্বিত কৰক
ઉતાવળ કરી,খৰধৰকৈ উঠিল
પ્રવેગ,বেগ বৃদ্ধি
ગુરુત્વાકર્ષણ પ્રવેગક,মাধ্যাকৰ্ষণৰ ত্বৰণ
પ્રવેગક,ত্বৰণকাৰী
પ્રવેગક,ত্বৰণকাৰী
એક્સેલરોમીટર,এক্সিলেৰমিটাৰ
prestresser,প্ৰিষ্ট্ৰেছাৰ
સ્વીકાર્ય પરીક્ષણ,গ্ৰহণযোগ্য পৰীক্ষা
સ્વીકારનાર,গ্ৰহণকাৰী
દાતા પરમાણુ,দাতা অণু
"પ્રવેશ, રાહ, સુલભતા","প্ৰৱেশ, অপেক্ষা, অভিগম্যতা"
ઉપલ્બધતા,অভিগম্যতা
"ફાજલ, સહાયક, સહાયક (v.), ઉપસાધનો (ed.)","অতিৰিক্ত, আনুষংগিক, আনুষংগিক (v.), আনুষংগিক (ed.)"
ઍક્સેસ સમય,প্ৰৱেশ সময়
મુલાકાતી ભૂલ,দৰ্শকৰ ভুল
ગોઠવણ,সমন্বয়
સંચિત,সঞ্চিত কৰা হৈছে
"સંચય, સંચય","সঞ্চয়, সঞ্চয়"
સંચયક,এক্যুলেটৰ
ચોકસાઈ,শুদ্ধতা
વાસ્તવિકતા,বাস্তৱতা
વર્ણહીન લેન્સ,ৰঙীন লেন্স
વર્ણહીન,achromatic
વર્ણહીનતા,achromaticity
એકોસ્ટિક,একাউষ্টিক
સાઉન્ડપ્રૂફ,শব্দ নিবাৰণ
એકોસ્ટિક ફોનોન,একাউষ্টিক ফ&#39;নন
ધ્વનિ એકમ,শব্দ একক
એકોસ્ટિક,একাউষ্টিক
અવાજ જનરેટર,শব্দ উৎপাদক
ક્રિયા અને પ્રતિક્રિયા,ক্ৰিয়া আৰু প্ৰতিক্ৰিয়া
સક્રિયકરણ,সক্ৰিয়কৰণ
સક્રિયકરણ ઊર્જા,সক্ৰিয়কৰণ শক্তি
"એક્ટિવેટર, એક્ટિવેટર","সক্ৰিয়কৰ্তা, সক্ৰিয়কৰ্তা"
સક્રિય,সক্ৰিয়
સક્રિયતા,সক্ৰিয়তা
વાસ્તવિક તણાવ,প্ৰকৃত মানসিক চাপ
બબડાટ,ফুচফুচাই কোৱা
સારાંશ માટે,সামৰণিত
"સરવાળો, ઉમેરો, એકંદર (સં.), ઉમેરણ (વિ.)","যোগ, যোগ, সমষ্টি (ed.), যোগ (v.)"
"સંયોજક સ્વર, વધારાનો સ્વર (સ્વર)","সংযোগী সুৰ, অতিৰিক্ত সুৰ (স্বৰ)"
ઉમેરણ,যোগকৰণ
સંલગ્નતા,আঠাযুক্ততা
એડહેસિવ ઊર્જા,আঠাযুক্ত শক্তি
adiabat,আদিয়াবাট
એડિબેટિક,adiabatic
હીટ ઇન્સ્યુલેટીંગ,তাপ নিৰোধক
જોડાણ,সংলগ্ন কৰা হৈছে
એડજસ્ટેબલ,নিয়ন্ত্ৰণযোগ্য
પ્રવેશ,ভেদ
શોષણ,শোষণ
આગળ,আগলৈ
પ્રગતિશીલ,প্ৰগতিশীল
"આકાશી, હવા (વિ.), હવાઈ (સં.)","আকাশী, বায়ু (v.), আকাশী (ed.)"
એન્ટેના સ્ટ્રીમ,এন্টেনা ষ্ট্ৰিম
હવાઈ સર્વેક્ષણ,আকাশী জৰীপ
હવાનો વેગ,বায়ুৰ বেগ
એરોડાયનેમિક ગુણાંક,বায়ুগতিশীল সহগ
એરોડાયનેમિક,বায়ুগতিবিদ্যা
