Gujarati,Hindi
અસામાન્ય,अपसामान्य
ગર્ભપાત,विफलन
ઘર્ષણ,"अपघर्षण, घिसाई"
અચાનક,"असंलग्न, अचानक, सहसा, विच्छिन्न"
સંપૂર્ણ ક્ષેત્ર શક્તિ,निरपेक्ष क्षेत्र सामर्थ्य
સંપૂર્ણ તાપમાન,परम ताप
અબાધિત મૂલ્ય,निरपेक्ष मान
શોષવું,"अवशोषित करना, अवशोषण करना"
સહ-કાર્યક્ષમ,अवशोषण गुणांक
શોષણ,अवशोषण हानि
નિષ્ક્રિય,"अमूर्त, सारांश, सार, संक्षेप"
પ્રવેગમાપક,त्वरणमापी
સ્વીકૃતિ કસોટી,स्वीकृति परीक्षण
પ્રવેશ,अभिगम
વપરાશ નિયંત્રણ,अभिगम नियंत्रण
પ્રવેશ -બિંદુ,अभिगम बिंदु
પ્રવેશ સમય,अभिगम काल
ઉપલ્બધતા,अभिगम्यता
સંકુચિત સેલી,संचायक सेल
ચોકસાઈ,यथार्थता
ચોક્કસ,यथार्थ
ઘેટાંના લેન્સ,अवर्णक लेन्स
તેજાબ,"अम्ल, ऐसिड"
એસિડ પ્રૂફ,अम्लसह
અમલ્ય,अम्लता
સ્વીકૃતિ,"पावती द्वयंक, पावती बिट"
ધ્વનિશાસ્ત્ર,ध्वानिक
ધ્વનિશાસ્ત્ર,ध्वानिक संचार
ધ્વનિ -પ્રસરણ,ध्वानिक विसरण
ધ્વનિ -બરાબરી,ध्वानिक समकारी
ધ્વનિ -પ્રતિસાદ,"ध्वानिक पुनर्भरण, ध्वानिक पुनर्निवेश"
ધ્વનિ ફિલ્ટર,"ध्वानिक फिल्टर, ध्वानिक निस्यंदक"
ધ્વનિ અવરોધ,ध्वानिक प्रतिबाधा
ધ્વનિ -માસ્કીંગ,"ध्वानिक आवरण, ध्वानिक प्रच्छादन"
ધ્વનિની શક્તિ,ध्वानिक षक्ति
ધ્વનિપક્ષીય મિલકત,ध्वानिक गुणधर्म
ધ્વનિની પ્રતિક્રિયા,ध्वानिक प्रतिघात
ધ્વનિ -પ્રતિબિંબ,ध्वानिक प्रतिवर्त
ધ્વનિ ટાઇલ,ध्वानिक टाइल
ધ્વનિ તરંગ,ध्वानिक तरंग
શ્રવ -શોષણ,ध्वानिक अवशोषण गुणांक
શ્રવણશક્તિ એટેન્યુએશન,ध्वानिक                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            क्षीणनांक
શ્રવણની ભીનાશ,ध्वानिक अवमंदन
ધ્વનિ વિલંબ રેખા,ध्वानिक विलंब लाइन
ધ્વનિની વિકૃતિ,ध्वानिक विरूपण
શ્રવણ નલિક,ध्वनि-वाहिनी
શ્રવણશક્તિ,ध्वानिक ऊर्जा
શ્રવણશક્તિ,ध्वानिक पुनर्निवेश
શ્રદ્ધ ફિલ્ટર,"ध्वानिक फिल्टर, ध्वानिक  निस्यंदक"
શ્રવણનો અવરોધ,ध्वानिक प्रतिबाधा
ધ્વનિ -પ્રચાર,ध्वानिक संचरण नियतांक
શ્રવણ પ્રતિકાર,ध्वानिक प्रतिरोध
ધ્વનિભ્રમણાથી ઇન્સ્યુલેટેડ,ध्वानिकतः रुद्ध
ધ્વનિશાસ્ત્ર,"ध्वानिकी, ध्वनि विज्ञान"
સંપાદન,"अधिग्रहण, अर्जन, उपार्जन"
ટૂંકાક્ષર,संक्षिप्त रूप
કાર્યવાહી ક્ષેત્ર,कार्य क्षेत्र
સક્રિય ફિલામેન્ટ,"सक्रियकृत तंतु, सक्रियित तंतु"
સક્રિય,सक्रिय
સક્રિય ક્ષેત્ર,सक्रिय क्षेत्र
સક્રિય બારી,सक्रिय विंडो
અનુકૂલનક્ષમતા,अनुकूलनीयता
એડેપ્ટર (એડેપ્ટર),"अनुकूलक, अनुकूलित्र"
અનુકૂલનશીલ વિભેદક પલ્સ મોડ્યુલેશન,अनुकूली विभेदी स्पंद कोड मॉडुलन
સરનામા પુસ્તિકા,"पता पुस्तिका, एड्रेस बुक"
સરનાવ બસ,"पता बस, एड्रेस बस"
ઠરાવ,"पता विभेदन, एड्रेस विभेदन"
સંલગ્ન ચેનલ દખલ,"आसन्न सरणी व्यतिकरण, आसन्न चैनल व्यतिकरण"
સંલગ્ન ચેનલ પસંદગી,"आसन्न चैनल वरण-क्षमता, आसन्न चैनल चयनात्मकता"
સંલગ્ન આવર્તન,आसन्न आवृत्ति
સંલગ્ન આવર્તન ચેનલ,आसन्न आवृत्ति चैनल
અડીને ચિત્ર વાહક,"आसन्न चित्र वाहक, संलग्न वीडियो वाहक"
અડીને ધ્વનિ વાહક,आसन्न ध्वनि वाहक
સંલગ્ન મથક,"निकटवतब स्टेशन, निकटवतब केंद्र"
ગોઠવણપાત્ર,समायोज्य
ગોઠવણપાત્ર કન્ડેન્સર,समायोज्य संधारित्र
ગોઠવણ,समायोज्य दाब
સમાયોજન,समायोजी रिंच
સમાયોજન,समायोजन
વહીવટકર્તા,"प्रशासक, नियंत्रक"
અદ્યતન ટેકનોલોજી,उन्नत प्रौद्योगिकी
હવાઈ,"एरियल (ऐन्टेना), आकाशी, वायव, हवाई"
હવાઈ ​​એરે,एरियल व्यूह
હવાઈ ​​બૂસ્ટર,"एरियल वर्धक, ऐन्टेना वर्धक"
હવાઈ ​​પ્રવાહ,ऐन्टेना धारा
હવાઈ ​​કમાણી સ્વીચ,ऐन्टेना भूसंपर्कक स्विच
હવાઈ ​​કાર્યક્ષમતા,ऐन्टेना दक्षता
હવાઈ ​​અવરોધ,ऐन्टेना प्रतिबाधा
હવાઈ ​​લિટક્શન,ऐन्टेना प्रेरकत्व
હવાઈ ​​ઇન્સ્યુલેટર,ऐन्टेना विद्तरोधी
હવાઈ ​​લોડિંગ કોઇલ,ऐन्टेना भारण कुंडली
હવાઈ ​​ફોટોગ્રાફી,आकाषी फोटोग्राफी
હવાઈ ​​શક્તિ,ऐन्टेना षक्ति
હવાઈ ​​કિરણોત્સર્ગ,आकाशी विकिरण प्रतिरोध
હવાઈ ​​પ્રતિક્રિયા,ऐन्टेना प्रतिघात
વાયુમિશ્રણશાસ્ત્ર,वायुगतिकी
સંસ્થા,"एजेंसी, अभिकरण"
હવાઈ ​​સંકોચન,वायु संपीडक
હવાઈ ​​કન્ડેન્સર,वायु संधारित्र
હવાઈ ​​ઠંડુ,वायुशीतित
હવાઈ ​​બાંધેલી કોથળી,वायु क्रोडित कुंडली
વાતાનુકૂલન,वातानुकूलन
અલ્બેડો,ऐल्बीडो
અલ્ગોરિધમનો,"कलन विधि, एल्गोरिथ्म"
પરવાના,एलियासिंग
સંલગ્ન,संरेखण
ગોઠવણી,संरेखण
બધા તરંગ હવાઈ,सर्व तरंग एरियल
ફાળવણી,नियतन
વર્ણાનુક્રમ,"वर्णक्रमीय, वर्णक्रमिक"
મૂર્તિમંત,अक्षरांकीय
વર્ણ -અક્ષર,अक्षरांकीय संप्रतीक
વર્ણ -મૂર્તિમંત માહિતી,अक्षरांकीय सूचना
વૈકલ્પિક વર્તમાન (એ.સી.),प्रत्यावतब धारा (ए सी)
એકાંતરણ,प्रत्यावर्तन
પરાકારી,"प्रत्यावर्तक, प्रत्यावर्तित्र"
Altંચાઈ,"तुंगता, उन्नतांश, शीर्षलंब"
અનુગામી alt ંચાઇ,अपभू-तुंगता
પેરગીની alt ંચાઇ,उपभू-तुंगता
કલાપ્રેમી રેડિયો સંચાર,अव्यावसायिक रेडियो संचार
વાતાવરણ,परिवेश
આજુબાજુના માઇક્રોફોન,परिवेश माइक्रोफोन
આસપાસની શરત,परिवेशी दशा
આસપાસની આજુબાજુની પ્રકાશ,परिवेश प्रकाश व्यवस्था
આજુબાજુનો અવાજ,परिवेशी रव
આસપાસનું તાપમાન,"परिवेशी ताप, परिवेश ताप"
અમેરિકન માનક સંહિતા,अमरीकी मानक कोड
ષડયંત્ર,ऐम्पियर
Amાંદું મીટર,ऐम्पियर मापी
વિસ્તૃત કરવું તે,प्रवर्धन
વિસ્તૃત પરિબળ,प्रवर्धन गुणक
પ્રવેધક,प्रवर्धक
વિપુલ લાભ,प्रवर्धक लब्धि
એમ્પ્લીફાયર અવાજ,प्रवर्धक रव
વિસ્તૃત સાધનસામગ્રી,प्रवर्धन उपस्कर
ક્લીસ્ટ્રોનને વિસ્તૃત કરવું,प्रवर्धन क्लाइस्ट्रॉन
વિસ્તૃત એકમ,प्रवर्धन एकक
કંપનવિસ્તાર,"आयाम, कोणांक"
કંપનવિસ્તારની વિકૃતિ,आयाम विरूपण
કંપનવિસ્તાર,आयाम प्रसार
કંપનવિસ્તાર પરિબળ,आयाम गुणक
મર્યાદિત મર્યાદા,आयाम सीमक
કંપનવિસ્તાર -મોડ્યુલેટેડ,आयाम मॉडुलित
કંપનલી -મોડ્યુલેશન,आयाम मॉडुलन
એનાલોગ (એનાલોગ),"अनुरूप, एनालॉग"
એનાશ,अनुरूप परिपथ
એનાલોગ કમ્પ્યુટર,अनुरूप कंप्यूटर
એનાલોગ રેડિયો આવર્તન ચેનલ માટે એનાલોગ રેડિયો આવર્તન ચેનલ,अनुरूप रेडियो आवृत्ति चैनल
મનોલોગ પ્રતિનિધિત્વ,अनुरूप निरूपण
એનાલોગ સંકેત,"अनुरूप संकेत, अनुरूप सिगनल"
ડિજિટલથી એનાલોગ,अनुरूप से अंकीय
ડિજિટલ કન્વર્ટર માટે એનાલોગ,अनुरूप-अंकीय परिवर्तक
એટાલી -વિડિઓ,अनुरूप वीडियो
સમાન,"अनुरूप, स–श"
સાદ્રશ્ય,अनुरूपता
વિશ્લેષણ,विष्लेषण
આંકડા,आंकड़ा विष्लेषण
વિશ્લેષણાત્મક ઘનતા,विष्लेषी घनत्व
વિશ્લેષણ કરવું,विष्लेषण करना
વિશ્લેષક,विष्लेषक
સૌધિતિક સાધનસામગ્રી,सहायक उपस्कर
અને દરવાજો,"ऐन्ड गेट, तथा द्वार, AND गेट"
ખાત્ય ખૂણા,समांतरण कोण
ધ્રુવીકરણ ખૂણા,धुवण कोण
પરિભ્રમણ,घूर्णन कोण
એંગસ્ટ્રોમ (Å),ऐंग्स्ट्रम(Å)
કોણીય,"कोणीय, d¨f.kd"
કોતરણી પ્રવેગક,d¨.kh; त्वरण
કોતરણી સમન્વય,कोणीय निर्देशांक
કોતરણી,कोणीय विक्षेपण
