Odiya,Punjabi
ଆବେଲି ଗୋଷ୍ଠୀ |,ਅਬੇਲੀ ਸਮੂਹ
ଆବେଲି ଗୋଷ୍ଠୀ |,ਅਬੇਲੀ ਸਮੂਹ
ହାତ,ਹੱਥ
"ସଂପୂର୍ଣ୍ଣ, ସଂପୂର୍ଣ୍ଣ, ସ୍ଥିର, ସଠିକ୍ |","ਪੂਰਨ, ਸੰਪੂਰਨ, ਸਥਿਰ, ਸਟੀਕ"
ସଂପୂର୍ଣ୍ଣ ସମ୍ମିଶ୍ରଣ |,ਪੂਰਨ ਕਨਵਰਜੈਂਸ
ସଂପୂର୍ଣ୍ଣ ତ୍ରୁଟି |,ਪੂਰਨ ਗਲਤੀ
ସର୍ବୋଚ୍ଚ ସର୍ବୋଚ୍ଚ,ਪਰਮ ਸਰਵਉੱਚ
ସଂପୂର୍ଣ୍ଣ ସର୍ବନିମ୍ନ |,ਸਭ ਤੋਂ ਘੱਟ
ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ,ਸਹੀ ਮੁੱਲ
ସଂପୂର୍ଣ୍ଣ ବେଗ,ਪੂਰਨ ਗਤੀ
ବିସ୍ତୃତ ବୀଜ ବର୍ଣ୍ଣନା |,ਸਾਰ ਅਲਜਬਰਾ
ବିସ୍ତୃତ ଗୋଷ୍ଠୀ ସିଦ୍ଧାନ୍ତ |,ਐਬਸਟਰੈਕਟ ਗਰੁੱਪ ਥਿਊਰੀ
ତ୍ୱରଣ,ਪ੍ਰਵੇਗ
ମାଧ୍ୟାକର୍ଷଣ ତ୍ୱରଣ |,ਗਰੈਵੀਟੇਸ਼ਨਲ ਪ੍ਰਵੇਗ
ଗ୍ରହଣୀୟ ଚୟନକର୍ତ୍ତା |,ਸਵੀਕਾਰਯੋਗ ਚੋਣਕਾਰ
ଗ୍ରହଣୀୟ ଗୁଣବତ୍ତା ସ୍ତର |,ਸਵੀਕਾਰਯੋਗ ਗੁਣਵੱਤਾ ਪੱਧਰ
