Bengali,Punjabi
A B শ্রেণীর পরিবর্ধক,ਏ ਬੀ ਕਲਾਸ ਐਂਪਲੀਫਾਇਰ
বিকৃতি,ਵਿਗਾੜ
অস্বাভাবিক সংক্রমণ,ਅਸਧਾਰਨ ਸੰਚਾਰ
"অসংলগ্ন, সাধারণত, পিট করা, অঙ্গচ্ছেদ করা, ভাঙা","ਅਣ-ਅਟੈਚਡ, ਆਮ ਤੌਰ &#39;ਤੇ, ਟੋਏ, ਕੱਟੇ ਹੋਏ, ਖੰਡਿਤ"
অনুপস্থিত বর্ণালী,ਗੁੰਮ ਸਪੈਕਟ੍ਰਮ
"পরম, পরম, ধ্রুবক, নিখুঁত","ਪੂਰਨ, ਸੰਪੂਰਨ, ਨਿਰੰਤਰ, ਸੰਪੂਰਨ"
পরম আর্দ্রতা,ਪੂਰਨ ਨਮੀ
পরম গতি,ਪੂਰਨ ਗਤੀ
পরম পর্যবেক্ষণ,ਪੂਰਨ ਨਿਰੀਖਣ
পরম তাপমাত্রা,ਪੂਰਨ ਤਾਪਮਾਨ
পরম শূন্য,ਪੂਰਨ ਜ਼ੀਰੋ
শোষণ করা,ਸੋਖਣਾ
"শোষক, শোষক","ਸੋਖਣ ਵਾਲਾ, ਸੋਖਣ ਵਾਲਾ"
শোষণ ক্ষমতা,ਸਮਾਈ ਸਮਰੱਥਾ
শোষণ,ਸਮਾਈ
শোষক,ਜਜ਼ਬ ਕਰਨ ਵਾਲਾ
শোষণ,ਸਮਾਈ
বহুগুণ অনুপাত,ਗੁਣਾ ਅਨੁਪਾਤ
ত্বরান্বিত করা,ਤੇਜ਼ ਕਰੋ
তাড়াতাড়ি,ਜਲਦੀ
ত্বরণ,ਪ੍ਰਵੇਗ
অভিকর্ষের ত্বরণ,ਗੰਭੀਰਤਾ ਦਾ ਪ੍ਰਵੇਗ
এক্সিলারেটর,ਐਕਸਲੇਟਰ
এক্সিলারেটর,ਐਕਸਲੇਟਰ
অ্যাক্সিলোমিটার,ਐਕਸਲੇਰੋਮੀਟਰ
prestresser,prestresser
গ্রহণযোগ্য পরীক্ষা,ਸਵੀਕਾਰਯੋਗ ਟੈਸਟ
গ্রহণকারী,ਸਵੀਕਾਰ ਕਰਨ ਵਾਲਾ
দাতা অণু,ਦਾਨੀ ਅਣੂ
