Tamil,Marathi
கைவிடப்பட்ட உறுப்பு,गर्भपात केलेला अवयव
நிறுத்தப்பட்ட விதை,गर्भपात बियाणे
கருக்கலைப்பு,गर्भपात
முழுமையான களை,परिपूर्ण तण
உறிஞ்சப்பட்ட கேஷன்,शोषून घेतलेले केशन
உறிஞ்சுதல்,शोषण
அபிசீனிய கடுகு,अ‍ॅबिसिनियन मोहरी
அகரைடு,एकरिसाइड
உச்சரிப்பு,उच्चारण
உச்சநிலை (செல்),उच्चारण (सेल)
ஏற்றுக்கொள்ளப்பட்ட சகிப்புத்தன்மை,स्वीकारलेले सहिष्णुता
துணை,Ory क्सेसरी
பழக்கவழக்கமயமாக்கல்,सहनशीलता
குவிப்பு,संचय
துல்லியம்,अचूकता
அசெருலஸ்,अ‍ॅसर्व्हुलस
அசிடிபிகேஷன்,एसीटिफिकेशन
அமிலமயமாக்கல்,आम्लता
அமிலமீட்டர்,अ‍ॅसिडिमीटर
அமிலத்தன்மை,आंबटपणा
அமிலத்தன்மை கொண்ட,अ‍ॅसिडोफिलिक
அமிலப்படுத்தப்பட்ட ராக் பாஸ்பேட்,अ‍ॅसिड्युलेटेड रॉक फॉस्फेट
அமிலத்தன்மை,अ‍ॅसिड्यूरिक
நீர்வாழ்,जलचर
கையகப்படுத்தல்,संपादन
ஏக்கர்,एकर
ஏக்கர் தூரம்,एकर क्षेत्र
அக்ரோசென்ட்ரிக் குரோமோசோம்,अ‍ॅक्रोसेन्ट्रिक गुणसूत्र
அக்ரோபெட்டல்,अ‍ॅक्रोपेटल
சக்ரோசோம்,अ‍ॅक्रोसोम
ஆக்டினோமைசீட்கள்,अ‍ॅक्टिनोमाइसेट्स
செயலில் ரூட் மண்டலம்,सक्रिय रूट झोन
கடுமையான,तीव्र
தகவமைப்பு,अनुकूलता
தழுவல்,रुपांतर
ஒட்டுதல்,आसंजन
கொழுப்பு,Ip डिपोज
சரிசெய்தல் சமன்பாடு,समायोजन समीकरण
அடோப் மண்,अ‍ॅडोब माती
கலப்படம்,व्यभिचारी
சாகச,साहसी
Aecidiospore,एसीडिओस्पोर
ஏலியன் செயல்முறை,आयओलियन प्रक्रिया
ஏயோலியன்,आयओलियन
காற்றோட்டம்,वायुवीजन
வான்வழி,हवाई
ஏரோமானி,एरोमीटर
ஏரோசோல்,एरोसोल
அவதூறு,एस्टिवेशन
ஏட்டாலஜி (நோயியல்,एटिओलॉजी (एटिओलॉजी)
காடு வளர்ப்பு,वनीकरण
கிளர்ச்சி,आंदोलन
அக்மார்க்,अ‍ॅगमार्क
விவசாய,कृषी
வேளாண் மருத்துவமனை,कृषी क्लिनिक
விவசாய உழைப்பு,कृषी कामगार
விவசாய சந்தைப்படுத்தல்,कृषी विपणन
விவசாய தொழில்நுட்பம்,कृषी तंत्रज्ञान
வேளாண்மை,शेती
