Odiya,Marathi
"1. ଆବାକସ୍, ୨। ଗଣନା","1.अॅबॅकस, 2. मोजणी"
ଅସ୍ୱାଭାବିକ ସମାପ୍ତି |,असामान्य शेवट
ବାଧା,इंटरसेप्ट
"1. ସଂପୂର୍ଣ୍ଣ, 2 ସର୍ବୋଚ୍ଚ","1. निरपेक्ष, 2. सर्वोच्च"
ସଂପୂର୍ଣ୍ଣ ଠିକଣା,परिपूर्ण पत्ता
ସଂପୂର୍ଣ୍ଣ ଠିକଣା ଯୋଗ୍ୟତା |,परिपूर्ण पत्ता योग्यता
ସଂପୂର୍ଣ୍ଣ ସମାବେଶକାରୀ |,परिपूर्ण असेंबलर
"1. ସଂପୂର୍ଣ୍ଣ କୋଡ୍, 2 ସଂପୂର୍ଣ୍ଣ କୋଡ୍","1. संपूर्ण कोड, 2. परिपूर्ण कोड"
ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ |,निरपेक्ष आज्ञा
"1. ସଂପୂର୍ଣ୍ଣ ସଂଖ୍ୟା, 2 ସଂପୂର୍ଣ୍ଣ ତଥ୍ୟ |","1. परिपूर्ण आकडे, 2. परिपूर्ण डेटा"
ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ,परिपूर्ण सूचना
ସଂପୂର୍ଣ୍ଣ ମୋଡ୍ |,परिपूर्ण मोड
ସଂପୂର୍ଣ୍ଣ ପଥ,परिपूर्ण मार्ग
"1. ସଂପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ, 2 ସଂପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ |","1. परिपूर्ण प्रोग्रामिंग, 2. परिपूर्ण प्रोग्रामिंग"
ବିସ୍ତୃତ ଶ୍ରେଣୀ |,अमूर्त वर्ग
ବିସ୍ତୃତ ତଥ୍ୟ ପ୍ରକାର |,अमूर्त डेटा प्रकार
ବିସ୍ତୃତ ମେସିନ୍ |,अमूर्त मशीन
ବିସ୍ତୃତ ପ୍ରତୀକ |,अमूर्त चिन्ह
ବିସ୍ତୃତ ବାକ୍ୟବିନ୍ୟାସ |,अमूर्त वाक्यरचना
ଗ୍ରହଣ ପରୀକ୍ଷା,स्वीकृती चाचणी
ପ୍ରବେଶ ପ୍ରମାଣପତ୍ର,प्रवेश प्रमाणपत्र
"1. ପ୍ରବେଶ ସଂକେତ, 2 ପ୍ରବେଶ କୋଡ୍","1. प्रवेश कोड, 2. प्रवेश कोड"
ପ୍ରବେଶ ନିୟନ୍ତ୍ରଣ,प्रवेश नियंत्रण
ସ୍କାନିଂ ଆକ୍ସେସ୍ କରନ୍ତୁ |,प्रवेश स्कॅनिंग
ଆନୁଷଙ୍ଗିକ,उपकरणे
ହିସାବ,लेखा
"1. ଖାତା ID, 2 ଆକାଉଣ୍ଟିଂ ପରିଚୟ","1. खाते आयडी, 2. लेखा ओळख"
ଜମାକାରୀ,संचयक
"1. ସଠିକତା, 2 ସଠିକତା","1. अचूकता, 2. अचूकता"
ପ୍ରବେଶ,प्रवेश
ଆକ୍ସେସ୍ କଣ୍ଟ୍ରୋଲ୍ ବାଇଟ୍ |,प्रवेश नियंत्रण बाइट्स
ପ୍ରବେଶ ସୂଚକ,प्रवेश सूचक
ପ୍ରବେଶ କୀ,प्रवेश की
"1. ଆକ୍ସେସ୍ ମ୍ୟାଟ୍ରିକ୍ସ, 2 ମ୍ୟାଟ୍ରିକ୍ସ ଆକ୍ସେସ୍ କରନ୍ତୁ |","1. प्रवेश मॅट्रिक्स, 2. प्रवेश मॅट्रिक्स"
ପ୍ରବେଶ ମୋଡ୍,प्रवेश मोड
ସୁବିଧା ପ୍ରବେଶ,प्रवेश विशेषाधिकार
ସୁରକ୍ଷା ପ୍ରବେଶ କରନ୍ତୁ |,प्रवेश सुरक्षा
"1. ଆକ୍ସେସ୍ ସର୍ଭର, 2 ସର୍ଭରକୁ ପ୍ରବେଶ କରନ୍ତୁ |","1. ऍक्सेस सर्व्हर, 2. प्रवेश सर्व्हर"
ପ୍ରବେଶ ସମୟ,प्रवेश वेळ
ସ୍ୱୀକୃତି,पोचपावती
ଆକାଶବାଣୀ,ध्वनीशास्त्र
"1. ସଂକ୍ଷିପ୍ତ ଶବ୍ଦ, 2. ସଂକ୍ଷିପ୍ତକରଣ, 3 ଠାରୁ ଛୋଟ","1. संक्षेप, 2. संक्षेप, 3. पासून लहान"
