Marathi,Kannada
असामान्य,ಅಸಹಜ
गर्भपात,ಸ್ಥಗಿತಗೊಳಿಸು
घर्षण,ಸವೆದುಹೋಗುವಿಕೆ
अचानक,ಹಠಾತ್ತಾಗಿ
परिपूर्ण फील्ड सामर्थ्य,ಸಂಪೂರ್ಣ ಕ್ಷೇತ್ರ ಶಕ್ತಿ
परिपूर्ण तापमान,ಸಂಪೂರ್ಣ ತಾಪಮಾನ
परिपूर्ण मूल्य,ಸಂಪೂರ್ಣ ಮೌಲ್ಯ
शोषून घ्या,ಹೀರಿಕೊಳ್ಳಿ
शोषण सह-कार्यक्षम,ಹೀರಿಕೊಳ್ಳುವ ಸಹ-ಸಮರ್ಥ
शोषण तोटा,ಹೀರಿಕೊಳ್ಳುವ ನಷ್ಟ
गोषवारा,ಅಮೂರ್ತ
एक्सेलरोमीटर,ವೇಗವರ್ಧಕ ಮಾಪಕ
स्वीकृती चाचणी,ಸ್ವೀಕಾರ ಪರೀಕ್ಷೆ
प्रवेश,ಪ್ರವೇಶ
प्रवेश नियंत्रण,ಪ್ರವೇಶ ನಿಯಂತ್ರಣ
प्रवेश बिंदू,ಪ್ರವೇಶ
प्रवेश वेळ,ಪ್ರವೇಶ ಸಮಯ
प्रवेशयोग्यता,ಪ್ರವೇಶಿಸುವಿಕೆ
संचयक सेल,ಸಂಚಯಕ ಕೋಶ
अचूकता,ನಿಖರತೆ
अचूक,ನಿಖರವಾದ
अ‍ॅक्रोमॅटिक लेन्स,ವರ್ಣರಂಜಿತ ಮಸೂರದ
आम्ल,ಆಮ್ಲ
आम्ल पुरावा,ಆಮ್ಲ ಪುರಾವೆ
आंबटपणा,ಅಚ್ಚುಕಟ್ಟಾಗಿತ್ವ
पावती बिट,ಸ್ವೀಕೃತ ಬಿಟ್
ध्वनिक,Acೇಳ್ಳರದ
ध्वनिक संप्रेषण,ಅಕೌಸ್ಟಿಕ್ ಸಂವಹನ
ध्वनिक प्रसार,ಅಕೌಸ್ಟಿಕ್ ಪ್ರಸರಣ
ध्वनिक समतुल्य,ಅಕೌಸ್ಟಿಕ್ ಸಮೀಕರಣ
ध्वनिक अभिप्राय,ಅಕೌಸ್ಟಿಕ್ ಪ್ರತಿಕ್ರಿಯೆ
ध्वनिक फिल्टर,ಕೊಳೆತ ಫಿಲ್ಟರ್
ध्वनिक प्रतिबाधा,ಸಕಲಿಯ ಪ್ರತಿರೋಧ
ध्वनिक मास्किंग,ಅಕೌಸ್ಟಿಕ್ ಮರೆಮಾಚುವ
ध्वनिक शक्ती,ಅಕೌಸ್ಟಿಕ್ ಶಕ್ತಿ
ध्वनिक मालमत्ता,ಅಕೌಸ್ಟಿಕ್ ಆಸ್ತಿ
ध्वनिक प्रतिक्रिया,ಅಕೌಸ್ಟಿಕ್ ಪ್ರತಿಕ್ರಿಯೆ
ध्वनिक प्रतिक्षेप,ಅಕೌಸ್ಟಿಕ್ ರಿಫ್ಲೆಕ್ಸ್
ध्वनिक टाइल,ಅಕೌಸ್ಟಿಕ್ ಟೈಲ್
ध्वनिक लाट,ಸ ೦ ವರ ತರಂಗ
ध्वनिक शोषण,ಅಕೌಸ್ಟಿಕ್ ಹೀರಿಕೊಳ್ಳುವಿಕೆ
ध्वनीविषयक क्षीणन स्थिर,ಅಕೌಸ್ಟಿಕ್ ಅಟೆನ್ಯೂಯೇಷನ್ ​​ಸ್ಥಿರ
ध्वनिकी ओलसर,ಕೊಳೆತ ಡ್ಯಾಂಪಿಂಗ್
ध्वनिक विलंब रेखा,ಅಕೌಸ್ಟಿಕ್ ವಿಳಂಬ ರೇಖೆ
ध्वनिक विकृती,ಅಕೌಸ್ಟಿಕ್ ಅಸ್ಪಷ್ಟತೆ
ध्वनिक नलिका,ಅಕೌಟಿಕಲ್ ನಾಳ
ध्वनिक ऊर्जा,ಅಕೌಟಿಕಲ್ ಶಕ್ತಿ
ध्वनिक अभिप्राय,ಅಕೌಸ್ಟಿಕ್ ಪ್ರತಿಕ್ರಿಯೆ
ध्वनिक फिल्टर,ಕೊಳೆತ ಫಿಲ್ಟರ್
ध्वनीविषयक प्रतिबाधा,ಕೊಳೆತ ಪ್ರತಿರೋಧ
ध्वनीविषयक प्रसार स्थिर,ಅಕೌಸ್ಟಿಕ್ ಪ್ರಸರಣ ಸ್ಥಿರ
ध्वनिक प्रतिकार,ಅಕೌಟಿಕಲ್ ಪ್ರತಿರೋಧ
ध्वनिकरित्या इन्सुलेटेड,ಅಕೌಸ್ಟಿಕ್ ವಿಂಗಡಣೆಯ
ध्वनिकी,ಸ್ರವಿಸುವ
संपादन,ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವುದು
परिवर्णी शब्द,ಸಂಕ್ಷಿಪ್ತ ರೂಪ
कृती क्षेत्र,ಕಾರ್ಯ ಪ್ರದೇಶ
सक्रिय फिलामेंट,ಸಕ್ರಿಯ ತಂತು
सक्रिय,ಸಕ್ರಿಯ
सक्रिय क्षेत्र,ಸಕ್ರಿಯ ಪ್ರದೇಶ
सक्रिय विंडो,ಸಕ್ರಿಯ ಕಿಟಕಿ
अनुकूलता,ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ
अ‍ॅडॉप्टर (अ‍ॅडॉप्टर),ಅಡಾಪ್ಟರ್ (ಅಡಾಪ್ಟರ್)
अ‍ॅडॉप्टिव्ह डिफरेंशनल पल्स कोड मॉड्यूलेशन,ಅಡಾಪ್ಟಿವ್ ಡಿಫರೆನ್ಷಿಯಲ್ ಪಲ್ಸ್ ಕೋಡ್ ಮಾಡ್ಯುಲೇಷನ್
अॅड्रेस बुक,ವಿಳಾಸ ಪುಸ್ತಕ
अ‍ॅड्रेस बस,ವಿಳಾಸ ಬಸ್
पत्ता ठराव,ವಿಳಾಸ ಪರಿಹಾರ
लगतच चॅनेल हस्तक्षेप,ಪಕ್ಕದ ಚಾನಲ್ ಹಸ್ತಕ್ಷೇಪ
लगतच चॅनेल निवड,ಪಕ್ಕದ ಚಾನಲ್ ಆಯ್ಕೆ
समीप वारंवारता,ಪಕ್ಕದ ಆವರ್ತನ
समीप फ्रिक्वेन्सी चॅनेल,ಪಕ್ಕದ ಆವರ್ತನ ಚಾನಲ್
लगतचे चित्र वाहक,ಪಕ್ಕದ ಚಿತ್ರ ವಾಹಕ
समीप ध्वनी वाहक,ಪಕ್ಕದ ಧ್ವನಿ ವಾಹಕ
समीप स्टेशन,ಪಕ್ಕದ ನಿಲ್ದಾಣ
समायोज्य,ಹೊಂದಿಸಲಾಗುವ
समायोज्य कंडेन्सर,ಹೊಂದಾಣಿಕೆ ಕಂಡೆನ್ಸರ್
दबाव समायोजित करणे,ಒತ್ತಡವನ್ನು ಹೊಂದಿಸುವುದು
पाना समायोजित करणे,ವ್ರೆಂಚ್ ಹೊಂದಿಸಲಾಗುತ್ತಿದೆ
समायोजन,ಹೊಂದಾಣಿಕೆ
