Assamese,Odiya
"১.এবাকাছ, ২. গণনা কৰি আছে","1. ଆବାକସ୍, ୨। ଗଣନା"
অস্বাভাৱিক অন্ত,ଅସ୍ୱାଭାବିକ ସମାପ୍ତି |
ইন্টাৰচেপ্ট,ବାଧା
"১.নিৰপেক্ষ, ২. পৰম","1. ସଂପୂର୍ଣ୍ଣ, 2 ସର୍ବୋଚ୍ଚ"
নিৰপেক্ষ ঠিকনা,ସଂପୂର୍ଣ୍ଣ ଠିକଣା
নিৰপেক্ষ ঠিকনাযোগ্যতা,ସଂପୂର୍ଣ୍ଣ ଠିକଣା ଯୋଗ୍ୟତା |
নিৰপেক্ষ এছেম্বলাৰ,ସଂପୂର୍ଣ୍ଣ ସମାବେଶକାରୀ |
"১.নিৰপেক্ষ ক&#39;ড, ২. নিৰপেক্ষ ক&#39;ড","1. ସଂପୂର୍ଣ୍ଣ କୋଡ୍, 2 ସଂପୂର୍ଣ୍ଣ କୋଡ୍"
নিৰপেক্ষ আদেশ,ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ |
"১.নিৰপেক্ষ চিত্ৰ, ২. নিৰপেক্ষ তথ্য","1. ସଂପୂର୍ଣ୍ଣ ସଂଖ୍ୟା, 2 ସଂପୂର୍ଣ୍ଣ ତଥ୍ୟ |"
নিৰপেক্ষ নিৰ্দেশনা,ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ
নিৰপেক্ষ ধৰণ,ସଂପୂର୍ଣ୍ଣ ମୋଡ୍ |
নিৰপেক্ষ পথ,ସଂପୂର୍ଣ୍ଣ ପଥ
"1. নিৰপেক্ষ প্ৰগ্ৰেমিং, 2. নিৰপেক্ষ প্ৰগ্ৰেমিং","1. ସଂପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ, 2 ସଂପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ |"
বিমূৰ্ত শ্ৰেণী,ବିସ୍ତୃତ ଶ୍ରେଣୀ |
বিমূৰ্ত তথ্যৰ ধৰণ,ବିସ୍ତୃତ ତଥ୍ୟ ପ୍ରକାର |
বিমূৰ্ত মেচিন,ବିସ୍ତୃତ ମେସିନ୍ |
বিমূৰ্ত চিহ্ন,ବିସ୍ତୃତ ପ୍ରତୀକ |
বিমূৰ্ত বাক্যবিন্যাস,ବିସ୍ତୃତ ବାକ୍ୟବିନ୍ୟାସ |
গ্ৰহণযোগ্যতা পৰীক্ষা,ଗ୍ରହଣ ପରୀକ୍ଷା
প্ৰৱেশ প্ৰমাণীকৰণ,ପ୍ରବେଶ ପ୍ରମାଣପତ୍ର
"1. প্ৰৱেশ ক&#39;ড, 2. প্ৰৱেশ ক&#39;ড","1. ପ୍ରବେଶ ସଂକେତ, 2 ପ୍ରବେଶ କୋଡ୍"
প্ৰৱেশ নিয়ন্ত্ৰণ,ପ୍ରବେଶ ନିୟନ୍ତ୍ରଣ
অভিগম স্কেনিং,ସ୍କାନିଂ ଆକ୍ସେସ୍ କରନ୍ତୁ |
আনুষংগিক বস্তু,ଆନୁଷଙ୍ଗିକ
হিচাপ-নিকাচ,ହିସାବ
"1. একাউণ্ট আইডি, 2. একাউণ্টিং চিনাক্তকৰণ","1. ଖାତା ID, 2 ଆକାଉଣ୍ଟିଂ ପରିଚୟ"
এক্যুলেটৰ,ଜମାକାରୀ
"১/ সঠিকতা, ২. শুদ্ধতা","1. ସଠିକତା, 2 ସଠିକତା"
প্ৰৱেশাধিকাৰ,ପ୍ରବେଶ
অভিগম নিয়ন্ত্ৰণ বাইটসমূহ,ଆକ୍ସେସ୍ କଣ୍ଟ୍ରୋଲ୍ ବାଇଟ୍ |
প্ৰৱেশ সূচক,ପ୍ରବେଶ ସୂଚକ
অভিগম কি&#39;,ପ୍ରବେଶ କୀ
"1. অভিগম মেট্ৰিক্স, 2. অভিগম মেট্ৰিক্স","1. ଆକ୍ସେସ୍ ମ୍ୟାଟ୍ରିକ୍ସ, 2 ମ୍ୟାଟ୍ରିକ୍ସ ଆକ୍ସେସ୍ କରନ୍ତୁ |"
অভিগম ধৰণ,ପ୍ରବେଶ ମୋଡ୍
অভিগম বিশেষাধিকাৰসমূহ,ସୁବିଧା ପ୍ରବେଶ
অভিগম সুৰক্ষা,ସୁରକ୍ଷା ପ୍ରବେଶ କରନ୍ତୁ |
"1. অভিগম চাৰ্ভাৰ, 2. অভিগম চাৰ্ভাৰ","1. ଆକ୍ସେସ୍ ସର୍ଭର, 2 ସର୍ଭରକୁ ପ୍ରବେଶ କରନ୍ତୁ |"
প্ৰৱেশ সময়,ପ୍ରବେଶ ସମୟ
স্বীকৃতি,ସ୍ୱୀକୃତି
শব্দবিজ্ঞান,ଆକାଶବାଣୀ
"১. সংক্ষিপ্ত ৰূপ, ২. সংক্ষিপ্ত ৰূপ, ৩. ৰ পৰা চুটি","1. ସଂକ୍ଷିପ୍ତ ଶବ୍ଦ, 2. ସଂକ୍ଷିପ୍ତକରଣ, 3 ଠାରୁ ଛୋଟ"
কাৰ্য্য বাৰ্তা,କାର୍ଯ୍ୟ ବାର୍ତ୍ତା |
সক্ৰিয়কৰণ,ସକ୍ରିୟ
সক্ৰিয় চাৰ্ভাৰ পৃষ্ঠা,ସକ୍ରିୟ ସର୍ଭର ପୃଷ୍ଠା |
সক্ৰিয় সংস্কৰণ,ସକ୍ରିୟ ସଂସ୍କରଣ |
অচক্ৰীয়,acyclic
"১.অচক্ৰীয় গ্ৰাফ, ২. অচক্ৰীয় গ্ৰাফ","1. ଆକାଇକ୍ଲିକ୍ ଗ୍ରାଫ୍, 2 acyclic ଗ୍ରାଫ୍ |"
আদা কম্পিউটাৰ ভাষা,ଅଦା କମ୍ପ୍ୟୁଟର ଭାଷା |
"১.অপ্টিমাইজাৰ, ২. অপ্টিমাইজাৰ","1. ଅପ୍ଟିମାଇଜର୍, 2 ଅପ୍ଟିମାଇଜର୍"
to sum),to sum)
যোগফল নথিপত্ৰ,ରାଶି ଫାଇଲ୍ |
"1. যোগ কাৰ্য্য, 2. যোগফল কাৰ্য্য","1. ଯୋଗ କାର୍ଯ୍ୟ, 2 ରାଶି କାର୍ଯ୍ୟ"
adder,ଆଡର୍
ঠিকনা,ଜାଣନ୍ତୁ |
ঠিকনা বাছ,ଠିକଣା ବସ୍
ঠিকনা নথিপত্ৰ,ଠିକଣା ଫାଇଲ୍ |
ঠিকনা বিন্যাস,ଠିକଣା ଫର୍ମାଟ୍
ঠিকনা উৎপাদক,ଠିକଣା ଜେନେରେଟର
ঠিকনা ৰেখা,ଠିକଣା ରେଖା
ঠিকনা মেপিং,ଠିକଣା ମ୍ୟାପିଂ
