Kannada,Bengali
ವೆಸ್ಟ್‌ಮಿನಿಸ್ಟರ್‌ನ ಅಬ್ಬೆ,ওয়েস্টমিনস্টারের অ্যাবে
ವ್ಯಭಿಚಾರ,বর্জনীয়
ಗುಲಾಮಗಿರಿಯ ನಿರ್ಮೂಲನೆ,দাসত্বের সমাপ্তি
ಮೂಲನಿವಾಸಿಗಳು,আদিবাসী
ಅಬ್ರಹಾಂ ಯುಗ,আব্রাহাম যুগ
ಗೈರುಹಾಜರಾದ ಭೂಮಾಲೀಕರು,অনুপস্থিত জমির মালিক
ಅಕಾಡೆಮಿ,একাডেমী
ಅಕ್ರಾ ಸಮ್ಮೇಳನ,আকরা সম্মেলন
ಸಂಚಯಗಳು,সঞ্চয়
ಸಂಸ್ಕಾರ,সংগ্রহ
ಅಸೆಲ್ಡಾಮಾ,অ্যাসেলডামা
ಅಚೆಯನ್ (=ಅಚಿಯನ್),আচিয়ান (=আচিয়ান)
ಅಚೆಯನ್ ಲೀಗ್ (=ಅಚಿಯನ್ ಲೀಗ್),আচিয়ান লীগ (=আচিয়ান লীগ)
ಆಕ್ರೊಪೊಲಿಸ್,অ্যাক্রোপলিস
ಆಕ್ಟಾ ಡೈರ್ನಾ,Acta Diurna
ಆಕ್ಟಾ ಸೆನಾಟಸ್,Acta Senatus
ಆಕ್ಟೆ ಹೆಚ್ಚುವರಿ,অ্যাক্ট অ্যাডিশনেল
ಸಕ್ರಿಯ ದಾಖಲೆ (=ಪ್ರಸ್ತುತ ದಾಖಲೆ),সক্রিয় রেকর্ড (=বর্তমান রেকর্ড)
ಸಾಧಿಸುವವರ ಕ್ರಿಯೆ,প্রাপ্তির কাজ
ನಷ್ಟ ಪರಿಹಾರ ಮತ್ತು ಮರೆವಿನ ಕಾಯಿದೆ,ক্ষতিপূরণ এবং বিস্মৃতির আইন
ವಸಾಹತು ಕಾಯಿದೆ,নিষ্পত্তির আইন
ಜಾಹೀರಾತು ಒಪ್ಪಂದದ ಮುದ್ರೆ,বিজ্ঞাপন চুক্তি সীল
ಅಡುಲಮೈಟ್ಸ್,আদুল্লামাইটস
ಎದುರಾಳಿ,প্রতিপক্ষ
ಎದುರಾಳಿ,প্রতিপক্ষ
ಏಯಾನ್,Aeon
ಏರೋರಿಯಮ್,এরারিয়াম
ವೈಮಾನಿಕ ಯುದ್ಧ,বায়বীয় যুদ্ধ
ಏಟೋಲಿಯನ್ ಲೀಗ್,এটোলিয়ান লীগ
ವಯಸ್ಸು,বয়স
ವಯಸ್ಸಾಗುವಿಕೆ (=ವಯಸ್ಸಾದ),বার্ধক্য (=বার্ধক্য)
ವಯಸ್ಸಾದ ಪ್ರಕ್ರಿಯೆ,বার্ধক্য প্রক্রিয়া
ಅಗೆಲೈ,এগেলাই
ಅಶ್ವದಳದ ವಯಸ್ಸು,বীরত্বের বয়স
ಜ್ಞಾನೋದಯದ ವಯಸ್ಸು,এনলাইটমেন্টের বয়স
ಪೆರಿಕಲ್ಸ್ ವಯಸ್ಸು,পেরিক্লেসের বয়স
ಕಾರಣದ ವಯಸ್ಸು,কারণ বয়স
ಕೃಷಿಧರ್ಮ,কৃষিবাদ
ಕೃಷಿ ಚಳುವಳಿ,কৃষি আন্দোলন
ಅಲ್ಬಿಯಾನ್,অ্যালবিয়ন
