Tamil,Gujarati
A B வகுப்பு பெருக்கி,A B વર્ગ એમ્પ્લીફાયર
பிறழ்வு,વિકૃતિ
அசாதாரண பரிமாற்றம்,અસામાન્ય ટ્રાન્સમિશન
"இணைக்கப்படாத, பொதுவாக, குழி, துண்டிக்கப்பட்ட, எலும்பு முறிவு","જોડાણ વિનાનું, સામાન્ય રીતે, ખાડો, અંગવિચ્છેદન, અસ્થિભંગ"
ஸ்பெக்ட்ரம் காணவில்லை,ગુમ થયેલ સ્પેક્ટ્રમ
"முழுமையான, முழுமையான, நிலையான, சரியான","નિરપેક્ષ, નિરપેક્ષ, અચળ, સંપૂર્ણ"
முழுமையான ஈரப்பதம்,સંપૂર્ણ ભેજ
முழுமையான வேகம்,સંપૂર્ણ ગતિ
முழுமையான கவனிப்பு,સંપૂર્ણ અવલોકન
முழுமையான வெப்பநிலை,સંપૂર્ણ તાપમાન
முழுமையான பூஜ்ஜியம்,સંપૂર્ણ શૂન્ય
உறிஞ்சி,શોષી લેવું
"உறிஞ்சும், உறிஞ்சும்","શોષક, શોષક"
உறிஞ்சும் திறன்,શોષણ ક્ષમતા
உறிஞ்சுதல்,શોષણ
உறிஞ்சக்கூடியது,શોષક
உறிஞ்சும் தன்மை,શોષકતા
பன்மடங்கு விகிதம்,ગુણાકાર ગુણોત્તર
முடுக்கி,વેગ આપો
விரைந்தார்,ઉતાવળ કરી
முடுக்கம்,પ્રવેગ
ஈர்ப்பு முடுக்கம்,ગુરુત્વાકર્ષણ પ્રવેગક
முடுக்கி,પ્રવેગક
முடுக்கி,પ્રવેગક
முடுக்கமானி,એક્સેલરોમીટર
முன் அழுத்தம் கொடுப்பவர்,prestresser
ஏற்றுக்கொள்ளக்கூடிய சோதனை,સ્વીકાર્ય પરીક્ષણ
ஏற்பவர்,સ્વીકારનાર
நன்கொடையாளர் மூலக்கூறு,દાતા પરમાણુ
"அணுகல், காத்திருப்பு, அணுகல்","પ્રવેશ, રાહ, સુલભતા"
அணுகல்,ઉપલ્બધતા
"கூடுதல், துணை, துணை (v.), துணைக்கருவிகள் (ed.)","ફાજલ, સહાયક, સહાયક (v.), ઉપસાધનો (ed.)"
அணுகல் நேரம்,ઍક્સેસ સમય
பார்வையாளர் பிழை,મુલાકાતી ભૂલ
சரிசெய்தல்,ગોઠવણ
திரட்டப்பட்டது,સંચિત
"திரட்சி, குவிப்பு","સંચય, સંચય"
திரட்டி,સંચયક
துல்லியம்,ચોકસાઈ
யதார்த்தம்,વાસ્તવિકતા
நிறமற்ற லென்ஸ்,વર્ણહીન લેન્સ
வண்ணமயமான,વર્ણહીન
வண்ணமயமான தன்மை,વર્ણહીનતા
ஒலியியல்,એકોસ્ટિક
