Odiya,English
ଆବିୟୋଟିକ୍ ପ୍ରଜନନ |,abiogenesis
ପରମାନନ୍ଦ,abnormal
1. ଚତୁର୍ଥ ପେଟ 2. ଇଭୋମାସୋମ୍ |,abomasum
ଷ୍ଟୋମାଟାଲ୍ ବୃଦ୍ଧି ଅଙ୍ଗ |,aborted organ
ଷ୍ଟଣ୍ଟେଡ୍ ଅଭିବୃଦ୍ଧି ମଞ୍ଜି |,aborted seed
1. ଗର୍ଭପାତ 2. ଗର୍ଭଧାରଣ 3. ଅଭିବୃଦ୍ଧି ପ୍ରତିରୋଧ |,abortion
1. ଅବାଞ୍ଛିତ ତୃଣକ 2. ସଂପୂର୍ଣ୍ଣ ତୃଣକ |,absolute weed
ଅବଶୋଷିତ କ୍ୟାସନ୍ |,absorbed cation
ଅବଶୋଷଣ,absorption
ଅବିଶ୍ୱାସୀ ସୋରିଷ |,abyssinian mustard
1. ଆକାରିସାଇଡ୍ |,acaricide
ସେଣ୍ଟ୍ରିପେଟାଲ୍ |,accentric
ବୃଦ୍ଧି (କକ୍ଷ),accentuate (cell)
ଅନୁମୋଦିତ ସହନଶୀଳତା |,accepted tolerance
1. ଅତିରିକ୍ତ 2.accessory 3.accessory,accessory
ଆଡାପ୍ଟେସନ୍,acclimatization
ଜମା,accumulation
1. ସଠିକତା 2. ସଠିକତା |,accuracy
1. ଆକର୍ଭୁଲସ୍ 2. ସ୍ପୋରୋଫାଇଟ୍ |,acervulus
1. ଏସିଟାଇଜେସନ୍ 2. ଭିନେଗାର ତିଆରି କରିବା 3. ଆସେଟିଲିନ୍ |,acetification
1. ଅମ୍ଳକରଣ 2. ଅମ୍ଳକରଣ |,acidification
1. ଏସିଡୋମିଟର 2. ଏସିଡିମିଟର |,acidimeter
ଅମ୍ଳତା |,acidity
ଏସିଡୋଫାଇଲ୍ |,acidophilic
ଅମ୍ଳଯୁକ୍ତ ପଥର ଫସଫେଟ୍ |,acidulated rock phosphate
ଅମ୍ଳଯୁକ୍ତ |,aciduric
ଜଳଜଳ,acquifer
ଅଧିଗ୍ରହଣ,acquisition
ଏକର,acre
1. କ୍ଷେତ୍ର 2. କ୍ଷେତ୍ର,acreage
ଶେଷ ପଏଣ୍ଟ କ୍ରୋମୋଜୋମ୍ |,acrocentric chromosome
ଆଗକୁ ଦେଖିବା,acropetal
ଆକ୍ରୋସୋମ୍ |,acrosome
ଆକ୍ଟିନୋମାଇସେଟ୍ସ |,actinomycetes
ସକ୍ରିୟ କୋର୍ |,active root zone
1. କ୍ରୋଧିତ 2. ତୀବ୍ର,acute
ଅନୁକୂଳତା,adaptability
କଷ୍ଟମାଇଜେସନ୍,adaptation
1. ଆଡେସିନ୍ 2. ଆଡେସିନ୍ |,adhesion
sebaceous,adipose
ଆଡଜଷ୍ଟେସନ୍ ସମୀକରଣ,adjustment equation
ଆଡୋବ ମାଟି |,adobe soil
ବ୍ୟଭିଚାର,adulterant
ଏକ୍ଟୋପିକ୍,adventitious
Isidiospore Isidium Spore |,aecidiospore
ଏରୋଡାଇନାମିକ୍ ପ୍ରକ୍ରିୟା |,aeolian process
ଭେଣ୍ଟ୍ରାଲ୍ |,aeolian
ବିମାନକୁ,aerate
1. ବାୟୁ 2. ଆକାଶୀ |,aerial
1. ଏରୋମିଟର 2. ଏରୋମିଟର 3. ଏରୋମିଟର |,aerometer
ଏରୋସୋଲ୍ |,aerosol
1. ପୁଷ୍ପମାଲ୍ୟ 2. ଗ୍ରୀଷ୍ମ ଶୋଇବା |,aestivation
