Marathi,Hindi
abeli गट,आबेली समूह
अबेली गट,आबेली सामिसमूह
हात,भुज
"निरपेक्ष, निरपेक्ष, स्थिर, अचूक","निरपेक्ष, परम, अचर, परिशुद्‌ध"
परिपूर्ण अभिसरण,निरपेक्ष अभिसरण
परिपूर्ण त्रुटी,निरपेक्ष त्रुटि
सर्वोच्च सर्वोच्च,परम उच्चिष्ठ
परिपूर्ण सर्वात कमी,परम निम्निष्ठ
परिपूर्ण मूल्य,निरपेक्ष मान
परिपूर्ण वेग,निरपेक्ष वेग
अमूर्त बीजगणित,अमूर्त बीजगणित
अमूर्त गट सिद्धांत,अमूर्त समूह सिद्‌धांत
प्रवेग,त्वरण
गुरुत्वाकर्षण प्रवेग,गुरुत्वीय त्वरण
स्वीकार्य निवडकर्ता,स्वीकार्य वरण-समुच्चय
स्वीकार्य गुणवत्ता पातळी,स्वीकार्य गुणता स्तर
स्वीकार्य परिसर,स्वीकार्य परिसर
वैध विश्वसनीयता पातळी,मान्य विश्वसनीयता स्तर
स्वीकृती नमुना,स्वीकरण-प्रतिचयन
संचित त्रुटी,संचित त्रुटि
अचूकता,यथार्थता
शक्ती लागू,लगा हुआ बल
"कृती, कृती","क्रिया, कर्म"
क्रिया आणि प्रतिक्रिया,क्रिया और प्रतिक्रिया
विमा विज्ञान,बीमा विज्ञान
तीव्र त्रिकोण,न्यूनकोण त्रिभुज
अॅसायक्लिक,अचक्रीय
बेरीज करणे,"योग करना, जोड़ना"
जोडणारा,योजक
"बेरीज, बेरीज, बेरीज (c.), बेरीज (v.)","योग, जोड़, संकलन (स.), योगात्मक (वि.)"
योगाचे सूत्र,योग का सूत्र
जटिल संख्यांची बेरीज,सम्मिश्र संख्याओं का योग
कार्यांची बेरीज,फलनों का योग
मॅट्रिक्सची बेरीज,आव्यूहों का योग
बहुपदांची बेरीज,बहुपदों का योग
संभाव्यतेची बेरीज,प्रायिकताओं का योग
वेक्टरची बेरीज,सदिशों का योग
"बेरीज प्रमेय, बेरी सिद्धांत,",योग प्रमेय बेरीज सिद्‌धांत
मिश्रित गट,योज्य समूह
additive inverse,योज्य व्युत्क्रम
जोडणी,"योज्यता, योगशीलता"
जोडणी,योज्यता
संलग्नता मॅट्रिक्स,आसन्नता आव्यूह
"समीप, समीप, समीप","संलग्न, निकटवर्ती, आसन्न"
समीप कोन,आसन्न कोण
समीप शिरोबिंदू,आसन्न शीर्ष
संबद्ध करणे,सहबद्‌ध करना
"संलग्न संलग्न,",संलग्न संलग्नीत
सामान्य निर्धारक,सहखंडज सारणिक
संलग्न विभेदक समीकरण,संलग्न अवकल समीकरण
संलग्न समीकरण,संलग्न समीकरण
एकसंध मॅट्रिक्स,सहखंडज आव्यूह
मॅट्रिक्स सहप्रसरण,आव्यूह सहखंडज
एकसंध मॅट्रिक्स,सहखंडज आव्यूह
स्वीकार्य निर्णय कार्य,ग्राह्य निर्णय फलन
स्वीकार्य गृहीतक,ग्राह्य परिकल्पना
वायुगतिकीय शक्ती,वायुगतिक बल
वायुगतिकी,वायु गतिकी
एकसंध भूमिती,सजातीय ज्यामिति
एकसंध मॅपिंग,सजातीय प्रतिचित्रण
एकसंध परिवर्तन,सजातीय रूपांतरण
एकूण चल,समुच्चयी चर
"बीजगणित, बीजगणित, बीजगणित, बीजगणित","बीजगणित, ऐलजेब्रा, बीजावली, बीजक्रिया"
"बियाणे बंद, बीजारोपण","बीजतः संवृत, बीजतः"
बीजगणितीय समीकरण,बीजीय समीकरण
बीजगणितीय अभिव्यक्ती,बीजीय व्यंजक
बीजगणितीय एकरूपता,बीजीय समघात
बीजगणितीय कार्य,बीजीय फलन
बीजगणितीय भूमिती,बीजीय ज्यामिति
बीजगणितीय बहुलता,बीजीय बहुकता
बीजगणितीय प्रणाली,बीजीय निकाय
सर्व-पूर्णांक समस्या,सर्व-पूर्णांक समस्या
"असाइनमेंट समस्या वॅट प्रश्न,",नियतन समस्या वाटपप्रश्न
वर्णक्रमानुसार नोटेशन,अक्षरात्मक संकेत पद्‌धति
वर्णमाला वर्ण,अक्षरात्मक संप्रतीक
पर्यायी कोन,एकांतर कोण
"पर्यायी एकसंध पर्यायी फॉर्म,",एकांतर समघात प्रत्यावर्ती रूप
पर्यायी गट,एकांतर समूह
पर्यायी मॅट्रिक्स,एकांतर आव्यूह
पर्यायी मालिका,एकांतर श्रेणी
वैकल्पिक गृहीतक,वैकल्पिक परिकल्पना
पर्यायी इष्टतम,वैकल्पिक इष्टमत
पर्यायी परिणाम,वैकल्पिक परिणाम
अॅनालॉग-अंकी कनवर्टर,अनुरूप-अंकीय परिवर्तक
