Bengali,Gujarati
অবসান,ખર્ચ
সংক্ষেপণ,સંક્ષેપ
অপহরণ,અપહરણ
অবসান,સ્થગ
ক্ষমতা,ક્ષમતા
অ্যাব initio,આરંભ
সক্ষম,કઠોર
অস্বাভাবিক,અસામાન્ય
বিলুপ্তি,નાબૂદી
বিলোপ পোস্ট,નાબૂદી પોસ્ટ
উপর্যুক্ত,ઉપર ઉલ્લેખ કર્યો છે
উপরে উদ্ধৃত,ઉપર જણાવેલ
উপরে বলেছেন,ઉપર જણાવ્યું હતું કે
অনুপস্থিতি,ગેરહાજરી
অনুপস্থিত,ગેરહાજર
অনুপস্থিতি,ગેરહાજરી
অনুপস্থিত বিবৃতি,અનુપસ્થિત નિવેદનો
পরম,અબાધિત
পরম একচেটিয়া,અબાધિત ઈજારો
পরম মালিকানা,અબાધિત માલિકી
শোষণ,સમાવેશ
বিমূর্ত,નિષ્ક્રિય
অ্যাবস্ট্রাক্টস্টেটমেন্ট,અખબારો
অযৌক্তিক,વાહિયાત
প্রাচুর্য,વિપુલતા
ক্ষমতার অপব্যবহার,સત્તાનો દુરુપયોગ
অবমাননাকর ভাষা,અપશબ્દો
একাডেমিক,શૈક્ષણિક
একাডেমিক আলোচনা,શૈક્ષણિક ચર્ચા
একাডেমিক ছুটি,શૈક્ષણિક રજા
শিক্ষাগত যোগ্যতা,શૈક્ષણિક લાયકાત
একাডেমিক রেকর্ড,વિદ્યા
প্রশংসা,સહયોગ કરવો
গ্রহণ,સ્વીકારવું
গ্রহণযোগ্যতা,સ્વીકૃતિ
অফিস গ্রহণ,પદની સ્વીકૃતિ
দরপত্র গ্রহণ,પ્રતિજ્ ofા
অ্যাক্সেস,પ્રવેશ
প্রবেশ,સંચાર
আনুষঙ্গিক,સહાયક
দুর্ঘটনা,અકસ્માત
প্রশংসাপত্র,સ્વાર્થીકરણ
থাকার ব্যবস্থা,આવાસ
সহকারী,સંલગ્ન
চুক্তি,સંલગ્ન
অ্যাকশন,અનુસાર
তদনুসারে,તદનુસાર
অ্যাকাউন্ট,હિસાબ
দায়িত্ব,જવાબદારી
দায়ী,જવાબદાર
হিসাবরক্ষণ,હિસાબની સંખ્યા
হিসাবরক্ষক,હિસાબ રાખનાર
কি কারণে,માટે એકાઉન્ટ
অ্যাকাউন্ট হেড,હિસાબનું માથું
অর্জিত সুবিধা,ઉપાર્જિત લાભ
পেনশন আদায়,ઉપાર્જિત પેન્શન
জমা,સંચય
সঠিকতা,ચોકસાઈ
নির্ভুল,ચોક્કસ
অভিযোগ,આક્ષેપ કરવો
অভিযুক্ত,આરોપી
অর্জন,સિદ્ધિ
স্বীকৃতি,સ્વીકૃતિ
স্বীকৃতি বকেয়া,સ્વીકૃતિ
পরিচিত,પરિચય
অধিগ্রহণ,સંપાદન
খালাস,મુક્તિ
আইন,કૃત્ય
অভিনয় ভাতা,કાર્યકારી ભથ્થું
কর্ম,ક્રિયા
অ্যাকশন প্ল্যান,કાર્ય યોજના
সক্রিয়,સક્રિય
সক্রিয়ভাবে,સક્રિયપણે
কর্মী,સક્રિયકાર્ય
Of শ্বরের আইন,ભગવાનનો કૃત્ય
অসদাচরণের আইন,ગેરવર્તન
কমিশন ও বাদ দেওয়া আইন,કમિશન અને કમિશન અને બાદબાકી
আসল,વાસ્તવિક
বাস্তব,વાસ્તવિક
অভিযোজন,અનુકૂલન
সংযোজন,વધારા
অতিরিক্ত চার্জ,વધારાનો ખર્ચ
অতিরিক্ত তহবিল,વધારાના નિધિ
অতিরিক্ত অনুদান,વધારાની અનુદાન
অতিরিক্ত তথ্য,વધારાની માહિતી
অতিরিক্ত বেতন,વધારાનો પગાર
সংযোজন এবং পরিবর্তন,ઉમેરો અને ફેરફાર
ঠিকানা,સંબોધન
ঠিকানা,સંબોધન કરનાર
স্বাগত ঠিকানা,સ્વાગતનું સરનામું
পর্যাপ্ত,પૂરતું
মেনে চলুন,ને અનુરૂપ બનાવવું
অ্যাডহক,તદર્થ
অ্যাডহক দাবি,તદર્થપત્ર
তদর্থক কমিটি,તદર્થ સમિતિ
অ্যাডহক বৃদ্ধি,તદર્થ વધારો
অ্যাডহক পেমেন্ট,તદ્દન ચુકવણી
সংলগ্ন,અડીને
সংলগ্ন (= সংহত),અડીને (= સુસંગત)
স্থগিতাদেশ,મોકૂફી
স্থগিতের গতি,મોકૂફીની દરખાસ્ત
রায়,ન્યાયનિર્ણય કરવો
বিচারক,ન્યાયનિર્ણય કરવો
বিচার,ન્યાયનિર્ણય
বিচারক,ન્યાયનિધીકરણ કરનાર
সামঞ্জস্য,સમાયોજન
প্রশাসনিক,સંચાલન કરવું
শপথ পরিচালনা করুন,સોગંદ કરવો
প্রশাসন,વહીવટ
বিচার প্রশাসন,ન્યાય પ્રણાલી
প্রশাসনিক,વહીવટી
প্রশাসনিক ক্রিয়া,વહીવટી પગલાં
প্রশাসনিক মূল্যায়ন,વહીવટી મૂલ્યાંકન
প্রশাসনিক অনুমোদন,વહીવટી મંજૂરી
প্রশাসনিক কর্তৃপক্ষ,વહીવટી સત્તા
প্রশাসনিক নিয়ন্ত্রণ,વહીવટી નિયંત્રણ
প্রশাসনিক সিদ্ধান্ত,વહીવટી નિર્ણય
প্রশাসনিক দপ্তর,વહીવટી વિભાગ
