Gujarati,Kannada
અજૈવિક પ્રજનન,ಅಜೀವಕ ಸಂತಾನೋತ್ಪತ್ತಿ
પેરાનોર્મલ,ಅಧಿಸಾಮಾನ್ಯ
1. ચોથું પેટ 2. Evomasome,1. ನಾಲ್ಕನೇ ಹೊಟ್ಟೆ 2. ಎವೋಮಾಸೋಮ್
સ્ટોમેટલ વૃદ્ધિ અંગ,ಸ್ಟೊಮಾಟಲ್ ಬೆಳವಣಿಗೆಯ ಅಂಗ
રૂંધાયેલ વૃદ્ધિ બીજ,ಕುಂಠಿತ ಬೆಳವಣಿಗೆ ಬೀಜ
1. ગર્ભપાત 2. કસુવાવડ 3. વૃદ્ધિ પ્રતિકાર,1. ಗರ್ಭಪಾತ 2. ಗರ್ಭಪಾತ 3. ಬೆಳವಣಿಗೆಯ ಪ್ರತಿರೋಧ
1. અનિચ્છનીય નીંદણ 2. સંપૂર્ણ નીંદણ,1. ಅನಗತ್ಯ ಕಳೆಗಳು 2. ಸಂಪೂರ್ಣ ಕಳೆಗಳು
શોષિત કેશન,ಹೀರಿಕೊಳ್ಳಲ್ಪಟ್ಟ ಕ್ಯಾಷನ್
શોષણ,ಹೀರಿಕೊಳ್ಳುವಿಕೆ
એબિસિનિયન મસ્ટર્ડ,ಅಬಿಸ್ಸಿನಿಯನ್ ಸಾಸಿವೆ
1. એકેરિસાઇડ,1. ಅಕಾರಿಸೈಡ್
કેન્દ્રબિંદુ,ಕೇಂದ್ರಾಭಿಮುಖ
એમ્પ્લીફિકેશન (કોષ),ವರ್ಧನೆ (ಕೋಶ)
મંજૂર સહનશીલતા,ಸಹಿಷ್ಣುತೆಯನ್ನು ಅನುಮೋದಿಸಲಾಗಿದೆ
1. વધારાની 2. સહાયક 3. સહાયક,1.ಹೆಚ್ಚುವರಿ 2.ಪರಿಕರ 3.ಪರಿಕರ
અનુકૂલન,ರೂಪಾಂತರ
સંચય,ಶೇಖರಣೆ
1. શુષ્કતા 2. ચોકસાઇ,1.ವಾಕ್ಯುರಸಿ 2. ನಿಖರತೆ
1. એસેર્વ્યુલસ 2. સ્પોરોફાઇટ,1. ಅಸೆರ್ವುಲಸ್ 2. ಸ್ಪೊರೊಫೈಟ್
1. એસિટાઈઝેશન 2. વિનેગર બનાવવું 3. એસિટિલેન,1. ಅಸಿಟೈಸೇಶನ್ 2. ವಿನೆಗರ್ ತಯಾರಿಸುವುದು 3. ಅಸಿಟಿಲಿನ್
1. એસિડીકરણ 2. એસિડીકરણ,1. ಆಮ್ಲೀಕರಣ 2. ಆಮ್ಲೀಕರಣ
1. એસિડિમીટર 2. એસિડિમીટર,1. ಆಸಿಡೋಮೀಟರ್ 2. ಆಸಿಡಿಮೀಟರ್
એસિડિટી,ಆಮ್ಲೀಯತೆ
એસિડોફાઇલ,ಅಸಿಡೋಫೈಲ್
