abatement,"తొలగింపు, ముగింపు, తగ్గింపు"
abbreviation,"సంక్షిప్తం, సంక్షిప్త రూపం"
abduction,"అపహరణం, (వ్యక్తిని) బలవంతంగా ఎత్తుకుపోవటం"
abeyance,"నిలుపుదల, తాత్కాలిక నిలుపుదల"
ability,"సమర్థత, శక్తి, తాహతు"
able,"తాహతుగల, సమర్థ"
abnormal,"అసాధారణ, అసామాన్య"
abolition,"తొలగింపు, రద్దు, నిర్మూలన"
abolitionof post,పదవిని రద్దు చేయుట
above mentioned,"పైన చెప్పబడిన, పైన ఉదహరింపబడిన"
above quoted,పైన ఉదహరించిన
above said,పైన చెప్పిన
absence,"గైరు హాజరు, హాజరు కాకపోవడం, లోపం"
absentee,గైరుహాజరు అయినవ్యక్తి
absentee statement,గైరుహాజరు పట్టి
absenteeism,గైరు హాజరు అయ్యే అలవాటు లేక ప్రవృత్తి
absolute,"పరమ, సంపూర్ణ, సమగ్ర, నిరపేక్ష, కేవల"
absolute monopoly,పూర్తి గుత్తాధికారం
absolute ownership,పూర్తి యాజమాన్యం
absorption,"లోపలికి గ్రహించుట, పీల్చుట"
abstract,"సంగ్రహం, అవ్యక్తం, అమూర్తం, భావార్థకం"
abstractstatement,సంగ్రహ పట్టిక/వివరణ
absurd,"అసమంజసం, విడ్డూరమైన"
abundance,"పుష్కలం, సమృద్ధి"
abuse of power,అధికార దుర్వినియోగం
abusive language,"దూషిత భాష, అశ్లీల భాష"
academic,విద్యా/విద్వత్ సంబంధమైన
academic discussion,"విద్వత్ చర్చ, విద్యావిషయక చర్చ"
academic leave,విద్యా విషయక శలవు
academic qualification,విద్యార్హత
academic record,విద్యావిష.యక రికార్డు
accede,"చేరు, సమ్మతించు"
accept,"స్వీకరించు, అంగీకరించు"
acceptance,"స్వీకృతి, అంగీకారం, స్వీకారం"
acceptance of office,పదవి అంగీకారం
acceptance of tender,టెండరు స్వీకారం
access,"ప్రవేశం, ప్రవేశసాధ్యం, సుగమం"
accession,"ప్రవేశం, విలీనం, అనువృద్ధి"
accessory,"ఉపసాధనం, ఉపసాధకం, సహాయకుడు"
accident,"ఆకస్మిక ఘటన, ప్రమాదం, దుర్ఘటన"
acclimatization,వాతావరణాను కూలం చేయు
accommodation,"అనుకూలం, వసతి, సర్దుబాటు"
accompanist,"అనుకరించువాడు, అనుకరణ చేయువాడు"
accord,"సానుమోదం, అంగీకారం, ఒప్పందం"
accordance,"అనుగుణ్యముగా, ప్రకారముగా"
accordingly,తదనుసారం
account,"లెక్క, లెక్కింపు, గణన, ఖాతా"
account for,"జవాబుదారీ వహించు, కారణం చెప్పు"
account head,"పద్దు శీర్షిక, అకౌంట్ శీర్షిక"
accountability,జవాబుదారీ
accountable,"లెక్క చెప్పవలసిన, జవాబుదారీ అయ్యే"
accountancy,"ఎక్కౌంటెన్సీ, లెక్కలు రాసే పద్ధతి, లెక్కలు రాసే పని"
accountant,"లేఖాకారుడు, లెక్క వ్రాయువాడు, లెక్కల అధికారి"
accrued benefit,"వృద్ధి పొందిన లాభము, పెరిగిన లాభము"
accrued pension,వృద్ధి పొందిన వృద్ధాప్య భత్యము
accumulation,"పోగు, పెంపు, వృద్ధి, రాశి"
accuracy,"యథార్థత, కచ్చితత్వం"
accurate,"కచ్చితమైన, సరి అయిన"
accuse,"నింద మోపు, నేరము మోపు"
accused,"నిందితుడు, ముద్దాయి"
achievement,"సాఫల్యం, సిద్ధి, సాధించిన కార్యం"
acknowledgement,"రసీదు, అంగీకరించు, కృతజ్ఞతతో ఒప్పుకొను"
acknowledgement due,"చెల్లించవలసిన రసీదు, బాకీ ఉన్న రసీదు"
acquaintance,"పరిచయం, పరిచితుడు"
acquisition,"సంపాదన, సేకరించు, స్వాధీనం (అధికార సం.)"
acquittance,ఋణవిమోచన
act,"చట్టం, పని, కార్యం, చర్య అమలు"
act of God,దైవికము
act of misconduct,"అసభ్య ప్రవర్తన చట్టము, చెడు నడత చట్టం"
acting allowance,"కార్యకారి బత్తెం, కారుబారు బత్తెం"
action,"వ్యాజ్యం, దావా, క్రియ, చర్య"
