English,Malayalam
Aborted organ,നിർത്തലാക്കിയ അവയവം
Aborted seed,നിർത്തലാക്കിയ വിത്ത്
Abortion,ഗര്ഭഛിദം
Absolute weed,കേവല കള
Absorbed cation,ആഗിരണം ചെയ്യപ്പെട്ട വ്യാജം
Absorption,ആഗിരണം
Abyssinian mustard,അബിസീനിയൻ കടുക്
Acaricide,Ala എഴുതിയത്
Accentric,അക്വെൻട്രിക്
Accentuate (cell),ആക്സന്റ്വേറ്റ് (സെൽ)
Accepted tolerance,അംഗീകരിച്ച സഹിഷ്ണുത
Accessory,ഉപസാധനം
Acclimatization,ACCLIMATIES
Accumulation,കൂന്വാരം
Accuracy,കൃതത
Acervulus,Aiverulus
Acetification,അസഹീകരണം
Acidification,അസിഡിറ്റി
Acidimeter,ആദിമീറ്റര്
Acidity,അസിഡിറ്റി
Acidophilic,അഡോഫിലിക്
Acidulated rock phosphate,അസിഡിലേറ്റഡ് റോക്ക് ഫോസ്ഫേറ്റ്
Aciduric,അയ്യോണിക്
Aquifer,അക്വിഫർ
Acquisition,കൈവശപ്പെടുത്തൽ
Acre,ഏന്വുല്ല്
Acreage,പസ്താര
Acrocentric chromosome,അക്രോസൻട്രിക് ക്രോമസോം
Acropetal,അക്രോപോറ്റൽ
Acrosome,അക്രോസോം
Actinomycetes,ആക്റ്റിനോമൈസെറ്റുകൾ
Active root zone,സജീവ റൂട്ട് സോൺ
Acute,തുളച്ചുകയറുന്ന
Adaptability,പൊരുത്തപ്പെടലി
Adaptation,പൊരുത്തപ്പെടുത്തൽ
Adhesion,അഷൈൻ
Adipose,അദിപ്പോസ്
Adjustment equation,ക്രമീകരണ സമവാക്യം
Adobe soil,അഡോബ് മണ്ണ്
Adulterant,പ്രത്യേകത
Adventitious,സാഹസികത
Aecidiospore,Aecidiossoror
Aeolian process,ഓലിയൻ പ്രക്രിയ
Aeolian,Aiolian
Aerate,ഓറേറ്റ്
Aerial,ഏരിയൽ
Aerometer,ഏയ്റോമീറ്റർ
Aerosol,എയറോസോൾ
Aestivation,പകർച്ചവ്വാധം
Aetiology (etiology),Aetiiology (etiology)
Afforestation,വനനം
Agitation,പ്രക്ഷോഭക്തി
Agmark,ന്വര്
Agrarian,കാർഷികം
Agricultural clinic,കാർഷിക ക്ലിനിക്
Agricultural labour,കാർഷിക തൊഴിലാളി
Agricultural marketing,കാർഷിക മാർക്കറ്റിംഗ്
Agricultural technology,കാർഷിക സാങ്കേതികവിദ്യ
Agriculture,കൃഷിപ്പണി
Agrisilviculture,അഗ്രിസിൾവികൾച്ചർ
Agrobiodiversity,കാർഷികൈവൻവിറ്റി
Agrobiological defects,അഗ്രോബയോളജിക്കൽ വൈകല്യങ്ങൾ
Agrobiology,അഗ്രോബയോളജി
Agroclimatic diversity,അഗ്രോകീല വൈവിധ്യമാർന്ന വൈവിധ്യമാർന്ന
Agroclimatic zoning,അഗ്രോക്ലിമാറ്റിക് സോണിംഗ്
Agroforestry,അഗ്രോഫോറസ്ട്രി
Agrology,ങ്ങളോട്
Agronomy,അഗ്രോണമി
Agropastoral,അഗ്രോപസ്റ്റോറൽ
Agroprocessing,കാർഷികസംരക്ഷണം
Agrostology,അഗ്രോസ്റ്റോസ്റ്റിയോളജി
Agrotype,അഗ്രോട്ടിപ്പ്
Air plant,എയർ പ്ലാന്റ്
Akiochi soil,അക്കിയോച്ചി മണ്ണ്
Albinism,ആൽബിനിസം
Alfisols,ആൽഫിസോളുകൾ
Algae,ആല്ഗകൾ
Algal disease,ആൽഗൽ രോഗം
Alkali water,ക്ഷാളി വെള്ളം
Alkaline,ആൽക്കലൈൻ
Allele,അല്ലലേ
Allelochemicals,അല്ലോകെമിക്കലുകൾ
Allelomorph,AllloMorph
Allelopathy,നിയോവദാതി
Alley cropping,ഓൺലൈൻ ക്രോപ്പിംഗ്
Allocarpy,അലോക്കർപി
Allogamy,അലോഗാമി
Allometry,അലറിരം
Allopolyploid,Allopolyplogid
Allosynapsis (allosyndesis),Allosynapsis (Allowsyndesis)
Alternate bearing,ഇതര ബെയറിംഗ്
Alternate land use,ഇതര ഭൂമി ഉപയോഗം
Ambient,ആംബിയന്റ്സ്
Ameliorant,സൗഹാർഭോഗം
Amitosis,അമിറ്റോസിസ്
Amminization,അമിനിവൽക്കരണം
Ammonification,അമ്മോണിഫിക്കേഷൻ
Ammonifier,അമോമോണിഫയർ
Amorph,അമോഫ്
Amphimixis,ആംഫിമിക്സിസ്
Amphoteric,ആംഫോടെക്
Anabolism,അനാബോളിസം
Anaerobe,അയ്റോബ്
Aneuploid,Aneuplogode
Angle planting,ആംഗിൾ നടുക്കം
Animal husbandry,മൃഗസംരക്ഷണം
Animal refuse,മൃഗങ്ങളെ പ്രതിഫലിപ്പിക്കൽ
Animate energy,ആത്യന്തിക .ർജ്ജം
Anisoploid,Anisoplode
Annual plant,വാർഷിക സസ്യം
Annual,ആണ്ടുതോറുമുള്ള
Anthesis,ആന്തീസിസ്
Anthrax,ആന്ത്രാക്സ്
Anthropogenic factor,ആന്ത്രോപെനിക് ഘടകം
Antibiosis,ആന്റിബിയോസിസ്
Antibiotic,രോഗനാശിനി
Antidote,മറുമരുന്ന്
Antioxidants,ആന്റിഓക്സിഡന്റുകൾ
Antitoxin,ആന്റിടോക്സിൻ
Annulus,അപര്യാഘാതം
Aphid,ആഫിഡ്
Apical bud,അഗ്രമുദിനം
Apical dominance,അഗ്ര ആധിപത്യം
Apiculture (bee keeping),അപ്പോർച്ചർ (ബീ സൂപ്പർഡിംഗ്)
Apomixis,അപ്പോമിക്സിസ്
Apoptosis,അപ്പോപ്ടോസിസ്
Appendage,അനുബന്ധം
Appetizer,വിശപ്പ്
Applied,പ്രയോഗിച്ചു
Aquatic weed,അക്വാട്ടിക് കള
Arboreal,അർബോറിയൽ
Arborization,അർബോറൈസേഷൻ
Archaeo-botanical records,ആർഎംജിയോ-ബൊട്ടാണിക്കൽ റെക്കോർഡുകൾ
Area statistics,ഏരിയ സ്ഥിതിവിവരക്കണക്കുകൾ
Area,പദേശം
Arid ecosystem,വരണ്ട ആവാസവ്യവസ്ഥ
Aril,വര്ഷ്ടിക്കുക
Aroma,സൗരഭം
Aromatic plant,ആരോമാറ്റിക് പ്ലാന്റ്
Aromatic rice,ആരോമാറ്റിക് അരി
Arrowing,അഴുക്കുചാല്
Asepsis,അശെപ്സിസ്
Aseptic,അസെപ്ലെവ്
Asexual propagation,അസുഖകരമായ പ്രചരണം
Assay,അസേ
Assets,ആസ്തി
Assimilation,ഉറപ്പ്
Association,ചങ്ങാത്തം
Astringent,രേണിംഗന്റ്
Asynapsis,അസിനാപ്സിസ്
Atavism,Atawavism
Atomizer,ആലേറ്ററിജർ
Atrophy,അട്രോഫി
Autogamy,ഓട്ടോഗാമി
Autolysis,ഓട്ടോലിസിസ്
Autoxidation,യന്തവഹനം
Autopolyploid,ഓട്ടോപോളിപ്ലോയിഡ്
Auxins,ഓക്സിൻസ്
Awn (bristle),Awn (ബ്രിട്ട്)
Almond,ബദാം കായ്
Aloe,കറ്റാർ
Amaranthus,അമരന്തസ്
Ammi,ആംമി
Anjan grass,അഞ്ജൻ പുല്ല്
Anthurium,ആന്തറിയം
"Aonla, Indian gooseberry","ആരോള, ഇന്ത്യൻ നെല്ലിക്ക"
Apple,ആപ്പിൾ
Apricot,ആപ്രിക്കോട്ട്
Arbian jasmine,Arbian ജാസ്മിൻ
Areca nut,Arcaunt
Arjun,അർജുൻ
Asfoetida,അസ്ഫോറ്റിഡ
