Odiya,Gujarati
ଆବଦ୍ଧ,ખર્ચ
ସଂକ୍ଷିପ୍ତକରଣ,સંક્ષેપ
ଅପହରଣ,અપહરણ
ଆବେରୀ,સ્થગ
ଦକ୍ଷତା,ક્ષમતા
Ab initio,આરંભ
ସକ୍ଷମ,કઠોર
ଅସ୍ୱାଭାବିକ |,અસામાન્ય
ଚତୁରତା,નાબૂદી
ଅବ ilt ଧ କିଜ୍ ପୋଷ୍ଟ |,નાબૂદી પોસ્ટ
ଉପରେ ଉଲ୍ଲେଖ କରାଯାଇଛି |,ઉપર ઉલ્લેખ કર્યો છે
ଉଦ୍ଧୃତ ଉଦ୍ଧୃତ |,ઉપર જણાવેલ
ଉପରେ କହିଲା,ઉપર જણાવ્યું હતું કે
ଅନୁପସ୍ଥିତି,ગેરહાજરી
ଅଧ୍ୟାପୀ,ગેરહાજર
ଅନୁପସ୍ଥିତତା,ગેરહાજરી
ଅନୁପସ୍ଥିତ ବିବୃତ୍ତି,અનુપસ્થિત નિવેદનો
ସଂପୂର୍ଣ୍ଣ,અબાધિત
ସଂପୂର୍ଣ୍ଣ ଏକଚାଟିଆ |,અબાધિત ઈજારો
ସଂପୂର୍ଣ୍ଣ ମାଲିକାନା,અબાધિત માલિકી
ଶୋଷଣ,સમાવેશ
ବିସ୍ତୃତ,નિષ્ક્રિય
ବିସ୍ତୃତ,અખબારો
ଅବ urd ଧ |,વાહિયાત
ପ୍ରଚୁରତା,વિપુલતા
ଶକ୍ତିର ଅପବ୍ୟବହାର |,સત્તાનો દુરુપયોગ
ଅପମାନଜନକ ଭାଷା |,અપશબ્દો
ଏକାଡେମିକ୍ |,શૈક્ષણિક
ଏକାଡେମିକ୍ ଆଲୋଚନା,શૈક્ષણિક ચર્ચા
ଏକାଡେମିକ୍ ଛୁଟି |,શૈક્ષણિક રજા
ଏକାଡେମିକ୍ ଯୋଗ୍ୟତା |,શૈક્ષણિક લાયકાત
ଏକାଡେମିକ୍ ରେକର୍ଡ |,વિદ્યા
ଧ୍ୟାନଦେଇ,સહયોગ કરવો
ଗ୍ରହଣ କର,સ્વીકારવું
ଗ୍ରହଣ,સ્વીકૃતિ
ଅଫିସ୍ ଗ୍ରହଣ,પદની સ્વીકૃતિ
ଟେଣ୍ଡର ଗ୍ରହଣ,પ્રતિજ્ ofા
ପ୍ରବେଶ,પ્રવેશ
ପ୍ରବେଶ,સંચાર
ଆନୁଷଙ୍ଗିକ,સહાયક
ଦୁର୍ଘଟଣା,અકસ્માત
ସୁକମ୍ଲାଇଜେସନ୍,સ્વાર્થીકરણ
ଆବାସ,આવાસ
ସାଥୀ,સંલગ્ન
ଆକର୍ଡ,સંલગ્ન
ସମ୍ପତ୍ତୀ,અનુસાર
ସେହି ଅନୁଯାୟୀ |,તદનુસાર
ଖାତା,હિસાબ
ଉତ୍ତରଦାୟିତ୍ୱ,જવાબદારી
ଉତ୍ତରଦାୟୀ |,જવાબદાર
ଆକାଉଣ୍ଟାଣ୍ଟି,હિસાબની સંખ્યા
ଆକାଉଣ୍ଟାଣ୍ଟ,હિસાબ રાખનાર
