Tamil,Kannada
ஆம்பியர் (அலகு),ಆಂಪಿಯರ್ (ಘಟಕ)
ஆங்ஸ்ட்ரம்,ಆಂಗ್ಸ್ಟ್ರಮ್
ஏ-வகுப்பு பெருக்கி,ಎ-ಕ್ಲಾಸ್ ಆಂಪ್ಲಿಫಯರ್
ஏஎன் ரேடியோ சஹே,ಎಎನ್ ರೇಡಿಯೋ ಸಹಾಯ್
ஒரு ஸ்கேனிங் விளக்கக்காட்சி,ಎ-ಸ್ಕ್ಯಾನಿಂಗ್ ಪ್ರಸ್ತುತಿ
ஒரு-தர்ஷ்,a-ದರ್ಶ್
ஏ-ஸ்கோப் செயல்திறன்,ಎ-ಸ್ಕೋಪ್ ಕಾರ್ಯಕ್ಷಮತೆ
ஏ-டி வளைந்த படிகம்,A-T ಕರ್ವ್ಡ್ ಕ್ರಿಸ್ಟಲ್
"ஏசி-டிசி நன்மைகள், ஏ. குறுவட்டு. சி.லாபி, ஏ. குறுவட்டு. c. பெருக்கம்","ಎಸಿ ಡಿಸಿ ಪ್ರಯೋಜನಗಳು, ಎ. ಸಿಡಿ. ಸಿ.ಲಭಿ, ಎ. ಸಿಡಿ. c. ವರ್ಧನೆ"
நான்,ಬೆಳಗ್ಗೆ
AMU (அணு நிறை அலகு),AMU (ಪರಮಾಣು ದ್ರವ್ಯರಾಶಿ ಘಟಕ)
aard-vark*,aard-vark*
ab-ஆம்பியர்,ಅಬ್-ಆಂಪಿಯರ್
A-B வகுப்பு பெருக்கி,A-B ವರ್ಗ ಆಂಪ್ಲಿಫಯರ್
அட,ಅದಾ
ஏ-பி சக்தி பிடகா,ಎ-ಬಿ ಶಕ್ತಿ ಪಿಟಕ
abc = சீரமைப்பு விளக்கப்படம் = nomograph,abc = ಜೋಡಣೆ ಚಾರ್ಟ್ = ನೊಮೊಗ್ರಾಫ್
அபே எண் (அபே மாறிலி),ಅಬೆ ಸಂಖ್ಯೆ (ಅಬೆ ಸ್ಥಿರ)
அபே ரிஃப்ராக்டோமீட்டர்,ಅಬೆ ವಕ್ರೀಕಾರಕ
