Malayalam,Odiya
നിബാക്സിയൽ ഉപരിതലം,ଅବକାଶର ପୃଷ୍ଠ |
അടിവയറ്,ପେଟ
വയറുവേദന അയോട്ടോ,ପେଟର ଆର୍ଟା |
വയറിലെ ഗാംഗ്ലിയ,ପେଟର ଗ୍ୟାଙ୍ଗଲିଆ |
Abelmoschus എസ്സുലന്റസ്,ଆବେଲୋମୋସସ୍ ଏସ୍କୁଲେଣ୍ଟସ୍ |
വെറുക്കല്,ଆବର୍ଗନ
അബി),ଆବିସ୍
അബിങ്ഡൺ ആമ,ଆବିଙ୍ଗଡନ୍ କଇଁଛ |
അബിയോജെനിസിസ്,Abognescesis
അബിയോട്ടിക്,ଅବିଟ
അശുഭാപ്തി ഘടകം,ଅବିଟିକ୍ ଫ୍ୟାକ୍ଟର୍ |
അസാധാരണമായ മൂത്രം,ଅସ୍ୱାଭାବିକ ପରିସ୍ରା |
അബോ രക്തം ഗ്രൂപ്പ്,ଆବୋ ରକ୍ତ ଗୋଷ୍ଠୀ |
അബ്സിസിക് ആസിഡ്,ଅବସିସିକ୍ ଏସିଡ୍ |
നിര്വഹണം,ଅବସିସନ
ഉള്ക്കൊള്ളുക,ଶୋଷଣ
ആഗിരണം കൊടുമുടി,ଅବଶୋଷଣ ଶିଖର |
ആഗിരണം,ଶୋଷଣ
അക്കേഷ്യ കാറ്റെച്ചു,ଆକାସିଆ କ୍ୟାଚଚୁ |
അക്കാര്യ അറബിക്ക,ଆକାରିଆ ଆରବୀ |
അകാപ്രിൻ,ଆକ୍ରିନ
സ്വീകാര്യമായ ലൈംഗിക പെരുമാറ്റം,ଗ୍ରହଣୀୟ ଯ sexual ନ ଆଚରଣ |
ആക്സസറി ഗ്രന്ഥി,ଆନୁଷଙ୍ଗିକ ଗ୍ରନ୍ଥି |
ആക്സസറി ഗ്രന്ഥി,ଆନୁଷଙ୍ଗିକ ଗ୍ରନ୍ଥି |
ആക്സസറി അവയവം,ଆନୁଷଙ୍ଗିକ ଅଙ୍ଗ |
ACCLIMATIES,ସୁକମ୍ଲାଇଜେସନ୍
അക്ലിമിലൈസ്,ଆକ୍ସଲାଇଜାଇଜ୍ କରନ୍ତୁ |
താമസം (ഫോക്കസിംഗ്),ଆବାସ (ଧ୍ୟାନ)
കണ്ണിന്റെ താമസം,ଆଖିରେ ରହିବା
പ്രകടിപ്പിക്കുന്ന വളർച്ച,ଆକ୍ରେଟେନାରୀ ଅଭିବୃଦ୍ଧି |
കൂന്വാരം,ଜମା
ജൈവവസ്തുക്കളുടെ ശേഖരണം,ଜମାକାରୀ ପଦାର୍ଥର ଜମା |
മണ്ണിന്റെ ശേഖരണം,ମାଟିର ଜମା |
അസെലുലാർ,Acellululula |
അസെല്ലുലാർ ജീവികൾ,ଆରେଲେଲୁଲାର୍ ଜୀବଜନ୍ତୁ |
Aecetabulum,ଏସିଟାବୁଲମ୍
അസെറ്റൽഡിഹൈഡ്,ACTalDeyDee
അസെറ്റി കൊവെൻസിഎംഇ,ACETIL କୋଏନୋଜିମ୍ |
അച്ചാതിന,ଆଖିନିନା |
നെച്ചെൻ തരം,ଅହିଯାଉଥିବା ପ୍ରକାର |
അച്ചീൻ,ଅହିଯେ
ആൾമെംഡിഡോസ്പോര്പോറിയ,ଅଖ୍ଲଣିଡୋସପୋରିଆ |
അമ്ല മഴ,ଅମ୍ଳ ବର୍ଷା
അസിഡിറ്റി,ଅମ୍ଳୀୟ
അസിഡിറ്റിക് വാതകം,ଅମ୍ଳୀୟ ଗ୍ୟାସ୍ |
അസിഡിറ്റി,ଅମ୍ଳତା
അക്കിനാർ സെൽ,ଆଖର ସେଲ୍ |
അക്കോമോമോമറ്റ്,ଆକ୍ୱେମିଲେଟ୍ |
അക്കോണിറ്റം,ଆକୋନିଟମ୍
ആക്രമണാത്മക പുഴു,ଆକ୍ୟୁନ୍ ପୋକ |
അക്കോസ്റ്റിക് സോണിംഗ്,ଆକାଶବାଣୀ ଜୋନିଂ |
സ്വന്തമാക്കിയ പ്രതീകം,ଅର୍ଜନ ବର୍ଣ୍ଣ
പ്രതിരോധശേഷി നേടി,ଅଜାଣତର କାରଣ
ഏറ്റെടുത്ത ഇമ്മുനോൻറെ കുറവ് സിൻഡ്രോം (എയ്ഡ്സ്),ଇମ୍ପୁନାଓ ଅଭାବ ସିଣ୍ଡ୍ରୋମ (ଏଡସ୍) ହାସଲ କରିଛି |
അങ്കാരിയ,ଅକାନିଆ
അക്രിക്കൈൻ ഡൈ,ଆକ୍ରିଡାଇନ୍ ରଙ୍ଗ
അക്രോസെന്റ്,ଆକ୍ରୋସେଣ୍ଟ୍ରିକ୍ |
അക്രോമീൻ,ଆକ୍ରୋମିଅନ୍ |
അക്രോരേറ്റൽ സീക്വൻസ്,ଆକ୍ରୋପେଟାଲ୍ କ୍ରମ |
അക്രോപോളൽ ഓർഡർ,ଆକ୍ରୋପେଟାଲ୍ କ୍ରମ |
അക്രോസിൻ,ଆକ୍ରୋସିନ୍ |
ആക്ടിൻ,ଆକ୍ଟିନ୍ |
ആക്റ്റിൻ പോലുള്ള പ്രോട്ടീൻ,ଆକ୍ଟିନ୍-ପ୍ରୋଟିନ୍ |
ആക്ടിനോമോർഫിക്,ଆକ୍ଟିନୋମୋରଫିକ୍ଫିକ୍ |
ആക്റ്റിനോമൈസെറ്റുകൾ,ଆକ୍ଟିନୋମିସେସିସ୍ |
പ്രവർത്തന സാധ്യത,କାର୍ଯ୍ୟ ସମ୍ଭାବନା
സജീവമാക്കിയ സ്ലഡ്ജ്,ସକ୍ରିୟ ସ୍ଲେଜ୍ |
സജീവമാക്കിയ സ്ലഡ്ജ് ഫ്ലോക്ക്,ସକ୍ରିୟ ସ୍ଲେଜ୍ ଫ୍ଲୋକ |
സജീവമാക്കൽ .ർജ്ജം,ସକ୍ରିୟ ଶକ୍ତି
സജീവമായ ആഗിരണം,ସକ୍ରିୟ ଶୋଷଣ
സജീവ പ്രതിരോധശേഷി,ସକ୍ରିୟ ପ୍ରତିରୋଧକତା |
സജീവ വികിരണം,ସକ୍ରିୟ ବିକିରଣ |
സജീവ സൈറ്റ്,ସକ୍ରିୟ ସାଇଟ୍
ആധ്രിക്കുക,କାର୍ଯ୍ୟକର୍ତ୍ତା
അക്യുമിനേറ്റ്,ଆକ୍ରମିନେଟ୍ |
ആദാംസിയ,ଆଡାମାସିଆ |
പൊരുത്തപ്പെടലി,ଅନୁକେତ
പൊരുത്തപ്പെടുത്തൽ,ଆଡାପ୍ଟେସନ୍
ലൈറ്റ് ഭരണകൂടത്തിന് അനുയോജ്യമായ പൊരുത്തപ്പെടുത്തൽ,ହାଲୁକା ଶାସନ ପାଇଁ ଆଡାପ୍ଟେସନ୍ |
ജല ദഹനത്തോടുള്ള പൊരുത്തപ്പെടുത്തൽ,ଜଳ ଅଭାବରୁ ଆଡାପ୍ଟେସନ୍ |
അഡാപ്റ്റീവ് സവിശേഷതകൾ,ଆଡାପ୍ଟିଭ୍ ବ characteristics ଶିଷ୍ଟ୍ୟଗୁଡିକ |
അഡാപ്റ്റീവ് പ്രതിരോധശേഷി,ଆଡାପ୍ଟିଭ୍ ଇନମୁନିଟି |
അഡാപ്റ്റീവ് വികിരണം,ଆଡାପ୍ଟିଭ୍ ବିକିରଣ |
അഡാപ്റ്റീവ് സ്വഭാവം,ଆଡାପ୍ଟିଭ୍ ଗୁଣ |
അഡാക്സിയൽ ഉപരിതലം,ଆଡକ୍ସିଆଲ୍ ଭୂପୃଷ୍ଠ |
ആസക്തി നിഴൽ,ନିଶା ବ୍ୟାଧି |
ആദൈൈൻ,ଆଡେନିନ୍
Adenocortiopin,ଆଡେନୋକର୍ଟିକୋଟ୍ରୋପିନ୍ |
ആദിനോഹൈപഫിസിസ്,Adenehiopophisisisis
Adenosin diphosphate,ଆଡେନୋଜିନ୍ ଡିଫୋସେଫେଟ୍ |
Adenosine deaminase,ଆଡେନୁସିନ୍ ତ୍ୟାଗ କର |
അഡെനോസിൻ മോണോഫോസ്ഫേറ്റ്,ଆଡେନୁସିନ୍ ମୋନୋଫୋସଫେଟ୍ |
അഡെനോസിൻ ട്രിപ്പ്ഫോസ്ഫേറ്റ് (എടിപി),ଆଡେନୁସିନ୍ ଟ୍ରିପ୍ଫେଟ୍ (ATP)
Adenileat സൈക്ലെസ്,ଆଡେନିଲେଟ୍ ସାଇକ୍ଲାଜିନ୍ |
പശ ശക്തി,ଆଡେସିଭ୍ ଫୋର୍ସ |
മുദവയ്ക്കുക,ଆଡିପେଟ୍ କରନ୍ତୁ |
Adipocyte (FALE സെൽ),Adipocyte (ଫ୍ୟାଟ୍ ସେଲ୍)
അഡിപോസ് ടിഷ്യു,ସିସ୍ୟୁଜ୍ ଟିସୁ |
ആരാധന,ଆଡନେଟ୍ |
സമീപ കമ്മ്യൂണിറ്റി,ସଂଲଗ୍ନ ସମ୍ପ୍ରଦାୟର |
അഡ്രീനല്,ଆଡ୍ରେନାଲ୍
അഡ്രീനൽ ഗ്രന്ഥി,ଆଡ୍ରେନାଲ୍ ଗ୍ରନ୍ଥି |
അഡ്രിനെകോളിക്കോട്രോപിക് ഹോർമോൺ (acth),ଆଡ୍ରେନିକୋ ବୋଟ୍ରୋପିକ୍ ହରମୋନ୍ (ACTH)
അഡ്രിനെകോളിക്കോട്രോപിക് ഹോർമോൺ റിലീസ് ചെയ്യുന്നു (acth),ଆଡ୍ରେନାକର୍ଟିକୋଟ୍ରପିକ୍ ରିଲିଜ୍ ହରମୋନ୍ (ACTRH)
ദുര്ധി പകര്,ଆଡସରବେଣ୍ଟ
ദുര്ഗയോധം,ଆଡେର୍ସନ୍
വിപുലമായ കീടങ്ങൾ,ଉନ୍ନତ ମୂଲ୍ୟ |
പ്രയോജനകരമായ മ്യൂട്ടേഷൻ,ଲାଭଦାୟକ ଗଣିତ |
സാഹസികമായ,ଦୁ vent ସାହସିକ କାର୍ଯ୍ୟ |
സാഹസിക റൂട്ട്,ଖରାପ ମୂଳ
പ്രതികൂല ഫലം,ପ୍ରତିକୂଳ ପ୍ରଭାବ
Aedes,AED ଗୁଡିକ
സംസ്കാരത്തിന്റെ വായുസഞ്ചാരം,ସଂସ୍କୃତିର ଆରେସନ୍
അരേഞ്ചമ,ଆତଙ୍କିତାମା |
ഏരിയൽ,ବାୟୁ
Aierial റൂട്ട്,ବାୟୁଏଟ୍ ମୂଳ |
ഏരിയൽ ഷൂട്ട്,ଏରିଲ୍ ସୁଟ୍ |
എയ്റോബിക് ശ്വസനം,ଏରୋବିକ୍ ଶ୍ iration ଗଡା |
എയ്റോബിക് ശ്വസനം,ଏରୋବିକ୍ ଶ୍ iration ଗଡା |
സൗന്ദര്യശാസ്ത്രം,ସ est ନ୍ଦର୍ଯ୍ୟ
പകർച്ചവ്വാധം,ବାୟେ
പകർച്ചവ്വാധം,ବାୟେ
അശ്രദ്ധ,ବିଶଙ୍ଗ
അഫിനിറ്റി ക്രോമാറ്റോഗ്രാഫി,ଆଫିନିଟି କ୍ରୋମାଟୋଗ୍ରାଫି |
പീഡിപ്പിച്ച അവയവം,ଅଙ୍ଗପ୍ରତ୍ୟଙ୍ଗ ଅଙ୍ଗ |
വനനം,ଆଗ ଶତ୍ରୁମାନଙ୍କର
അഗമോസ്പർമി,ଆଗାମୋପର୍ମୀ |
അഗറും,ଅଗର
അഗരോസ്,ଆଗ୍ରୋଜ୍
അഗരോസ് ജെൽ എലെട്രോഫോറെസിസ്,ଆଗାରୋସ୍ ଗେଲ୍ ଇଟ୍ରୋଫୋରସ୍ |
അഗരോസ് പോളിമർ ജെൽ,ଆର୍ଗ୍ରୋଜ ପଲିମର ଜେଲ୍ |
അഗാധമായ,ଆଗିଷ୍ଟ
കൂരക്കം,ଆଗେଭ୍
പ്രായ വിതരണം,ବୟସ ବଣ୍ଟନ |
പ്രായ പിരമിഡ്,ବୟସ ପିରାମିଡ୍ |
നിര്മ്മിപ്പ,Agglutination
ആകെത്തുകയായുള്ള,ସମୁଦାୟ
ഫോളിക്കിളിന്റെ ആകെത്തുക,ଫୋଲିକଲିକ୍ ର ସମୁଦାୟ |
ഫോളിക്കിളിന്റെ ആകെത്തുക,ଫୋଲିକଲିକ୍ ର ସମୁଦାୟ |
അഗ്രഗേഷൻ,ମିଳନ
ആക്രമശാസ്ത്രം,ଆକ୍ରମଣାତ୍ମକତା
അജിറ്ററ്റർ സിസ്റ്റം,Agiitor ତନ୍ତ୍ର
അഗ്നിനാഥ,ଆଗନାଥା
അഗൗട്ടി,ଆଗାଉଟି
അഗ്രഗൽ ക്ലോറോപ്ലാസ്റ്റ്,ଆଗ୍ରାନାଲ କ୍ଲୋରୋପ୍ଲାଷ୍ଟ |
അഗ്രനനുകാരി,ଆଗ୍ରାନୁଲାର୍
അഗ്രമായനുലോസിടെ,ଆଗ୍ରାନୁଲୋସେଟେଟ୍ |
കൃഷിപ്പണി,କୃଷି
അഗ്രോഫോറസ്ട്രി,Agroftry
അഗ്രോബക്രിയം മധ്യസ്ഥത,Agrobacterium ମଧ୍ୟସ୍ଥି |
അഗ്രോബക്രിയം ടുബ്ഫാസിയൻസ്,Agrobacterium tumfacienss |
കാർഷിക,ଆଗ୍ରୋକେମିକାଲ୍ |
കാർഷിക,ଆଗ୍ରୋକେମିକାଲ୍ |
അഗ്രോക്ലിമീയ മേഖല,Agrovillatatic ଜୋନ୍ |
അഗ്രോണമിക് സ്വഭാവം,କ agnownom ଣସି ଗୁଣଗତ ଗୁଣ |
അഗ്രോണമി,କିରେନୋନୋମ୍ବନ
എയ്ഡ്സ്,ଏଡଡ୍ସ
എയർ ബ്ളാഡര്,ଏୟାର ବ୍ଲାଡର |
എയർകണ്ടീഷണർ,ଶିତତାପ ନିୟନ୍ତ୍ରଣକାରି
എയർ പാസേജ്,ବାୟୁ ପାସ୍ |
വായു മലിനീകരണം,ବାୟୁ ପ୍ରଦୂଷଣ
വ്ലാക്,ଏୟାର ଥଳି
വായു ശൂന്യത,ବାୟୁ ଶୂନ୍ୟ
എയർ ശ്വസനം,ବାୟୁ ନିଶ୍ୱାସ ନେବା |
അനെയ്ൻ,ଅଲିନ୍ |
അലറി പേശി,ଆଲେରୀ ମାଂସପେଶୀ |
അലാസ്കൻ ബ്ര rown ൺ ബിയർ,ଆଲାସ୍କାନ୍ ବ୍ରାଉନ୍ ଭାଲୁ |
ആൽബിനോ,ଆଲବିନୋ |
ആൽബൂഗോ,ଆଲବୁଗୋ |
ആൽബമിൻ,ଆଲବମିନ |
ആൽബ്യൂമിനസ് വിത്ത്,ଆଲବମିନସ୍ ବିହନ |
അൽബുമിനൂറിയ,ଆଲବୁମିନିରିଆ |
ആൽബനം,ଆଲବର୍ନମ୍
അൽകെഡെ,ଆଲେଡା
Aldeheeede,ଆଲଡେହେଡି
ആൽഡോസ്റ്റെറോൺ സിസ്റ്റം,ଆଲଡୋଷ୍ଟେରନ୍ ସିଷ୍ଟମ୍ |
ആൽഡോസ്റ്റെറോൺ,ଆଲଡୋଷ୍ଟେରୋନ୍ |
അലോറോൺ ലെയർ,ଆଲେରୋନ୍ ସ୍ତର |
അലൂറോപ്ലാസ്റ്റ്,ଆଲେରୋପ୍ଲେଷ୍ଟ |
പയറുവർഗ്ഗങ്ങൾ,Alfalfa
ആൽഗൽ പൂവ്,ଆଲଗାଲ୍ ଫୁଲ |
അൾഗിൻ,ଅପଗନ୍
അന്യഗ്രഹ ഡിഎൻഎ,ଏଲିଏନ୍ ଡିଏନ୍
അന്യഗ്രഹ ജീവികൾ,ଏଲିଏନ୍ ପ୍ରଜାତି |
വിന്യാപകമായ,ପରିଚାଳିତ
വിന്യാപകമായ,ପରିଚାଳିତ
അലിമെന്ററി കനാൽ,ଆଲିମେଣ୍ଟେରି କେନାଲ୍ |
അലിമെന്ററി സിസ്റ്റം,ଆଲିମେଣ୍ଟାରୀ ସିଷ୍ଟମ୍ |
അലിയാസം,ଆଲି ବ୍ୟଞ୍ଜସେମେସେସ୍ |
ആൽക്കലോയിഡ്,ଆଲକାଲାଇଡ୍ |
ആൽക്കലൈൻ,କ୍ଷାରିକ |
ആൽക്കപ്റ്റോറിയ,ଅଲକାପଟୋନେର୍ଜିଆ
Allantois,ଆଲାନ୍ସିଟ୍
അല്ലെൽ ഫ്രീക്വൻസി,ଆଲେଲେ ଫ୍ରିକ୍ୱେନ୍ସି |
അല്ലലേ,ଆହେଲେ |
അല്ലോമോർഫിക് ജോഡി,ଆଲୋଲେମୋମିକ୍ ଯୋଡି |
അലർജി,ଆଲ୍ରେଜେନ |
ചീങ്കണ്ണി,ଆଲିଗେଟର୍ |
അല്ലിയം സിപ,ଅସ୍ତ୍ରଶିୟ୍ ସେପୁ
അലോഗാമി,ଆଲଗଲାମି |
അല്ലുഫ്രാഫ്റ്റ്,ଆଲିଗ୍ରାଫ୍ଟ |
അലോപ്പേട്രിക് സ്പെസിഫിക്കേഷൻ,ଆଲପ୍ପାଟ୍ରିକ୍ ଯଥାର୍ଥ |
Allopolyplogid,ଆଲୋପୋଲିଆପ୍ଲଏଡ୍ |
എല്ലാസ്റ്റീസ്റ്റ് ഇഫക്റ്റ്,ଆଲିସ୍ମିକ ପ୍ରଭାବ
Allonteric enzyme,ଆଲିଶୋରଙ୍କ ଏନଜାଇମ୍ |
ഓസ്റ്റോസ്റ്റർ ഇൻഹിബിറ്റർ,ଆଲିସ୍ଟର ଇନହିବିଟର୍ |
എല്ലാസ്റ്റീസ്റ്റ് മോഡുലേഷൻ,ଆଲିସ୍ମିକ ମୋଡୁଲେସନ୍ |
ഓസ്റ്റോസ്റ്റർ സൈറ്റ്,ଆଲିସର୍ଏଣ୍ଟିକ୍ ସାଇଟ୍ |
ആസ്റ്റോസ്റ്റ് ഗർബിംഗ്,ଆଲିସ୍ଟର ପ୍ରତିବନ୍ଧକ |
അലോട്ട്ട്രലോയിഡ്,Allototreplid
അൽനസ്,Alnus
കറ്റാർ,ଆଲୋ
ആക്സോണിനൊപ്പം,ଆକ୍ସନ୍ ସହିତ |
ആൽഫ-ആന്റിട്രിറ്റിപ്സ്,ଆଲଫା-ଆଣ୍ଟିକ୍ରିପ୍ସିନ୍ |
ആൽഫ-ലാക്റ്റൽബുമിൻ,ଆଲଫା-ଲାକ୍ଟାଲବ୍ୟୁମିନ୍ |
ആൽപൈൻ കാലാവസ്ഥാ അവസ്ഥ,ଆଲପାଇନ୍ ଜଳବାୟୁ ଅବସ୍ଥା |
ആൽപൈൻ മെഡോ,ଆଲପାଇନ୍ ମଟର |
ആൽപൈൻ സോൺ,ଆଲପାଇନ୍ ଜୋନ୍
ആൽസ്റ്റോണിയ,ଆଲଷ୍ଟୋନିଆ
ആദരജോ,ସର୍ବୋଚ୍ଚame
ഏകാന്തരക്രമത്തിൽ,ବିକଳ୍ପ
തലമുറയുടെ മാറിമാറ്റം,ପି generation ଼ିର ବିକଳ୍ପ
ഉറ്റമകരമായ രോഗം,ଉଚ୍ଚତା ରୋଗ
ഉയരം,ଉଚ୍ଚତା
അൽവിയോളാർ നാളം,ଆଲଭୋଲାର୍ ନଳୀ |
അലിറ്റ്സ്,Aytes
അല്ഷിമേഴ്സ് രോഗം,ଅଲଜାଇମର ରୋଗ |
അമാക്രീൻ സെൽ,ଆମାକରାଇନ୍ ସେଲ୍ |
അമറാന്തം,ଅମରନ୍ତାସିଦା |
അമരന്തസ്,ଅମରାନ୍ତିନ |
ആംബിയന്റ് ഓസ്മോട്ടിക് സാന്ദ്രത,ପରିବେଶ ଓସମାଟିକ୍ ଏକାଗ୍ରତା |
ആംബിസ്റ്റോമ,ଅମ୍ବିଷ୍ଟୋମା |
അറുമണ്ടിന്,ବନ୍ଧୁତ୍ୱ
അമിനോ അമ്ലം,ଆମିନୋ ଏସିଡ୍ |
അമിനോ ആസിഡ് സ്വീകാര്യത,ଆମିନୋ ଏସିଡ୍ ଗ୍ରହଣକାରୀ |
അമിനോസിഎൽ ടി ആർഎ സിന്തസെസ്,AminoicaL t rna syntHetase |
അമിപോസിലേഷൻ,ଆମିନୋଫାଇସନ୍ |
അമിറ്റോസിസ്,ଅମିତୋସାଇସ୍ |
ക്ഷാരവായു,ଆମୋନିଆ
അമ്മോണിഫിക്കേഷൻ,ଆମୋନିଫିକେଟ୍
അമോമോട്ടലിസം,ଆମାମୋଟେଲ୍ଜିମ୍ |
അമ്നിയോസെന്റസിസ്,ଆମନିଓସେଣ୍ଟେସିସ୍ |
Amniocentess സാങ്കേതികത,ଆମନିଓସେଣ୍ଟେଟିସ୍ କ techni ଶଳ |
Amniocyte,ଆମନିଓକେଟ୍ |
Amnion,ଆମନିଅନ୍
അമ്നിയോട്ടിക് ദ്രാവകം,ଆମନିଓଟିକ୍ ଫ୍ଲୁଇଡ୍ |
അമ്നിയോട്ടിക് മെംബ്രൺ,ଆମନିଓଟିକ୍ ମେମ୍ବ୍ରେନ୍ |
അമ്നിയോട്ടിക് സഞ്ചി,ଆମନିଓଟିକ୍ ଥଳି |
അമീബ,ଆମୋବା
Amoebocyte,ଆମୋବାଇଟିଟ୍ |
Amoeboid,ଆମୋବିଏଡ୍
Amoeboid lymphocyte,ଆମୋବିଏଡ୍ ଲିମ୍ଫୋସିଟିଟ୍ |
അമോബോഡ് ചലനം,ଆମୋବିଏଡ୍ ଆନ୍ଦୋଳନ |
അക്കോറോഫസ്,ଆମୋରଫସ୍ |
സംഖ,ପରିମାଣ
ആംഫെറ്റാമൈൻ,ଆମ୍ଫେଟାମାଇନ୍ |
ആംഫിബിയ,ଆମ୍ଫିବିଆ
ആംഫിബിയൻ,ଆମ୍ଫିବିଆନ୍
ആംഫിബിയൻ,ଆମ୍ଫିବିଆନ୍
Amphioxus,ଆମ୍ଫାଇଓକ୍ସସ୍ |
ആംഫിയോക്സസ് ലാൻനോലാറ്റസ്,ଆମ୍ଫାଇଓକ୍ସସ୍ ଲାନସୋପାଟସ୍ |
ഉംഫിപതിക്,ଆମ୍ଫିସିଚିକ୍ |
ആംഫിപതിക് ലിപിഡ്,ଆମ୍ଫିପିଟିକ୍ ଲିପିଡ୍ |
ആംഫിസാർക്ക,ଆମ୍ଫାଇସାର୍କା |
ആമ്പസില്ലിൻ,Ampicilillin
അമ്പള്ളു,ଅମପୁଲାଲା |
മുള്ളറി ഗ്രന്ഥി,ଆମପୁଲାରୀ ଗ୍ରନ୍ଥି |
ആമിഗ്ഡാൽ,ଆମିଜିଡାଲ୍ |
ആമിഗ്ഡേൽ,ଆମିଗଡାଲେ |
ആമിഗ്ഡാലിൻ,ଆମିଗାଡାଲିନ୍ |
അമിലേസ്,ଆମିଲେଜ୍
അമിലോപ്ലാസ്റ്റ്,ଆମିଏଲପ୍ଲାଷ୍ଟ |
അനാബെന,ଅବାନା
അനബാസ്,ଅରବା
അനാബോളിക് പാത,ଆନାବୋଲିକ୍ ପଥ |
അനാബോളിസം,ଆନାବୋଲିଜିମ୍ |
അനകാർഡിയേസി,ଆନାଚାର୍ଡସିଆନା |
വിളമിയ,ରକ୍ତଦାତା
അയ്റോബ്,ଆନାରୋବେ |
അനാറോബിക് ഇന്ധനം,ଆନାରୋବିକ୍ ଇନ୍ଧନ |
അനാറോബിക് ശ്വസനം,ଆନାରକୋବର ଶ୍ iration ାସକ୍ରିୟା |
അനാറോബിക് സ്ലഡ്ജ് ഡൈജസ്റ്റർ,ଆନାରୋବିକ୍ ରୋକ୍ଲିଜ୍ ଡିଜିଟର୍ |
Anaerobic,ଆନାରକୋବର |
അനൈമ,ଆନିମା
മലദ്വാരം,ଆନାଲ୍
മലദ്വാരം,ଆନାଲ୍
മലദ്വാരം,ଆନାଲ୍ ଆପେଚର |
അനൽ സെറി,ଆନାଲ୍ ccor
അനൽ ലൂപ്പ്,ଆନାଲ୍ ଲୁପ୍ |
അനൽ ശൈലി,ଆନାଲ୍ ଶ style ଳୀ
അനസ്),ଅନୁରୂପ
അനസ്),ଅନୁରୂପ
അനലോഗി,ଆନାଲୋଜି
അനലോഗി,ଆନାଲୋଜି
വിശകലനം,ବିଶ୍ଳେଷଣ |
അനാഫേസ്,ଅଯାସୀ
Anatomic തടസ്സം,ଆନାଟୋମିକ୍ ପ୍ରତିବନ୍ଧକ |
ശരീരഘടന,ଆନାଟୋମିକାଲ୍ ଦିଗ |
അനാട്ടമിസ്റ്റ്,Anatomist-
ശരീരശാസ്തം,ଆନାଟୋମି |
പൂർവ്വികൻ പിൻഗാമിയായ ശ്രേണി,ପିତୃପୁରୁଷ ବଂଶର କ୍ରମ |
പൂർവ്വിക വംശജർ,ପ ancest ତୃକ ରେଖା |
പൂർവ്വാവസ്ഥ,ପ ancest ତୃକ କ୍ରମ |
ആൻസിലോസ്റ്റമ,ଏକସେଲୋସୋମା |
ആൻഡ്രോസിയം,ଆଣ୍ଡ୍ରୋକିୟମ୍ |
ആൻഡ്രോജൻ,ଆଣ୍ଡ୍ରୋଜେନ |
വിളമിയ,ରକ୍ତଦାତା
അനെമോൺ,ଆନିମୋନ୍ |
Aneuplogode,ଆନୁପ୍ଲଏଡ୍ |
അനിയുപ്ലോയിഡി,ଆନୁପ୍ଲୋଡି
ആഞ്ചിന,ଆଞ୍ଜିନା
ആൻജിയോഗ്രാം,ଆଞ୍ଜିୟରମ୍ |
ആഗിരിഗ്രാഫ്,ଆଙ୍ଗିଓଗ୍ରାଗ୍
ആജീദർ,ଆଙ୍ଗିଓଗ୍ରାଫି |
