Bengali,Punjabi
অস্বাভাবিক,ਅਸਧਾਰਨ
গর্ভপাত,ਅਧੂਰਾ ਛੱਡਣਾ
ঘর্ষণ,ਘ੍ਰਿਣਾ
আকস্মিক,ਅਚਾਨਕ
পরম ক্ষেত্র শক্তি,ਪੂਰੀ ਫੀਲਡ ਤਾਕਤ
পরম তাপমাত্রা,ਪੂਰਨ ਤਾਪਮਾਨ
পরম মান,ਸਹੀ ਮੁੱਲ
শোষণ,ਸੋਖਣਾ
শোষণ গুণাঙ্ক,ਸਮਾਈ ਸਹਿਕਾਰਤਾ
শোষণ ক্ষতি,ਸਮਾਈ ਨੁਕਸਾਨ
বিমূর্ত,ਸਾਰ
অ্যাক্সিলোমিটার,ਐਕਸੀਲਾਮੀਟਰ
স্বীকৃতি পরীক্ষা,ਪ੍ਰਵਾਨਗੀ ਟੈਸਟ
অ্যাক্সেস,ਪਹੁੰਚ
প্রবেশাধিকার নিয়ন্ত্রণ,ਐਕਸੈਸ ਕੰਟਰੋਲ
এক্সেস পয়েন্ট,ਐਕਸੈਸ ਪੁਆਇੰਟ
প্রবেশাধিকার সময়,ਐਕਸੈਸ ਟਾਈਮ
অ্যাক্সেসযোগ্যতা,ਪਹੁੰਚਯੋਗਤਾ
একুমুলেটর সেল,ਇਕੱਤਰ ਕਰਨ ਵਾਲਾ ਸੈੱਲ
সঠিকতা,ਸ਼ੁੱਧਤਾ
নির্ভুল,ਸਹੀ
অ্যাক্রোমেটিক লেন্স,ਅਕੀਰੋਮੈਟਿਕ ਲੈਂਜ਼
অ্যাসিড,ਐਸਿਡ
অ্যাসিড প্রুফ,ਐਸਿਡ ਦਾ ਸਬੂਤ
অম্লতা,ਐਸਿਡਿਟੀ
স্বীকৃতি বিট,ਪ੍ਰਵਾਨਗੀ ਬਿੱਟ
অ্যাকোস্টিক,ਧੁਨੀ
অ্যাকোস্টিক যোগাযোগ,ਧੁਨੀ ਸੰਚਾਰ
অ্যাকোস্টিক প্রসারণ,ਧੁਨੀ ਫੈਲਾਉਣ
অ্যাকোস্টিক ইকুয়ালাইজার,ਧੁਨੀ ਬਰਾਬਰੀ
অ্যাকোস্টিক প্রতিক্রিয়া,ਧੁਨੀ ਫੀਡਬੈਕ
অ্যাকোস্টিক ফিল্টার,ਧੁਨੀ ਫਿਲਟਰ
শব্দের সংরোধ,ਧੁਨੀ ਰੁਕਾਵਟ
অ্যাকোস্টিক মাস্কিং,ਧੁਨੀ ਮਾਸਕਿੰਗ
অ্যাকোস্টিক শক্তি,ਧੁਨੀ ਸ਼ਕਤੀ
অ্যাকোস্টিক সম্পত্তি,ਧੁਨੀ ਸੰਪਤੀ
অ্যাকোস্টিক রিঅ্যাক্ট্যান্স,ਧੁਨੀ ਪ੍ਰਤੀਕਰਮ
অ্যাকোস্টিক রিফ্লেক্স,ਧੁਨੀ ਪ੍ਰਤੀਬਿੰਬ
অ্যাকোস্টিক টাইল,ਧੁਨੀ ਟਾਈਲ
অ্যাকোস্টিক তরঙ্গ,ਧੁਨੀ ਲਹਿਰ
শাব্দিক শোষণ,ਧੁਨੀ ਸਮਾਈ
শাব্দিক মনোযোগ ধ্রুবক,ਧੂ-ਰਹਿਤ ਅਟੁੱਟ ਨਿਰੰਤਰ
শাব্দিক স্যাঁতসেঁতে,ਧੁਨੀ ਗਿੱਲੀ
শাব্দিক বিলম্ব লাইন,ਧੁਨੀ ਦੇਰੀ ਦੀ ਲਾਈਨ
শাব্দিক বিকৃতি,ਧੁਨੀ ਵਿਗਾੜ
শাব্দিক নালী,ਧੁਨੀ ਨਲੀ
শাব্দিক শক্তি,ਧੁਨੀ energy ਰਜਾ
শাব্দিক প্রতিক্রিয়া,ਧੁਨੀ ਫੀਡਬੈਕ
শাব্দিক ফিল্টার,ਧੁਨੀ ਫਿਲਟਰ
শাব্দিক প্রতিবন্ধকতা,ਧਾਰਨਾ
শাব্দিক প্রচার ধ্রুবক,ਧੁਨੀ ਪ੍ਰਸਾਰ ਨੂੰ ਸਥਿਰ
শাব্দিক প্রতিরোধের,ਧੁਨੀ ਪ੍ਰਤੀਰੋਧ
শাব্দিকভাবে অন্তরক,ਧੁਨੀ
অ্যাকোস্টিকস,ਧੁਨੀ
অধিগ্রহণ,ਗ੍ਰਹਿਣ
সংক্ষিপ্ত বিবরণ,ਐਕਰੋਨਾਈਮ
অ্যাকশন এরিয়া,ਕਾਰਵਾਈ ਖੇਤਰ
সক্রিয় ফিলামেন্ট,ਸਰਗਰਮ ਤੰਦ
সক্রিয়,ਕਿਰਿਆਸ਼ੀਲ
সক্রিয় এলাকা,ਐਕਟਿਵ ਖੇਤਰ
সক্রিয় উইন্ডো,ਐਕਟਿਵ ਵਿੰਡੋ
অভিযোজনযোগ্যতা,ਅਨੁਕੂਲਤਾ
অ্যাডাপ্টার (অ্যাডাপ্টার),ਅਡੈਪਟਰ (ਅਡੈਪਟਰ)
অভিযোজিত ডিফারেনশিয়াল পালস কোড মড্যুলেশন,ਅਡੈਪਟਿਵ ਇਨਫਿਅਲ ਪਲਸ ਕੋਡ ਸੰਚਾਲਨ
ঠিকানা বই,ਐਡਰੈੱਸ ਬੁੱਕ
ঠিকানা বাস,ਪਤਾ ਬੱਸ
ঠিকানা রেজোলিউশন,ਪਤਾ ਹੱਲ
সংলগ্ন চ্যানেল হস্তক্ষেপ,ਨੇੜਲੇ ਚੈਨਲ ਦਖਲਅੰਦਾਜ਼ੀ
সংলগ্ন চ্যানেল নির্বাচন,ਨਾਲਤ ਚੈਨਲ ਚੋਣ
সংলগ্ন ফ্রিকোয়েন্সি,ਆਸ ਪਾਸ ਦੀ ਬਾਰੰਬਾਰਤਾ
সংলগ্ন ফ্রিকোয়েন্সি চ্যানেল,ਨਾਲ ਲੱਗਦੇ ਫ੍ਰੀਕੁਐਂਸੀ ਚੈਨਲ
