Kannada,Punjabi
ಅಬೆಲಿ ಗುಂಪು,ਅਬੇਲੀ ਸਮੂਹ
ಅಬೆಲಿ ಗುಂಪು,ਅਬੇਲੀ ਸਮੂਹ
ಕೈ,ਹੱਥ
"ಸಂಪೂರ್ಣ, ಸಂಪೂರ್ಣ, ಸ್ಥಿರ, ನಿಖರ","ਪੂਰਨ, ਸੰਪੂਰਨ, ਸਥਿਰ, ਸਟੀਕ"
ಸಂಪೂರ್ಣ ಒಮ್ಮುಖ,ਪੂਰਨ ਕਨਵਰਜੈਂਸ
ಸಂಪೂರ್ಣ ದೋಷ,ਪੂਰਨ ਗਲਤੀ
ಸರ್ವೋಚ್ಚ ಸರ್ವೋಚ್ಚ,ਪਰਮ ਸਰਵਉੱਚ
ಸಂಪೂರ್ಣ ಕಡಿಮೆ,ਸਭ ਤੋਂ ਘੱਟ
ಸಂಪೂರ್ಣ ಮೌಲ್ಯ,ਸਹੀ ਮੁੱਲ
ಸಂಪೂರ್ಣ ವೇಗ,ਪੂਰਨ ਗਤੀ
ಅಮೂರ್ತ ಬೀಜಗಣಿತ,ਸਾਰ ਅਲਜਬਰਾ
ಅಮೂರ್ತ ಗುಂಪು ಸಿದ್ಧಾಂತ,ਐਬਸਟਰੈਕਟ ਗਰੁੱਪ ਥਿਊਰੀ
ವೇಗವರ್ಧನೆ,ਪ੍ਰਵੇਗ
ಗುರುತ್ವಾಕರ್ಷಣೆಯ ವೇಗವರ್ಧನೆ,ਗਰੈਵੀਟੇਸ਼ਨਲ ਪ੍ਰਵੇਗ
ಸ್ವೀಕಾರಾರ್ಹ ಆಯ್ಕೆಗಾರ,ਸਵੀਕਾਰਯੋਗ ਚੋਣਕਾਰ
ಸ್ವೀಕಾರಾರ್ಹ ಗುಣಮಟ್ಟದ ಮಟ್ಟ,ਸਵੀਕਾਰਯੋਗ ਗੁਣਵੱਤਾ ਪੱਧਰ
ಸ್ವೀಕಾರಾರ್ಹ ಆವರಣ,ਸਵੀਕਾਰਯੋਗ ਜਗ੍ਹਾ
