Assamese,Gujarati
abeli গ্ৰুপ,અબેલી જૂથ
abeli গ্ৰুপ,અબેલી જૂથ
হাত,હાથ
"নিৰপেক্ষ, নিৰপেক্ষ, ধ্ৰুৱক, নিখুঁত","નિરપેક્ષ, નિરપેક્ષ, અચળ, ચોક્કસ"
নিৰপেক্ষ অভিসৰণ,સંપૂર્ણ સંકલન
নিৰপেক্ষ ভুল,સંપૂર્ણ ભૂલ
পৰম পৰম,સર્વોચ્ચ સર્વોચ્ચ
নিৰপেক্ষ সৰ্বনিম্ন,એકદમ નીચું
নিৰপেক্ষ মূল্য,સંપૂર્ણ મૂલ્ય
নিৰপেক্ষ বেগ,સંપૂર્ણ વેગ
বিমূৰ্ত বীজগণিত,અમૂર્ત બીજગણિત
বিমূৰ্ত গোট তত্ত্ব,અમૂર્ત જૂથ સિદ્ધાંત
বেগ বৃদ্ধি,પ્રવેગ
মহাকৰ্ষণীয় ত্বৰণ,ગુરુત્વાકર્ષણ પ્રવેગક
গ্ৰহণযোগ্য নিৰ্বাচক,સ્વીકાર્ય પસંદગીકાર
গ্ৰহণযোগ্য গুণগত মানৰ স্তৰ,સ્વીકાર્ય ગુણવત્તા સ્તર
গ্ৰহণযোগ্য চৌহদ,સ્વીકાર્ય જગ્યા
বৈধ নিৰ্ভৰযোগ্যতা স্তৰ,માન્ય વિશ્વસનીયતા સ્તર
গ্ৰহণযোগ্যতা নমুনা সংগ্ৰহ কৰা,સ્વીકૃતિ નમૂના
সঞ্চিত ভুল,સંચિત ભૂલ
শুদ্ধতা,ચોકસાઈ
প্ৰয়োগ কৰা বল,બળ લાગુ કર્યું
"কাৰ্য্য, কাৰ্য্য","ક્રિયા, ખત"
ক্ৰিয়া আৰু প্ৰতিক্ৰিয়া,ક્રિયા અને પ્રતિક્રિયા
বীমা বিজ্ঞান,વીમા વિજ્ઞાન
তীব্ৰ ত্ৰিভুজ,તીવ્ર ત્રિકોણ
অচক্ৰীয়,એસાયક્લિક
সামৰণিত,સારાંશ માટે
adder,ઉમેરનાર
"যোগফল, যোগ, যোগফল (c.), যোগ (v.)","સરવાળો, ઉમેરો, સરવાળો (c.), ઉમેરણ (v.)"
যোগৰ সূত্ৰ,યોગનું સૂત્ર
জটিল সংখ্যাৰ যোগফল,જટિલ સંખ્યાઓનો સરવાળો
ফলনৰ যোগফল,કાર્યોનો સરવાળો
মেট্ৰিক্সৰ যোগফল,મેટ્રિસિસનો સરવાળો
বহুপদৰ যোগফল,બહુપદીનો સરવાળો
সম্ভাৱনাৰ যোগফল,સંભાવનાઓનો સરવાળો
ভেক্টৰৰ যোগফল,વેક્ટરનો સરવાળો
"যোগ উপপাদ্য, বেৰী তত্ত্ব,","સરવાળો પ્રમેય, બેરી સિદ્ધાંત"
যোগকৰণ গোট,ઉમેરણ જૂથ
যোগকৰণৰ বিপৰীত,ઉમેરણ વ્યસ્ત
যোগযোগ্যতা,ઉમેરણ
যোগযোগ্যতা,ઉમેરણ
সংলগ্নতা মেট্ৰিক্স,સંલગ્નતા મેટ્રિક્સ
"কাষৰীয়া, কাষৰীয়া, কাষৰীয়া","અડીને, અડીને, અડીને"
কাষৰীয়া কোণ,અડીને કોણ
কাষৰীয়া শিখৰ,અડીને શિરોબિંદુ
to associate,સાંકળવું
"সংযুক্ত আবৃত,",જોડાયેલ બંધ
সাধাৰণ নিৰ্ণায়ক,સામાન્ય નિર્ણાયક
সংযুক্ত অৱভেদ্য সমীকৰণ,જોડાયેલ વિભેદક સમીકરણ
সংলগ্ন সমীকৰণ,જોડાયેલ સમીકરણ
সহসমঞ্জস্যপূৰ্ণ মেট্ৰিক্স,કોહોમોજીનીયસ મેટ્રિક્સ
মেট্ৰিক্স সহাৱস্থান,મેટ્રિક્સ સહપ્રવૃત્તિ
সহসমঞ্জস্যপূৰ্ণ মেট্ৰিক্স,કોહોમોજીનીયસ મેટ્રિક્સ
গ্ৰহণযোগ্য সিদ্ধান্ত কাৰ্য্য,સ્વીકાર્ય નિર્ણય કાર્ય
গ্ৰহণযোগ্য অনুমান,સ્વીકાર્ય પૂર્વધારણા
বায়ুগতিবিদ্যা বল,એરોડાયનેમિક બળ
বায়ুগতিবিদ্যা,એરોડાયનેમિક્સ
সমজাতীয় জ্যামিতি,સજાતીય ભૂમિતિ
সমজাতীয় মেপিং,સજાતીય મેપિંગ
সমজাতীয় ৰূপান্তৰ,સજાતીય પરિવર્તન
এগ্ৰিগেট ভেৰিয়েবল,એકંદર ચલ
"বীজগণিত, বীজগণিত, বীজগণিত, বীজগণিত","બીજગણિત, બીજગણિત, બીજગણિત, બીજગણિત"
"বীজযুক্ত বন্ধ, বীজযুক্ত","સીડી બંધ, બીજરૂપે"
বীজগণিতীয় সমীকৰণ,બીજગણિતીય સમીકરણ
বীজগণিতীয় প্ৰকাশ,બીજગણિતીય અભિવ્યક્તિ
বীজগণিতীয় একাকাৰীতা,બીજગણિત એકરૂપતા
বীজগণিতীয় ফলন,બીજગણિત કાર્ય
বীজগণিতীয় জ্যামিতি,બીજગણિત ભૂમિતિ
বীজগণিতীয় বহুত্ব,બીજગણિત બહુમતી
বীজগণিতীয় ব্যৱস্থা,બીજગણિત સિસ્ટમ
সকলো-পূৰ্ণসংখ্যা সমস্যা,તમામ પૂર્ણાંક સમસ્યા
"নিযুক্তিৰ সমস্যা watt প্ৰশ্ন,",સોંપણી સમસ્યા વોટ પ્રશ્ન
বৰ্ণানুক্ৰমিক সংকেত,આલ્ફાબેટીકલ નોટેશન
বৰ্ণানুক্ৰমিক আখৰ,આલ્ફાબેટીક અક્ષર
বিকল্প কোণ,વૈકલ્પિક ખૂણા
"বিকল্প সমজাতীয় বিকল্প ৰূপ,",વૈકલ્પિક સજાતીય વૈકલ્પિક સ્વરૂપ
বিকল্প গোট,વૈકલ્પિક જૂથ
বিকল্প মেট্ৰিক্স,વૈકલ્પિક મેટ્રિક્સ
বিকল্প শৃংখলা,વૈકલ્પિક શ્રેણી
বিকল্প অনুমান,વૈકલ્પિક પૂર્વધારણા
বিকল্প অনুকূল,વૈકલ્પિક શ્રેષ્ઠ
বিকল্প ফলাফল,વૈકલ્પિક પરિણામ
এনালগ-ডিজিট ৰূপান্তৰক,એનાલોગ-અંક કન્વર્ટર
"এনালগ কম্পিউটাৰ,",એનાલોગ કમ્પ્યુટર
বিশ্লেষণ,વિશ્લેષણ
সহাৱস্থান বিশ্লেষণ,સહપ્રવર્તન વિશ્લેષણ
গণনা-তথ্য বিশ্লেষণ,ગણતરી-માહિતી વિશ્લેષણ
ভ্যাৰিয়েন্স বিশ্লেষণ,વિચલન વિશ્લેષણ
বিশ্লেষণাত্মক জ্যামিতি,વિશ્લેષણાત્મક ભૂમિતિ
বিশ্লেষণাত্মক কাৰ্য্য,વિશ્લેષણાત્મક કાર્ય
কোণ,કોણ
স্পৰ্শক কোণ,સ્પર્શકોણ
বিক্ষেপণ কোণ,વિચલન કોણ
ডিপ্ৰেছন এংগেল,હતાશા કોણ
বিচ্যুতি কোণ,વિચલન કોણ
বিবৰ্তন কোণ,વિવર્તન કોણ
উচ্চতা কোণ,એલિવેશન એંગલ
প্ৰাদুৰ্ভাৱৰ কোণ,ઘટના કોણ
প্ৰক্ষেপণৰ কোণ,પ્રક્ષેપણ કોણ
প্ৰতিফলনৰ কোণ,પ્રતિબિંબ કોણ
বিবৰ্তনৰ কোণ,રીફ્રેક્શન કોણ
ঘূৰ্ণন কোণ,પરિભ્રમણ કોણ
প্ৰতিফলনৰ নিৰপেক্ষ কোণ,પ્રતિબિંબનો સંપૂર્ણ કોણ
কৌণিক ত্বৰণ,કોણીય પ્રવેગક
কৌণিক বেগ,કોણીય વેગ
কৌণিক গতি,કોણીય ઝડપ
কৌণিক বেগ,કોણીય વેગ
ৰিং ফিংগাৰ,રિંગ આંગળી
উত্তৰদিশ,જવાબ આપો
কাউণ্টাৰ ডেৰাইভেটিভ,પ્રતિ વ્યુત્પન્ન
সমমিতি ফলন,આઇસોમેટ્રિક કાર્ય
"আবৃত, প্ৰযোজ্য, প্ৰযোজ্য","આવરી લેવા યોગ્ય, લાગુ, લાગુ"
"আবেদন আবেদন,",અરજી અરજી
ডাইনামিক প্ৰগ্ৰেমিং প্ৰয়োগ কৰা হৈছে,લાગુ ડાયનેમિક પ્રોગ્રામિંગ
প্ৰয়োগ কৰা জ্যামিতি,લાગુ ભૂમિતિ
