Marathi,Punjabi
"1.अॅबॅकस, 2. मोजणी","1. ਅਬੈਕਸ, 2. ਗਿਣਤੀ"
असामान्य शेवट,ਅਸਧਾਰਨ ਅੰਤ
इंटरसेप्ट,ਰੁਕਾਵਟ
"1. निरपेक्ष, 2. सर्वोच्च","1. ਸੰਪੂਰਨ, 2. ਸੁਪਰੀਮ"
परिपूर्ण पत्ता,ਪੂਰਾ ਪਤਾ
परिपूर्ण पत्ता योग्यता,ਸੰਪੂਰਨ ਪਤਾਯੋਗਤਾ
परिपूर्ण असेंबलर,ਪੂਰਨ ਅਸੈਂਬਲਰ
"1. संपूर्ण कोड, 2. परिपूर्ण कोड","1. ਸੰਪੂਰਨ ਕੋਡ, 2. ਪੂਰਨ ਕੋਡ"
निरपेक्ष आज्ञा,ਪੂਰਨ ਹੁਕਮ
"1. परिपूर्ण आकडे, 2. परिपूर्ण डेटा","1. ਸੰਪੂਰਨ ਅੰਕੜੇ, 2. ਪੂਰਨ ਡਾਟਾ"
परिपूर्ण सूचना,ਪੂਰਨ ਹਦਾਇਤ
परिपूर्ण मोड,ਪੂਰਨ ਮੋਡ
परिपूर्ण मार्ग,ਪੂਰਨ ਮਾਰਗ
"1. परिपूर्ण प्रोग्रामिंग, 2. परिपूर्ण प्रोग्रामिंग","1. ਸੰਪੂਰਨ ਪ੍ਰੋਗਰਾਮਿੰਗ, 2. ਸੰਪੂਰਨ ਪ੍ਰੋਗਰਾਮਿੰਗ"
अमूर्त वर्ग,ਐਬਸਟਰੈਕਟ ਕਲਾਸ
अमूर्त डेटा प्रकार,ਸੰਖੇਪ ਡਾਟਾ ਕਿਸਮ
अमूर्त मशीन,ਐਬਸਟਰੈਕਟ ਮਸ਼ੀਨ
अमूर्त चिन्ह,ਸੰਖੇਪ ਚਿੰਨ੍ਹ
अमूर्त वाक्यरचना,ਸੰਖੇਪ ਸੰਟੈਕਸ
स्वीकृती चाचणी,ਸਵੀਕ੍ਰਿਤੀ ਟੈਸਟ
प्रवेश प्रमाणपत्र,ਪਹੁੰਚ ਪ੍ਰਮਾਣੀਕਰਣ
"1. प्रवेश कोड, 2. प्रवेश कोड","1. ਪਹੁੰਚ ਕੋਡ, 2. ਐਕਸੈਸ ਕੋਡ"
प्रवेश नियंत्रण,ਪਹੁੰਚ ਕੰਟਰੋਲ
प्रवेश स्कॅनिंग,ਐਕਸੈਸ ਸਕੈਨਿੰਗ
उपकरणे,ਸਹਾਇਕ ਉਪਕਰਣ
लेखा,ਲੇਖਾਕਾਰੀ
"1. खाते आयडी, 2. लेखा ओळख","1. ਖਾਤਾ ID, 2. ਲੇਖਾ ਪਛਾਣ"
संचयक,ਇਕੱਠਾ ਕਰਨ ਵਾਲਾ
"1. अचूकता, 2. अचूकता","1. ਸ਼ੁੱਧਤਾ, 2. ਸ਼ੁੱਧਤਾ"
प्रवेश,ਪਹੁੰਚ
प्रवेश नियंत्रण बाइट्स,ਪਹੁੰਚ ਕੰਟਰੋਲ ਬਾਈਟ
प्रवेश सूचक,ਪਹੁੰਚ ਸੂਚਕ
प्रवेश की,ਪਹੁੰਚ ਕੁੰਜੀ
"1. प्रवेश मॅट्रिक्स, 2. प्रवेश मॅट्रिक्स","1. ਪਹੁੰਚ ਮੈਟਰਿਕਸ, 2. ਪਹੁੰਚ ਮੈਟਰਿਕਸ"
प्रवेश मोड,ਪਹੁੰਚ ਮੋਡ
प्रवेश विशेषाधिकार,ਪਹੁੰਚ ਅਧਿਕਾਰ
प्रवेश सुरक्षा,ਪਹੁੰਚ ਸੁਰੱਖਿਆ
"1. ऍक्सेस सर्व्हर, 2. प्रवेश सर्व्हर","1. ਐਕਸੈਸ ਸਰਵਰ, 2. ਸਰਵਰ ਤੱਕ ਪਹੁੰਚ"
प्रवेश वेळ,ਪਹੁੰਚ ਦਾ ਸਮਾਂ
पोचपावती,ਮਾਨਤਾ
ध्वनीशास्त्र,ਧੁਨੀ ਵਿਗਿਆਨ
"1. संक्षेप, 2. संक्षेप, 3. पासून लहान","1. ਸੰਖੇਪ ਰੂਪ, 2. ਸੰਖੇਪ, 3. ਤੋਂ ਛੋਟਾ"
क्रिया संदेश,ਕਾਰਵਾਈ ਸੁਨੇਹਾ
सक्रियकरण,ਸਰਗਰਮੀ
सक्रिय सर्व्हर पृष्ठ,ਸਰਗਰਮ ਸਰਵਰ ਪੰਨਾ
सक्रिय आवृत्ती,ਕਿਰਿਆਸ਼ੀਲ ਸੰਸਕਰਣ
अॅसायक्लिक,acyclic
"1. अॅसायक्लिक आलेख, 2. अॅसायक्लिक आलेख","1. ਏਸਾਈਕਲਿਕ ਗ੍ਰਾਫ਼, 2. acyclic ਗ੍ਰਾਫ਼"
अडा संगणक भाषा,ਅਦਾ ਕੰਪਿਊਟਰ ਭਾਸ਼ਾ
"1. ऑप्टिमायझर, 2. अनुकूलक","1. ਆਪਟੀਮਾਈਜ਼ਰ, 2. ਆਪਟੀਮਾਈਜ਼ਰ"
बेरीज करण्यासाठी),ਜੋੜ)
बेरीज फाइल,sum ਫਾਈਲ
"1. अॅडिशन ऑपरेशन, 2. बेरीज ऑपरेशन","1. ਐਡੀਸ਼ਨ ਓਪਰੇਸ਼ਨ, 2. ਸੰਯੁਕਤ ਕਾਰਵਾਈ"
जोडणारा,ਜੋੜਨ ਵਾਲਾ
जाणून घ्या,ਜਾਣੋ
पत्ता बस,ਪਤਾ ਬੱਸ
पत्ता फाइल,ਐਡਰੈੱਸ ਫਾਈਲ
पत्त्याचे स्वरूप,ਪਤਾ ਫਾਰਮੈਟ
पत्ता जनरेटर,ਪਤਾ ਜਨਰੇਟਰ
पत्ता ओळ,ਐਡਰੈੱਸ ਲਾਈਨ
पत्ता मॅपिंग,ਪਤਾ ਮੈਪਿੰਗ
पत्ता सूचक,ਪਤਾ ਸੂਚਕ
पत्ता नोंदवही,ਪਤਾ ਰਜਿਸਟਰ
पत्ता ब्रेकडाउन,ਪਤਾ ਟੁੱਟਣ
पत्ता अनुवाद,ਪਤਾ ਅਨੁਵਾਦ
"1. पत्ता मेमरी, 2. पत्ता करण्यायोग्य मेमरी","1. ਪਤਾ ਕਰਨ ਯੋਗ ਮੈਮੋਰੀ, 2. ਪਤਾ ਕਰਨ ਯੋਗ ਮੈਮੋਰੀ"
संबोधित,ਸੰਬੋਧਨ ਕਰਦੇ ਹੋਏ
"1. पर्याप्ततेचे निकष, 2. पर्याप्तता निकष","1. ਪੂਰਤੀ ਮਾਪਦੰਡ, 2. ਅਨੁਕੂਲਤਾ ਮਾਪਦੰਡ"
संलग्नक,ਲਗਾਵ
"1. व्यवस्थापन, 2. नियंत्रण","1. ਪ੍ਰਬੰਧਨ, 2. ਕੰਟਰੋਲ"
"1. व्यवस्थापक, 2. नियंत्रक","1. ਮੈਨੇਜਰ, 2. ਕੰਟਰੋਲਰ"
adobe acrobat,ਅਡੋਬ ਐਕਰੋਬੈਟ
अडोब फोटोशाॅप,ਅਡੋਬ ਫੋਟੋਸ਼ਾਪ
ABAP (प्रगत व्यवसाय प्रोग्रामिंग),ABAP (ਐਡਵਾਂਸਡ ਬਿਜ਼ਨਸ ਪ੍ਰੋਗਰਾਮਿੰਗ)
"1. प्रगत डेटा, 2. प्रगत डेटा","1. ਐਡਵਾਂਸਡ ਡੇਟਾ, 2. ਤਕਨੀਕੀ ਡਾਟਾ"
प्रगत माहिती प्रणाली,ਤਕਨੀਕੀ ਜਾਣਕਾਰੀ ਸਿਸਟਮ
प्रगत तंत्रज्ञान (AT),ਐਡਵਾਂਸਡ ਟੈਕਨਾਲੋਜੀ (ਏ.ਟੀ.)
क्रिया,ਕਾਰਵਾਈ
एकत्रीकरण,ਏਕੀਕਰਨ
एअरबोर्न संगणक प्रणाली,ਏਅਰਬੋਰਨ ਕੰਪਿਊਟਰ ਸਿਸਟਮ
aldus page-make,aldus page-make
अलर्ट बॉक्स,ਚੇਤਾਵਨੀ ਬਾਕਸ
अल्गोल (संगणक भाषा),ਐਲਗੋਲ (ਕੰਪਿਊਟਰ ਭਾਸ਼ਾ)
"1. अल्गोरिदम, 2. अल्गोरिदम","1. ਐਲਗੋਰਿਦਮ, 2. ਐਲਗੋਰਿਦਮ"
"1. अल्गोरिदम विश्लेषण, 2. अल्गोरिदम विश्लेषण","1. ਐਲਗੋਰਿਦਮ ਵਿਸ਼ਲੇਸ਼ਣ, 2. ਐਲਗੋਰਿਦਮ ਵਿਸ਼ਲੇਸ਼ਣ"
