Odiya,Bengali
ଏକ ବି ଶ୍ରେଣୀ ଏମ୍ପ୍ଲିଫାୟର୍ |,A B শ্রেণীর পরিবর্ধক
ଘୃଣ୍ୟତା |,বিকৃতি
ଅସ୍ୱାଭାବିକ ସଂକ୍ରମଣ,অস্বাভাবিক সংক্রমণ
"ସଂଲଗ୍ନ ହୋଇନଥିବା, ସାଧାରଣତ ,, ପିଟ୍, ଆମ୍ପ୍ୟୁଟେଡ୍, ଭଙ୍ଗା |","অসংলগ্ন, সাধারণত, পিট করা, অঙ্গচ্ছেদ করা, ভাঙা"
ସ୍ପେକ୍ଟ୍ରମ୍ ଅନୁପସ୍ଥିତ |,অনুপস্থিত বর্ণালী
"ସଂପୂର୍ଣ୍ଣ, ସଂପୂର୍ଣ୍ଣ, ସ୍ଥିର, ସିଦ୍ଧ |","পরম, পরম, ধ্রুবক, নিখুঁত"
ସଂପୂର୍ଣ୍ଣ ଆର୍ଦ୍ରତା |,পরম আর্দ্রতা
ସଂପୂର୍ଣ୍ଣ ଗତି,পরম গতি
ସଂପୂର୍ଣ୍ଣ ନିରୀକ୍ଷଣ |,পরম পর্যবেক্ষণ
ସଂପୂର୍ଣ୍ଣ ତାପମାତ୍ରା |,পরম তাপমাত্রা
ସଂପୂର୍ଣ୍ଣ ଶୂନ,পরম শূন্য
ଶୋଷଣ,শোষণ করা
"ଶୋଷକ, ଶୋଷକ","শোষক, শোষক"
ଅବଶୋଷଣ କ୍ଷମତା |,শোষণ ক্ষমতা
ଅବସାଦ |,শোষণ
ଶୋଷକ,শোষক
ଶୋଷଣ,শোষণ
ବହୁଗୁଣ ଅନୁପାତ |,বহুগুণ অনুপাত
ତ୍ୱରାନ୍ୱିତ କର |,ত্বরান্বিত করা
ଶୀଘ୍ର ଶୀଘ୍ର,তাড়াতাড়ি
ତ୍ୱରଣ,ত্বরণ
ମାଧ୍ୟାକର୍ଷଣର ତ୍ୱରଣ,অভিকর্ষের ত্বরণ
ତ୍ୱରକ,এক্সিলারেটর
ତ୍ୱରକ,এক্সিলারেটর
ଆକ୍ସିଲେରୋମିଟର,অ্যাক্সিলোমিটার
ସମ୍ମାନ,prestresser
ଗ୍ରହଣୀୟ ପରୀକ୍ଷା,গ্রহণযোগ্য পরীক্ষা
ଗ୍ରହଣକାରୀ,গ্রহণকারী
ଦାତା ଅଣୁ,দাতা অণু
"ପ୍ରବେଶ, ଅପେକ୍ଷା, ଅଭିଗମ୍ୟତା |","অ্যাক্সেস, অপেক্ষা, অ্যাক্সেসযোগ্যতা"
ଅଭିଗମ୍ୟତା,অ্যাক্সেসযোগ্যতা
"ଅତିରିକ୍ତ, ଆନୁଷଙ୍ଗିକ, ଆନୁଷଙ୍ଗିକ (v।), ଆସେସୋରିଜ୍ (ଏଡି।)","অতিরিক্ত, আনুষঙ্গিক, আনুষঙ্গিক (v.), আনুষাঙ্গিক (সম্পাদনা)"
ପ୍ରବେଶ ସମୟ,প্রবেশাধিকার সময়
ପରିଦର୍ଶକ ତ୍ରୁଟି |,ভিজিটর ত্রুটি
ଆଡଜଷ୍ଟେସନ୍,সমন্বয়
ସଂଗୃହିତ,পুঞ্জীভূত
"ଜମା, ଜମା","accumulation, accumulation"
ଜମାକାରୀ,সঞ্চয়কারী
ସଠିକତା,সঠিকতা
ବାସ୍ତବତା,বাস্তবতা
ଆକ୍ରୋମାଟିକ୍ ଲେନ୍ସ |,অ্যাক্রোমেটিক লেন্স
ଆକ୍ରୋମାଟିକ୍ |,অ্যাক্রোমেটিক
ଆକ୍ରୋମାଟିଟି,বর্ণহীনতা
ଶବ୍ଦ,শাব্দিক
ସାଉଣ୍ଡ ପ୍ରୁଫ୍ |,শব্দরোধী
ଆକାଶବାଣୀ ଫୋନନ୍ |,শাব্দিক ফোনন
ଧ୍ୱନି ଏକକ |,শব্দ ইউনিট
ଶବ୍ଦ,শাব্দিক
ଶବ୍ଦ ଜେନେରେଟର,শব্দ জেনারেটর
କାର୍ଯ୍ୟ ଏବଂ ପ୍ରତିକ୍ରିୟା,কর্ম এবং প্রতিক্রিয়া
ସକ୍ରିୟ,সক্রিয়করণ
ସକ୍ରିୟ ଶକ୍ତି,অ্যাক্টিভেশন শক্তি
"ସକ୍ରିୟକାରୀ, ସକ୍ରିୟକାରୀ |","সক্রিয়কারী, সক্রিয়কারী"
ସକ୍ରିୟ |,সক্রিয়
ସକ୍ରିୟତା,সক্রিয়তা
ପ୍ରକୃତ ଚାପ,প্রকৃত চাপ
ଫୁସ୍ଫୁସ୍,ফিসফিস
ସଂକ୍ଷେପରେ,যোগফল
"ରାଶି, ଯୋଗ, ସମୁଦାୟ (ଏଡି।), ଯୋଗୀ (v।)","যোগফল, যোগ, সমষ্টি (সম্পাদনা), যোজক (v.)"
"ସଂଯୋଗ ସ୍ୱର, ଅତିରିକ୍ତ ସ୍ୱର (ସ୍ ow ର)","সংযোজক স্বর, অতিরিক্ত স্বর (স্বর)"
ଯୋଗୀ,সংযোজনকারী
ଆଡିଶିନ୍ |,আনুগত্য
ଆଡେସିଭ୍ ଶକ୍ତି |,আঠালো শক্তি
adiabat,adiabat
ଆଡିଆବାଟିକ୍ |,adiabatic
ଉତ୍ତାପ ଇନସୁଲେଟିଂ,তাপ নিরোধক
ସଂଲଗ୍ନ,সংযুক্তি
ନିୟନ୍ତ୍ରିତ,সামঞ্জস্যযোগ্য
ଅନୁପ୍ରବେଶ,অনুপ্রবেশ
ବିଜ୍ or ାପନ,শোষণ
ଆଗକୁ,এগিয়ে
ପ୍ରଗତିଶୀଳ |,প্রগতিশীল
"akashi, air (v।), aerial (ed।)","আকাশী, ভাইভা (v.), বায়বীয় (ed.)"
ଆଣ୍ଟେନା ଷ୍ଟ୍ରିମ୍ |,অ্যান্টেনা প্রবাহ
ବାୟୁ ସର୍ବେକ୍ଷଣ |,বায়বীয় জরিপ
ବାୟୁ ବେଗ,বায়ু বেগ
ଏରୋଡାଇନାମିକ୍ କୋଏଫିସିଏଣ୍ଟ୍ |,এরোডাইনামিক সহগ
ଏରୋଡାଇନାମିକ୍ |,এরোডাইনামিক
ଏରୋଡାଇନାମିକ୍ସ |,বায়ুগতিবিদ্যা
ଏରୋନେଟିକାଲ୍ |,বৈমানিক
ଏରୋନେଟିକ୍ସ |,বৈমানিক
ବାୟୁ ନାଡ,বায়ু নাড়ি
"ବାୟୁମଣ୍ଡଳ, ଗ୍ୟାସୋସଫର |","বায়ুমণ্ডল, গ্যাসোস্ফিয়ার"
ଫୋକସ୍ ସିଷ୍ଟମ୍ |,ফোকাস সিস্টেম
ପଛ ଇଗ୍ନିସନ୍ |,পিছনে ইগনিশন
ପଛ ଆଲୋକ,পিছনের আলো
ସଂକଟ,আঘাত
"ବୟସ, ବୟସ, ବୟସ, ଯୁଗ (ଏଡି।), ସମୟ (ver।), ସମୟ, ସମୟ ଦ୍ୱାରା ପ୍ରଭାବିତ ହେବା |","বয়স, বয়স, বয়স, যুগ (সম্পাদনা), সময়কে প্রভাবিত করতে (ভার।), সময়, সময়ের দ্বারা প্রভাবিত হওয়া"
ସମୟ ପ୍ରଭାବିତ |,সময় প্রভাবিত
"ବାର୍ଦ୍ଧକ୍ୟ, ବାର୍ଦ୍ଧକ୍ୟ","বার্ধক্য, বার্ধক্য"
ସମୟ ପ୍ରଭାବ,সময়ের প্রভাব
ସମୟ ପ୍ରଭାବ ପରୀକ୍ଷା,সময় প্রভাব পরীক্ষা
ମାଧ୍ୟାକର୍ଷଣ |,মাধ্যাকর্ষণহীন
ପୁନ iliation ନିର୍ମାଣ,পুনর্মিলন
"ବାୟୁବାହୀ ରାଡାର, ଏରିଆଲ୍ ରାଡାର୍ |","বায়ুবাহিত রাডার, বায়বীয় রাডার"
"ଏରିଲ୍ ଟାର୍ଗେଟ୍, ଏରିଲ୍ ଟାର୍ଗେଟ୍ |","বায়বীয় লক্ষ্য, বায়বীয় লক্ষ্য"
ବାୟୁ ଶ୍ ir ାସକ୍ରିୟା,বায়ু শ্বাসযন্ত্র
ଶୀତତାପ ନିୟନ୍ତ୍ରଣ,এয়ার কন্ডিশনিং
ଏୟାରକ୍ରାଫ୍ ଟ୍ରାନ୍ସଫର୍ମର |,এয়ারক্রু ট্রান্সফরমার
ବିମାନ,বিমান
ଶ୍ରେଣୀବଦ୍ଧତା |,প্রান্তিককরণ
ଶ୍ରେଣୀବଦ୍ଧ ତ୍ରୁଟି |,প্রান্তিককরণ ত্রুটি
ଲାଇଭ୍ ସର୍କିଟ୍ |,লাইভ সার্কিট
ପୂର୍ଣ୍ଣ ଗ୍ଲାସ୍ ଟ୍ୟୁବ୍ |,সম্পূর্ণ কাচের টিউব
ପୁରା ଧାତୁ ଟ୍ୟୁବ୍ |,পুরো ধাতব টিউব
ଠିକ କରିବା ପାଇଁ,ঠিক করতে
"ମିସ୍ରାଟୁ (ଏଡି।), ମିଶ୍ରଭାନ୍ (କ୍ର।)","মিসরাতু (সম্পাদনা), মিশ্রাতভান (ক্রি.)"
ମିଶ୍ର,mishratvan
ସର୍ବବ୍ୟାପୀ ମାଧ୍ୟମ |,সর্বব্যাপী মাধ্যম
omni ଆଣ୍ଟେନା |,ওমনি অ্যান্টেনা
ଆଲମାନାକ |,পঞ্জিকা
ଆଲଫା,আলফা
ଆଲଫା-କାର୍ଯ୍ୟକଳାପ |,আলফা-ক্রিয়াকলাপ
ବର୍ଣ୍ଣମାଳା,আলফানিউমেরিক
ଆଲଫା ରଶ୍ମି |,আলফা রশ্মি
ପରିବର୍ତ୍ତନ କରନ୍ତୁ |,পরিবর্তন
